open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1743465600000000,0.1872,0.1881,0.1872,0.1875,67373.9,1743466499999999,12648.43727,67,31541.4,5925.08623,0
1743466500000000,0.1873,0.1883,0.1873,0.1883,36278.8,1743467399999999,6815.9559,72,23354.4,4385.6341,0
1743467400000000,0.188,0.1885,0.1879,0.1885,33051.5,1743468299999999,6220.93241,41,27533.0,5183.36728,0
1743468300000000,0.1885,0.1887,0.1874,0.1883,85390.7,1743469199999999,16071.99308,151,41687.0,7851.75978,0
1743469200000000,0.1881,0.1881,0.1872,0.1873,33555.0,1743470099999999,6285.68034,66,5758.3,1079.91238,0
1743470100000000,0.1876,0.1877,0.1873,0.1877,9497.7,1743470999999999,1781.67927,14,7924.1,1486.69824,0
1743471000000000,0.1878,0.1878,0.1871,0.1871,27736.1,1743471899999999,5191.02543,24,13621.5,2549.60577,0
1743471900000000,0.1873,0.1874,0.1871,0.1872,8630.8,1743472799999999,1616.40044,12,5002.8,937.10096,0
1743472800000000,0.1873,0.188,0.1871,0.188,12402.2,1743473699999999,2330.14504,15,12262.7,2303.9934,0
1743473700000000,0.1881,0.1884,0.1881,0.1883,32528.0,1743474599999999,6123.33926,34,23871.7,4493.45125,0
1743474600000000,0.1882,0.1888,0.1882,0.1888,16035.6,1743475499999999,3021.62505,37,8138.9,1534.6664,0
1743475500000000,0.1888,0.1892,0.1887,0.1891,31129.9,1743476399999999,5880.29357,45,3503.1,661.82384,0
1743476400000000,0.1892,0.1895,0.1891,0.1894,41588.6,1743477299999999,7876.08116,63,30426.7,5762.23387,0
1743477300000000,0.1894,0.1896,0.1891,0.1891,3153.1,1743478199999999,597.18305,21,1922.7,364.15746,0
1743478200000000,0.1891,0.1892,0.1889,0.189,9941.1,1743479099999999,1879.22804,21,5989.1,1132.30634,0
1743479100000000,0.1891,0.1892,0.1888,0.1889,9773.5,1743479999999999,1846.38342,18,7954.1,1502.7094,0
1743480000000000,0.189,0.1894,0.189,0.1892,18527.3,1743480899999999,3505.85293,39,14346.3,2714.40739,0
1743480900000000,0.1893,0.1894,0.1888,0.1892,38302.2,1743481799999999,7241.54394,43,14053.6,2659.04421,0
1743481800000000,0.1895,0.1897,0.1892,0.1896,4930.6,1743482699999999,934.35433,12,3211.3,608.72067,0
1743482700000000,0.1896,0.1898,0.1896,0.1897,21060.5,1743483599999999,3993.28296,24,17831.7,3381.09572,0
1743483600000000,0.1897,0.1901,0.1896,0.19,24695.5,1743484499999999,4691.763,32,17184.0,3264.297,0
1743484500000000,0.1902,0.1907,0.1902,0.1907,19737.4,1743485399999999,3760.13254,37,10398.2,1980.65863,0
1743485400000000,0.1907,0.1907,0.1898,0.1902,27355.2,1743486299999999,5201.26,36,16127.3,3064.98326,0
1743486300000000,0.1901,0.1902,0.1896,0.1897,30973.9,1743487199999999,5875.73548,43,1028.2,195.22051,0
1743487200000000,0.1897,0.1903,0.1895,0.1903,66971.4,1743488099999999,12719.30651,68,31154.6,5918.01317,0
1743488100000000,0.1904,0.1909,0.1904,0.1909,41988.9,1743488999999999,8008.96288,51,22289.0,4250.96961,0
1743489000000000,0.191,0.1923,0.191,0.192,76421.3,1743489899999999,14667.26802,117,30167.1,5787.77063,0
1743489900000000,0.1921,0.1923,0.1918,0.1923,57793.7,1743490799999999,11102.16969,60,14022.8,2694.50827,0
1743490800000000,0.1923,0.1933,0.1923,0.193,128127.6,1743491699999999,24713.99656,155,78566.7,15153.71943,0
1743491700000000,0.1929,0.1929,0.1923,0.1925,88160.7,1743492599999999,16977.01554,72,23389.6,4503.3157,0
1743492600000000,0.1926,0.1929,0.1923,0.1928,46972.8,1743493499999999,9043.43156,51,19752.3,3802.18919,0
1743493500000000,0.1928,0.1929,0.1925,0.1925,33492.4,1743494399999999,6453.90816,32,3102.1,598.1226,0
1743494400000000,0.1925,0.1938,0.1925,0.1938,47679.6,1743495299999999,9202.60456,76,25078.9,4841.5992,0
1743495300000000,0.1939,0.1953,0.1939,0.1953,173249.4,1743496199999999,33738.2516,215,80517.2,15681.11545,0
1743496200000000,0.1954,0.1958,0.1947,0.1951,54990.1,1743497099999999,10734.67335,76,29676.3,5790.0621,0
1743497100000000,0.1953,0.1957,0.1952,0.1956,81496.0,1743497999999999,15922.63217,74,65247.7,12747.95538,0
1743498000000000,0.1956,0.1963,0.1952,0.1952,34555.2,1743498899999999,6771.675,58,13834.3,2713.52074,0
1743498900000000,0.1954,0.1958,0.1952,0.1954,61199.0,1743499799999999,11963.498,69,28951.9,5657.13512,0
