open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,1.894,1.898,1.894,1.898,168.1,1688170499999,318.5854,7,168.1,318.5854,0
1688170500000,1.894,1.9,1.892,1.9,133.7,1688171399999,253.5541,16,112.5,213.3987,0
1688171400000,1.902,1.904,1.895,1.901,335.3,1688172299999,637.9059,35,244.0,464.2651,0
1688172300000,1.902,1.902,1.896,1.896,302.7,1688173199999,574.4893,11,84.9,161.3421,0
1688173200000,1.898,1.901,1.888,1.899,531.2,1688174099999,1006.1688,39,304.2,576.8074,0
1688174100000,1.899,1.899,1.883,1.885,1533.6,1688174999999,2903.3609,38,819.7,1555.7877,0
1688175000000,1.887,1.898,1.887,1.898,241.4,1688175899999,457.291,21,208.9,395.671,0
1688175900000,1.897,1.903,1.892,1.901,1662.9,1688176799999,3153.4275,46,763.1,1447.5147,0
1688176800000,1.9,1.902,1.89,1.893,1219.6,1688177699999,2310.9849,38,607.5,1152.8589,0
1688177700000,1.895,1.897,1.895,1.897,28.0,1688178599999,53.0736,5,28.0,53.0736,0
1688178600000,1.899,1.899,1.894,1.896,298.4,1688179499999,565.3443,10,21.2,40.227,0
1688179500000,1.894,1.894,1.887,1.889,1950.3,1688180399999,3691.3931,22,802.9,1519.6406,0
1688180400000,1.889,1.89,1.889,1.889,172.9,1688181299999,326.6178,4,165.8,313.2059,0
1688181300000,1.89,1.892,1.89,1.892,66.6,1688182199999,125.9422,5,66.6,125.9422,0
1688182200000,1.889,1.891,1.884,1.884,485.4,1688183099999,915.8849,18,360.8,680.8128,0
1688183100000,1.886,1.888,1.886,1.888,106.0,1688183999999,200.1012,6,98.8,186.5076,0
1688184000000,1.89,1.892,1.888,1.888,158.4,1688184899999,299.3931,13,116.8,220.8523,0
1688184900000,1.886,1.886,1.873,1.874,851.2,1688185799999,1597.9136,27,256.8,482.1017,0
1688185800000,1.874,1.88,1.873,1.876,942.4,1688186699999,1768.4209,29,644.0,1208.7419,0
1688186700000,1.878,1.883,1.878,1.883,148.2,1688187599999,278.9152,11,148.2,278.9152,0
1688187600000,1.884,1.884,1.884,1.884,454.9,1688188499999,857.0316,14,447.8,843.6552,0
1688188500000,1.883,1.884,1.879,1.879,443.0,1688189399999,833.2686,8,44.7,84.0807,0
1688189400000,1.881,1.881,1.881,1.881,52.1,1688190299999,98.0001,2,52.1,98.0001,0
1688190300000,1.882,1.887,1.882,1.887,89.1,1688191199999,167.8955,9,89.1,167.8955,0
1688191200000,1.887,1.889,1.885,1.886,372.1,1688192099999,702.3691,18,332.2,627.1311,0
1688192100000,1.888,1.89,1.885,1.886,60.0,1688192999999,113.2471,6,39.6,74.7861,0
1688193000000,1.885,1.885,1.883,1.883,106.2,1688193899999,200.0581,6,0.0,0.0,0
1688193900000,1.884,1.893,1.884,1.893,299.5,1688194799999,565.6711,19,284.4,537.1474,0
1688194800000,1.892,1.898,1.89,1.894,652.8,1688195699999,1235.4213,30,210.1,398.1349,0
1688195700000,1.891,1.895,1.891,1.893,134.0,1688196599999,253.7476,13,104.0,196.9576,0
1688196600000,1.894,1.896,1.89,1.891,3169.6,1688197499999,5993.5869,27,227.6,430.8164,0
1688197500000,1.893,1.894,1.889,1.89,2907.5,1688198399999,5498.0379,22,1300.4,2458.8265,0
1688198400000,1.894,1.895,1.892,1.895,306.3,1688199299999,580.07,14,200.6,380.0856,0
1688199300000,1.895,1.897,1.893,1.893,365.2,1688200199999,692.205,9,365.2,692.205,0
1688200200000,1.892,1.892,1.89,1.892,320.5,1688201099999,606.0862,10,137.6,260.3392,0
1688201100000,1.893,1.894,1.889,1.889,273.2,1688201999999,516.9443,11,181.6,343.8791,0
1688202000000,1.889,1.892,1.884,1.885,2427.3,1688202899999,4577.1223,37,669.5,1263.2158,0
1688202900000,1.885,1.888,1.884,1.888,539.6,1688203799999,1017.9338,23,478.3,902.4312,0
1688203800000,1.889,1.89,1.886,1.887,550.9,1688204699999,1039.2326,14,443.4,836.4669,0
1688204700000,1.887,1.887,1.887,1.887,0.0,1688205599999,0.0,0,0.0,0.0,0
1688205600000,1.887,1.89,1.887,1.89,57.9,1688206499999,109.3353,8,57.9,109.3353,0
1688206500000,1.891,1.896,1.887,1.896,628.5,1688207399999,1188.5267,21,597.9,1130.7532,0
1688207400000,1.895,1.896,1.887,1.892,190.8,1688208299999,360.9256,12,156.9,296.9563,0
1688208300000,1.889,1.891,1.885,1.885,212.4,1688209199999,400.974,14,113.7,214.7986,0
1688209200000,1.89,1.892,1.889,1.892,114.4,1688210099999,216.3717,10,105.7,199.9374,0
1688210100000,1.893,1.896,1.893,1.894,124.5,1688210999999,235.908,8,101.1,191.5784,0
1688211000000,1.895,1.901,1.894,1.901,215.3,1688211899999,408.3795,14,200.1,379.5682,0
1688211900000,1.9,1.901,1.9,1.901,50.3,1688212799999,95.5996,5,50.3,95.5996,0
1688212800000,1.901,1.907,1.897,1.904,700.4,1688213699999,1333.3612,53,670.0,1275.5648,0
1688213700000,1.906,1.909,1.901,1.905,250.1,1688214599999,476.8223,12,191.6,365.4632,0
1688214600000,1.904,1.91,1.901,1.908,1862.5,1688215499999,3546.2854,60,1720.5,3275.8196,0
1688215500000,1.908,1.91,1.903,1.909,808.6,1688216399999,1540.521,50,474.0,903.1965,0
1688216400000,1.909,1.915,1.902,1.909,3776.9,1688217299999,7201.6668,129,1058.1,2020.0504,0
1688217300000,1.908,1.917,1.907,1.91,1754.6,1688218199999,3356.9184,107,1077.6,2062.1133,0
1688218200000,1.913,1.917,1.909,1.915,817.5,1688219099999,1564.3284,57,709.6,1357.924,0
1688219100000,1.913,1.917,1.911,1.914,648.9,1688219999999,1242.0605,71,455.4,872.1055,0
1688220000000,1.914,1.917,1.908,1.911,3284.6,1688220899999,6276.5126,116,989.8,1893.835,0
1688220900000,1.912,1.916,1.908,1.915,502.5,1688221799999,961.2553,71,455.2,870.9252,0
1688221800000,1.914,1.914,1.907,1.909,165.0,1688222699999,315.2337,20,116.0,221.732,0
1688222700000,1.909,1.914,1.909,1.912,1134.8,1688223599999,2170.2519,41,1036.1,1981.5089,0
1688223600000,1.912,1.912,1.908,1.91,1278.5,1688224499999,2442.575,27,184.3,351.9704,0
1688224500000,1.91,1.91,1.903,1.903,553.3,1688225399999,1054.787,16,489.5,933.1667,0
1688225400000,1.904,1.911,1.903,1.909,977.7,1688226299999,1865.0548,38,398.5,760.5482,0
1688226300000,1.907,1.907,1.905,1.907,220.8,1688227199999,420.6966,6,7.0,13.349,0
1688227200000,1.907,1.915,1.905,1.907,681.1,1688228099999,1300.2768,28,550.4,1050.9135,0
1688228100000,1.908,1.908,1.905,1.905,184.2,1688228999999,351.3609,5,156.3,298.1907,0
1688229000000,1.907,1.91,1.904,1.907,2245.1,1688229899999,4280.4695,49,568.2,1083.5815,0
1688229900000,1.906,1.906,1.906,1.906,75.4,1688230799999,143.7124,1,0.0,0.0,0
1688230800000,1.906,1.906,1.904,1.904,572.2,1688231699999,1090.5015,12,42.1,80.1723,0
1688231700000,1.904,1.911,1.903,1.904,741.3,1688232599999,1412.9626,25,597.2,1138.5148,0
1688232600000,1.905,1.91,1.905,1.909,479.2,1688233499999,914.0718,26,402.7,768.2451,0
1688233500000,1.907,1.909,1.902,1.904,1947.0,1688234399999,3707.1198,37,207.4,395.2128,0
1688234400000,1.903,1.909,1.9,1.906,596.4,1688235299999,1136.0037,24,397.7,757.6759,0
1688235300000,1.905,1.909,1.902,1.906,276.1,1688236199999,526.0635,32,161.6,308.1239,0
1688236200000,1.905,1.911,1.9,1.9,379.5,1688237099999,722.5009,13,122.2,233.4443,0
