open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1706745600000,0.4976,0.4995,0.4946,0.4992,3595888.7,1706746499999,1789198.19983,2714,1380380.8,687477.34513,0
1706746500000,0.4992,0.4998,0.4974,0.4979,954841.6,1706747399999,476010.97104,930,470060.3,234375.0836,0
1706747400000,0.4978,0.4985,0.4953,0.4972,992381.8,1706748299999,493119.2124,1414,541710.9,269168.82857,0
1706748300000,0.4973,0.4995,0.4973,0.4989,664952.1,1706749199999,331589.53695,1325,406561.1,202720.21129,0
1706749200000,0.4989,0.499,0.4936,0.4942,817137.2,1706750099999,405014.40029,1330,423091.4,209635.49916,0
1706750100000,0.4942,0.4943,0.488,0.4908,5261835.8,1706750999999,2582007.36296,5757,1924497.6,944356.0139,0
1706751000000,0.491,0.4922,0.4871,0.4895,3574147.7,1706751899999,1747924.82789,4189,1689902.7,826114.63817,0
1706751900000,0.4895,0.4907,0.4858,0.4873,1318447.4,1706752799999,642778.08194,2373,462826.0,225720.74113,0
1706752800000,0.4874,0.4911,0.4868,0.4909,1575864.5,1706753699999,770953.19345,1843,849784.5,415803.94301,0
1706753700000,0.4908,0.4924,0.4904,0.4921,1327005.9,1706754599999,652061.83777,1138,471241.1,231715.45043,0
1706754600000,0.492,0.4927,0.4906,0.4926,590860.2,1706755499999,290564.26941,966,380041.4,186898.81128,0
1706755500000,0.4926,0.4928,0.4912,0.4921,466302.9,1706756399999,229440.41094,890,173735.7,85472.88996,0
1706756400000,0.4921,0.4932,0.4915,0.4926,619908.3,1706757299999,305290.82276,787,270514.1,133240.44875,0
1706757300000,0.4926,0.4927,0.4913,0.4925,406939.0,1706758199999,200206.0934,676,148595.5,73111.54151,0
1706758200000,0.4925,0.4946,0.4909,0.4935,1536602.0,1706759099999,758332.01893,1413,922449.6,455319.95367,0
1706759100000,0.4935,0.4941,0.4911,0.4917,1066072.5,1706759999999,525337.09953,1266,596154.2,293803.31146,0
1706760000000,0.4916,0.4929,0.4911,0.4921,673422.1,1706760899999,331323.02304,816,281361.7,138429.28161,0
1706760900000,0.4922,0.4929,0.4914,0.4921,539698.3,1706761799999,265521.00941,603,248008.2,122029.93202,0
1706761800000,0.4922,0.4928,0.4895,0.4919,1857549.4,1706762699999,912984.87411,1734,1031158.5,506740.88756,0
1706762700000,0.4919,0.4932,0.491,0.4913,925516.9,1706763599999,455214.61606,1083,598174.0,294229.05065,0
1706763600000,0.4913,0.4921,0.4902,0.4918,522582.1,1706764499999,256710.2534,723,253023.7,124321.9128,0
1706764500000,0.4918,0.4923,0.4891,0.4893,609947.6,1706765399999,299205.68566,794,211599.2,103826.5272,0
1706765400000,0.4893,0.4901,0.488,0.4891,1044985.7,1706766299999,510607.86635,1052,360138.4,176054.9064,0
1706766300000,0.4891,0.4905,0.489,0.4903,402574.0,1706767199999,197217.86643,616,234982.4,115106.65549,0
1706767200000,0.4904,0.4908,0.4894,0.4905,468367.2,1706768099999,229597.78618,569,251433.4,123254.50335,0
1706768100000,0.4905,0.4906,0.4878,0.4886,883592.1,1706768999999,431720.54455,854,562141.6,274623.27634,0
1706769000000,0.4886,0.4913,0.4883,0.4911,1258842.6,1706769899999,616562.16636,1301,545524.8,267285.41195,0
1706769900000,0.4912,0.4918,0.4902,0.4911,974043.6,1706770799999,478289.7984,1066,307147.2,150856.22186,0
1706770800000,0.4911,0.4913,0.4898,0.4912,535181.9,1706771699999,262460.18233,583,262989.2,128998.54118,0
1706771700000,0.4912,0.4922,0.491,0.4916,1056834.5,1706772599999,519746.33592,758,350894.1,172550.50676,0
1706772600000,0.4915,0.4934,0.491,0.4925,946415.2,1706773499999,466000.512,949,625697.5,308083.695,0
1706773500000,0.4925,0.4932,0.4906,0.491,656824.9,1706774399999,323042.59288,967,270168.8,132951.9931,0
1706774400000,0.491,0.4924,0.4901,0.4908,627601.9,1706775299999,308361.32098,814,281812.1,138390.90556,0
1706775300000,0.4909,0.4918,0.4905,0.4912,341980.2,1706776199999,167963.06181,532,187883.1,92282.07665,0
1706776200000,0.4911,0.4935,0.4908,0.4935,650976.0,1706777099999,320125.87539,881,227276.4,111833.40049,0
1706777100000,0.4934,0.4937,0.4922,0.4937,303312.4,1706777999999,149538.69553,938,151480.5,74671.42784,0
1706778000000,0.4937,0.4943,0.4923,0.4931,511368.3,1706778899999,252291.26386,877,158144.4,78025.79743,0
1706778900000,0.4931,0.4968,0.4931,0.4947,1412631.4,1706779799999,699317.92725,1674,749426.5,370993.48538,0
1706779800000,0.4948,0.4949,0.4922,0.4923,655983.9,1706780699999,323373.29647,965,282901.1,139445.5438,0
1706780700000,0.4922,0.4929,0.4913,0.4928,608815.2,1706781599999,299516.00094,865,322710.0,158735.92307,0
1706781600000,0.4928,0.4935,0.4916,0.4933,416844.5,1706782499999,205292.2871,541,191973.9,94546.17999,0
1706782500000,0.4933,0.4946,0.493,0.4938,604480.8,1706783399999,298586.41033,601,380276.6,187831.23123,0
