open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717200000000,1.343,1.352,1.341,1.35,13261.7,1717200899999,17866.4989,268,10901.0,14688.5647,0
1717200900000,1.35,1.351,1.343,1.348,21533.1,1717201799999,29003.8777,193,4895.4,6594.3961,0
1717201800000,1.348,1.353,1.347,1.351,6116.8,1717202699999,8255.907,297,3102.9,4189.123,0
1717202700000,1.351,1.358,1.349,1.352,4944.5,1717203599999,6692.5918,251,2301.2,3115.4493,0
1717203600000,1.353,1.356,1.348,1.351,9718.5,1717204499999,13138.0483,301,7034.2,9508.2304,0
1717204500000,1.351,1.353,1.349,1.352,10199.6,1717205399999,13779.0297,214,6228.2,8412.3015,0
1717205400000,1.352,1.352,1.344,1.347,4223.6,1717206299999,5686.9778,198,2594.4,3492.4326,0
1717206300000,1.349,1.351,1.347,1.349,2404.5,1717207199999,3243.8441,179,1239.7,1672.6838,0
1717207200000,1.349,1.35,1.339,1.343,6233.1,1717208099999,8375.0151,173,1533.9,2060.0766,0
1717208100000,1.343,1.35,1.342,1.347,13082.6,1717208999999,17621.6876,247,9151.3,12323.1507,0
1717209000000,1.347,1.359,1.347,1.356,5194.8,1717209899999,7027.1448,261,3586.0,4848.0715,0
1717209900000,1.356,1.358,1.352,1.352,4268.3,1717210799999,5779.6027,230,980.4,1327.942,0
1717210800000,1.352,1.352,1.336,1.336,10432.1,1717211699999,14003.3141,210,1577.1,2114.479,0
1717211700000,1.338,1.34,1.332,1.339,9368.3,1717212599999,12512.4103,242,5173.1,6913.6178,0
1717212600000,1.339,1.353,1.339,1.348,9250.2,1717213499999,12448.7522,233,7585.9,10207.0625,0
1717213500000,1.348,1.348,1.343,1.344,3977.0,1717214399999,5350.7858,161,2320.3,3122.4185,0
1717214400000,1.343,1.353,1.34,1.347,14196.2,1717215299999,19088.8226,270,6479.3,8707.8274,0
1717215300000,1.348,1.352,1.347,1.347,5191.2,1717216199999,7000.0153,148,3128.2,4218.7096,0
1717216200000,1.347,1.348,1.341,1.341,3728.5,1717217099999,5013.3085,199,1116.5,1502.5425,0
1717217100000,1.341,1.346,1.34,1.344,9098.7,1717217999999,12217.0812,225,4700.3,6314.8201,0
1717218000000,1.343,1.348,1.342,1.347,2384.3,1717218899999,3207.0334,127,1326.5,1785.6289,0
1717218900000,1.347,1.349,1.34,1.341,4700.8,1717219799999,6317.2248,130,934.1,1257.781,0
1717219800000,1.34,1.351,1.34,1.347,4898.1,1717220699999,6587.0337,243,3174.1,4270.5095,0
1717220700000,1.348,1.348,1.341,1.343,2906.5,1717221599999,3906.7503,192,918.4,1234.4754,0
1717221600000,1.342,1.349,1.341,1.348,5886.6,1717222499999,7919.8089,180,3064.3,4123.093,0
1717222500000,1.347,1.353,1.346,1.35,4760.2,1717223399999,6428.3977,130,3479.8,4699.4941,0
1717223400000,1.351,1.355,1.35,1.352,9281.2,1717224299999,12552.5519,212,6888.2,9316.4238,0
1717224300000,1.351,1.352,1.347,1.352,6865.4,1717225199999,9263.2033,196,3834.3,5174.2637,0
1717225200000,1.352,1.358,1.35,1.356,5212.5,1717226099999,7060.5074,166,1825.9,2473.6907,0
1717226100000,1.355,1.356,1.352,1.355,3324.2,1717226999999,4498.5764,138,2638.4,3570.1974,0
1717227000000,1.355,1.362,1.353,1.358,8358.7,1717227899999,11355.7104,327,3533.5,4800.6715,0
1717227900000,1.357,1.372,1.356,1.362,32565.5,1717228799999,44468.7845,621,26336.3,35977.3808,0
1717228800000,1.361,1.369,1.361,1.368,9238.2,1717229699999,12619.4082,237,4748.7,6489.552,0
1717229700000,1.369,1.371,1.359,1.36,8980.4,1717230599999,12244.7411,204,3662.9,4994.0339,0
1717230600000,1.36,1.365,1.353,1.365,8169.6,1717231499999,11082.3943,280,4968.7,6743.3139,0
1717231500000,1.365,1.368,1.36,1.365,8381.6,1717232399999,11421.7349,365,1529.6,2086.8396,0
1717232400000,1.366,1.372,1.364,1.368,7286.7,1717233299999,9970.5921,235,4330.9,5927.6946,0
