open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717200000000,0.1803,0.1807,0.1796,0.1802,258220.3,1717200899999,46554.29076,1037,80695.7,14555.72397,0
1717200900000,0.1802,0.1802,0.1798,0.1798,75821.9,1717201799999,13637.26448,148,8484.8,1526.69753,0
1717201800000,0.1799,0.1801,0.1798,0.1799,63502.0,1717202699999,11426.34825,204,13709.4,2467.79067,0
1717202700000,0.1799,0.1802,0.1791,0.1791,182616.8,1717203599999,32805.9599,409,11034.6,1984.33088,0
1717203600000,0.1792,0.1793,0.1786,0.179,260841.1,1717204499999,46681.25433,1012,28394.7,5085.18179,0
1717204500000,0.1791,0.1793,0.1786,0.1787,41258.5,1717205399999,7378.1673,147,13918.7,2490.41421,0
1717205400000,0.1787,0.1788,0.1785,0.1786,63190.8,1717206299999,11288.71015,157,20703.8,3699.8084,0
1717206300000,0.1785,0.1788,0.1778,0.1778,247131.3,1717207199999,44042.55978,561,41257.0,7358.98633,0
1717207200000,0.1779,0.1779,0.1773,0.1778,221999.6,1717208099999,39413.47229,705,20314.1,3609.52657,0
1717208100000,0.1778,0.1778,0.1772,0.1774,39225.4,1717208999999,6957.07248,179,10190.9,1807.84826,0
1717209000000,0.1775,0.1776,0.1761,0.1765,139066.9,1717209899999,24587.72066,371,25753.7,4561.49675,0
1717209900000,0.1765,0.177,0.1754,0.1754,124876.5,1717210799999,22013.25523,524,39021.7,6887.69861,0
1717210800000,0.1754,0.1762,0.1753,0.1758,137955.2,1717211699999,24247.99763,828,51733.9,9096.60529,0
1717211700000,0.1759,0.1759,0.1751,0.1751,33329.0,1717212599999,5845.00854,202,9693.4,1699.652,0
1717212600000,0.1751,0.1756,0.1745,0.1746,155352.1,1717213499999,27172.82047,462,63257.5,11073.15922,0
1717213500000,0.1745,0.1746,0.1734,0.1734,145816.7,1717214399999,25356.22446,556,68334.6,11884.0491,0
1717214400000,0.1735,0.1749,0.1728,0.1747,336235.3,1717215299999,58424.55923,1133,194997.7,33935.98413,0
1717215300000,0.1748,0.1755,0.1745,0.1753,150502.2,1717216199999,26334.14144,331,87989.4,15394.37502,0
1717216200000,0.1753,0.176,0.1751,0.1759,74956.0,1717217099999,13159.18725,151,47957.3,8418.68822,0
1717217100000,0.1759,0.1771,0.1759,0.1766,108529.7,1717217999999,19165.98775,401,45992.7,8125.74292,0
1717218000000,0.1767,0.177,0.176,0.1767,194027.1,1717218899999,34247.542,746,86811.0,15327.87762,0
1717218900000,0.1767,0.1768,0.175,0.175,47604.9,1717219799999,8374.75161,207,6979.8,1228.7559,0
1717219800000,0.175,0.1753,0.1745,0.1745,105939.0,1717220699999,18531.34526,253,26176.4,4582.28488,0
1717220700000,0.1745,0.1749,0.1741,0.1746,109217.3,1717221599999,19070.06391,462,64510.6,11267.71142,0
