open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1706745600000,1.393,1.415,1.393,1.414,105681.9,1706746499999,148533.1072,692,69298.44,97377.49474,0
1706746500000,1.414,1.419,1.409,1.411,92059.34,1706747399999,130186.22955,561,48635.95,68776.91989,0
1706747400000,1.412,1.412,1.397,1.399,49039.23,1706748299999,68840.78452,410,12932.56,18159.417,0
1706748300000,1.399,1.411,1.399,1.409,46331.4,1706749199999,65086.39921,369,29005.33,40731.34165,0
1706749200000,1.409,1.409,1.396,1.397,55503.98,1706750099999,77682.86027,506,18635.32,26088.0169,0
1706750100000,1.398,1.398,1.376,1.392,252597.56,1706750999999,349770.345,1462,95289.05,131917.50961,0
1706751000000,1.393,1.398,1.385,1.398,143885.33,1706751899999,200475.90367,782,64485.19,89854.39563,0
1706751900000,1.398,1.401,1.376,1.384,92636.48,1706752799999,128490.8472,631,28164.8,39035.05962,0
1706752800000,1.384,1.402,1.383,1.399,154239.12,1706753699999,214729.39338,586,83209.16,115868.26674,0
1706753700000,1.4,1.406,1.399,1.402,200689.61,1706754599999,281454.82115,609,90716.48,127234.07135,0
1706754600000,1.402,1.42,1.4,1.419,169785.62,1706755499999,238918.67464,845,62118.29,87632.04438,0
1706755500000,1.419,1.434,1.417,1.424,218942.22,1706756399999,312024.20099,1178,119320.84,170119.73783,0
1706756400000,1.424,1.433,1.418,1.432,120466.41,1706757299999,171669.5838,574,73532.24,104828.84133,0
1706757300000,1.432,1.433,1.419,1.424,73483.59,1706758199999,104614.71969,330,32723.26,46588.5994,0
1706758200000,1.424,1.433,1.419,1.428,138974.27,1706759099999,198008.15353,516,76667.17,109176.63242,0
1706759100000,1.428,1.431,1.417,1.418,86129.23,1706759999999,122591.44289,361,39820.07,56755.7973,0
1706760000000,1.417,1.426,1.416,1.426,56024.31,1706760899999,79572.94533,326,28372.63,40312.04139,0
1706760900000,1.426,1.448,1.426,1.434,645923.95,1706761799999,930229.28816,1846,358280.3,515585.56994,0
1706761800000,1.434,1.439,1.423,1.431,189740.59,1706762699999,271708.1302,1000,103928.38,148807.32915,0
1706762700000,1.43,1.44,1.425,1.438,227012.97,1706763599999,325098.42231,750,126609.96,181544.49158,0
1706763600000,1.437,1.449,1.437,1.449,173521.1,1706764499999,250483.32246,813,95682.14,138161.07764,0
1706764500000,1.448,1.453,1.439,1.439,209956.65,1706765399999,303391.71844,1031,108491.99,156862.56379,0
1706765400000,1.438,1.445,1.434,1.441,139562.52,1706766299999,201003.32108,752,52265.34,75294.60331,0
1706766300000,1.44,1.444,1.432,1.442,190681.84,1706767199999,274244.99953,727,69120.46,99449.01564,0
1706767200000,1.441,1.455,1.436,1.439,275430.43,1706768099999,398380.42606,1237,166402.79,240595.89899,0
1706768100000,1.439,1.439,1.423,1.424,124041.59,1706768999999,177361.40343,827,44518.25,63706.79316,0
1706769000000,1.423,1.432,1.422,1.427,98309.97,1706769899999,140258.56692,498,53608.81,76510.87121,0
1706769900000,1.427,1.43,1.426,1.429,50578.23,1706770799999,72174.09214,263,22239.33,31740.57656,0
1706770800000,1.428,1.428,1.423,1.425,48448.5,1706771699999,69030.1464,252,22194.14,31621.61005,0
1706771700000,1.425,1.425,1.417,1.423,135883.72,1706772599999,193149.87918,637,62673.69,89108.60721,0
1706772600000,1.423,1.434,1.422,1.433,91582.85,1706773499999,130821.48291,416,71602.98,102310.46117,0
1706773500000,1.433,1.438,1.425,1.426,81999.27,1706774399999,117437.2773,435,41263.57,59102.27599,0
1706774400000,1.426,1.426,1.414,1.421,89769.0,1706775299999,127434.60497,504,34715.55,49304.9331,0
1706775300000,1.42,1.429,1.419,1.426,55042.43,1706776199999,78413.42037,256,39741.51,56629.60704,0
1706776200000,1.426,1.428,1.421,1.428,76682.0,1706777099999,109162.37704,364,36880.2,52506.16499,0
1706777100000,1.427,1.44,1.426,1.44,131338.09,1706777999999,188173.37054,549,95166.25,136379.14511,0
1706778000000,1.44,1.447,1.436,1.438,149091.55,1706778899999,214985.5136,766,94167.09,135859.82757,0
1706778900000,1.437,1.464,1.436,1.459,379074.59,1706779799999,550526.23867,1440,239269.71,347667.86011,0
1706779800000,1.458,1.479,1.458,1.463,696486.07,1706780699999,1023271.39203,3023,393021.57,577484.4384,0
1706780700000,1.463,1.488,1.459,1.485,617077.64,1706781599999,910126.31669,2776,420118.46,619550.69466,0
1706781600000,1.485,1.494,1.476,1.481,685003.25,1706782499999,1018217.94663,2520,395614.8,588490.02147,0
1706782500000,1.48,1.506,1.48,1.497,693295.73,1706783399999,1037355.26083,2717,406115.51,607682.00202,0
1706783400000,1.497,1.505,1.489,1.49,483774.0,1706784299999,724903.28269,2125,230296.01,345202.32087,0
1706784300000,1.489,1.51,1.487,1.507,388580.23,1706785199999,583583.45697,1812,229569.3,344785.57112,0
1706785200000,1.507,1.511,1.494,1.5,678488.05,1706786099999,1020063.45069,2228,308650.08,464338.34128,0
1706786100000,1.499,1.512,1.488,1.494,470363.78,1706786999999,705223.6803,1773,245069.39,367689.94795,0
1706787000000,1.493,1.509,1.491,1.5,256090.74,1706787899999,384499.76309,1184,149750.17,224998.4035,0
1706787900000,1.5,1.505,1.491,1.493,337240.54,1706788799999,505377.88445,1272,149463.6,224202.62765,0
1706788800000,1.493,1.499,1.481,1.496,645616.91,1706789699999,961885.80083,2102,287957.19,429266.41883,0
1706789700000,1.497,1.521,1.497,1.516,1101181.38,1706790599999,1666831.67791,3127,647788.72,979683.46008,0
1706790600000,1.517,1.527,1.515,1.52,862316.05,1706791499999,1310195.33121,2733,491879.39,748097.90558,0
1706791500000,1.519,1.528,1.519,1.523,332903.81,1706792399999,507041.08616,1412,159434.29,242836.62976,0
1706792400000,1.523,1.527,1.516,1.522,578389.82,1706793299999,879528.01676,1954,298349.2,453682.31557,0
1706793300000,1.521,1.522,1.515,1.516,295403.82,1706794199999,448312.22766,887,135332.0,205414.63803,0
1706794200000,1.517,1.538,1.517,1.521,349254.26,1706795099999,532726.62556,1677,219424.88,334830.08897,0
1706795100000,1.52,1.526,1.51,1.514,394629.28,1706795999999,598518.94187,1527,179675.97,272595.42466,0
1706796000000,1.513,1.513,1.498,1.501,882366.4,1706796899999,1328021.43163,2102,316310.09,476104.19498,0
1706796900000,1.501,1.51,1.501,1.503,388185.28,1706797799999,584363.01199,1196,202787.42,305331.63738,0
1706797800000,1.502,1.52,1.5,1.511,589965.76,1706798699999,892787.95218,1700,376170.79,569373.2481,0
1706798700000,1.51,1.515,1.502,1.506,188802.22,1706799599999,284862.81297,826,85197.4,128533.53108,0
1706799600000,1.506,1.514,1.492,1.498,678166.54,1706800499999,1017801.01469,1689,255359.95,383473.88623,0
1706800500000,1.499,1.5,1.488,1.497,932144.89,1706801399999,1393063.68688,1796,378310.92,565257.96328,0
1706801400000,1.497,1.508,1.496,1.502,343454.79,1706802299999,515444.93179,1042,122353.9,183706.6682,0
1706802300000,1.502,1.508,1.498,1.501,180223.16,1706803199999,270880.89917,849,103025.95,154882.45716,0
1706803200000,1.5,1.501,1.487,1.487,242934.42,1706804099999,362696.05935,876,72172.27,107866.36663,0
1706804100000,1.488,1.493,1.484,1.488,196867.95,1706804999999,292894.02325,736,83707.8,124558.21147,0
1706805000000,1.488,1.494,1.474,1.487,323367.53,1706805899999,480149.33842,1292,126234.56,187556.15516,0
1706805900000,1.486,1.491,1.477,1.48,269489.15,1706806799999,399619.00201,786,127345.09,188876.27827,0
1706806800000,1.48,1.489,1.475,1.481,283415.02,1706807699999,419897.32792,825,115782.42,171539.91759,0
1706807700000,1.481,1.488,1.477,1.484,127436.47,1706808599999,188955.44624,567,58791.12,87168.2029,0
1706808600000,1.485,1.498,1.484,1.498,178937.59,1706809499999,266734.05797,625,114382.03,170571.35668,0
1706809500000,1.498,1.499,1.488,1.49,153132.46,1706810399999,228631.1298,514,69466.43,103697.74584,0
1706810400000,1.489,1.498,1.486,1.498,113202.42,1706811299999,168828.85618,438,78946.72,117765.56216,0
1706811300000,1.498,1.503,1.49,1.495,354446.25,1706812199999,531107.52555,830,250814.24,375834.0585,0
1706812200000,1.496,1.509,1.496,1.5,120442.7,1706813099999,181013.09844,581,68992.81,103701.13608,0
