open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717200000000,3.076,3.086,3.074,3.076,8847.16,1717200899999,27233.69341,230,3948.45,12160.67991,0
1717200900000,3.077,3.077,3.046,3.052,35693.86,1717201799999,109175.19039,1272,7789.99,23811.29382,0
1717201800000,3.058,3.067,3.048,3.06,10805.93,1717202699999,33034.85902,210,6586.85,20151.16609,0
1717202700000,3.061,3.062,3.049,3.051,6218.15,1717203599999,18987.50719,141,1087.42,3323.40124,0
1717203600000,3.053,3.056,3.032,3.047,16387.41,1717204499999,49862.58464,356,9615.22,29274.39639,0
1717204500000,3.047,3.065,3.046,3.063,15161.33,1717205399999,46325.12523,289,9486.66,28984.76571,0
1717205400000,3.063,3.063,3.035,3.054,23763.74,1717206299999,72490.69212,706,8712.28,26576.15774,0
1717206300000,3.054,3.068,3.051,3.066,17320.34,1717207199999,52957.53334,525,9915.86,30306.74804,0
1717207200000,3.068,3.097,3.066,3.066,55381.99,1717208099999,170710.26886,870,24754.55,76440.10806,0
1717208100000,3.066,3.087,3.054,3.086,9931.67,1717208999999,30489.81053,262,7453.44,22899.53433,0
1717209000000,3.086,3.088,3.068,3.076,15480.1,1717209899999,47663.07675,296,2161.95,6659.57977,0
1717209900000,3.079,3.098,3.079,3.087,9589.79,1717210799999,29642.23,302,5229.47,16156.96809,0
1717210800000,3.087,3.099,3.072,3.075,12733.66,1717211699999,39281.96701,292,6039.31,18643.53456,0
1717211700000,3.074,3.078,3.066,3.066,4703.41,1717212599999,14446.81025,154,2839.18,8722.08389,0
1717212600000,3.068,3.071,3.057,3.062,6031.44,1717213499999,18474.01996,174,2981.53,9132.34192,0
1717213500000,3.061,3.07,3.056,3.061,3108.0,1717214399999,9517.3565,114,1463.1,4481.51981,0
1717214400000,3.062,3.076,3.056,3.073,7160.34,1717215299999,21965.55284,192,5623.83,17249.0022,0
1717215300000,3.071,3.085,3.066,3.066,10243.82,1717216199999,31541.2533,220,7927.78,24419.97875,0
1717216200000,3.066,3.094,3.061,3.08,34591.41,1717217099999,106300.16338,310,27052.35,83073.07094,0
1717217100000,3.08,3.102,3.08,3.097,18626.22,1717217999999,57674.0493,410,13435.44,41608.56971,0
1717218000000,3.097,3.097,3.077,3.082,10067.28,1717218899999,31045.06701,210,1511.3,4661.15575,0
1717218900000,3.081,3.081,3.065,3.071,13628.51,1717219799999,41895.63044,234,3174.35,9757.02069,0
1717219800000,3.071,3.086,3.052,3.085,30156.81,1717220699999,92348.2569,568,15275.4,46795.09968,0
1717220700000,3.085,3.097,3.075,3.088,17558.18,1717221599999,54172.89467,384,10668.13,32933.69074,0
1717221600000,3.088,3.093,3.063,3.063,16899.59,1717222499999,51982.65029,242,3983.59,12294.19065,0
1717222500000,3.064,3.068,3.054,3.063,10790.59,1717223399999,33049.49727,221,7550.27,23126.5596,0
1717223400000,3.063,3.063,3.049,3.051,4847.97,1717224299999,14797.95334,120,781.75,2386.52415,0
1717224300000,3.052,3.057,3.043,3.055,4710.21,1717225199999,14365.93504,124,1429.57,4360.03332,0
1717225200000,3.056,3.083,3.047,3.079,31979.55,1717226099999,97969.79952,599,25304.67,77496.47712,0
1717226100000,3.08,3.08,3.065,3.074,17724.2,1717226999999,54457.45583,346,10325.21,31718.88468,0
1717227000000,3.075,3.086,3.065,3.073,15115.41,1717227899999,46493.67934,296,9905.56,30498.64509,0
1717227900000,3.072,3.084,3.06,3.062,16527.16,1717228799999,50813.76086,338,8345.74,25662.45686,0
1717228800000,3.063,3.079,3.062,3.079,6717.86,1717229699999,20613.61472,163,4434.56,13605.55832,0
1717229700000,3.078,3.1,3.074,3.095,10070.02,1717230599999,31119.70566,266,6676.7,20646.14013,0
1717230600000,3.097,3.097,3.064,3.074,14582.52,1717231499999,44896.00555,387,2935.84,9038.32847,0
1717231500000,3.074,3.081,3.064,3.077,9248.16,1717232399999,28404.95605,240,5122.0,15736.78499,0
1717232400000,3.076,3.082,3.064,3.069,17795.12,1717233299999,54669.47392,362,3758.54,11555.19841,0
1717233300000,3.069,3.075,3.049,3.052,15928.66,1717234199999,48756.17078,276,2449.28,7508.64266,0
1717234200000,3.052,3.067,3.049,3.065,5426.11,1717235099999,16600.02086,148,3469.01,10618.67082,0
1717235100000,3.065,3.071,3.058,3.058,3296.12,1717235999999,10097.8775,130,953.44,2923.55211,0
1717236000000,3.058,3.08,3.058,3.07,4569.26,1717236899999,14034.55541,147,2775.63,8524.78763,0
