open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1696118400000,0.9076,0.9098,0.9063,0.9084,329489.2,1696119299999,299121.35695,703,112418.4,102046.26558,0
1696119300000,0.9085,0.9104,0.9082,0.9101,416219.6,1696120199999,378665.4224,567,336215.9,305913.4464,0
1696120200000,0.9101,0.9123,0.9079,0.9111,151053.4,1696121099999,137499.08429,624,56650.5,51569.65769,0
1696121100000,0.9108,0.9118,0.9089,0.9118,135852.1,1696121999999,123726.57866,421,29334.3,26711.69425,0
1696122000000,0.9117,0.9132,0.9117,0.913,128595.2,1696122899999,117345.18207,442,67164.1,61283.53852,0
1696122900000,0.9131,0.916,0.9122,0.9155,106645.1,1696123799999,97440.54165,456,69862.5,63829.94467,0
1696123800000,0.9155,0.9157,0.9141,0.9153,101023.3,1696124699999,92410.6435,331,57172.0,52299.52256,0
1696124700000,0.9152,0.9162,0.9141,0.9142,92906.9,1696125599999,85017.67387,284,37611.7,34422.20964,0
1696125600000,0.9142,0.9187,0.9142,0.918,330376.4,1696126499999,303021.76772,814,216359.1,198418.06488,0
1696126500000,0.918,0.9196,0.9178,0.9178,186427.4,1696127399999,171291.42011,533,90217.2,82893.00933,0
1696127400000,0.9178,0.9181,0.9122,0.914,197565.7,1696128299999,180637.44061,724,106029.0,96914.52843,0
1696128300000,0.9141,0.9179,0.9141,0.9164,98525.1,1696129199999,90265.99772,389,48706.3,44633.56114,0
1696129200000,0.9164,0.9168,0.914,0.9142,123666.7,1696130099999,113144.52704,443,53993.6,49401.01901,0
1696130100000,0.9142,0.9192,0.9139,0.9191,194541.6,1696130999999,178377.29175,584,127966.3,117349.33446,0
1696131000000,0.9191,0.9221,0.919,0.9208,314782.3,1696131899999,289855.44305,972,193008.0,177712.36229,0
1696131900000,0.9209,0.925,0.9204,0.9244,512050.0,1696132799999,472633.46321,1043,387261.6,357415.06098,0
1696132800000,0.9243,0.928,0.924,0.9243,389864.9,1696133699999,360923.62542,1259,227809.0,210923.21357,0
1696133700000,0.9243,0.9262,0.922,0.9223,355879.0,1696134599999,329018.31842,755,124245.1,114877.0859,0
1696134600000,0.9225,0.9231,0.9212,0.9222,161780.4,1696135499999,149161.39207,386,46684.2,43047.08483,0
1696135500000,0.9222,0.9242,0.9222,0.923,79809.9,1696136399999,73661.94194,316,38970.0,35963.14774,0
1696136400000,0.923,0.9268,0.9221,0.9268,117457.1,1696137299999,108591.00525,516,69615.0,64363.4431,0
1696137300000,0.9267,0.9459,0.9243,0.9366,1813706.9,1696138199999,1700091.51182,7273,1076158.2,1008535.53185,0
1696138200000,0.9365,0.9395,0.935,0.935,854702.6,1696139099999,800884.2279,2320,352996.2,330760.61236,0
1696139100000,0.9351,0.9377,0.9336,0.9369,454384.7,1696139999999,425085.6766,1006,286836.3,268367.43026,0
1696140000000,0.9368,0.9379,0.9345,0.9352,318435.8,1696140899999,298011.40305,918,166561.0,155897.6927,0
1696140900000,0.9353,0.9358,0.9325,0.933,227791.9,1696141799999,212674.63244,725,95656.4,89308.53736,0
1696141800000,0.9329,0.9371,0.9324,0.9342,340733.7,1696142699999,318614.15526,852,186168.0,174112.07984,0
1696142700000,0.9341,0.9368,0.9341,0.9347,315623.3,1696143599999,295160.2264,656,221569.7,207157.68276,0
