open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1756684800000000,0.0444,0.0446,0.0444,0.0444,181078.0,1756685699999999,8049.1036,92,104642.0,4654.2882,0
1756685700000000,0.0445,0.0445,0.0442,0.0442,67074.0,1756686599999999,2971.3507,41,34879.0,1543.4977,0
1756686600000000,0.0443,0.0444,0.0441,0.0443,76673.0,1756687499999999,3388.5743,41,9967.0,440.8351,0
1756687500000000,0.0443,0.0444,0.0441,0.0442,178947.0,1756688399999999,7910.51,91,28271.0,1249.8098,0
1756688400000000,0.0441,0.0443,0.0437,0.0438,217443.0,1756689299999999,9588.3911,177,140869.0,6220.69,0
1756689300000000,0.0438,0.0442,0.0438,0.044,59166.0,1756690199999999,2598.409,59,14156.0,623.1381,0
1756690200000000,0.044,0.0444,0.044,0.0443,101208.0,1756691099999999,4482.918,35,24746.0,1096.0786,0
1756691100000000,0.0443,0.0443,0.044,0.0441,79395.0,1756691999999999,3511.5247,39,59365.0,2627.9091,0
1756692000000000,0.044,0.0441,0.0438,0.0439,13849.0,1756692899999999,608.9629,13,2678.0,117.5642,0
1756692900000000,0.0438,0.0439,0.0434,0.0436,120265.0,1756693799999999,5254.3298,83,34607.0,1512.9227,0
1756693800000000,0.0436,0.0438,0.0436,0.0438,49587.0,1756694699999999,2167.4575,23,35543.0,1554.322,0
1756694700000000,0.0436,0.0436,0.0433,0.0434,142815.0,1756695599999999,6209.6169,91,92231.0,4010.9779,0
1756695600000000,0.0434,0.0437,0.0433,0.0436,47030.0,1756696499999999,2048.8957,43,34981.0,1524.3386,0
1756696500000000,0.0436,0.0437,0.0435,0.0435,105671.0,1756697399999999,4607.6307,59,11214.0,489.3486,0
1756697400000000,0.0437,0.0439,0.0436,0.0438,106278.0,1756698299999999,4647.9867,59,55238.0,2417.0591,0
1756698300000000,0.0437,0.0439,0.0437,0.0439,94925.0,1756699199999999,4157.1277,26,49402.0,2165.8964,0
1756699200000000,0.0438,0.0439,0.0437,0.0438,38005.0,1756700099999999,1662.7045,17,29057.0,1271.4454,0
1756700100000000,0.0438,0.0438,0.0435,0.0437,35055.0,1756700999999999,1530.7258,34,8468.0,370.4214,0
1756701000000000,0.0435,0.0435,0.0434,0.0435,62224.0,1756701899999999,2701.2157,36,4894.0,212.889,0
1756701900000000,0.0434,0.0435,0.0433,0.0435,104303.0,1756702799999999,4527.0937,70,76966.0,3342.5795,0
1756702800000000,0.0434,0.0436,0.0434,0.0434,40349.0,1756703699999999,1757.4338,33,27913.0,1216.5792,0
1756703700000000,0.0435,0.0437,0.0435,0.0437,69515.0,1756704599999999,3029.2344,25,41689.0,1815.8761,0
1756704600000000,0.0436,0.0439,0.0436,0.0439,15365.0,1756705499999999,670.1688,26,9486.0,413.8444,0
1756705500000000,0.0438,0.0439,0.0436,0.0439,40688.0,1756706399999999,1778.4852,11,1338.0,58.7382,0
