open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1717200000000,7.411,7.43,7.408,7.423,3976.75,1717200899999,29504.67042,274,1142.82,8476.65632,0
1717200900000,7.421,7.421,7.4,7.413,5381.13,1717201799999,39854.36718,266,3765.88,27883.39617,0
1717201800000,7.415,7.425,7.412,7.416,2512.39,1717202699999,18633.28777,131,1678.51,12446.93194,0
1717202700000,7.417,7.427,7.417,7.425,1176.55,1717203599999,8732.20905,145,373.5,2772.11766,0
1717203600000,7.426,7.441,7.406,7.413,5115.43,1717204499999,37989.27632,246,4085.68,30349.22703,0
1717204500000,7.421,7.432,7.408,7.414,4810.85,1717205399999,35694.73833,393,2708.1,20095.98989,0
1717205400000,7.413,7.418,7.395,7.4,1361.89,1717206299999,10080.04584,131,559.06,4137.57829,0
1717206300000,7.404,7.411,7.401,7.408,1112.98,1717207199999,8244.28205,94,654.09,4845.37107,0
1717207200000,7.405,7.443,7.405,7.426,2883.94,1717208099999,21415.95256,142,2289.82,17003.99024,0
1717208100000,7.42,7.426,7.415,7.419,1163.36,1717208999999,8632.86464,86,552.95,4104.55757,0
1717209000000,7.419,7.45,7.416,7.45,1911.56,1717209899999,14206.23726,180,850.14,6311.29202,0
1717209900000,7.451,7.453,7.442,7.45,748.33,1717210799999,5574.83079,76,392.1,2920.7961,0
1717210800000,7.449,7.469,7.44,7.442,3471.16,1717211699999,25881.19404,251,1142.41,8517.01368,0
1717211700000,7.443,7.454,7.436,7.444,2751.67,1717212599999,20493.18209,210,1224.36,9120.8387,0
1717212600000,7.444,7.462,7.443,7.461,2517.83,1717213499999,18770.1836,150,1730.87,12902.13793,0
1717213500000,7.461,7.461,7.442,7.449,1283.97,1717214399999,9570.5888,79,339.35,2529.56829,0
1717214400000,7.449,7.465,7.441,7.462,4459.25,1717215299999,33246.99867,207,3221.97,24025.02432,0
1717215300000,7.463,7.465,7.441,7.443,437.32,1717216199999,3257.79437,67,166.0,1236.06309,0
1717216200000,7.443,7.463,7.441,7.462,930.57,1717217099999,6936.89082,79,759.65,5663.78804,0
1717217100000,7.463,7.469,7.458,7.461,2199.28,1717217999999,16415.72297,146,394.47,2945.14251,0
1717218000000,7.461,7.466,7.455,7.466,1250.73,1717218899999,9331.6494,136,365.63,2728.66767,0
1717218900000,7.47,7.474,7.452,7.452,3068.3,1717219799999,22897.93084,236,1478.41,11033.4453,0
1717219800000,7.454,7.483,7.454,7.478,1675.49,1717220699999,12521.32522,168,1083.25,8094.89642,0
1717220700000,7.477,7.478,7.447,7.451,1502.4,1717221599999,11209.68187,178,175.14,1305.83987,0
1717221600000,7.448,7.451,7.435,7.449,1266.08,1717222499999,9424.09577,151,249.07,1854.48509,0
1717222500000,7.448,7.46,7.443,7.455,3982.76,1717223399999,29685.40991,159,2360.59,17600.9433,0
1717223400000,7.456,7.469,7.446,7.464,5676.18,1717224299999,42342.40943,280,3563.01,26579.00692,0
1717224300000,7.466,7.483,7.459,7.482,3446.19,1717225199999,25748.6937,231,2073.47,15498.20594,0
1717225200000,7.483,7.498,7.48,7.485,5794.54,1717226099999,43405.99791,366,2957.8,22153.8364,0
1717226100000,7.485,7.495,7.464,7.493,5111.53,1717226999999,38243.60482,254,3532.51,26434.79994,0
1717227000000,7.487,7.487,7.468,7.484,5475.29,1717227899999,40943.68862,203,3020.96,22592.2869,0
1717227900000,7.48,7.491,7.476,7.482,4446.8,1717228799999,33277.06982,165,2334.73,17470.56118,0
1717228800000,7.481,7.509,7.478,7.497,7270.07,1717229699999,54488.90783,341,3988.24,29894.50539,0
1717229700000,7.497,7.502,7.483,7.483,5052.57,1717230599999,37867.75746,224,1479.94,11094.12146,0
1717230600000,7.484,7.502,7.483,7.501,1107.61,1717231499999,8297.08943,113,764.23,5723.26293,0
1717231500000,7.499,7.51,7.488,7.5,1532.6,1717232399999,11488.54348,149,850.79,6377.25841,0
1717232400000,7.503,7.536,7.501,7.511,4590.74,1717233299999,34531.81305,415,2927.58,22018.57668,0
1717233300000,7.511,7.511,7.493,7.495,1347.84,1717234199999,10107.5055,155,584.52,4383.1999,0
1717234200000,7.494,7.517,7.488,7.505,2508.22,1717235099999,18815.20295,165,1014.64,7612.85424,0
1717235100000,7.504,7.519,7.502,7.513,2940.7,1717235999999,22085.46939,147,1799.69,13517.87085,0
1717236000000,7.515,7.53,7.515,7.529,2255.5,1717236899999,16968.46029,165,1038.95,7817.74293,0
1717236900000,7.53,7.539,7.507,7.511,5312.76,1717237799999,39982.69194,475,1683.56,12673.42363,0
1717237800000,7.51,7.537,7.508,7.535,3562.13,1717238699999,26790.0582,230,1829.53,13758.34046,0
1717238700000,7.535,7.544,7.525,7.533,4821.13,1717239599999,36313.12529,240,2516.34,18950.66064,0
1717239600000,7.533,7.539,7.525,7.534,3784.03,1717240499999,28509.46263,214,1876.22,14135.25983,0
1717240500000,7.534,7.543,7.529,7.54,2189.82,1717241399999,16502.32371,183,833.99,6285.39399,0
1717241400000,7.541,7.6,7.54,7.593,24985.68,1717242299999,189398.1928,1028,14215.8,107775.64464,0
1717242300000,7.593,7.615,7.581,7.595,21402.49,1717243199999,162621.81248,910,10804.84,82090.34682,0
1717243200000,7.595,7.649,7.58,7.634,23525.24,1717244099999,179387.11002,1180,12046.51,91900.57647,0
1717244100000,7.633,7.655,7.615,7.617,21312.88,1717244999999,162780.76074,874,9573.46,73120.07075,0
1717245000000,7.621,7.624,7.533,7.538,24859.78,1717245899999,187957.75333,1461,6199.75,46902.56675,0
1717245900000,7.537,7.557,7.529,7.54,10333.53,1717246799999,77942.17881,523,3859.62,29113.35198,0
1717246800000,7.545,7.57,7.537,7.562,5649.62,1717247699999,42687.4123,381,3282.43,24805.4388,0
1717247700000,7.564,7.576,7.553,7.553,4273.3,1717248599999,32325.6103,255,1865.28,14112.16311,0
1717248600000,7.554,7.565,7.545,7.55,4102.0,1717249499999,30987.85205,253,1311.12,9908.51578,0
1717249500000,7.55,7.566,7.55,7.559,2877.42,1717250399999,21745.79627,211,1856.06,14026.12016,0
1717250400000,7.561,7.616,7.56,7.608,10234.46,1717251299999,77690.32704,454,7504.97,56989.09595,0
1717251300000,7.608,7.644,7.6,7.644,10219.74,1717252199999,77914.47647,675,5266.26,40145.21291,0
1717252200000,7.644,7.66,7.629,7.639,18390.31,1717253099999,140660.95071,906,11474.1,87744.72897,0
1717253100000,7.637,7.684,7.626,7.68,22530.86,1717253999999,172292.79319,864,18386.09,140577.6916,0
1717254000000,7.68,7.773,7.68,7.726,36014.31,1717254899999,278188.2579,2479,18016.93,139260.04119,0
1717254900000,7.729,7.756,7.689,7.723,26350.0,1717255799999,203472.52085,1318,12658.67,97761.26325,0
1717255800000,7.723,7.757,7.698,7.752,9333.91,1717256699999,72116.5628,753,6261.4,48386.89861,0
1717256700000,7.753,7.755,7.716,7.729,11743.22,1717257599999,90801.75404,745,5058.6,39125.69924,0
1717257600000,7.731,7.771,7.729,7.765,10637.03,1717258499999,82429.33927,521,4553.9,35286.55049,0
1717258500000,7.765,7.766,7.715,7.722,10094.21,1717259399999,78040.54081,620,3025.62,23406.53683,0
1717259400000,7.721,7.729,7.7,7.719,9875.37,1717260299999,76200.90824,732,3535.12,27275.95764,0
1717260300000,7.718,7.737,7.702,7.723,7266.91,1717261199999,56078.1095,635,3458.62,26697.56027,0
1717261200000,7.725,7.727,7.702,7.715,3968.17,1717262099999,30601.68386,414,1923.5,14835.66049,0
1717262100000,7.715,7.72,7.699,7.706,5317.06,1717262999999,41005.91551,278,2722.96,20999.582,0
1717263000000,7.707,7.708,7.687,7.7,8031.31,1717263899999,61831.75711,454,2935.33,22599.7779,0
1717263900000,7.695,7.744,7.686,7.742,10915.41,1717264799999,84098.40557,525,8384.23,64590.18676,0
1717264800000,7.739,7.753,7.708,7.74,5404.9,1717265699999,41813.5596,518,2289.2,17711.4788,0
1717265700000,7.74,7.766,7.737,7.764,5420.74,1717266599999,42025.83449,355,3774.07,29263.18379,0
1717266600000,7.764,7.769,7.752,7.767,3847.19,1717267499999,29860.7332,269,1808.61,14041.60012,0
