open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1682899200000,1.693,1.701,1.692,1.698,4903.6,1682900099999,8322.4016,127,1972.5,3347.4981,0
1682900100000,1.699,1.701,1.696,1.699,3028.6,1682900999999,5145.7907,63,655.3,1113.2962,0
1682901000000,1.699,1.706,1.698,1.706,2554.5,1682901899999,4350.1313,52,1704.1,2903.8011,0
1682901900000,1.705,1.705,1.698,1.702,1115.3,1682902799999,1898.2386,28,736.8,1254.0667,0
1682902800000,1.702,1.703,1.698,1.699,450.1,1682903699999,765.6888,26,127.3,216.4743,0
1682903700000,1.7,1.703,1.695,1.698,2359.5,1682904599999,4007.4169,88,733.8,1247.2729,0
1682904600000,1.699,1.7,1.653,1.656,82489.7,1682905499999,138070.5564,781,20920.9,34853.6397,0
1682905500000,1.653,1.657,1.641,1.657,41051.4,1682906399999,67743.4212,488,15128.7,24974.3866,0
1682906400000,1.657,1.669,1.654,1.667,6184.1,1682907299999,10276.4307,134,3814.5,6341.7827,0
1682907300000,1.668,1.669,1.664,1.664,9925.7,1682908199999,16542.5183,96,4768.3,7949.4497,0
1682908200000,1.664,1.668,1.664,1.667,2799.3,1682909099999,4665.5128,55,2079.9,3467.0042,0
1682909100000,1.667,1.668,1.666,1.668,4385.4,1682909999999,7309.93,47,2857.3,4763.8823,0
1682910000000,1.667,1.668,1.664,1.664,2118.3,1682910899999,3532.3255,29,1688.7,2816.5027,0
1682910900000,1.664,1.669,1.662,1.669,5780.4,1682911799999,9638.6618,70,4889.8,8154.7298,0
1682911800000,1.67,1.67,1.666,1.667,2616.3,1682912699999,4363.223,38,322.8,538.7618,0
1682912700000,1.667,1.667,1.666,1.666,173.0,1682913599999,288.2597,14,58.5,97.5027,0
1682913600000,1.667,1.669,1.665,1.665,2569.4,1682914499999,4283.0493,60,1171.7,1954.1453,0
1682914500000,1.666,1.668,1.662,1.667,7603.2,1682915399999,12657.6503,53,6636.1,11047.3818,0
1682915400000,1.667,1.669,1.666,1.669,293.9,1682916299999,489.9675,21,169.2,282.1002,0
1682916300000,1.669,1.674,1.669,1.674,2711.3,1682917199999,4532.2516,72,2031.9,3397.1291,0
1682917200000,1.673,1.675,1.673,1.674,4189.7,1682918099999,7015.3367,64,3982.2,6668.0237,0
1682918100000,1.675,1.679,1.674,1.674,13910.6,1682918999999,23333.7121,120,9422.3,15808.5512,0
1682919000000,1.673,1.673,1.663,1.67,11590.4,1682919899999,19334.7208,138,3363.3,5608.0327,0
1682919900000,1.669,1.675,1.667,1.673,5243.8,1682920799999,8767.4891,74,3955.8,6613.5243,0
1682920800000,1.675,1.678,1.674,1.678,2545.2,1682921699999,4270.1211,64,1450.8,2433.9177,0
1682921700000,1.678,1.68,1.677,1.679,6222.1,1682922599999,10445.2262,58,4930.2,8278.0846,0
1682922600000,1.679,1.681,1.678,1.679,2646.0,1682923499999,4441.6948,39,939.0,1577.0011,0
1682923500000,1.678,1.679,1.678,1.678,2166.6,1682924399999,3636.0322,13,1773.7,2976.746,0
1682924400000,1.679,1.686,1.678,1.685,4743.4,1682925299999,7984.2817,93,3167.7,5330.1359,0
1682925300000,1.684,1.685,1.681,1.682,6722.9,1682926199999,11312.3061,43,127.7,215.1488,0
1682926200000,1.683,1.683,1.679,1.68,1496.1,1682927099999,2513.2031,13,498.1,836.8882,0
1682927100000,1.68,1.682,1.679,1.682,1677.9,1682927999999,2819.8805,14,1268.5,2132.3485,0
1682928000000,1.682,1.685,1.68,1.682,2018.2,1682928899999,3394.4467,83,693.5,1166.3562,0
1682928900000,1.682,1.682,1.676,1.681,7179.5,1682929799999,12052.0937,83,1495.7,2510.9001,0
