open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,560.6,562.1,560.6,560.9,275.118,1759277699999999,154412.0123,921,170.458,95672.1634,0
1759277700000000,560.9,561.0,559.7,560.0,242.186,1759278599999999,135720.3997,907,158.945,89082.1277,0
1759278600000000,560.1,561.1,560.0,560.3,174.692,1759279499999999,97919.9445,787,69.975,39223.5375,0
1759279500000000,560.4,561.4,559.9,561.2,265.47,1759280399999999,148806.0221,1191,167.929,94139.4143,0
1759280400000000,561.3,562.1,560.8,561.5,227.803,1759281299999999,127882.0374,1239,128.933,72382.1843,0
1759281300000000,561.4,562.2,560.7,561.9,438.234,1759282199999999,245984.0873,1877,289.391,162444.7224,0
1759282200000000,561.9,562.3,561.4,561.9,165.544,1759283099999999,93000.7344,754,112.083,62968.4306,0
1759283100000000,562.0,562.8,561.3,562.8,147.814,1759283999999999,83049.7113,646,97.338,54698.9606,0
1759284000000000,562.9,563.0,562.1,562.3,156.945,1759284899999999,88292.4677,605,54.352,30569.8688,0
1759284900000000,562.3,563.0,562.2,562.3,99.347,1759285799999999,55892.3737,379,82.545,46439.686,0
1759285800000000,562.3,562.4,561.4,561.7,105.757,1759286699999999,59417.3554,380,70.276,39486.6197,0
1759286700000000,561.6,561.8,561.1,561.1,263.634,1759287599999999,148024.624,670,94.534,53082.6802,0
1759287600000000,561.1,561.6,560.7,561.4,174.048,1759288499999999,97656.474,705,135.303,75916.9033,0
1759288500000000,561.4,562.5,561.4,561.9,155.984,1759289399999999,87632.8133,962,94.737,53219.7585,0
1759289400000000,561.9,562.3,560.8,560.8,165.144,1759290299999999,92732.4088,706,91.821,51563.7708,0
1759290300000000,560.8,560.8,559.9,560.3,135.989,1759291199999999,76195.3014,706,70.722,39620.9407,0
1759291200000000,560.3,562.5,560.2,562.1,255.754,1759292099999999,143613.7823,1074,124.308,69792.2207,0
1759292100000000,562.1,565.4,562.0,565.3,375.421,1759292999999999,211857.088,1677,169.314,95535.5974,0
1759293000000000,565.4,565.7,563.5,564.4,149.775,1759293899999999,84529.4563,940,78.693,44417.7563,0
1759293900000000,564.4,564.8,563.2,563.3,67.746,1759294799999999,38205.0609,477,32.474,18312.2955,0
1759294800000000,563.4,564.6,563.3,563.4,115.572,1759295699999999,65190.6845,575,56.682,31973.9566,0
