open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,0.2357,0.2357,0.2348,0.2348,11141.0,1759277699999999,2621.33753,37,7836.6,1844.28202,0
1759277700000000,0.235,0.2351,0.2337,0.2337,3348.3,1759278599999999,784.9037,17,721.3,168.9915,0
1759278600000000,0.2336,0.234,0.2335,0.2335,20703.2,1759279499999999,4837.40685,49,8857.7,2070.51447,0
1759279500000000,0.2336,0.2341,0.2334,0.2341,5253.2,1759280399999999,1227.76287,13,4160.2,972.48532,0
1759280400000000,0.2336,0.2341,0.2336,0.2341,6003.4,1759281299999999,1404.60729,76,4959.8,1160.38618,0
1759281300000000,0.234,0.2346,0.2336,0.2345,14927.3,1759282199999999,3496.83967,65,13168.2,3085.20765,0
1759282200000000,0.2345,0.2349,0.2338,0.2349,8298.3,1759283099999999,1942.97426,66,732.3,171.37278,0
1759283100000000,0.2348,0.2355,0.2345,0.2354,109484.5,1759283999999999,25723.86008,147,94646.1,22236.56619,0
1759284000000000,0.2355,0.2357,0.2349,0.2353,21613.4,1759284899999999,5086.52739,145,1381.3,325.48886,0
1759284900000000,0.2352,0.236,0.2352,0.2358,14767.6,1759285799999999,3482.53742,94,3967.1,935.88181,0
1759285800000000,0.2358,0.2358,0.2349,0.2349,16705.3,1759286699999999,3933.17807,63,3282.4,773.31156,0
1759286700000000,0.2347,0.235,0.2345,0.2345,3346.2,1759287599999999,785.63135,21,1890.0,443.772,0
1759287600000000,0.2345,0.2346,0.2343,0.2345,12909.7,1759288499999999,3027.18105,34,4882.1,1145.19891,0
1759288500000000,0.2341,0.2341,0.2332,0.2334,20867.7,1759289399999999,4878.06231,64,2776.7,648.40772,0
1759289400000000,0.2333,0.2335,0.2325,0.2325,6195.7,1759290299999999,1445.27992,24,4883.3,1139.78673,0
1759290300000000,0.2322,0.2322,0.2308,0.2314,20255.5,1759291199999999,4684.15925,67,9960.4,2305.08854,0
1759291200000000,0.2312,0.2327,0.2312,0.2323,9151.1,1759292099999999,2125.73019,69,780.1,180.88008,0
1759292100000000,0.2322,0.2328,0.2322,0.2327,7741.1,1759292999999999,1801.08609,40,5358.5,1246.79869,0
1759293000000000,0.2329,0.2336,0.2327,0.2329,10170.8,1759293899999999,2371.94427,47,7374.0,1719.99784,0
1759293900000000,0.2333,0.2336,0.233,0.2331,8162.4,1759294799999999,1903.11006,22,5913.0,1378.7456,0
1759294800000000,0.2328,0.2344,0.2328,0.2343,6401.1,1759295699999999,1493.90106,41,4421.5,1031.88126,0
1759295700000000,0.2343,0.2345,0.2335,0.2342,8673.3,1759296599999999,2027.82578,45,2347.4,548.33155,0
1759296600000000,0.2342,0.2346,0.2339,0.2346,12227.8,1759297499999999,2866.4799,35,3145.6,736.72942,0
1759297500000000,0.2344,0.2345,0.2341,0.2341,390.0,1759298399999999,91.3971,6,0.0,0.0,0
1759298400000000,0.2335,0.2336,0.2328,0.2332,4164.7,1759299299999999,970.88949,24,1400.1,326.96358,0
1759299300000000,0.2332,0.2336,0.2322,0.2333,9265.1,1759300199999999,2158.13428,67,4752.9,1107.9426,0
1759300200000000,0.2334,0.2334,0.233,0.233,10106.7,1759301099999999,2356.56341,39,3479.4,811.19547,0
1759301100000000,0.233,0.233,0.2308,0.2319,78146.1,1759301999999999,18075.50755,90,4559.4,1058.17385,0
1759302000000000,0.2321,0.2328,0.2313,0.2326,31622.5,1759302899999999,7349.09283,66,8670.8,2017.45657,0
1759302900000000,0.2328,0.2332,0.2326,0.2332,5615.5,1759303799999999,1308.51215,20,4184.2,975.41134,0
1759303800000000,0.2336,0.2339,0.2336,0.2336,757.4,1759304699999999,176.98073,14,468.7,109.53501,0
1759304700000000,0.2331,0.2338,0.2329,0.2331,13556.2,1759305599999999,3160.55005,35,910.3,212.38956,0
1759305600000000,0.2331,0.2336,0.2326,0.2333,48777.9,1759306499999999,11361.52736,69,9901.4,2304.31263,0
1759306500000000,0.2331,0.2342,0.2329,0.2342,27426.2,1759307399999999,6401.14544,58,20570.9,4802.6799,0
1759307400000000,0.2349,0.2403,0.2347,0.2401,149027.8,1759308299999999,35386.16516,485,85183.6,20227.70256,0
1759308300000000,0.2401,0.2418,0.2383,0.2396,238656.6,1759309199999999,57187.15482,732,82540.0,19788.61666,0
1759309200000000,0.2396,0.2405,0.2391,0.2404,72471.2,1759310099999999,17368.00787,324,26404.6,6326.96256,0
1759310100000000,0.2404,0.2409,0.2396,0.2401,26908.8,1759310999999999,6464.68903,112,12957.0,3113.41315,0
1759311000000000,0.2404,0.2409,0.2398,0.2405,32517.5,1759311899999999,7819.90093,63,21924.5,5275.0047,0
1759311900000000,0.2408,0.2409,0.24,0.2407,14216.7,1759312799999999,3418.55659,29,4371.8,1052.44901,0
1759312800000000,0.2404,0.2405,0.2392,0.2392,48972.3,1759313699999999,11746.56118,198,21851.3,5238.45897,0
1759313700000000,0.2393,0.2401,0.2393,0.2398,21153.8,1759314599999999,5070.18406,15,21054.0,5046.25202,0
1759314600000000,0.2398,0.2398,0.2393,0.2397,3162.2,1759315499999999,758.02305,16,2248.4,539.00489,0
1759315500000000,0.24,0.24,0.2394,0.2394,19339.9,1759316399999999,4637.002,45,1114.4,267.23312,0
1759316400000000,0.2399,0.2399,0.2392,0.2394,5856.2,1759317299999999,1402.10218,18,5455.7,1306.20998,0
1759317300000000,0.2394,0.2394,0.2391,0.2394,1390.1,1759318199999999,332.43813,3,217.4,52.04556,0
1759318200000000,0.2392,0.2393,0.2385,0.2392,30221.8,1759319099999999,7218.39783,63,7280.9,1740.56182,0
1759319100000000,0.2389,0.2395,0.2388,0.2395,1918.8,1759319999999999,458.9233,21,975.8,233.43736,0
1759320000000000,0.2396,0.2401,0.2394,0.2394,11580.0,1759320899999999,2776.51382,33,8815.2,2114.19288,0
1759320900000000,0.2396,0.2402,0.2391,0.2392,34107.8,1759321799999999,8171.63037,116,16033.8,3839.25995,0
1759321800000000,0.2394,0.2397,0.2389,0.2389,19732.5,1759322699999999,4719.79014,40,11523.9,2756.63857,0
