open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1701388800000,0.06254,0.06267,0.06217,0.0623,274582.0,1701389699999,17126.16809,345,132397.0,8262.235,0
1701389700000,0.06221,0.06241,0.06216,0.06218,78404.0,1701390599999,4884.45521,142,35456.0,2208.97087,0
1701390600000,0.06217,0.06275,0.06217,0.06263,203851.0,1701391499999,12732.84888,367,165724.0,10355.40003,0
1701391500000,0.06263,0.06263,0.06222,0.06243,144473.0,1701392399999,9004.74573,283,68600.0,4274.21952,0
1701392400000,0.06235,0.06248,0.06205,0.06221,170626.0,1701393299999,10609.2239,324,90801.0,5646.18129,0
1701393300000,0.06222,0.06263,0.06222,0.0626,104678.0,1701394199999,6530.8468,180,72775.0,4542.28449,0
1701394200000,0.0626,0.06279,0.06249,0.06267,85790.0,1701395099999,5372.06986,229,46428.0,2907.59867,0
1701395100000,0.06265,0.06278,0.06248,0.06263,179322.0,1701395999999,11220.6475,201,30384.0,1902.39891,0
1701396000000,0.06264,0.06267,0.06246,0.06259,147767.0,1701396899999,9240.92095,215,43169.0,2700.83312,0
1701396900000,0.06257,0.06259,0.06208,0.06216,463716.0,1701397799999,28871.62565,334,183955.0,11449.06188,0
1701397800000,0.06213,0.0622,0.06191,0.06214,523487.0,1701398699999,32462.90793,271,388278.0,24074.52206,0
1701398700000,0.06215,0.0624,0.06201,0.06201,193099.0,1701399599999,12005.85367,229,103918.0,6464.64236,0
1701399600000,0.06203,0.06213,0.06197,0.06209,56866.0,1701400499999,3527.1197,112,28539.0,1770.75995,0
1701400500000,0.06209,0.06217,0.06209,0.06216,16935.0,1701401399999,1052.10902,36,8228.0,511.20196,0
1701401400000,0.06214,0.06221,0.06201,0.06212,78098.0,1701402299999,4850.9755,149,54302.0,3373.7869,0
1701402300000,0.06211,0.06226,0.06207,0.06211,163026.0,1701403199999,10133.40906,240,109236.0,6791.91418,0
1701403200000,0.06212,0.06234,0.06208,0.06234,78538.0,1701404099999,4886.41714,151,62877.0,3912.39343,0
1701404100000,0.06234,0.0625,0.06225,0.06242,99283.0,1701404999999,6195.45952,197,59405.0,3707.76239,0
1701405000000,0.06245,0.06273,0.06226,0.06262,342453.0,1701405899999,21420.78504,380,229513.0,14353.68958,0
1701405900000,0.06263,0.06274,0.06257,0.06274,162702.0,1701406799999,10196.14855,171,99500.0,6238.11611,0
1701406800000,0.06274,0.06285,0.06224,0.06244,355714.0,1701407699999,22271.58345,306,103037.0,6469.76754,0
1701407700000,0.06244,0.06285,0.06244,0.06252,194836.0,1701408599999,12201.74152,269,131803.0,8258.38638,0
1701408600000,0.06252,0.06261,0.06245,0.06255,79655.0,1701409499999,4978.92202,174,41717.0,2608.18712,0
1701409500000,0.06255,0.06259,0.06231,0.06239,104102.0,1701410399999,6500.75497,172,22456.0,1403.08271,0
1701410400000,0.06242,0.06245,0.0622,0.06226,131609.0,1701411299999,8193.37354,175,26992.0,1681.81073,0
1701411300000,0.06224,0.06235,0.06218,0.06219,27375.0,1701412199999,1704.18487,72,12084.0,752.89007,0
1701412200000,0.06219,0.0624,0.06217,0.06235,131854.0,1701413099999,8212.3724,131,111993.0,6976.72175,0
1701413100000,0.06235,0.06251,0.06219,0.06231,103321.0,1701413999999,6437.31867,166,31167.0,1944.60922,0
1701414000000,0.06229,0.06242,0.062,0.0624,374483.0,1701414899999,23292.40952,346,160125.0,9970.29274,0
1701414900000,0.06239,0.06245,0.06231,0.0624,122794.0,1701415799999,7661.8353,130,58369.0,3642.21649,0
1701415800000,0.0624,0.06242,0.06208,0.06209,136540.0,1701416699999,8513.78327,122,26868.0,1672.77369,0
1701416700000,0.06211,0.06226,0.06196,0.06208,182399.0,1701417599999,11330.94862,281,77136.0,4795.87512,0
1701417600000,0.06214,0.0624,0.06207,0.06232,64990.0,1701418499999,4045.03774,205,34412.0,2142.36755,0
1701418500000,0.06233,0.06243,0.06202,0.06207,45455.0,1701419399999,2828.37467,142,14213.0,885.44738,0
1701419400000,0.06205,0.06223,0.06186,0.06199,346027.0,1701420299999,21448.07627,247,158007.0,9797.36466,0
1701420300000,0.06196,0.06217,0.06196,0.06208,160456.0,1701421199999,9959.49302,195,96586.0,5995.54801,0
1701421200000,0.06206,0.06235,0.06192,0.06231,148785.0,1701422099999,9236.60885,212,117967.0,7322.38674,0
1701422100000,0.06232,0.0626,0.06209,0.06212,423011.0,1701422999999,26400.90928,452,239591.0,14957.6959,0
1701423000000,0.06212,0.06255,0.06212,0.06238,234539.0,1701423899999,14626.28551,309,113474.0,7078.42726,0
1701423900000,0.06239,0.06247,0.06227,0.06232,202388.0,1701424799999,12629.25382,240,119500.0,7459.4005,0
1701424800000,0.06235,0.06263,0.06215,0.0623,193833.0,1701425699999,12088.37004,360,117004.0,7299.50617,0
1701425700000,0.06229,0.0624,0.06213,0.06224,112236.0,1701426599999,6991.33762,259,63899.0,3980.41127,0
1701426600000,0.06233,0.06235,0.06194,0.06197,221399.0,1701427499999,13748.94682,288,70117.0,4358.72593,0
1701427500000,0.06197,0.06217,0.06186,0.06213,300421.0,1701428399999,18631.9869,282,189135.0,11736.76329,0
1701428400000,0.06215,0.0622,0.06203,0.06218,89132.0,1701429299999,5533.22069,105,68378.0,4244.30666,0
1701429300000,0.06215,0.06222,0.06207,0.06215,129919.0,1701430199999,8075.35122,157,72954.0,4534.73862,0
1701430200000,0.06216,0.06224,0.06216,0.06224,57652.0,1701431099999,3586.72584,95,38740.0,2410.30981,0
1701431100000,0.06223,0.06224,0.062,0.06213,187600.0,1701431999999,11646.96205,209,46923.0,2916.9681,0
1701432000000,0.06214,0.06222,0.06187,0.06188,1139779.0,1701432899999,70686.78475,326,551704.0,34214.98287,0
1701432900000,0.06188,0.06197,0.06166,0.06182,301208.0,1701433799999,18614.81418,270,144206.0,8911.41856,0
1701433800000,0.06182,0.06195,0.06177,0.06177,126357.0,1701434699999,7813.94624,171,59407.0,3675.22167,0
1701434700000,0.06176,0.06184,0.0615,0.06155,340480.0,1701435599999,20990.39651,407,116887.0,7211.1513,0
1701435600000,0.06152,0.06174,0.0615,0.06163,150818.0,1701436499999,9289.59192,176,118042.0,7269.48646,0
1701436500000,0.06169,0.062,0.06161,0.06189,262039.0,1701437399999,16207.80673,288,197838.0,12243.77777,0
1701437400000,0.06189,0.06205,0.06177,0.06186,212458.0,1701438299999,13151.0846,280,94205.0,5835.87599,0
1701438300000,0.06187,0.06204,0.0617,0.0619,87916.0,1701439199999,5436.58038,256,62001.0,3834.61252,0
1701439200000,0.06191,0.06258,0.06171,0.06181,843198.0,1701440099999,52474.63373,517,729968.0,45454.51036,0
1701440100000,0.06179,0.06231,0.06179,0.06218,211017.0,1701440999999,13107.37625,393,112990.0,7016.73544,0
1701441000000,0.06216,0.0624,0.0618,0.06207,485811.0,1701441899999,30151.51362,483,184777.0,11481.36228,0
1701441900000,0.06209,0.0621,0.06147,0.0616,577903.0,1701442799999,35626.20823,471,116898.0,7207.5998,0
1701442800000,0.06161,0.06169,0.0615,0.06161,242368.0,1701443699999,14923.85155,279,128995.0,7942.21311,0
1701443700000,0.0616,0.06179,0.0615,0.06162,347261.0,1701444599999,21405.90619,255,181776.0,11207.29422,0
1701444600000,0.0616,0.06185,0.0616,0.06178,128455.0,1701445499999,7929.96861,183,100775.0,6222.5278,0
1701445500000,0.06179,0.06208,0.06178,0.06182,229413.0,1701446399999,14220.19151,307,128127.0,7943.26429,0
1701446400000,0.06182,0.0622,0.06177,0.06205,251100.0,1701447299999,15562.79381,352,153832.0,9539.86463,0
1701447300000,0.06204,0.06236,0.06197,0.06224,118433.0,1701448199999,7364.97322,201,55352.0,3442.13733,0
1701448200000,0.06222,0.0623,0.06194,0.06199,458467.0,1701449099999,28454.07058,557,137469.0,8536.53806,0
1701449100000,0.06197,0.0624,0.06188,0.06217,255714.0,1701449999999,15900.88499,518,152240.0,9471.83463,0
1701450000000,0.06218,0.06221,0.0619,0.0619,268509.0,1701450899999,16649.87221,317,103668.0,6430.03757,0
1701450900000,0.06191,0.06206,0.06184,0.06196,136334.0,1701451799999,8447.11932,166,94247.0,5840.59945,0
1701451800000,0.06196,0.06204,0.0618,0.06192,91914.0,1701452699999,5692.91396,178,41576.0,2575.47542,0
1701452700000,0.06191,0.06204,0.0618,0.06196,63363.0,1701453599999,3922.25714,132,32999.0,2044.5379,0
1701453600000,0.06193,0.06206,0.0618,0.06192,184150.0,1701454499999,11390.43265,199,62529.0,3869.60537,0
1701454500000,0.06196,0.06222,0.06195,0.06206,91810.0,1701455399999,5699.39604,178,65013.0,4036.40907,0
1701455400000,0.06206,0.0622,0.06187,0.06202,221794.0,1701456299999,13772.04687,210,173291.0,10760.41509,0
1701456300000,0.06201,0.0622,0.06188,0.06194,80266.0,1701457199999,4975.32124,178,45912.0,2846.61728,0
1701457200000,0.06193,0.06222,0.0619,0.06193,89737.0,1701458099999,5567.32274,180,59414.0,3688.1561,0
1701458100000,0.06193,0.0622,0.06192,0.06219,111039.0,1701458999999,6894.41323,260,75619.0,4697.15716,0
1701459000000,0.06216,0.06223,0.062,0.0622,118291.0,1701459899999,7348.33993,238,67521.0,4197.00439,0
1701459900000,0.06219,0.06223,0.06189,0.06209,294005.0,1701460799999,18236.43979,163,82512.0,5129.1967,0
1701460800000,0.06208,0.06239,0.06203,0.0622,235087.0,1701461699999,14617.7381,167,209599.0,13035.79522,0
1701461700000,0.06221,0.06231,0.06208,0.06215,69877.0,1701462599999,4342.35674,167,24812.0,1542.54277,0
1701462600000,0.06216,0.06218,0.06199,0.06205,81747.0,1701463499999,5076.12769,128,31103.0,1930.91661,0
1701463500000,0.06203,0.06209,0.06194,0.06197,60250.0,1701464399999,3735.31699,125,28854.0,1788.83131,0
1701464400000,0.06197,0.06216,0.06191,0.06207,214720.0,1701465299999,13320.61453,234,147145.0,9131.57868,0
1701465300000,0.06208,0.06215,0.06188,0.06199,145385.0,1701466199999,9013.13051,159,44258.0,2743.85892,0
1701466200000,0.06199,0.06216,0.06198,0.06203,51108.0,1701467099999,3171.69079,140,18185.0,1128.85125,0
1701467100000,0.06203,0.06217,0.06193,0.0621,270188.0,1701467999999,16769.74472,191,205903.0,12781.59434,0
1701468000000,0.0621,0.06213,0.06161,0.06187,476586.0,1701468899999,29478.55897,372,103334.0,6396.44095,0
1701468900000,0.06191,0.06209,0.06181,0.062,53366.0,1701469799999,3306.9068,147,33141.0,2054.22608,0
1701469800000,0.06201,0.06201,0.06185,0.06193,11586.0,1701470699999,717.68096,57,3672.0,227.41372,0
1701470700000,0.0619,0.06193,0.06159,0.06161,81657.0,1701471599999,5033.95207,99,2860.0,176.93725,0
1701471600000,0.06164,0.06179,0.06162,0.06175,63905.0,1701472499999,3942.46181,148,41065.0,2533.21111,0
1701472500000,0.06175,0.06184,0.06171,0.06175,91078.0,1701473399999,5624.81845,105,61858.0,3819.85486,0
1701473400000,0.06176,0.06187,0.0617,0.0617,33484.0,1701474299999,2068.24621,79,19013.0,1175.05789,0
1701474300000,0.06173,0.0618,0.06155,0.06172,175653.0,1701475199999,10832.69704,216,78899.0,4869.59709,0
1701475200000,0.06172,0.06185,0.06154,0.06162,177335.0,1701476099999,10930.75808,273,69772.0,4302.98274,0
1701476100000,0.0616,0.06178,0.06153,0.06156,106339.0,1701476999999,6561.0742,115,66754.0,4121.85771,0
1701477000000,0.06156,0.06184,0.06156,0.06184,70871.0,1701477899999,4372.92715,99,47882.0,2953.48474,0
1701477900000,0.06183,0.06192,0.06174,0.06187,33008.0,1701478799999,2041.89781,61,17578.0,1087.6607,0
1701478800000,0.06188,0.06199,0.06171,0.0618,92722.0,1701479699999,5734.66836,125,31597.0,1954.63897,0
1701479700000,0.06179,0.062,0.06174,0.06189,76616.0,1701480599999,4741.94189,158,57132.0,3537.5464,0
