open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1761955200000000,0.0586,0.0587,0.0584,0.0584,59430.97,1761956099999999,3479.050832,16,21334.44,1246.738334,0
1761956100000000,0.0584,0.0584,0.0583,0.0583,3032.01,1761956999999999,176.874024,17,1078.41,62.979144,0
1761957000000000,0.0582,0.0582,0.0582,0.0582,17534.68,1761957899999999,1020.518376,4,0.0,0.0,0
1761957900000000,0.0583,0.0585,0.0583,0.0585,8646.82,1761958799999999,505.730964,45,8646.82,505.730964,0
1761958800000000,0.0588,0.0589,0.0587,0.0587,21753.03,1761959699999999,1279.707498,55,11326.12,667.072768,0
1761959700000000,0.0587,0.0589,0.0586,0.0589,7397.21,1761960599999999,434.228622,10,1203.44,70.735145,0
1761960600000000,0.0587,0.0587,0.0587,0.0587,669.95,1761961499999999,39.326065,6,0.0,0.0,0
1761961500000000,0.0586,0.0586,0.0585,0.0585,445.99,1761962399999999,26.125415,4,0.0,0.0,0
1761962400000000,0.0584,0.0584,0.058,0.0581,191348.14,1761963299999999,11134.129777,157,11269.44,655.310534,0
1761963300000000,0.058,0.0582,0.058,0.0582,28314.34,1761964199999999,1645.491963,25,23963.22,1392.52007,0
1761964200000000,0.0581,0.0583,0.0581,0.0583,4986.55,1761965099999999,290.557161,14,4690.55,273.359561,0
1761965100000000,0.0586,0.0587,0.0586,0.0587,1893.14,1761965999999999,111.011765,3,1893.14,111.011765,0
1761966000000000,0.0587,0.0588,0.0587,0.0587,9879.94,1761966899999999,580.39717,10,110.1,6.46287,0
1761966900000000,0.0587,0.0589,0.0587,0.0589,1877.85,1761967799999999,110.294985,6,325.95,19.198455,0
1761967800000000,0.059,0.059,0.059,0.059,3507.52,1761968699999999,206.94368,22,3507.52,206.94368,0
1761968700000000,0.0591,0.0591,0.0589,0.0591,1647.83,1761969599999999,97.338507,12,1336.6,78.99306,0
1761969600000000,0.0591,0.0591,0.0587,0.0589,8534.95,1761970499999999,503.702575,25,159.0,9.381,0
1761970500000000,0.0587,0.0589,0.0587,0.0589,3191.01,1761971399999999,187.808583,10,2956.12,174.02054,0
1761971400000000,0.0588,0.0589,0.0587,0.0588,162083.23,1761972299999999,9527.693528,87,99631.27,5855.629428,0
1761972300000000,0.0589,0.0589,0.0589,0.0589,7113.72,1761973199999999,418.998108,2,4113.72,242.298108,0
1761973200000000,0.0587,0.0588,0.0586,0.0588,3395.66,1761974099999999,199.323635,16,361.55,21.25914,0
1761974100000000,0.0588,0.0589,0.0588,0.0589,50719.74,1761974999999999,2987.257413,109,1790.67,105.33519,0
1761975000000000,0.0588,0.0589,0.0588,0.0589,915.49,1761975899999999,53.841361,8,105.49,6.213361,0
1761975900000000,0.0587,0.0587,0.0585,0.0586,70137.76,1761976799999999,4109.59598,74,22416.9,1313.682784,0
1761976800000000,0.0587,0.059,0.0587,0.0588,76412.0,1761977699999999,4499.470395,21,9391.86,553.105337,0
1761977700000000,0.0586,0.0586,0.0586,0.0586,102.73,1761978599999999,6.019978,1,0.0,0.0,0
1761978600000000,0.0588,0.0589,0.0585,0.0585,4182.76,1761979499999999,245.796217,13,938.4,55.19222,0
1761979500000000,0.0587,0.0588,0.0586,0.0588,8955.12,1761980399999999,526.275756,49,3720.12,218.504756,0
1761980400000000,0.0588,0.0591,0.0588,0.0591,16422.66,1761981299999999,966.471567,33,4694.42,276.757522,0
1761981300000000,0.059,0.0594,0.059,0.0594,12781.36,1761982199999999,758.481157,37,2398.75,142.354575,0
1761982200000000,0.0594,0.0594,0.0592,0.0592,9541.18,1761983099999999,564.962524,24,2764.34,163.707396,0
1761983100000000,0.0591,0.0596,0.0588,0.0596,91302.63,1761983999999999,5384.692456,55,22838.76,1351.261102,0
1761984000000000,0.0596,0.0597,0.0594,0.0595,34681.92,1761984899999999,2065.255931,100,1155.88,68.835538,0
1761984900000000,0.0596,0.0597,0.0593,0.0594,32534.95,1761985799999999,1934.030656,122,6093.52,362.964861,0
1761985800000000,0.0594,0.0595,0.0592,0.0592,22517.2,1761986699999999,1336.950341,65,9943.23,590.874162,0
1761986700000000,0.0594,0.0599,0.0594,0.0599,6722.22,1761987599999999,400.931058,10,5540.44,330.457424,0
1761987600000000,0.06,0.0603,0.0599,0.0599,796941.96,1761988499999999,47934.843138,266,500612.19,30107.569177,0
1761988500000000,0.06,0.0601,0.0597,0.0597,19351.26,1761989399999999,1158.265566,86,14620.49,875.437976,0
1761989400000000,0.0597,0.0599,0.0596,0.0598,29708.48,1761990299999999,1775.282647,75,26535.35,1586.052647,0
1761990300000000,0.0598,0.0598,0.0596,0.0596,7286.65,1761991199999999,434.603394,39,6115.52,364.641144,0
1761991200000000,0.0597,0.0597,0.0595,0.0595,6091.56,1761992099999999,363.049792,27,2687.62,160.400414,0
1761992100000000,0.0596,0.0599,0.0596,0.0597,70212.55,1761992999999999,4203.727773,112,16280.97,974.976574,0
1761993000000000,0.0598,0.0601,0.0598,0.0599,59227.48,1761993899999999,3554.068818,87,51766.22,3107.29051,0
1761993900000000,0.0599,0.0602,0.0598,0.0599,38094.84,1761994799999999,2287.97078,155,24329.47,1462.42875,0
1761994800000000,0.0599,0.0601,0.0599,0.0599,10279.16,1761995699999999,616.258304,50,367.19,22.0314,0
1761995700000000,0.0599,0.0601,0.0598,0.0598,7851.53,1761996599999999,470.291576,47,882.38,52.984397,0
