open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1743465600000000,604.81,606.48,604.46,606.04,1384.176,1743466499999999,837949.21108,4329,809.615,490238.20955,0
1743466500000000,606.04,606.88,605.48,606.71,912.447,1743467399999999,553123.25119,3414,442.814,268487.8183,0
1743467400000000,606.72,606.99,606.08,606.8,756.556,1743468299999999,458959.98371,3435,438.698,266160.77766,0
1743468300000000,606.79,607.5,605.6,607.1,1759.914,1743469199999999,1067923.50228,7300,1074.035,651700.8146,0
1743469200000000,607.09,607.1,604.82,605.59,1320.198,1743470099999999,800052.33493,5444,516.622,313013.28848,0
1743470100000000,605.6,606.36,605.14,606.18,897.188,1743470999999999,543464.74838,3315,648.719,392948.90442,0
1743471000000000,606.19,606.3,605.33,605.82,784.694,1743471899999999,475498.6751,3028,473.973,287222.49777,0
1743471900000000,605.82,606.74,605.4,605.69,782.089,1743472799999999,474053.29063,3018,436.888,264833.51369,0
1743472800000000,605.68,607.27,605.6,607.0,893.77,1743473699999999,542189.63145,3898,626.624,380128.88005,0
1743473700000000,607.0,607.59,606.74,606.86,1388.579,1743474599999999,843215.52041,3911,820.08,497988.08454,0
1743474600000000,606.87,607.35,606.18,607.35,981.432,1743475499999999,595493.45592,3809,604.834,367031.33344,0
1743475500000000,607.34,608.32,606.99,608.28,2463.808,1743476399999999,1496419.86059,5291,920.592,559213.08182,0
1743476400000000,608.28,609.28,608.03,609.1,1352.636,1743477299999999,823224.63027,4926,970.751,590826.10687,0
1743477300000000,609.11,609.86,608.83,608.84,1704.128,1743478199999999,1038214.94854,4251,969.693,590754.96832,0
1743478200000000,608.83,609.24,608.76,608.78,2630.831,1743479099999999,1601775.72012,2846,856.74,521675.04914,0
1743479100000000,608.77,609.03,608.76,609.03,915.18,1743479999999999,557220.69559,2318,495.428,301650.54241,0
1743480000000000,609.02,609.4,608.25,608.34,3685.971,1743480899999999,2244229.78395,4355,1005.841,612614.17272,0
1743480900000000,608.35,608.79,608.11,608.78,879.619,1743481799999999,535169.77761,2539,547.87,333328.73087,0
1743481800000000,608.78,609.1,608.65,608.98,835.907,1743482699999999,508941.47863,3129,398.663,242728.9212,0
1743482700000000,608.98,609.48,608.81,609.34,945.372,1743483599999999,575839.0259,2650,319.741,194781.91361,0
1743483600000000,609.34,609.8,609.21,609.66,710.785,1743484499999999,433234.03675,2710,453.9,276651.71331,0
1743484500000000,609.66,610.63,609.65,610.01,3115.131,1743485399999999,1900609.83315,4642,2411.237,1471064.6715,0
1743485400000000,610.0,610.21,608.33,608.35,1232.065,1743486299999999,750488.71891,3179,432.557,263470.38684,0
1743486300000000,608.36,608.36,607.5,607.5,2039.725,1743487199999999,1240104.73883,3601,585.458,355842.7643,0
1743487200000000,607.5,607.95,606.8,607.95,1108.298,1743488099999999,672998.05596,4010,574.852,349093.06594,0
1743488100000000,607.94,608.6,607.94,608.27,1302.841,1743488999999999,792536.57536,3201,783.899,476880.11404,0
1743489000000000,608.28,609.79,608.1,609.49,1438.549,1743489899999999,876119.76134,5137,899.417,547819.84365,0
1743489900000000,609.49,611.38,609.0,610.78,3142.996,1743490799999999,1918204.45248,5684,2171.261,1325164.23555,0
1743490800000000,610.77,610.88,608.84,608.85,2844.966,1743491699999999,1733778.80833,6654,1635.028,996413.63163,0
1743491700000000,608.85,609.72,608.49,609.71,1315.225,1743492599999999,800937.02966,4292,870.756,530240.92999,0
1743492600000000,609.72,611.21,609.4,611.16,1649.654,1743493499999999,1007043.37189,4848,1288.405,786515.88834,0
1743493500000000,611.16,611.37,610.08,610.39,1936.067,1743494399999999,1182526.37961,4687,890.989,544324.86203,0
1743494400000000,610.39,612.15,610.33,612.07,3096.131,1743495299999999,1892002.36818,5701,2001.953,1223442.55594,0
1743495300000000,612.07,614.31,611.97,614.18,5342.556,1743496199999999,3277188.30583,12673,3025.835,1855961.76802,0
1743496200000000,614.19,617.3,613.24,615.16,11318.79,1743497099999999,6963494.49327,19684,7525.491,4629570.60692,0
1743497100000000,615.17,617.5,614.9,615.87,8118.185,1743497999999999,5002684.21891,16190,4482.065,2762264.39894,0
1743498000000000,615.86,617.3,614.32,614.57,6929.425,1743498899999999,4268107.40656,16385,3685.782,2270345.28083,0
1743498900000000,614.56,617.12,614.41,616.61,4184.299,1743499799999999,2578643.89021,11473,2277.651,1403633.80434,0
1743499800000000,616.61,617.95,616.6,617.85,4523.81,1743500699999999,2792634.79336,9511,2314.1,1428504.16105,0
1743500700000000,617.85,618.54,616.42,616.6,2994.219,1743501599999999,1848971.95691,8314,1468.208,906829.07436,0
1743501600000000,616.61,616.89,614.33,615.24,3309.456,1743502499999999,2036626.22912,9538,1481.771,911848.33411,0
1743502500000000,615.25,615.88,614.94,614.97,2067.402,1743503399999999,1272447.56214,6130,819.499,504415.38485,0
1743503400000000,614.97,615.0,611.76,611.91,9477.91,1743504299999999,5807486.35687,19113,4041.812,2475786.43101,0
1743504300000000,611.91,612.25,608.98,609.42,7934.917,1743505199999999,4845249.2815,13008,2927.315,1787911.1803,0
1743505200000000,609.42,609.6,606.4,607.63,7147.761,1743506099999999,4345405.98906,18210,3092.076,1879720.59305,0
1743506100000000,607.64,609.64,607.64,608.66,3275.968,1743506999999999,1993589.55989,10861,1722.936,1048506.36873,0
1743507000000000,608.66,608.68,606.95,607.63,3135.594,1743507899999999,1905472.96519,8532,1313.416,798122.68126,0
1743507900000000,607.63,607.87,606.8,607.5,2672.794,1743508799999999,1623381.10682,7686,1373.653,834411.50578,0
1743508800000000,607.51,615.79,607.46,613.26,13400.136,1743509699999999,8206087.15145,26514,8094.381,4954074.60825,0
1743509700000000,613.27,613.75,610.74,610.94,3432.313,1743510599999999,2101973.88539,11390,1503.234,920777.34593,0
1743510600000000,610.95,612.56,610.21,612.07,5552.287,1743511499999999,3395862.93332,11375,3739.569,2287392.7406,0
1743511500000000,612.08,613.6,611.24,612.97,2705.427,1743512399999999,1657099.84108,9795,1551.406,950403.20141,0
1743512400000000,612.96,614.07,612.16,613.95,2493.444,1743513299999999,1529409.11551,8707,1480.834,908342.43836,0
1743513300000000,613.95,614.45,613.4,614.0,3017.01,1743514199999999,1852160.20199,8353,1483.162,910562.29937,0
1743514200000000,614.0,615.4,612.67,614.41,5659.395,1743515099999999,3475569.72541,17438,3140.205,1928434.62112,0
1743515100000000,614.41,615.61,613.0,614.26,4098.146,1743515999999999,2517028.30371,9730,2190.718,1345520.91257,0
1743516000000000,614.26,615.99,611.59,612.55,23982.721,1743516899999999,14721023.87006,48384,13952.117,8565736.75838,0
1743516900000000,612.56,615.11,612.56,614.54,19455.298,1743517799999999,11947600.11843,29755,12927.691,7939042.91257,0
1743517800000000,614.53,617.0,614.43,616.18,19075.609,1743518699999999,11747545.45719,25030,11971.054,7371391.70709,0
1743518700000000,616.18,616.8,615.0,615.32,20960.313,1743519599999999,12909186.72315,31363,10345.82,6372049.72044,0
1743519600000000,615.32,616.88,615.32,616.26,21599.329,1743520499999999,13304339.94277,33214,10198.608,6281980.2473,0
1743520500000000,616.26,617.33,614.89,616.99,20500.927,1743521399999999,12637332.05784,32634,9787.557,6033317.22992,0
1743521400000000,617.0,617.3,615.39,616.42,19079.002,1743522299999999,11756863.6112,29233,8083.245,4981194.83134,0
1743522300000000,616.42,617.2,614.87,615.26,22334.525,1743523199999999,13764458.30998,27808,11038.341,6801824.62529,0
1743523200000000,615.25,615.89,612.9,613.1,26510.506,1743524099999999,16286950.28174,40315,12196.515,7492992.28001,0
1743524100000000,613.11,614.29,611.85,612.0,13570.391,1743524999999999,8320282.10156,27837,6074.825,3724988.11035,0
1743525000000000,612.0,613.2,611.13,611.51,10532.507,1743525899999999,6448618.43386,21513,4644.619,2843827.47707,0
1743525900000000,611.51,615.34,610.44,610.64,27320.658,1743526799999999,16722674.57185,49118,11282.377,6904923.80212,0
1743526800000000,610.65,611.34,606.87,608.19,53262.17,1743527699999999,32438272.08253,68820,23720.164,14447231.9531,0
1743527700000000,608.18,610.47,607.73,608.98,21788.438,1743528599999999,13273025.49,29444,11155.827,6795153.78931,0
1743528600000000,608.98,610.0,608.76,608.95,9603.244,1743529499999999,5852202.06322,14789,5420.701,3303269.52831,0
1743529500000000,608.95,610.7,608.95,609.55,9359.871,1743530399999999,5709361.7552,13269,5573.842,3399539.63219,0
1743530400000000,609.54,609.87,607.9,607.91,4844.906,1743531299999999,2949514.28274,12798,2868.618,1746402.81265,0
1743531300000000,607.91,608.3,607.55,608.28,3735.57,1743532199999999,2270808.51583,9132,2160.428,1313305.66159,0
1743532200000000,608.29,609.0,607.78,608.86,1983.182,1743533099999999,1206444.82071,7270,1190.26,724074.67312,0
1743533100000000,608.86,608.9,607.9,608.23,2069.679,1743533999999999,1259172.89787,6279,1211.985,737356.10053,0
1743534000000000,608.22,608.6,607.71,607.98,1361.366,1743534899999999,827917.66547,5990,813.367,494656.11753,0
1743534900000000,607.97,608.6,606.95,606.96,1135.727,1743535799999999,690047.8721,5219,499.841,303696.31414,0
1743535800000000,606.95,607.83,606.71,607.78,1063.003,1743536699999999,645549.53108,4639,534.186,324385.56969,0
1743536700000000,607.77,609.09,607.43,608.66,2809.146,1743537599999999,1708487.92492,5200,2057.018,1251005.57914,0
1743537600000000,608.66,608.85,607.73,608.85,1600.073,1743538499999999,973212.10461,5829,979.05,595432.98571,0
1743538500000000,608.85,609.15,607.7,608.27,1793.681,1743539399999999,1090856.1378,5405,1074.591,653498.65644,0
1743539400000000,608.28,608.75,608.0,608.59,1123.092,1743540299999999,683214.75941,3887,414.429,252124.93703,0
1743540300000000,608.6,609.74,608.6,609.73,1190.385,1743541199999999,725246.89576,4774,687.048,418601.49009,0
1743541200000000,609.74,610.96,609.26,610.83,1526.164,1743542099999999,931204.56865,4630,943.73,575801.28605,0
1743542100000000,610.81,610.81,609.75,609.79,820.703,1743542999999999,500854.37074,2616,391.433,238875.60866,0
1743543000000000,609.79,610.62,609.39,609.5,925.789,1743543899999999,564541.8592,4156,470.572,286980.58346,0
1743543900000000,609.5,609.5,608.57,609.03,602.5,1743544799999999,366941.05162,2520,268.018,163212.14575,0
1743544800000000,609.03,610.32,608.83,610.2,942.267,1743545699999999,574428.22167,5481,479.58,292375.42921,0
1743545700000000,610.19,610.6,609.97,610.5,1833.372,1743546599999999,1118753.5752,3765,865.368,528066.59649,0
1743546600000000,610.5,614.99,610.5,611.98,11392.122,1743547499999999,6977435.39675,18888,6788.286,4156458.60821,0
1743547500000000,611.95,612.1,610.0,610.29,1159.57,1743548399999999,708750.9809,3885,393.113,240255.26675,0
1743548400000000,610.28,610.33,608.66,609.18,1526.922,1743549299999999,930359.58687,4546,736.124,448469.74782,0
1743549300000000,609.18,610.69,609.18,610.69,1244.941,1743550199999999,759402.58064,3824,802.717,489706.5313,0
1743550200000000,610.69,612.31,610.53,611.39,3133.98,1743551099999999,1916778.21644,6478,1951.058,1193254.94578,0
1743551100000000,611.39,611.5,611.0,611.13,1851.248,1743551999999999,1131310.20445,3456,601.577,367634.78002,0
1743552000000000,611.12,611.66,609.74,610.1,1845.57,1743552899999999,1127544.23576,5432,778.921,475883.25566,0
1743552900000000,610.11,610.5,608.64,609.03,1208.3,1743553799999999,736634.9041,5310,480.894,293169.2985,0
1743553800000000,609.04,609.8,608.61,608.88,1121.693,1743554699999999,683428.01168,5537,404.067,246198.62219,0
1743554700000000,608.88,609.18,607.35,607.9,1173.096,1743555599999999,713422.26749,6409,426.808,259577.8016,0
1743555600000000,607.91,608.0,606.47,607.11,2718.403,1743556499999999,1650583.28481,11363,1377.875,836646.88254,0
1743556500000000,607.1,607.46,606.51,606.52,2174.173,1743557399999999,1319393.01414,8164,1344.97,816189.42581,0
1743557400000000,606.52,609.12,606.25,608.11,3123.488,1743558299999999,1897543.82316,9395,1459.863,887132.0904,0
1743558300000000,608.1,608.26,606.45,606.99,2083.232,1743559199999999,1264551.84341,7404,1142.973,693779.73445,0
