open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1701388800000,0.1495,0.1498,0.1491,0.1493,187565.0,1701389699999,28035.114,233,62380.0,9329.2137,0
1701389700000,0.1494,0.1498,0.1492,0.1492,180784.0,1701390599999,27023.4637,167,82652.0,12356.069,0
1701390600000,0.1493,0.1504,0.149,0.1501,412865.0,1701391499999,61888.7293,332,227093.0,34043.5096,0
1701391500000,0.1502,0.1506,0.1499,0.1502,324353.0,1701392399999,48772.6002,258,185483.0,27895.4264,0
1701392400000,0.1502,0.1508,0.15,0.1507,699309.0,1701393299999,105166.571,371,572180.0,86042.4351,0
1701393300000,0.1507,0.1523,0.1506,0.152,1369571.0,1701394199999,207578.9107,833,914671.0,138577.3046,0
1701394200000,0.152,0.1528,0.1516,0.1524,801661.0,1701395099999,122147.1862,746,437100.0,66618.5822,0
1701395100000,0.1526,0.153,0.1521,0.1529,656923.0,1701395999999,100295.4084,496,423506.0,64687.081,0
1701396000000,0.1529,0.1531,0.1525,0.1525,581963.0,1701396899999,89003.8981,306,390437.0,59735.1268,0
1701396900000,0.1525,0.1525,0.152,0.152,815181.0,1701397799999,124036.8971,414,502457.0,76455.2157,0
1701397800000,0.152,0.1525,0.152,0.1523,251818.0,1701398699999,38349.5144,163,135670.0,20665.8237,0
1701398700000,0.1523,0.1527,0.1522,0.1523,397369.0,1701399599999,60617.9115,232,275859.0,42090.0613,0
1701399600000,0.1524,0.1525,0.152,0.1525,204429.0,1701400499999,31130.9538,175,93314.0,14209.9182,0
1701400500000,0.1525,0.1527,0.1522,0.1523,224784.0,1701401399999,34260.5124,181,85331.0,13013.7015,0
1701401400000,0.1523,0.1524,0.152,0.152,170826.0,1701402299999,25980.9617,138,42926.0,6532.2535,0
1701402300000,0.1521,0.1523,0.1519,0.152,105211.0,1701403199999,15993.3727,110,19748.0,3004.073,0
1701403200000,0.1521,0.1526,0.152,0.1525,421691.0,1701404099999,64152.9125,220,144336.0,21978.2033,0
1701404100000,0.1525,0.1528,0.1524,0.1526,354716.0,1701404999999,54126.2722,151,259765.0,39645.5437,0
