open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1767225600000000,0.697,0.699,0.697,0.699,1923.73,1767226499999999,1343.18966,33,1335.89,933.07085,0
1767226500000000,0.698,0.7,0.697,0.7,4183.46,1767227399999999,2920.94347,26,2291.5,1601.942,0
1767227400000000,0.7,0.702,0.7,0.701,5934.17,1767228299999999,4158.82723,33,5762.42,4038.60223,0
1767228300000000,0.701,0.701,0.699,0.701,4324.22,1767229199999999,3029.03427,31,1592.66,1116.22265,0
1767229200000000,0.701,0.703,0.7,0.702,3398.36,1767230099999999,2384.02383,66,2778.19,1949.52828,0
1767230100000000,0.702,0.703,0.701,0.703,1364.0,1767230999999999,958.24995,38,1020.02,716.97372,0
1767231000000000,0.703,0.71,0.702,0.704,16452.34,1767231899999999,11617.39705,95,14424.74,10187.92653,0
1767231900000000,0.705,0.707,0.704,0.705,2866.56,1767232799999999,2023.33548,49,2293.67,1619.4583,0
1767232800000000,0.705,0.708,0.705,0.706,5569.8,1767233699999999,3932.06256,81,1999.9,1413.07299,0
1767233700000000,0.706,0.708,0.705,0.707,3421.52,1767234599999999,2416.5844,59,1307.82,924.7459,0
1767234600000000,0.706,0.71,0.706,0.707,14734.45,1767235499999999,10444.76613,84,11532.94,8178.88742,0
1767235500000000,0.708,0.708,0.703,0.703,4779.38,1767236399999999,3374.24275,48,637.94,449.89734,0
1767236400000000,0.703,0.705,0.703,0.705,3316.28,1767237299999999,2335.89879,60,2594.59,1828.25982,0
1767237300000000,0.705,0.705,0.702,0.705,10083.02,1767238199999999,7094.73223,88,4316.81,3040.92575,0
1767238200000000,0.704,0.705,0.702,0.705,3402.72,1767239099999999,2396.02732,45,2602.05,1832.78727,0
1767239100000000,0.705,0.705,0.702,0.704,6501.3,1767239999999999,4570.31764,56,1180.48,831.96123,0
1767240000000000,0.703,0.705,0.703,0.705,3153.45,1767240899999999,2220.32632,68,1497.2,1055.0181,0
1767240900000000,0.705,0.705,0.704,0.705,1164.88,1767241799999999,820.83854,30,763.02,537.9291,0
1767241800000000,0.704,0.705,0.703,0.703,2122.73,1767242699999999,1493.67566,44,693.16,488.03854,0
1767242700000000,0.704,0.704,0.702,0.704,1691.39,1767243599999999,1189.41925,36,709.4,499.4176,0
1767243600000000,0.703,0.705,0.702,0.704,1785.49,1767244499999999,1257.65902,49,1293.48,911.46957,0
1767244500000000,0.705,0.705,0.703,0.705,1760.98,1767245399999999,1239.69615,33,554.16,390.55847,0
1767245400000000,0.705,0.705,0.703,0.705,2091.57,1767246299999999,1472.53061,44,944.83,665.69739,0
1767246300000000,0.704,0.705,0.703,0.703,1183.25,1767247199999999,833.58139,41,702.31,495.12855,0
1767247200000000,0.705,0.705,0.703,0.704,1649.93,1767248099999999,1162.30391,35,964.49,679.95012,0
