open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1682899200000,0.908,0.911,0.908,0.91,9072.3,1682900099999,8251.3963,89,7291.0,6632.3526,0
1682900100000,0.911,0.912,0.91,0.912,22834.6,1682900999999,20799.6063,144,5958.6,5430.8043,0
1682901000000,0.912,0.914,0.912,0.913,13739.9,1682901899999,12544.5444,124,8993.2,8211.061,0
1682901900000,0.914,0.914,0.911,0.911,18421.6,1682902799999,16814.5438,111,4151.3,3788.912,0
1682902800000,0.912,0.912,0.911,0.911,3503.7,1682903699999,3192.0165,32,145.8,132.9696,0
1682903700000,0.912,0.914,0.912,0.913,18122.7,1682904599999,16548.1884,115,8798.2,8035.453,0
1682904600000,0.914,0.914,0.894,0.895,158349.5,1682905499999,142516.1113,1106,52358.1,47097.0067,0
1682905500000,0.895,0.898,0.889,0.896,100301.6,1682906399999,89616.2601,951,40520.2,36220.4149,0
1682906400000,0.896,0.902,0.894,0.9,45093.4,1682907299999,40531.311,551,22023.4,19784.722,0
1682907300000,0.9,0.902,0.898,0.899,29850.3,1682908199999,26857.9586,227,16534.7,14880.1195,0
1682908200000,0.899,0.901,0.899,0.899,37894.1,1682909099999,34107.4689,107,15693.4,14127.0903,0
1682909100000,0.899,0.901,0.897,0.9,52069.4,1682909999999,46841.031,181,44878.3,40380.9674,0
1682910000000,0.9,0.9,0.897,0.897,19681.4,1682910899999,17685.6996,127,5928.7,5326.7673,0
1682910900000,0.898,0.901,0.895,0.899,38637.4,1682911799999,34710.7963,248,23136.6,20785.723,0
1682911800000,0.899,0.901,0.893,0.894,200291.8,1682912699999,179465.8423,477,23436.0,21049.3719,0
1682912700000,0.894,0.897,0.893,0.896,28905.4,1682913599999,25882.8296,180,24898.9,22299.5879,0
1682913600000,0.897,0.897,0.894,0.895,15224.5,1682914499999,13637.2147,125,4658.9,4174.3123,0
1682914500000,0.896,0.898,0.894,0.897,18682.3,1682915399999,16732.2976,116,14405.0,12902.5415,0
1682915400000,0.898,0.899,0.897,0.898,9909.2,1682916299999,8898.6902,88,6782.1,6090.7905,0
1682916300000,0.899,0.9,0.898,0.899,6170.7,1682917199999,5551.2168,60,5528.2,4973.6245,0
1682917200000,0.9,0.9,0.897,0.898,9784.6,1682918099999,8789.9946,80,3740.0,3360.8097,0
1682918100000,0.899,0.9,0.898,0.898,4121.8,1682918999999,3707.4083,55,2841.3,2556.3506,0
1682919000000,0.898,0.898,0.893,0.898,51585.3,1682919899999,46222.9528,306,25910.8,23209.6657,0
1682919900000,0.898,0.9,0.896,0.9,37540.3,1682920799999,33732.0532,246,24047.4,21618.0245,0
1682920800000,0.9,0.901,0.899,0.9,12867.5,1682921699999,11588.4462,109,6894.4,6209.7478,0
1682921700000,0.901,0.903,0.9,0.901,136385.5,1682922599999,122900.9008,335,82782.3,74610.2984,0
1682922600000,0.902,0.902,0.901,0.901,6300.9,1682923499999,5682.2077,55,3697.0,3334.694,0
1682923500000,0.902,0.903,0.901,0.902,5653.5,1682924399999,5098.4285,55,4518.7,4075.9236,0
1682924400000,0.903,0.905,0.902,0.903,20343.9,1682925299999,18394.2842,188,11229.6,10154.3434,0
1682925300000,0.903,0.905,0.903,0.904,3872.7,1682926199999,3498.6875,52,1432.9,1295.4435,0
1682926200000,0.905,0.905,0.903,0.903,10349.2,1682927099999,9356.7537,63,3432.0,3103.8523,0
1682927100000,0.904,0.905,0.902,0.903,28126.6,1682927999999,25412.0676,132,15434.9,13949.9161,0
1682928000000,0.903,0.904,0.9,0.902,19624.9,1682928899999,17704.3956,106,4770.1,4306.9939,0
1682928900000,0.902,0.903,0.901,0.902,13453.0,1682929799999,12138.5872,91,5528.9,4991.3433,0
1682929800000,0.902,0.905,0.902,0.904,8517.9,1682930699999,7692.8332,80,5666.8,5119.5471,0
1682930700000,0.905,0.905,0.902,0.904,20259.5,1682931599999,18307.4435,109,10251.1,9265.251,0
1682931600000,0.905,0.905,0.902,0.902,33393.0,1682932499999,30161.1238,81,2074.6,1874.666,0
1682932500000,0.903,0.905,0.903,0.903,11657.3,1682933399999,10533.7281,72,7868.6,7110.2955,0
1682933400000,0.903,0.903,0.9,0.9,7031.3,1682934299999,6341.8388,76,1105.3,996.3852,0
1682934300000,0.901,0.901,0.897,0.897,131291.8,1682935199999,118061.0687,252,7190.4,6464.8204,0
