open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1738368000000000,0.5694,0.5694,0.5685,0.5691,4012.3,1738368899999999,2283.02186,74,2241.3,1275.56538,0
1738368900000000,0.5689,0.5707,0.5673,0.5679,5188.5,1738369799999999,2952.32263,135,2557.6,1457.11231,0
1738369800000000,0.5672,0.5718,0.5672,0.5717,2467.8,1738370699999999,1405.97449,79,2038.3,1161.45484,0
1738370700000000,0.5709,0.5791,0.5708,0.579,31488.1,1738371599999999,18150.31467,309,17853.9,10284.78469,0
1738371600000000,0.5791,0.5807,0.5786,0.5792,10742.2,1738372499999999,6225.37765,196,6722.8,3896.68415,0
1738372500000000,0.579,0.5805,0.5772,0.5802,4797.3,1738373399999999,2775.88813,147,2814.6,1628.54224,0
1738373400000000,0.5803,0.5818,0.5796,0.5817,3702.6,1738374299999999,2151.13579,90,1081.7,628.22145,0
1738374300000000,0.5816,0.5825,0.5792,0.5798,1877.0,1738375199999999,1089.6052,79,1238.0,718.7245,0
1738375200000000,0.5795,0.5795,0.577,0.5775,5962.7,1738376099999999,3447.05815,127,1660.5,960.27084,0
1738376100000000,0.5775,0.5829,0.5775,0.5827,14917.9,1738376999999999,8652.13322,191,12666.3,7345.92158,0
1738377000000000,0.5827,0.5827,0.5796,0.582,13245.7,1738377899999999,7708.27131,199,2648.8,1540.09833,0
1738377900000000,0.5817,0.5835,0.58,0.5807,23133.7,1738378799999999,13446.73523,217,2906.0,1689.83877,0
1738378800000000,0.5804,0.5804,0.5779,0.5786,9694.6,1738379699999999,5617.70572,135,5451.2,3158.65059,0
1738379700000000,0.578,0.5792,0.5772,0.5779,7723.3,1738380599999999,4462.45093,118,3447.2,1992.12474,0
1738380600000000,0.5775,0.5779,0.5756,0.5767,9455.0,1738381499999999,5454.77302,105,3887.8,2241.31935,0
1738381500000000,0.5765,0.5773,0.5754,0.5762,4445.6,1738382399999999,2560.93635,70,3170.2,1825.703,0
1738382400000000,0.5763,0.5774,0.5761,0.5763,4568.2,1738383299999999,2634.02896,59,2509.4,1446.80706,0
1738383300000000,0.5756,0.5794,0.5747,0.5794,5375.3,1738384199999999,3099.53081,84,2319.6,1338.61611,0
1738384200000000,0.5791,0.5826,0.5786,0.5821,6733.2,1738385099999999,3913.44892,111,4627.0,2690.08246,0
1738385100000000,0.5819,0.5835,0.579,0.582,17495.8,1738385999999999,10166.07465,246,9379.5,5449.23364,0
1738386000000000,0.5819,0.5857,0.5811,0.5857,15303.6,1738386899999999,8936.07211,232,5542.8,3235.35272,0
1738386900000000,0.5859,0.5861,0.5818,0.5839,17071.2,1738387799999999,9961.11994,306,4961.9,2896.20357,0
1738387800000000,0.5841,0.5875,0.5831,0.5871,28805.6,1738388699999999,16849.17015,402,16150.6,9451.78933,0
1738388700000000,0.5875,0.5895,0.5862,0.5869,13308.5,1738389599999999,7821.42098,235,6380.1,3750.46638,0
1738389600000000,0.5862,0.5862,0.5819,0.5832,25790.5,1738390499999999,15066.95925,200,11401.1,6664.7244,0
1738390500000000,0.5835,0.5837,0.581,0.583,5620.1,1738391399999999,3271.69489,88,3460.9,2015.90723,0
1738391400000000,0.5831,0.5862,0.5821,0.5822,18594.4,1738392299999999,10868.91046,176,12011.8,7022.09963,0
1738392300000000,0.5823,0.5875,0.5802,0.5865,14194.5,1738393199999999,8306.6732,164,9394.6,5500.7567,0
1738393200000000,0.5862,0.5863,0.5841,0.5844,8330.3,1738394099999999,4871.98144,146,1977.9,1157.26241,0
1738394100000000,0.5845,0.5853,0.5808,0.5811,16268.4,1738394999999999,9473.02008,184,8522.1,4962.68577,0
1738395000000000,0.5812,0.5817,0.5787,0.5788,5118.7,1738395899999999,2967.47599,99,2958.6,1714.64145,0
1738395900000000,0.5789,0.5798,0.5779,0.5795,2616.4,1738396799999999,1514.23309,101,1745.8,1010.55763,0
1738396800000000,0.5791,0.5813,0.5791,0.5793,13321.1,1738397699999999,7725.79059,201,10898.1,6321.1934,0
1738397700000000,0.5792,0.5793,0.5768,0.5768,7918.3,1738398599999999,4574.86931,93,1490.9,861.24401,0
1738398600000000,0.5769,0.5769,0.5744,0.5751,4805.9,1738399499999999,2765.20914,110,968.7,557.22904,0
1738399500000000,0.575,0.575,0.572,0.5742,10157.1,1738400399999999,5820.92169,205,2926.9,1677.1978,0
1738400400000000,0.574,0.5756,0.5716,0.5743,11135.9,1738401299999999,6388.19932,248,2909.3,1671.11058,0
1738401300000000,0.5742,0.5752,0.5729,0.5731,10231.2,1738402199999999,5871.73399,271,5441.3,3122.16733,0
1738402200000000,0.5731,0.5736,0.5692,0.5692,13135.6,1738403099999999,7493.85842,222,2721.8,1555.12329,0
1738403100000000,0.5692,0.5695,0.5665,0.5693,10342.1,1738403999999999,5869.88823,187,6066.1,3443.4346,0
1738404000000000,0.5694,0.5768,0.5694,0.575,34213.8,1738404899999999,19630.2978,291,23761.6,13647.0966,0
1738404900000000,0.575,0.5773,0.573,0.5758,23742.1,1738405799999999,13657.36543,299,14359.4,8257.61041,0
1738405800000000,0.5758,0.5785,0.5758,0.5771,4347.8,1738406699999999,2510.12338,154,1383.3,798.90979,0
1738406700000000,0.5772,0.578,0.5735,0.5749,16387.8,1738407599999999,9415.88056,218,1655.9,951.86898,0
1738407600000000,0.5748,0.5771,0.5727,0.577,12649.0,1738408499999999,7259.03205,244,3742.3,2148.7968,0
1738408500000000,0.5771,0.5798,0.5738,0.5751,29297.1,1738409399999999,16878.8955,323,12575.9,7241.95714,0
1738409400000000,0.5749,0.5753,0.5729,0.5737,13569.7,1738410299999999,7786.93305,289,7229.1,4149.39181,0
1738410300000000,0.5737,0.5757,0.5728,0.5753,14428.1,1738411199999999,8274.31177,175,11086.7,6357.87555,0
1738411200000000,0.5751,0.5844,0.5735,0.5795,68132.6,1738412099999999,39463.23688,702,37718.8,21820.65912,0
1738412100000000,0.5795,0.5803,0.575,0.5777,21742.9,1738412999999999,12545.46275,330,6445.8,3719.24052,0
1738413000000000,0.5777,0.578,0.5763,0.5764,24267.6,1738413899999999,14022.42587,230,19183.0,11086.35895,0
1738413900000000,0.5763,0.5829,0.5763,0.5816,44298.8,1738414799999999,25672.93571,467,28207.2,16323.32895,0
1738414800000000,0.5817,0.5817,0.5782,0.5801,18899.1,1738415699999999,10961.77468,300,11701.1,6786.98597,0
1738415700000000,0.5805,0.5812,0.5781,0.5788,9274.9,1738416599999999,5368.18334,127,4442.7,2571.88199,0
1738416600000000,0.5781,0.5781,0.5729,0.5729,14325.6,1738417499999999,8252.92199,208,1438.2,829.20093,0
1738417500000000,0.5729,0.573,0.5674,0.5683,22345.2,1738418399999999,12744.24854,312,9479.8,5408.60976,0
1738418400000000,0.5687,0.5727,0.568,0.571,10087.7,1738419299999999,5759.01264,243,6214.3,3547.52551,0
1738419300000000,0.5706,0.5771,0.5694,0.5759,23994.1,1738420199999999,13793.10893,271,12050.8,6921.5653,0
1738420200000000,0.5757,0.5774,0.5751,0.577,8369.5,1738421099999999,4822.57017,167,4186.6,2411.87539,0
1738421100000000,0.5767,0.5767,0.5712,0.5722,7389.9,1738421999999999,4237.86656,148,2201.5,1263.60651,0
1738422000000000,0.5722,0.5727,0.5666,0.5673,21594.4,1738422899999999,12291.08728,325,5778.1,3285.52154,0
1738422900000000,0.5674,0.568,0.5637,0.5667,12674.4,1738423799999999,7164.75182,263,2741.2,1551.1147,0
1738423800000000,0.5661,0.5718,0.5659,0.5717,10730.4,1738424699999999,6111.91973,205,6576.7,3747.89822,0
1738424700000000,0.5713,0.5726,0.5704,0.5724,5224.6,1738425599999999,2986.74324,140,2914.0,1665.91688,0
1738425600000000,0.5711,0.5751,0.5701,0.572,6771.1,1738426499999999,3872.65005,173,3832.0,2192.32673,0
1738426500000000,0.572,0.572,0.5667,0.5702,12969.3,1738427399999999,7379.9005,303,6890.5,3917.31863,0
1738427400000000,0.5703,0.5708,0.5671,0.5678,10329.7,1738428299999999,5884.61239,191,4649.8,2649.8465,0
1738428300000000,0.5678,0.568,0.5643,0.5648,5064.7,1738429199999999,2869.26789,168,1982.6,1124.40678,0
1738429200000000,0.5649,0.5681,0.5641,0.566,40834.3,1738430099999999,23100.30581,297,23907.5,13516.3123,0
1738430100000000,0.5649,0.5697,0.5646,0.5678,12853.3,1738430999999999,7296.2039,222,7282.2,4131.53892,0
1738431000000000,0.5669,0.5669,0.5627,0.5637,10023.0,1738431899999999,5655.4887,203,3540.6,1998.77376,0
1738431900000000,0.5638,0.5655,0.5638,0.5653,4944.3,1738432799999999,2793.29673,137,4082.3,2306.47326,0
1738432800000000,0.5653,0.5657,0.5619,0.5634,7969.9,1738433699999999,4491.83312,198,2867.7,1617.12627,0
1738433700000000,0.563,0.5638,0.5611,0.5625,10035.6,1738434599999999,5645.86081,179,3114.5,1752.12254,0
1738434600000000,0.5627,0.5637,0.5565,0.5584,57588.5,1738435499999999,32155.84516,487,16406.7,9148.98133,0
1738435500000000,0.5584,0.5599,0.5546,0.5557,13340.1,1738436399999999,7426.08761,282,6049.1,3368.62696,0
1738436400000000,0.5557,0.5566,0.554,0.555,14892.0,1738437299999999,8265.7318,184,11244.7,6241.00586,0
1738437300000000,0.555,0.5566,0.5529,0.5531,9696.3,1738438199999999,5371.39734,277,2999.8,1662.18149,0
1738438200000000,0.5529,0.5532,0.5501,0.5501,32882.2,1738439099999999,18135.56615,355,19546.3,10781.88395,0
1738439100000000,0.5502,0.5527,0.5481,0.5519,22146.0,1738439999999999,12180.53534,418,8680.5,4772.2223,0
1738440000000000,0.5519,0.5523,0.5468,0.5475,13122.9,1738440899999999,7200.57787,313,4919.2,2701.78919,0
1738440900000000,0.5477,0.5675,0.5477,0.5656,304954.1,1738441799999999,171637.42015,1644,210865.1,118742.93635,0
1738441800000000,0.564,0.5641,0.5429,0.548,224348.0,1738442699999999,124217.52316,1848,94689.4,52444.93612,0
1738442700000000,0.5473,0.5514,0.5421,0.5501,79934.4,1738443599999999,43618.86937,610,43435.7,23706.46463,0
1738443600000000,0.5499,0.5608,0.5468,0.5583,99903.8,1738444499999999,55632.68123,965,41837.4,23239.18696,0
1738444500000000,0.5585,0.5585,0.5522,0.5539,59946.8,1738445399999999,33224.52432,948,27587.4,15285.75364,0
1738445400000000,0.5537,0.5539,0.5491,0.5506,39400.5,1738446299999999,21727.60031,596,14253.9,7852.02023,0
1738446300000000,0.5504,0.5568,0.5426,0.5454,182267.2,1738447199999999,100184.88044,1057,74356.5,40891.97349,0
1738447200000000,0.5451,0.5478,0.5425,0.5425,11631.6,1738448099999999,6349.69643,299,5233.6,2856.06054,0
1738448100000000,0.5427,0.5431,0.5402,0.541,9095.3,1738448999999999,4924.73944,226,5123.9,2774.34502,0
1738449000000000,0.5408,0.5438,0.5371,0.5432,26028.3,1738449899999999,14047.63959,324,7729.8,4182.56933,0
1738449900000000,0.5432,0.5432,0.5379,0.5386,3253.8,1738450799999999,1756.06759,124,1141.6,615.88588,0
1738450800000000,0.5383,0.5383,0.532,0.5321,45759.6,1738451699999999,24482.78719,492,13883.3,7430.1313,0
1738451700000000,0.5321,0.5329,0.5293,0.5324,22980.8,1738452599999999,12211.47,434,9098.8,4836.18739,0
1738452600000000,0.5318,0.5398,0.5318,0.5395,7504.1,1738453499999999,4023.59045,209,5777.2,3097.47585,0
1738453500000000,0.5395,0.5406,0.5366,0.5366,14739.7,1738454399999999,7935.64937,230,10586.1,5698.4649,0
1738454400000000,0.5367,0.544,0.536,0.5434,25733.8,1738455299999999,13862.83487,255,19774.9,10653.64628,0
1738455300000000,0.5432,0.5453,0.5412,0.5448,14079.7,1738456199999999,7641.4084,211,7724.8,4189.71032,0
1738456200000000,0.5448,0.5479,0.5445,0.5467,14266.9,1738457099999999,7794.39651,272,3731.3,2038.92248,0
1738457100000000,0.5465,0.5484,0.5429,0.543,12176.5,1738457999999999,6644.48428,226,4717.0,2577.85932,0
1738458000000000,0.543,0.5453,0.5413,0.544,6685.7,1738458899999999,3631.23576,216,2831.7,1537.66787,0
1738458900000000,0.544,0.5455,0.543,0.5443,4653.2,1738459799999999,2532.44843,142,2206.0,1200.84443,0
1738459800000000,0.5444,0.5445,0.5401,0.5427,16784.0,1738460699999999,9091.37698,277,3435.4,1863.47569,0
1738460700000000,0.5434,0.5434,0.5398,0.5403,7371.1,1738461599999999,3987.78305,133,1501.9,812.19056,0
1738461600000000,0.5406,0.5406,0.5347,0.535,15164.9,1738462499999999,8140.37725,299,4041.7,2170.04262,0
1738462500000000,0.5348,0.5392,0.5336,0.5374,12364.4,1738463399999999,6620.09484,310,8780.9,4700.07739,0
1738463400000000,0.5375,0.5375,0.5336,0.5353,6268.6,1738464299999999,3353.43291,236,3372.3,1802.46816,0
1738464300000000,0.5354,0.5358,0.5314,0.5319,6860.6,1738465199999999,3657.58838,203,2700.0,1438.7358,0
1738465200000000,0.532,0.536,0.525,0.5267,37545.0,1738466099999999,19874.11559,626,16026.7,8485.7455,0
1738466100000000,0.5258,0.5282,0.5219,0.523,45543.3,1738466999999999,23872.49738,821,22971.2,12049.36957,0
1738467000000000,0.5229,0.5299,0.5226,0.5279,32108.1,1738467899999999,16940.92394,743,19682.2,10385.75478,0
