open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1725148800000,23.49,23.49,23.39,23.39,555.558,1725149699999,13026.16723,148,309.924,7267.82752,0
1725149700000,23.41,23.42,23.32,23.37,274.219,1725150599999,6403.2338,76,186.927,4364.90301,0
1725150600000,23.35,23.44,23.35,23.41,145.128,1725151499999,3398.64668,39,115.467,2704.21301,0
1725151500000,23.42,23.45,23.4,23.42,28.361,1725152399999,664.00699,23,5.448,127.61911,0
1725152400000,23.42,23.42,23.35,23.35,45.789,1725153299999,1070.65848,17,25.386,593.10231,0
1725153300000,23.37,23.4,23.32,23.32,41.068,1725154199999,958.97083,11,12.047,281.62287,0
1725154200000,23.32,23.34,23.28,23.31,49.686,1725155099999,1159.03478,23,39.143,913.31757,0
1725155100000,23.3,23.32,23.23,23.25,470.196,1725155999999,10942.00212,88,189.644,4413.02433,0
1725156000000,23.26,23.26,23.12,23.2,110.044,1725156899999,2552.86908,51,57.84,1342.85181,0
1725156900000,23.23,23.24,23.16,23.21,460.027,1725157799999,10673.9645,81,228.135,5295.01039,0
1725157800000,23.2,23.26,23.19,23.22,587.863,1725158699999,13656.45029,157,458.765,10656.38259,0
1725158700000,23.21,23.26,23.21,23.24,147.588,1725159599999,3427.5551,33,140.236,3256.73104,0
1725159600000,23.26,23.3,23.24,23.3,156.772,1725160499999,3646.89854,32,96.098,2235.93985,0
1725160500000,23.31,23.33,23.3,23.3,16.903,1725161399999,393.98553,7,5.717,133.34915,0
1725161400000,23.32,23.33,23.25,23.25,49.911,1725162299999,1162.28025,39,22.195,517.24317,0
1725162300000,23.27,23.3,23.24,23.26,27.415,1725163199999,638.18184,42,11.473,267.05881,0
1725163200000,23.29,23.29,23.21,23.24,110.468,1725164099999,2566.12346,39,29.306,681.49714,0
1725164100000,23.24,23.32,23.24,23.32,99.115,1725164999999,2309.5093,18,98.34,2291.49055,0
1725165000000,23.32,23.38,23.31,23.36,477.888,1725165899999,11164.87572,60,323.713,7562.52555,0
1725165900000,23.36,23.37,23.34,23.36,50.569,1725166799999,1180.88557,25,12.409,289.68262,0
1725166800000,23.38,23.39,23.33,23.37,87.395,1725167699999,2042.11757,27,49.798,1163.80707,0
1725167700000,23.35,23.37,23.29,23.37,327.195,1725168599999,7636.90853,50,214.051,4998.95573,0
1725168600000,23.31,23.35,23.18,23.21,575.268,1725169499999,13392.44069,60,81.873,1904.57891,0
1725169500000,23.23,23.25,23.16,23.17,284.19,1725170399999,6591.63632,59,193.387,4486.16951,0
1725170400000,23.17,23.29,23.12,23.27,297.779,1725171299999,6919.88935,54,242.203,5631.74806,0
1725171300000,23.27,23.27,23.21,23.24,65.822,1725172199999,1530.03024,27,18.147,421.89054,0
1725172200000,23.25,23.29,23.22,23.24,753.567,1725173099999,17512.81059,99,169.02,3932.13805,0
1725173100000,23.24,23.29,23.2,23.23,36.537,1725173999999,849.05768,24,24.436,567.79135,0
1725174000000,23.29,23.29,23.25,23.28,41.307,1725174899999,961.62813,9,29.866,695.46788,0
