open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,0.06646,0.06673,0.06641,0.06665,10990243.0,1688170499999,731610.1,1461,6324079.0,420938.88592,0
1688170500000,0.06665,0.067,0.06651,0.06693,22287489.0,1688171399999,1490480.71327,2364,13163182.0,880227.03774,0
1688171400000,0.06693,0.06708,0.06684,0.06706,13723780.0,1688172299999,919539.51138,1934,7378140.0,494321.34636,0
1688172300000,0.06706,0.06708,0.06674,0.06684,14024134.0,1688173199999,938176.6012,1897,7989420.0,534502.34419,0
1688173200000,0.06682,0.07093,0.06679,0.07083,123591327.0,1688174099999,8484663.33095,23698,79419352.0,5449183.57959,0
1688174100000,0.07081,0.0728,0.06906,0.07011,249135943.0,1688174999999,17521166.27827,51431,133010929.0,9360393.40655,0
1688175000000,0.07011,0.071,0.06981,0.06984,78652348.0,1688175899999,5532272.52516,13017,41279413.0,2903963.83862,0
1688175900000,0.06983,0.06998,0.06887,0.06899,49614643.0,1688176799999,3441722.47296,7615,24660789.0,1710360.79544,0
1688176800000,0.06899,0.06927,0.06836,0.06856,31867153.0,1688177699999,2192863.63952,5135,15952152.0,1097727.69522,0
1688177700000,0.06856,0.06881,0.06839,0.06871,19016728.0,1688178599999,1304289.24274,2464,11135295.0,763876.99261,0
1688178600000,0.0687,0.06964,0.0687,0.06942,29535673.0,1688179499999,2042103.99211,4461,15848334.0,1095918.78316,0
1688179500000,0.06943,0.06946,0.06892,0.06909,21503907.0,1688180399999,1487378.20687,3152,11793087.0,815789.67362,0
1688180400000,0.06908,0.06929,0.06857,0.06869,13028117.0,1688181299999,898657.66473,2383,6229450.0,429782.55596,0
1688181300000,0.0687,0.06905,0.06858,0.06893,9738757.0,1688182199999,670701.27781,1387,5097084.0,351015.83949,0
1688182200000,0.06893,0.06954,0.06873,0.06923,12814654.0,1688183099999,886587.62209,2305,7582907.0,524687.51807,0
1688183100000,0.06923,0.06963,0.06905,0.06959,17997708.0,1688183999999,1249522.30189,2852,9241205.0,641551.59067,0
1688184000000,0.0696,0.07006,0.06948,0.07001,23755133.0,1688184899999,1656081.31929,3601,13067983.0,911192.61177,0
1688184900000,0.07001,0.07005,0.06843,0.06936,53400630.0,1688185799999,3691040.16579,8735,28483744.0,1969355.11665,0
1688185800000,0.06936,0.06995,0.06891,0.06981,20834917.0,1688186699999,1449033.00533,4266,9861980.0,685962.86607,0
1688186700000,0.06977,0.06996,0.06866,0.06889,20717468.0,1688187599999,1434675.14526,3586,9318666.0,645730.88479,0
1688187600000,0.06889,0.06898,0.06818,0.06851,27111000.0,1688188499999,1859039.28796,3553,12265690.0,841019.75989,0
1688188500000,0.06852,0.06862,0.06809,0.06809,37975715.0,1688189399999,2593148.65714,4257,22358211.0,1526703.63069,0
1688189400000,0.0681,0.06829,0.06806,0.06816,10757064.0,1688190299999,733400.74697,1595,5144399.0,350723.75674,0
1688190300000,0.06817,0.06839,0.06815,0.0683,6607224.0,1688191199999,451281.69647,1062,3075511.0,210048.38503,0
1688191200000,0.0683,0.06837,0.06813,0.0683,8103672.0,1688192099999,553166.00585,1194,4387603.0,299457.9244,0
1688192100000,0.0683,0.06831,0.06784,0.06808,10798009.0,1688192999999,734711.83513,2184,4542337.0,309008.66895,0
1688193000000,0.06808,0.06812,0.06782,0.06812,8096807.0,1688193899999,550268.90365,1548,3151518.0,214229.75107,0
1688193900000,0.06812,0.06848,0.0681,0.06847,14826275.0,1688194799999,1013086.65089,2189,8164821.0,557810.15791,0
1688194800000,0.06847,0.06857,0.06817,0.06824,7422081.0,1688195699999,507266.35262,1585,2889724.0,197483.65336,0
1688195700000,0.06824,0.0683,0.06786,0.06788,9367355.0,1688196599999,637398.40915,1602,3666742.0,249462.89571,0
1688196600000,0.06789,0.06802,0.06776,0.06792,7616354.0,1688197499999,517203.97847,1445,2779332.0,188728.41278,0
1688197500000,0.06792,0.06809,0.06778,0.06808,7323129.0,1688198399999,497318.57688,1099,3802226.0,258220.98875,0
1688198400000,0.06808,0.06826,0.06796,0.0682,6300537.0,1688199299999,429274.51426,1266,2850997.0,194228.13177,0
1688199300000,0.06821,0.06826,0.06811,0.06824,4822551.0,1688200199999,328849.31198,813,2161457.0,147394.70652,0
1688200200000,0.06824,0.06833,0.0679,0.06831,9750092.0,1688201099999,664532.44141,1644,5077680.0,346187.57462,0
1688201100000,0.06831,0.06847,0.068,0.06826,6224385.0,1688201999999,424747.96918,1231,2769297.0,188981.1369,0
1688202000000,0.06827,0.06829,0.0679,0.06807,5715789.0,1688202899999,389178.74455,1025,2337124.0,159107.20315,0
1688202900000,0.06806,0.0684,0.068,0.0684,6207112.0,1688203799999,423417.34404,1031,2904654.0,198112.19381,0
1688203800000,0.06839,0.06854,0.06826,0.06827,4412449.0,1688204699999,301675.14122,917,2095604.0,143281.19293,0
1688204700000,0.06827,0.06847,0.06825,0.0684,6087298.0,1688205599999,416249.87465,979,3158932.0,215993.13799,0
1688205600000,0.0684,0.06841,0.06813,0.06817,5246109.0,1688206499999,357924.38709,841,2287539.0,156039.63396,0
1688206500000,0.06816,0.06819,0.0679,0.06812,8354942.0,1688207399999,568427.76174,1338,3547727.0,241369.07015,0
1688207400000,0.06812,0.06816,0.06742,0.06767,20708591.0,1688208299999,1403996.37229,2850,8122095.0,550636.30211,0
1688208300000,0.06767,0.0677,0.06702,0.06736,18278457.0,1688209199999,1230011.1422,3306,8349597.0,561936.54674,0
1688209200000,0.06737,0.06755,0.06733,0.06733,6753045.0,1688210099999,455481.93561,1146,3185357.0,214861.6666,0
1688210100000,0.06735,0.06755,0.06733,0.06739,5634195.0,1688210999999,379873.03848,919,3121570.0,210462.58967,0
1688211000000,0.06739,0.06768,0.06739,0.06763,8399687.0,1688211899999,567249.25413,1163,4903394.0,331137.94172,0
1688211900000,0.06762,0.06776,0.06756,0.06767,4556177.0,1688212799999,308309.51853,802,1994035.0,134955.47979,0
1688212800000,0.06767,0.06803,0.06762,0.068,9613673.0,1688213699999,651648.76397,1280,3889805.0,263775.28545,0
1688213700000,0.068,0.06823,0.06788,0.06807,9251568.0,1688214599999,629482.5547,1349,4085742.0,278126.56524,0
1688214600000,0.06808,0.06825,0.06799,0.06822,6634883.0,1688215499999,452109.34399,966,3005040.0,204778.88903,0
1688215500000,0.06822,0.06832,0.06782,0.06794,12526516.0,1688216399999,852725.96202,1764,5210115.0,354791.37656,0
1688216400000,0.06793,0.06823,0.06789,0.06792,8742433.0,1688217299999,595321.02456,1232,3937012.0,268058.43879,0
1688217300000,0.06791,0.06819,0.0679,0.06797,6208852.0,1688218199999,422655.73554,896,3351765.0,228135.3648,0
1688218200000,0.06798,0.06816,0.06789,0.0679,8758578.0,1688219099999,595616.79714,1077,2686570.0,182735.37665,0
1688219100000,0.0679,0.06802,0.06777,0.068,6336132.0,1688219999999,430004.61435,891,4044024.0,274442.88236,0
1688220000000,0.06801,0.06806,0.06766,0.06784,10906890.0,1688220899999,739861.13217,1414,4304990.0,291974.27906,0
1688220900000,0.06783,0.06792,0.0677,0.06782,6016885.0,1688221799999,408019.27825,809,2443109.0,165692.02529,0
1688221800000,0.06781,0.06792,0.06762,0.0679,6492922.0,1688222699999,440050.73653,798,3031204.0,205460.61665,0
1688222700000,0.0679,0.06817,0.06787,0.06803,9242083.0,1688223599999,629019.97577,1323,4250613.0,289289.07921,0
1688223600000,0.06803,0.06812,0.06782,0.06783,6615773.0,1688224499999,449577.67021,1052,3400930.0,231131.70955,0
1688224500000,0.06783,0.06792,0.06753,0.06786,7514178.0,1688225399999,509314.62924,1163,2957253.0,200520.85141,0
1688225400000,0.06786,0.0679,0.06778,0.06789,3436098.0,1688226299999,233116.24897,548,1510651.0,102481.86535,0
1688226300000,0.06789,0.06797,0.06768,0.06774,5031598.0,1688227199999,341201.29312,736,2681699.0,181829.69235,0
1688227200000,0.06775,0.0685,0.06775,0.06814,26250031.0,1688228099999,1789867.62028,3461,16638349.0,1134774.83878,0
1688228100000,0.06814,0.06818,0.06779,0.0681,10285533.0,1688228999999,699360.986,1528,5249260.0,357010.872,0
1688229000000,0.0681,0.06852,0.06788,0.06847,9541419.0,1688229899999,650259.37773,1473,4534143.0,309072.66137,0
1688229900000,0.06847,0.06884,0.06821,0.06853,31984841.0,1688230799999,2193783.58221,4579,15702217.0,1077016.10548,0
1688230800000,0.06852,0.06857,0.06819,0.06829,18990875.0,1688231699999,1297811.85392,1988,7734594.0,528553.80783,0
1688231700000,0.06828,0.06833,0.0681,0.06831,7128005.0,1688232599999,486230.03119,976,3519359.0,240085.28735,0
1688232600000,0.06831,0.06863,0.06817,0.06858,11206486.0,1688233499999,766943.84083,1279,6450901.0,441390.48642,0
1688233500000,0.06859,0.06859,0.06808,0.06818,8488485.0,1688234399999,579491.5519,1135,3235625.0,220775.06198,0
1688234400000,0.06817,0.06824,0.068,0.06801,5063559.0,1688235299999,344888.95201,795,1924347.0,131053.93256,0
1688235300000,0.06801,0.06817,0.06792,0.06816,6267328.0,1688236199999,426359.60969,975,2729020.0,185657.72767,0
1688236200000,0.06816,0.06839,0.06812,0.06837,3288196.0,1688237099999,224459.98433,626,1667097.0,113798.45358,0
1688237100000,0.06836,0.0685,0.06835,0.06846,4808863.0,1688237999999,329143.15752,647,2400869.0,164305.09904,0
1688238000000,0.06848,0.06868,0.06834,0.06853,8393665.0,1688238899999,575424.3777,935,5506232.0,377519.80387,0
1688238900000,0.06852,0.06852,0.06828,0.06838,3797026.0,1688239799999,259625.12523,656,1442356.0,98598.83764,0
1688239800000,0.06838,0.0685,0.06832,0.06835,1975664.0,1688240699999,135148.14108,376,782996.0,53565.35468,0
1688240700000,0.06835,0.06836,0.06815,0.06816,3807870.0,1688241599999,259946.18833,695,1659085.0,113243.89564,0
1688241600000,0.06816,0.06819,0.068,0.06811,3737356.0,1688242499999,254467.17718,670,1519129.0,103425.43746,0
1688242500000,0.0681,0.06823,0.06808,0.06822,2955577.0,1688243399999,201530.69034,458,1489881.0,101579.32488,0
1688243400000,0.06821,0.06856,0.06818,0.0684,5452026.0,1688244299999,372754.23227,868,3437343.0,234978.4791,0
1688244300000,0.06841,0.06847,0.06831,0.06841,3395838.0,1688245199999,232269.32932,526,1585913.0,108470.16947,0
1688245200000,0.0684,0.06843,0.06821,0.06828,3881408.0,1688246099999,264971.55392,593,1416983.0,96733.24586,0
1688246100000,0.06827,0.06829,0.0681,0.06821,2333748.0,1688246999999,159136.47181,450,882943.0,60182.14885,0
1688247000000,0.06822,0.06847,0.06817,0.06847,5249760.0,1688247899999,358598.2682,621,3605617.0,246261.94109,0
1688247900000,0.06847,0.06878,0.06837,0.06855,10168804.0,1688248799999,697517.95795,1718,5548138.0,380574.20649,0
1688248800000,0.06856,0.06867,0.0685,0.06866,3988708.0,1688249699999,273447.56562,615,2002324.0,137280.76208,0
1688249700000,0.06867,0.06875,0.06854,0.06858,4485914.0,1688250599999,307827.40928,736,1816480.0,124670.15857,0
1688250600000,0.06857,0.06858,0.0681,0.06819,11487188.0,1688251499999,784393.83999,1676,3613004.0,246641.33431,0
1688251500000,0.06819,0.06827,0.06805,0.06827,3302277.0,1688252399999,225105.74097,592,1320036.0,89986.50733,0
1688252400000,0.06827,0.06842,0.06827,0.06842,2969322.0,1688253299999,202952.21906,509,1835810.0,125477.72153,0
1688253300000,0.06841,0.06858,0.06833,0.06846,3925127.0,1688254199999,268731.25047,632,1950801.0,133543.879,0
1688254200000,0.06846,0.0686,0.06837,0.06839,5647034.0,1688255099999,386723.45383,639,1535964.0,105176.25935,0
1688255100000,0.0684,0.06852,0.06834,0.06851,3604539.0,1688255999999,246580.82163,486,1803587.0,123374.64068,0
1688256000000,0.06851,0.06857,0.06794,0.06804,10599873.0,1688256899999,723031.26148,1601,3833624.0,261473.79233,0
1688256900000,0.06805,0.06814,0.0673,0.06783,39811771.0,1688257799999,2692603.15134,5713,19971369.0,1350447.29942,0
1688257800000,0.06782,0.06784,0.06733,0.06767,21435657.0,1688258699999,1448656.05332,2885,10258165.0,693099.48062,0
1688258700000,0.06769,0.06789,0.06756,0.06773,7752927.0,1688259599999,525149.07196,1045,3323925.0,225126.46744,0
1688259600000,0.06772,0.0679,0.06748,0.06775,18772658.0,1688260499999,1271160.36512,2139,8479133.0,574256.38773,0
1688260500000,0.06779,0.06792,0.06755,0.06768,31365218.0,1688261399999,2124989.47151,2470,15963899.0,1081459.31015,0
1688261400000,0.06769,0.06777,0.06749,0.06755,8733615.0,1688262299999,590630.20153,1051,4114130.0,278218.23485,0
1688262300000,0.06755,0.0676,0.06709,0.06732,12230865.0,1688263199999,823299.53225,1923,4389370.0,295411.60816,0
1688263200000,0.06732,0.06737,0.06712,0.06729,8748451.0,1688264099999,588350.36578,1077,3847408.0,258727.54143,0
1688264100000,0.06729,0.0673,0.06652,0.0669,36315864.0,1688264999999,2427307.03663,4954,16141682.0,1078893.59415,0
1688265000000,0.06691,0.06738,0.06691,0.06728,6642182.0,1688265899999,446396.5995,1184,4360292.0,292975.83773,0
1688265900000,0.06728,0.06736,0.06712,0.06716,5211881.0,1688266799999,350547.66851,642,1427596.0,96017.31315,0
1688266800000,0.06716,0.06731,0.06708,0.0673,4949856.0,1688267699999,332606.67748,593,2924679.0,196516.79686,0
1688267700000,0.0673,0.06737,0.06722,0.06735,3284302.0,1688268599999,221040.82073,476,2140402.0,144067.81351,0
1688268600000,0.06736,0.06736,0.06691,0.06708,10833235.0,1688269499999,727349.45499,1065,3175995.0,213018.97795,0
1688269500000,0.06708,0.06708,0.06664,0.06686,18932211.0,1688270399999,1265878.08137,2567,8698259.0,581484.4167,0
1688270400000,0.06686,0.06704,0.06656,0.06704,11674016.0,1688271299999,780142.95871,1641,5737352.0,383432.59091,0
1688271300000,0.06705,0.06718,0.06701,0.06716,4791267.0,1688272199999,321429.55053,776,2605904.0,174815.44961,0
1688272200000,0.06715,0.06719,0.06695,0.067,5796860.0,1688273099999,388851.87811,763,2204850.0,147881.97326,0
1688273100000,0.06699,0.06721,0.06696,0.06717,6073349.0,1688273999999,407748.2434,805,2840461.0,190676.50736,0
1688274000000,0.06718,0.06731,0.06702,0.06711,5361681.0,1688274899999,360193.39366,811,2619807.0,175959.71385,0
1688274900000,0.06711,0.06714,0.06696,0.067,4589853.0,1688275799999,307724.4429,599,1501929.0,100680.83303,0
1688275800000,0.06701,0.06717,0.067,0.06714,3570555.0,1688276699999,239483.74884,468,1744127.0,116975.99682,0
1688276700000,0.06714,0.06726,0.06707,0.0671,3734285.0,1688277599999,250949.72288,419,804547.0,54047.83146,0
1688277600000,0.0671,0.06729,0.06709,0.06719,4941419.0,1688278499999,332253.26558,579,1869089.0,125669.91592,0
1688278500000,0.06719,0.0674,0.06719,0.06736,3927806.0,1688279399999,264225.50342,629,1939245.0,130436.13425,0
1688279400000,0.06736,0.06736,0.0672,0.06726,2392832.0,1688280299999,160922.97207,379,1291753.0,86868.68075,0
1688280300000,0.06726,0.06727,0.06707,0.06716,4832857.0,1688281199999,324633.79866,524,1048809.0,70439.78166,0
1688281200000,0.06715,0.06723,0.06713,0.06714,1735821.0,1688282099999,116612.96496,334,851098.0,57173.89363,0
1688282100000,0.06714,0.0673,0.06713,0.0673,3621096.0,1688282999999,243464.00881,420,1946229.0,130842.44752,0
1688283000000,0.06729,0.06737,0.06718,0.06736,3268019.0,1688283899999,219872.72666,427,1530154.0,102954.33314,0
1688283900000,0.06737,0.06738,0.06724,0.06728,3152908.0,1688284799999,212234.31225,453,1369640.0,92183.60473,0
1688284800000,0.06727,0.06732,0.06703,0.06721,6206802.0,1688285699999,416909.02471,965,2721075.0,182772.46252,0
1688285700000,0.06721,0.06747,0.0672,0.06731,5204459.0,1688286599999,350610.83104,880,1961269.0,132104.19179,0
1688286600000,0.06731,0.06735,0.0671,0.06715,2992985.0,1688287499999,201177.0918,523,1073685.0,72168.65523,0
1688287500000,0.06714,0.0672,0.06695,0.06705,4615970.0,1688288399999,309626.65177,757,1377055.0,92381.51342,0
1688288400000,0.06704,0.06734,0.06704,0.06733,3308971.0,1688289299999,222384.98344,516,1870743.0,125739.0143,0
1688289300000,0.06732,0.06739,0.06729,0.06735,3582547.0,1688290199999,241265.02817,434,1697705.0,114337.62794,0
1688290200000,0.06736,0.0675,0.06734,0.06737,5888644.0,1688291099999,396955.84363,739,2429809.0,163816.19974,0
1688291100000,0.06738,0.06747,0.06712,0.06731,5898168.0,1688291999999,396899.30742,800,2692756.0,181191.68492,0
1688292000000,0.06731,0.0674,0.06724,0.06733,4699603.0,1688292899999,316428.10332,620,2016255.0,135754.61346,0
1688292900000,0.06733,0.06741,0.06724,0.06737,4844639.0,1688293799999,326171.08388,574,2479454.0,166919.85499,0
1688293800000,0.06736,0.0674,0.06728,0.06733,2666770.0,1688294699999,179575.57371,410,1165342.0,78471.36586,0
1688294700000,0.06733,0.06735,0.06712,0.06716,7366112.0,1688295599999,495059.7907,790,2401821.0,161420.21964,0
1688295600000,0.06716,0.06722,0.06707,0.06719,2748911.0,1688296499999,184619.95179,418,868913.0,58349.6661,0
1688296500000,0.06718,0.06723,0.06714,0.06719,1438902.0,1688297399999,96683.83123,288,458481.0,30805.45773,0
1688297400000,0.06718,0.06738,0.06712,0.06718,40229029.0,1688298299999,2706612.90687,1985,21836568.0,1469154.04612,0
1688298300000,0.06718,0.06733,0.06717,0.06733,2494932.0,1688299199999,167785.74024,416,1629718.0,109601.62796,0
1688299200000,0.06734,0.06742,0.06705,0.06716,7917295.0,1688300099999,532723.13034,988,2795915.0,188211.12254,0
1688300100000,0.06717,0.06729,0.06712,0.06715,2691216.0,1688300999999,180834.20507,513,919331.0,61767.48851,0
