open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1714521600000,6.423,6.467,6.403,6.435,87120.27,1714522499999,560536.59518,1375,40581.19,261134.95377,0
1714522500000,6.435,6.462,6.401,6.407,85632.61,1714523399999,550200.14825,1158,28935.26,185950.58274,0
1714523400000,6.408,6.41,6.367,6.396,86344.23,1714524299999,551605.41068,989,47014.7,300434.69098,0
1714524300000,6.398,6.461,6.398,6.413,196289.86,1714525199999,1262820.52374,1875,121875.72,784370.15472,0
1714525200000,6.414,6.426,6.358,6.362,60868.24,1714526099999,389467.53063,739,29082.15,186170.19132,0
1714526100000,6.361,6.43,6.354,6.394,63045.79,1714526999999,402876.92371,829,33240.93,212472.28944,0
1714527000000,6.399,6.426,6.39,6.407,53582.36,1714527899999,343346.61987,656,29142.77,186741.61289,0
1714527900000,6.407,6.431,6.398,6.421,45805.19,1714528799999,293786.08679,452,16623.99,106632.36178,0
1714528800000,6.42,6.424,6.339,6.343,59715.69,1714529699999,380408.8437,704,22255.67,141799.84698,0
1714529700000,6.344,6.43,6.344,6.414,51127.47,1714530599999,327259.4845,695,27437.84,175623.06467,0
1714530600000,6.414,6.473,6.407,6.44,68733.15,1714531499999,442675.34916,877,40464.83,260642.79091,0
1714531500000,6.44,6.468,6.433,6.451,29248.36,1714532399999,188607.08186,382,17396.9,112179.57796,0
1714532400000,6.451,6.467,6.425,6.428,30336.6,1714533299999,195538.36968,438,12345.84,79575.41652,0
1714533300000,6.427,6.429,6.412,6.415,17057.63,1714534199999,109491.52325,294,8938.01,57374.82705,0
1714534200000,6.414,6.454,6.414,6.444,26416.03,1714535099999,169788.36525,341,16448.72,105699.49476,0
1714535100000,6.442,6.465,6.437,6.455,31058.58,1714535999999,200384.92409,394,22034.29,142140.17539,0
1714536000000,6.456,6.486,6.451,6.477,39291.22,1714536899999,254020.2538,674,25581.93,165415.53913,0
1714536900000,6.477,6.527,6.475,6.523,94858.96,1714537799999,617216.16748,1583,66283.51,431251.78397,0
1714537800000,6.523,6.543,6.516,6.533,57998.4,1714538699999,378945.09201,834,29341.12,191717.38306,0
1714538700000,6.529,6.538,6.52,6.526,32785.22,1714539599999,214103.32098,488,17153.83,112018.96602,0
1714539600000,6.526,6.559,6.513,6.515,33238.54,1714540499999,217119.66338,780,16973.89,110880.28625,0
1714540500000,6.516,6.528,6.497,6.502,51199.23,1714541399999,333355.11968,663,21056.22,137104.48506,0
1714541400000,6.503,6.542,6.502,6.519,50398.26,1714542299999,328373.60183,752,29250.45,190602.15688,0
1714542300000,6.517,6.549,6.499,6.548,49454.54,1714543199999,322480.49835,698,28633.97,186709.88021,0
1714543200000,6.547,6.554,6.485,6.485,39434.42,1714544099999,257109.05385,755,20596.78,134367.5645,0
1714544100000,6.486,6.497,6.451,6.453,43959.46,1714544999999,284561.05063,752,14483.4,93713.87564,0
1714545000000,6.454,6.516,6.439,6.494,81040.86,1714545899999,524483.4574,1257,43473.21,281606.00049,0
1714545900000,6.491,6.501,6.445,6.45,44665.99,1714546799999,289037.63109,729,17774.8,115173.67103,0
1714546800000,6.45,6.474,6.3,6.359,341916.89,1714547699999,2178076.89233,5753,172297.9,1097803.57045,0
1714547700000,6.358,6.418,6.303,6.367,225258.34,1714548599999,1431997.4158,4403,108823.31,692037.6321,0
1714548600000,6.367,6.404,6.301,6.313,289803.73,1714549499999,1838503.20792,4306,152968.04,970583.08954,0
1714549500000,6.311,6.343,6.27,6.293,157235.36,1714550399999,990601.26371,2273,79972.65,503863.31147,0
1714550400000,6.292,6.306,6.217,6.236,230494.93,1714551299999,1441634.38987,3605,106136.05,663828.68684,0
1714551300000,6.234,6.241,6.129,6.143,348598.26,1714552199999,2148776.69954,5352,152533.06,940201.95714,0
1714552200000,6.142,6.222,6.13,6.207,171409.95,1714553099999,1059220.57625,2455,89917.22,555616.52737,0
1714553100000,6.205,6.293,6.2,6.291,119467.74,1714553999999,745134.0353,1951,63356.2,395180.54293,0
1714554000000,6.29,6.393,6.278,6.38,189652.46,1714554899999,1202123.1058,3128,121356.38,768284.07471,0
1714554900000,6.381,6.399,6.33,6.356,127326.59,1714555799999,810438.00217,1924,65725.54,418246.90996,0
1714555800000,6.355,6.415,6.331,6.409,121320.1,1714556699999,772027.13336,2042,66527.5,423437.1169,0
1714556700000,6.406,6.433,6.39,6.402,134095.41,1714557599999,859112.47292,2081,69741.15,446707.48663,0
1714557600000,6.403,6.435,6.388,6.417,137502.66,1714558499999,880864.16982,1961,68339.45,437805.00692,0
1714558500000,6.416,6.513,6.409,6.495,123754.37,1714559399999,801721.01152,2853,64238.72,416062.15131,0
1714559400000,6.497,6.518,6.456,6.492,96368.78,1714560299999,624553.93262,1901,43405.18,281319.33163,0
1714560300000,6.492,6.497,6.46,6.468,60878.1,1714561199999,394190.47037,1070,35967.82,232930.53363,0
1714561200000,6.468,6.48,6.429,6.463,101313.71,1714562099999,653923.43186,1740,38629.69,249318.96517,0
1714562100000,6.465,6.488,6.452,6.482,75422.82,1714562999999,488295.04106,1042,41311.34,267386.16543,0
1714563000000,6.481,6.483,6.449,6.453,83796.61,1714563899999,542020.43745,1081,23947.05,154876.44422,0
1714563900000,6.453,6.504,6.453,6.501,51343.96,1714564799999,332859.84612,1310,25678.57,166453.65999,0
1714564800000,6.499,6.584,6.488,6.58,135332.84,1714565699999,885104.95916,2477,74806.42,489174.3518,0
1714565700000,6.582,6.583,6.541,6.556,126067.95,1714566599999,826872.70367,2503,53491.74,350937.65578,0
1714566600000,6.554,6.593,6.548,6.577,107482.56,1714567499999,706456.94951,1727,54461.41,358033.91318,0
1714567500000,6.579,6.624,6.559,6.601,99106.88,1714568399999,653192.83845,2104,41484.96,273394.09152,0
1714568400000,6.602,6.64,6.602,6.63,139552.28,1714569299999,924059.5265,1991,69865.92,462545.83204,0
1714569300000,6.629,6.647,6.581,6.584,110646.67,1714570199999,731549.72859,1966,58166.47,384632.51583,0
1714570200000,6.584,6.61,6.546,6.561,106161.99,1714571099999,697824.54557,1932,47741.02,313948.4658,0
1714571100000,6.562,6.598,6.549,6.586,43477.27,1714571999999,285877.19655,998,21104.69,138793.84919,0
1714572000000,6.587,6.613,6.569,6.577,63403.0,1714572899999,417885.78132,1165,27389.72,180542.71916,0
1714572900000,6.577,6.597,6.545,6.57,105812.41,1714573799999,695536.51909,1427,36707.07,241085.23706,0
