open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1690848000000,0.124,0.124,0.1233,0.1237,89113.0,1690848899999,11020.8078,90,27048.0,3349.1765,0
1690848900000,0.1239,0.1243,0.1239,0.1241,17610.0,1690849799999,2184.559,37,12265.0,1521.5795,0
1690849800000,0.1242,0.1244,0.1242,0.1244,3096.0,1690850699999,384.8586,14,2401.0,298.4903,0
1690850700000,0.1245,0.1245,0.1245,0.1245,47409.0,1690851599999,5902.4205,7,739.0,92.0055,0
1690851600000,0.1245,0.1246,0.1245,0.1245,6368.0,1690852499999,793.1626,22,3280.0,408.621,0
1690852500000,0.1243,0.1243,0.1238,0.1238,22554.0,1690853399999,2797.1503,32,407.0,50.491,0
1690853400000,0.1237,0.1239,0.1233,0.1237,68432.0,1690854299999,8454.9568,81,20032.0,2475.9243,0
1690854300000,0.1237,0.1237,0.123,0.1233,33636.0,1690855199999,4146.7562,50,6385.0,787.0982,0
1690855200000,0.1233,0.1234,0.1193,0.121,505893.0,1690856099999,61008.5847,490,253439.0,30451.7448,0
1690856100000,0.1209,0.1214,0.1209,0.1212,106036.0,1690856999999,12843.1684,86,76389.0,9253.1373,0
1690857000000,0.1212,0.1215,0.121,0.1215,67128.0,1690857899999,8135.2265,55,20994.0,2547.4648,0
1690857900000,0.1214,0.1218,0.1214,0.1218,33133.0,1690858799999,4030.4879,46,26454.0,3217.5541,0
1690858800000,0.1217,0.1224,0.1216,0.1224,109034.0,1690859699999,13306.9875,117,89784.0,10962.6601,0
1690859700000,0.1223,0.1225,0.1221,0.1221,36919.0,1690860599999,4514.74,55,25116.0,3072.599,0
1690860600000,0.1221,0.1221,0.1218,0.1221,77563.0,1690861499999,9459.3477,52,15746.0,1919.7932,0
1690861500000,0.122,0.1222,0.1218,0.1219,82751.0,1690862399999,10096.7924,113,43883.0,5356.0751,0
1690862400000,0.122,0.1223,0.1219,0.1219,44957.0,1690863299999,5492.8133,52,15829.0,1934.4893,0
1690863300000,0.1219,0.1219,0.1217,0.1217,19017.0,1690864199999,2315.0025,18,10941.0,1331.5635,0
