open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1730419200000,0.4918,0.4952,0.4913,0.4938,132029.0,1730420099999,65236.7742,325,92023.0,45485.8712,0
1730420100000,0.4941,0.4943,0.4927,0.4939,20024.0,1730420999999,9879.342,68,1767.0,872.2056,0
1730421000000,0.4929,0.4929,0.4901,0.4915,14191.0,1730421899999,6972.4947,107,2946.0,1447.6543,0
1730421900000,0.4915,0.4925,0.4901,0.4919,11703.0,1730422799999,5753.7646,120,3578.0,1758.9241,0
1730422800000,0.4918,0.4918,0.4896,0.4898,11817.0,1730423699999,5794.8186,62,1102.0,540.6372,0
1730423700000,0.4897,0.49,0.4853,0.4861,92896.0,1730424599999,45294.1828,291,15551.0,7580.7935,0
1730424600000,0.4859,0.4886,0.4813,0.4883,135431.0,1730425499999,65539.8367,314,44199.0,21458.3313,0
1730425500000,0.4878,0.4888,0.4845,0.4857,34027.0,1730426399999,16550.5352,199,10131.0,4925.7121,0
1730426400000,0.4854,0.4864,0.479,0.4812,109729.0,1730427299999,52899.1245,379,53405.0,25747.4171,0
1730427300000,0.4815,0.4866,0.4815,0.4866,26954.0,1730428199999,13053.4371,112,14167.0,6852.9329,0
1730428200000,0.4866,0.4872,0.4855,0.4855,15845.0,1730429099999,7706.4391,93,7118.0,3462.0586,0
1730429100000,0.4856,0.4864,0.4836,0.4852,19728.0,1730429999999,9576.2924,134,11135.0,5406.6637,0
1730430000000,0.485,0.4869,0.4848,0.4859,26771.0,1730430899999,13021.9485,69,24437.0,11888.9016,0
1730430900000,0.486,0.4973,0.486,0.4959,199323.0,1730431799999,98363.5537,672,148875.0,73463.9602,0
1730431800000,0.4959,0.4981,0.4936,0.4939,56860.0,1730432699999,28203.1681,230,23590.0,11710.3609,0
1730432700000,0.4939,0.4994,0.4937,0.4939,92105.0,1730433599999,45718.2653,377,47765.0,23716.5306,0
1730433600000,0.4939,0.4952,0.4933,0.4952,37626.0,1730434499999,18586.7555,204,20012.0,9887.2155,0
1730434500000,0.4952,0.4986,0.4941,0.4978,73157.0,1730435399999,36320.06,201,55198.0,27418.7426,0
1730435400000,0.4978,0.4978,0.4959,0.4974,23419.0,1730436299999,11638.9427,158,13087.0,6504.3955,0
1730436300000,0.4973,0.4981,0.4947,0.495,28610.0,1730437199999,14195.1389,181,2584.0,1280.8803,0
1730437200000,0.495,0.4957,0.4931,0.4931,36686.0,1730438099999,18134.2041,105,21273.0,10520.0708,0
1730438100000,0.4934,0.4946,0.4934,0.4944,48157.0,1730438999999,23783.8982,128,18693.0,9234.6577,0
1730439000000,0.4944,0.4944,0.4903,0.4907,127120.0,1730439899999,62638.9494,275,4316.0,2126.0106,0
1730439900000,0.4905,0.4906,0.488,0.4896,92656.0,1730440799999,45327.0148,244,6028.0,2949.9719,0
1730440800000,0.4899,0.4902,0.4832,0.4836,105492.0,1730441699999,51349.543,355,16915.0,8243.8233,0
1730441700000,0.4838,0.486,0.4834,0.4851,33288.0,1730442599999,16137.7242,127,18389.0,8925.4222,0
1730442600000,0.4858,0.4858,0.484,0.484,32164.0,1730443499999,15603.348,118,4412.0,2141.1053,0
1730443500000,0.4841,0.4859,0.48,0.4806,43407.0,1730444399999,20927.2623,196,6898.0,3330.0166,0
1730444400000,0.4802,0.4812,0.474,0.4742,121914.0,1730445299999,58223.5848,408,40353.0,19284.967,0
1730445300000,0.475,0.4791,0.4742,0.4788,39206.0,1730446199999,18697.087,174,19925.0,9497.2524,0
1730446200000,0.4786,0.4796,0.4774,0.4786,26665.0,1730447099999,12759.0993,156,10640.0,5092.5045,0
1730447100000,0.4779,0.4824,0.4757,0.4796,196675.0,1730447999999,94378.4026,498,123545.0,59278.5635,0
1730448000000,0.4803,0.4835,0.4789,0.4822,74059.0,1730448899999,35648.1759,260,36665.0,17664.7842,0
1730448900000,0.4816,0.4837,0.4816,0.4829,14527.0,1730449799999,7017.3161,128,5611.0,2711.2811,0
1730449800000,0.4828,0.4837,0.481,0.4823,29120.0,1730450699999,14033.6944,147,8996.0,4333.2249,0
1730450700000,0.4824,0.4831,0.4805,0.4813,24122.0,1730451599999,11629.2487,168,4297.0,2071.6737,0
1730451600000,0.4822,0.4828,0.48,0.482,28043.0,1730452499999,13499.6837,173,3884.0,1870.9505,0
1730452500000,0.4825,0.4826,0.4811,0.4817,23497.0,1730453399999,11323.5359,146,6060.0,2920.2233,0
1730453400000,0.4819,0.485,0.4811,0.4839,54957.0,1730454299999,26591.6492,299,29006.0,14039.1568,0
1730454300000,0.484,0.4854,0.4834,0.4839,47311.0,1730455199999,22918.5855,231,26838.0,13008.9766,0
1730455200000,0.4839,0.4846,0.4836,0.4836,21109.0,1730456099999,10216.761,177,2888.0,1398.22,0
1730456100000,0.4844,0.4875,0.4839,0.487,82927.0,1730456999999,40311.8225,280,23756.0,11552.9878,0
1730457000000,0.4873,0.4895,0.4844,0.4848,95616.0,1730457899999,46485.0299,470,48570.0,23603.3634,0
1730457900000,0.4846,0.4868,0.4846,0.4863,58824.0,1730458799999,28571.9412,268,22553.0,10952.3998,0
1730458800000,0.4862,0.4871,0.4854,0.4868,42884.0,1730459699999,20852.5542,263,14025.0,6817.7849,0
1730459700000,0.487,0.4878,0.4859,0.4878,45851.0,1730460599999,22325.1979,269,20241.0,9857.0158,0
1730460600000,0.4875,0.4876,0.4862,0.4868,29876.0,1730461499999,14546.1653,180,8122.0,3955.607,0
1730461500000,0.4862,0.4878,0.4859,0.4867,20687.0,1730462399999,10074.4453,139,2523.0,1229.3022,0
1730462400000,0.4868,0.4891,0.4865,0.4889,26093.0,1730463299999,12721.5691,205,13522.0,6590.9326,0
1730463300000,0.4886,0.489,0.4878,0.4885,15123.0,1730464199999,7383.5749,154,3497.0,1709.0351,0
1730464200000,0.4886,0.4957,0.4875,0.4942,69604.0,1730465099999,34270.8984,503,41320.0,20347.9527,0
1730465100000,0.494,0.4966,0.4935,0.4941,48511.0,1730465999999,24006.2726,397,21233.0,10504.1961,0
1730466000000,0.4939,0.4939,0.4916,0.4924,35030.0,1730466899999,17269.8228,272,8507.0,4195.1027,0
1730466900000,0.4924,0.4936,0.4916,0.4932,22003.0,1730467799999,10836.0311,218,5997.0,2953.786,0
1730467800000,0.4932,0.4998,0.4928,0.498,58508.0,1730468699999,29137.7911,436,19738.0,9826.7755,0
1730468700000,0.498,0.5029,0.4965,0.5007,175682.0,1730469599999,87851.7578,845,92609.0,46325.8821,0
1730469600000,0.5009,0.5024,0.4994,0.5017,94568.0,1730470499999,47353.2186,393,34354.0,17211.453,0
1730470500000,0.5017,0.5061,0.5008,0.5049,154482.0,1730471399999,77781.5906,610,105895.0,53352.2365,0
1730471400000,0.505,0.5057,0.4986,0.4998,138589.0,1730472299999,69493.3343,595,42830.0,21493.2187,0
1730472300000,0.4999,0.5021,0.4977,0.5004,158750.0,1730473199999,79345.6611,605,57520.0,28816.7848,0
1730473200000,0.5006,0.5011,0.497,0.4973,40060.0,1730474099999,19972.6249,296,11739.0,5861.2231,0
1730474100000,0.498,0.4982,0.4942,0.4956,48994.0,1730474999999,24289.0512,294,13854.0,6873.8181,0
1730475000000,0.4958,0.4959,0.4862,0.4882,84845.0,1730475899999,41595.9773,505,23053.0,11306.3789,0
1730475900000,0.4884,0.4893,0.4783,0.4861,220337.0,1730476799999,106435.488,1141,141046.0,68116.1721,0
1730476800000,0.4861,0.4898,0.4852,0.4898,136493.0,1730477699999,66593.5529,602,26816.0,13087.247,0
1730477700000,0.49,0.4926,0.4857,0.4882,75566.0,1730478599999,36977.8801,487,19324.0,9453.1419,0
1730478600000,0.4882,0.4902,0.4868,0.4875,45443.0,1730479499999,22181.4291,338,19086.0,9323.8131,0
1730479500000,0.4876,0.4907,0.4864,0.4903,37419.0,1730480399999,18320.214,293,14892.0,7293.3977,0
1730480400000,0.4905,0.4917,0.4862,0.49,53189.0,1730481299999,25995.6915,387,24793.0,12128.9384,0
1730481300000,0.49,0.492,0.4897,0.4912,18326.0,1730482199999,9001.7097,190,4784.0,2349.6309,0
1730482200000,0.4911,0.4911,0.4868,0.4871,19152.0,1730483099999,9341.7429,179,2510.0,1224.394,0
1730483100000,0.487,0.4903,0.487,0.4886,42137.0,1730483999999,20608.3472,257,18151.0,8880.0725,0
1730484000000,0.4887,0.4893,0.4871,0.4887,31947.0,1730484899999,15602.6444,198,13702.0,6697.2124,0
1730484900000,0.4882,0.4899,0.4879,0.4899,12613.0,1730485799999,6166.7982,142,4268.0,2087.0055,0
1730485800000,0.4898,0.4898,0.4867,0.4881,70110.0,1730486699999,34204.5439,283,34915.0,17023.3085,0
1730486700000,0.4882,0.4891,0.486,0.4863,28253.0,1730487599999,13768.5715,186,11936.0,5820.8615,0
1730487600000,0.4863,0.4886,0.4841,0.4855,36746.0,1730488499999,17870.9551,240,11783.0,5730.6881,0
1730488500000,0.4863,0.4879,0.4855,0.4855,12697.0,1730489399999,6181.3261,73,6665.0,3245.1247,0
1730489400000,0.4861,0.4898,0.4861,0.4888,32427.0,1730490299999,15831.355,143,19717.0,9625.3542,0
1730490300000,0.4884,0.4884,0.486,0.4867,44190.0,1730491199999,21519.1805,185,6888.0,3354.2269,0
1730491200000,0.4868,0.4882,0.4859,0.4882,19068.0,1730492099999,9281.8233,80,15890.0,7735.567,0
1730492100000,0.4878,0.4903,0.4873,0.4902,23209.0,1730492999999,11356.9652,86,11704.0,5726.3058,0
1730493000000,0.4902,0.4926,0.4902,0.4923,3793.0,1730493899999,1865.0827,38,2500.0,1228.7679,0
1730493900000,0.492,0.492,0.4901,0.4904,23516.0,1730494799999,11546.5884,141,14129.0,6937.6345,0
1730494800000,0.4901,0.4901,0.4872,0.4872,12006.0,1730495699999,5864.9241,66,3438.0,1679.4342,0
1730495700000,0.4879,0.4889,0.4834,0.4838,14708.0,1730496599999,7140.6002,84,5245.0,2545.0586,0
1730496600000,0.4837,0.4845,0.4793,0.4831,40849.0,1730497499999,19681.3256,211,25552.0,12309.6287,0
1730497500000,0.4828,0.4869,0.4827,0.4864,22007.0,1730498399999,10681.2233,90,14905.0,7233.1766,0
1730498400000,0.4864,0.4879,0.4864,0.4873,5668.0,1730499299999,2761.8644,45,3704.0,1804.7829,0
1730499300000,0.4874,0.4879,0.4832,0.4832,32015.0,1730500199999,15578.3245,111,18940.0,9214.2114,0
1730500200000,0.4836,0.4845,0.4834,0.4845,4131.0,1730501099999,1999.2555,26,1449.0,701.2545,0
1730501100000,0.4843,0.4857,0.484,0.4857,6375.0,1730501999999,3093.4457,30,4431.0,2150.6779,0
1730502000000,0.4859,0.4875,0.485,0.4873,8342.0,1730502899999,4061.0853,45,6152.0,2996.6991,0
1730502900000,0.487,0.4885,0.4854,0.4885,6087.0,1730503799999,2964.6301,61,3849.0,1875.6627,0
1730503800000,0.4885,0.4891,0.488,0.489,4116.0,1730504699999,2010.464,18,3444.0,1682.0339,0
1730504700000,0.489,0.4896,0.4884,0.4884,6418.0,1730505599999,3138.6285,40,2216.0,1083.5889,0
1730505600000,0.4883,0.4914,0.4881,0.4913,24969.0,1730506499999,12237.7947,149,6688.0,3280.8418,0
1730506500000,0.4918,0.4956,0.4909,0.495,42406.0,1730507399999,20920.2078,217,21749.0,10730.9574,0
1730507400000,0.4954,0.4959,0.4944,0.4949,40686.0,1730508299999,20136.7497,190,22809.0,11289.0881,0
1730508300000,0.4945,0.4958,0.4942,0.4942,9866.0,1730509199999,4879.6151,49,588.0,290.88,0
1730509200000,0.4949,0.4959,0.4941,0.4954,3850.0,1730510099999,1904.716,23,3066.0,1517.051,0
1730510100000,0.4939,0.4943,0.4928,0.4943,10166.0,1730510999999,5014.1669,44,5839.0,2880.0354,0
1730511000000,0.4934,0.4959,0.4928,0.4959,7452.0,1730511899999,3679.1148,42,4359.0,2153.2346,0
1730511900000,0.4955,0.4955,0.4947,0.4949,1653.0,1730512799999,817.9104,12,192.0,95.0218,0
1730512800000,0.4945,0.4946,0.4945,0.4946,8680.0,1730513699999,4293.0734,26,2820.0,1394.772,0
1730513700000,0.4945,0.4964,0.4943,0.496,3363.0,1730514599999,1667.7078,35,467.0,231.3208,0
1730514600000,0.4955,0.4955,0.4937,0.4938,5309.0,1730515499999,2623.7435,37,1536.0,759.116,0
1730515500000,0.494,0.494,0.4934,0.4935,3646.0,1730516399999,1800.1214,41,1464.0,722.8815,0
1730516400000,0.4932,0.4937,0.493,0.493,3137.0,1730517299999,1547.6824,28,2387.0,1177.8623,0
1730517300000,0.4927,0.4935,0.4917,0.4917,8417.0,1730518199999,4146.3995,52,88.0,43.3616,0
1730518200000,0.492,0.4924,0.4913,0.4917,24050.0,1730519099999,11827.3227,73,15529.0,7637.1594,0
1730519100000,0.4912,0.4912,0.4892,0.4903,5739.0,1730519999999,2811.9373,56,1377.0,674.792,0
1730520000000,0.4903,0.4909,0.4897,0.4907,11881.0,1730520899999,5826.5551,65,5483.0,2689.4991,0
1730520900000,0.4914,0.4914,0.4904,0.4905,7361.0,1730521799999,3612.8576,32,877.0,430.5319,0
1730521800000,0.49,0.4901,0.4888,0.4893,33648.0,1730522699999,16484.3801,107,7970.0,3904.3578,0
1730522700000,0.4892,0.4899,0.4885,0.489,11488.0,1730523599999,5623.9528,66,5739.0,2810.8311,0
1730523600000,0.489,0.489,0.4877,0.4886,13541.0,1730524499999,6611.3035,87,4594.0,2242.8561,0
1730524500000,0.489,0.4906,0.489,0.4902,7734.0,1730525399999,3786.9941,53,4999.0,2447.6151,0
1730525400000,0.4893,0.4907,0.4884,0.4906,32737.0,1730526299999,16043.2466,111,28774.0,14104.2753,0
1730526300000,0.4905,0.4915,0.4905,0.4907,16833.0,1730527199999,8267.8707,96,10684.0,5245.7442,0
1730527200000,0.4906,0.4912,0.489,0.4901,20500.0,1730528099999,10038.7624,58,3212.0,1575.4933,0
1730528100000,0.49,0.4901,0.4878,0.4889,48432.0,1730528999999,23664.5735,154,13848.0,6776.7429,0
1730529000000,0.4887,0.4887,0.4873,0.4884,19711.0,1730529899999,9616.8032,73,14373.0,7013.5694,0
1730529900000,0.4883,0.4893,0.4876,0.4893,7317.0,1730530799999,3574.24,43,5599.0,2735.3756,0
1730530800000,0.4893,0.4896,0.4883,0.4887,2998.0,1730531699999,1466.2125,27,2232.0,1091.9308,0
1730531700000,0.4886,0.4897,0.4883,0.4892,2547.0,1730532599999,1245.6078,23,1747.0,854.4535,0
1730532600000,0.4894,0.4895,0.4885,0.4885,3273.0,1730533499999,1601.0259,25,2152.0,1052.6487,0
1730533500000,0.4885,0.489,0.4882,0.4882,5656.0,1730534399999,2763.4779,43,1100.0,537.6088,0
1730534400000,0.4883,0.4893,0.4881,0.4881,32975.0,1730535299999,16119.7078,90,25111.0,12276.3669,0
1730535300000,0.4881,0.4887,0.487,0.4881,17323.0,1730536199999,8455.5547,123,12355.0,6032.1848,0
1730536200000,0.4881,0.4883,0.4853,0.4863,161774.0,1730537099999,78847.895,221,23871.0,11599.0772,0
1730537100000,0.4861,0.4866,0.4853,0.4864,27282.0,1730537999999,13258.1706,119,12367.0,6012.4695,0
1730538000000,0.4863,0.4869,0.4849,0.4862,13012.0,1730538899999,6322.2199,87,7207.0,3502.555,0
1730538900000,0.4867,0.487,0.486,0.487,3044.0,1730539799999,1480.9844,19,1035.0,503.8174,0
1730539800000,0.4871,0.4872,0.4865,0.4867,4735.0,1730540699999,2304.8108,37,2826.0,1375.8258,0
1730540700000,0.4868,0.4868,0.4847,0.4854,7278.0,1730541599999,3532.5582,59,5539.0,2688.1852,0
1730541600000,0.486,0.4863,0.4844,0.4846,51217.0,1730542499999,24878.7278,131,38365.0,18647.3734,0
1730542500000,0.4851,0.4854,0.4837,0.4841,7096.0,1730543399999,3435.4014,57,3821.0,1850.1603,0
1730543400000,0.4841,0.4855,0.4834,0.4848,9816.0,1730544299999,4756.6422,58,6407.0,3105.2771,0
1730544300000,0.4849,0.4864,0.4848,0.4855,14737.0,1730545199999,7160.1512,74,13029.0,6331.296,0
1730545200000,0.4854,0.4862,0.4851,0.4862,15623.0,1730546099999,7589.4885,57,7896.0,3835.0985,0
1730546100000,0.4863,0.4872,0.4857,0.4863,30492.0,1730546999999,14840.8689,118,21932.0,10680.471,0
1730547000000,0.4865,0.4868,0.4861,0.4866,7884.0,1730547899999,3835.1347,33,1975.0,960.9688,0
1730547900000,0.4864,0.4865,0.4848,0.4849,8441.0,1730548799999,4097.3207,64,2617.0,1271.7211,0
1730548800000,0.4848,0.4854,0.4845,0.4845,2863.0,1730549699999,1388.4248,23,643.0,311.9945,0
1730549700000,0.4845,0.4851,0.4811,0.4812,33783.0,1730550599999,16295.249,151,10990.0,5301.9825,0
1730550600000,0.4813,0.4822,0.4794,0.48,18802.0,1730551499999,9032.752,136,7807.0,3752.5728,0
1730551500000,0.4802,0.4802,0.4757,0.4778,85233.0,1730552399999,40739.0112,338,27176.0,12994.1125,0
1730552400000,0.4779,0.4796,0.4764,0.478,19920.0,1730553299999,9525.9007,108,9861.0,4716.3217,0
1730553300000,0.4788,0.4814,0.4788,0.481,5772.0,1730554199999,2772.0832,51,4140.0,1986.9604,0
1730554200000,0.4807,0.4809,0.4757,0.4779,58803.0,1730555099999,28088.6419,217,14087.0,6722.8639,0
1730555100000,0.477,0.478,0.4733,0.4741,49561.0,1730555999999,23520.3931,288,11639.0,5526.2247,0
1730556000000,0.474,0.4757,0.4729,0.4739,60701.0,1730556899999,28779.9356,352,27064.0,12834.8716,0
1730556900000,0.4741,0.4771,0.4729,0.4762,21658.0,1730557799999,10280.9068,103,11747.0,5583.0283,0
1730557800000,0.476,0.4765,0.4715,0.4724,20668.0,1730558699999,9779.2638,119,13476.0,6380.9273,0
1730558700000,0.4725,0.4761,0.4721,0.4761,23873.0,1730559599999,11325.3995,111,9066.0,4298.8579,0
1730559600000,0.476,0.476,0.4718,0.4729,21733.0,1730560499999,10301.7219,102,17282.0,8190.675,0
1730560500000,0.4726,0.4755,0.4726,0.4753,11452.0,1730561399999,5428.9381,62,4310.0,2039.5027,0
1730561400000,0.4757,0.4764,0.4741,0.4741,5080.0,1730562299999,2415.2562,38,3754.0,1784.1885,0
1730562300000,0.4741,0.4755,0.4732,0.4755,5929.0,1730563199999,2814.0716,44,2590.0,1228.7244,0
1730563200000,0.475,0.4767,0.4748,0.4755,8022.0,1730564099999,3816.097,48,4436.0,2110.6537,0
1730564100000,0.476,0.4773,0.4747,0.4772,9288.0,1730564999999,4417.8493,37,3296.0,1570.2415,0
1730565000000,0.4771,0.4786,0.4771,0.4786,17948.0,1730565899999,8575.1085,88,5464.0,2610.5369,0
1730565900000,0.4781,0.48,0.4779,0.4785,22966.0,1730566799999,11005.6561,94,13874.0,6647.4909,0
1730566800000,0.4784,0.4791,0.477,0.4779,16801.0,1730567699999,8029.7016,70,9961.0,4759.2703,0
1730567700000,0.4768,0.4776,0.4763,0.4765,9781.0,1730568599999,4663.7553,69,2336.0,1114.2171,0
1730568600000,0.4762,0.4771,0.4729,0.4731,11952.0,1730569499999,5671.4418,88,3740.0,1774.6673,0
1730569500000,0.474,0.4748,0.4733,0.4739,13571.0,1730570399999,6432.1421,61,4102.0,1944.6234,0
1730570400000,0.4745,0.4746,0.4704,0.4724,47880.0,1730571299999,22591.9333,189,27450.0,12955.5004,0
1730571300000,0.4715,0.4724,0.4703,0.4708,26656.0,1730572199999,12556.0641,65,8811.0,4149.2799,0
1730572200000,0.4711,0.4733,0.4706,0.473,6080.0,1730573099999,2869.0831,47,1813.0,855.6432,0
1730573100000,0.473,0.473,0.4707,0.4708,27055.0,1730573999999,12773.878,79,17689.0,8354.2261,0
1730574000000,0.4711,0.4732,0.4709,0.4722,2399.0,1730574899999,1133.3305,21,1561.0,737.3508,0
1730574900000,0.4723,0.473,0.472,0.473,28279.0,1730575799999,13360.2737,68,12876.0,6086.0709,0
1730575800000,0.4728,0.4743,0.4728,0.4743,3786.0,1730576699999,1792.8238,41,1943.0,920.361,0
1730576700000,0.4746,0.4754,0.4742,0.4743,19249.0,1730577599999,9134.2162,69,7505.0,3562.441,0
1730577600000,0.4742,0.4758,0.474,0.4756,5537.0,1730578499999,2629.5977,43,2961.0,1407.3038,0
1730578500000,0.4754,0.4762,0.4751,0.4752,4859.0,1730579399999,2310.7647,34,1738.0,826.9888,0
1730579400000,0.4751,0.4761,0.4745,0.4758,14702.0,1730580299999,6984.6896,76,1486.0,706.3497,0
1730580300000,0.4758,0.4764,0.4752,0.4761,7245.0,1730581199999,3449.7056,38,6573.0,3130.2106,0
1730581200000,0.4763,0.4763,0.4745,0.4749,11623.0,1730582099999,5523.6988,62,2056.0,978.0218,0
1730582100000,0.4758,0.4763,0.4754,0.4758,4360.0,1730582999999,2075.2025,31,2577.0,1226.3715,0
1730583000000,0.4759,0.4772,0.4759,0.4769,8009.0,1730583899999,3819.3963,39,5799.0,2766.1694,0
1730583900000,0.4767,0.4767,0.476,0.476,6193.0,1730584799999,2950.2937,48,3469.0,1652.4336,0
1730584800000,0.476,0.4764,0.4745,0.476,12761.0,1730585699999,6068.452,47,6276.0,2986.5002,0
1730585700000,0.4747,0.4747,0.4732,0.4743,13155.0,1730586599999,6233.4313,53,7803.0,3696.8651,0
1730586600000,0.4745,0.4748,0.4734,0.4746,13585.0,1730587499999,6445.7186,42,12932.0,6136.3427,0
1730587500000,0.4745,0.4748,0.4741,0.4741,2773.0,1730588399999,1314.8549,9,281.0,133.2397,0
1730588400000,0.4744,0.4744,0.4721,0.4725,7404.0,1730589299999,3500.4842,60,3019.0,1426.8819,0
1730589300000,0.4728,0.4728,0.4716,0.4717,26185.0,1730590199999,12360.5605,101,1985.0,936.4595,0
1730590200000,0.4718,0.4722,0.4711,0.4722,17470.0,1730591099999,8238.6278,61,10383.0,4897.4076,0
1730591100000,0.472,0.4747,0.4688,0.4744,207163.0,1730591999999,97752.1883,539,74220.0,35075.6767,0
1730592000000,0.4747,0.4766,0.4747,0.4766,9581.0,1730592899999,4557.2915,73,3820.0,1816.678,0
1730592900000,0.4761,0.4761,0.4745,0.4755,9144.0,1730593799999,4341.7013,43,1398.0,664.5824,0
1730593800000,0.4763,0.4763,0.4737,0.4744,4854.0,1730594699999,2304.2419,30,3149.0,1495.5279,0
1730594700000,0.4741,0.4747,0.4731,0.4731,1623.0,1730595599999,769.0173,21,771.0,365.6559,0
1730595600000,0.4729,0.474,0.472,0.4734,8698.0,1730596499999,4114.2359,113,5518.0,2609.5854,0
1730596500000,0.4732,0.4756,0.4732,0.4756,7654.0,1730597399999,3626.8902,51,2446.0,1160.0937,0
1730597400000,0.4748,0.4751,0.4729,0.4729,2663.0,1730598299999,1263.0805,23,921.0,437.4952,0
1730598300000,0.4737,0.4737,0.4709,0.4709,17151.0,1730599199999,8106.7382,91,2492.0,1176.2089,0
1730599200000,0.4709,0.4718,0.4697,0.4714,53720.0,1730600099999,25280.1519,211,26068.0,12278.1447,0
1730600100000,0.4714,0.4728,0.4696,0.4699,80258.0,1730600999999,37730.2678,228,18917.0,8899.0184,0
1730601000000,0.4696,0.4704,0.4522,0.4551,496924.0,1730601899999,229918.0825,1689,167113.0,76878.6546,0
1730601900000,0.4553,0.4581,0.4453,0.4532,338395.0,1730602799999,152417.9644,1188,127088.0,57371.8726,0
1730602800000,0.4532,0.4558,0.4475,0.4553,114163.0,1730603699999,51626.1429,450,75298.0,34096.1234,0
1730603700000,0.4536,0.4555,0.4492,0.4503,154157.0,1730604599999,69521.4868,361,78808.0,35540.3988,0
1730604600000,0.4503,0.4539,0.4497,0.4536,63127.0,1730605499999,28531.1196,205,48415.0,21886.2839,0
1730605500000,0.4536,0.4554,0.4529,0.4529,29661.0,1730606399999,13483.673,123,9831.0,4470.6244,0
1730606400000,0.4527,0.4556,0.4524,0.4556,42355.0,1730607299999,19230.0176,186,21600.0,9811.753,0
1730607300000,0.4558,0.4588,0.4552,0.4588,14538.0,1730608199999,6645.1957,104,11898.0,5438.3094,0
1730608200000,0.4589,0.4607,0.4581,0.4584,64173.0,1730609099999,29464.9437,334,26605.0,12220.347,0
1730609100000,0.4587,0.4594,0.4566,0.4587,31456.0,1730609999999,14404.0551,181,10900.0,4997.5224,0
1730610000000,0.4587,0.4601,0.4579,0.4593,25123.0,1730610899999,11545.1633,109,16153.0,7424.9942,0
1730610900000,0.4593,0.4593,0.457,0.4578,14111.0,1730611799999,6455.8679,67,4354.0,1994.3234,0
1730611800000,0.4583,0.4583,0.4571,0.4576,14138.0,1730612699999,6469.8833,59,4230.0,1936.469,0
1730612700000,0.4574,0.4576,0.4549,0.4553,17590.0,1730613599999,8016.353,97,3524.0,1605.5111,0
1730613600000,0.4556,0.4577,0.4556,0.4569,42669.0,1730614499999,19485.7278,139,35676.0,16291.0105,0
1730614500000,0.4576,0.4596,0.4567,0.4585,13316.0,1730615399999,6102.3849,68,6949.0,3192.4555,0
1730615400000,0.4585,0.4613,0.4583,0.4593,87018.0,1730616299999,40014.2102,337,57313.0,26373.1375,0
1730616300000,0.4594,0.462,0.4594,0.4606,18971.0,1730617199999,8748.3463,95,10575.0,4879.8779,0
1730617200000,0.4605,0.4607,0.459,0.4596,13198.0,1730618099999,6070.646,67,4929.0,2267.1727,0
