open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1748736000000000,15.5,15.51,15.35,15.35,1446.25,1748736899999999,22272.2927,226,721.77,11115.3617,0
1748736900000000,15.35,15.37,15.32,15.33,1581.29,1748737799999999,24265.5063,202,1100.85,16894.6245,0
1748737800000000,15.33,15.4,15.32,15.4,702.46,1748738699999999,10793.8525,110,332.12,5109.2199,0
1748738700000000,15.41,15.43,15.37,15.41,254.32,1748739599999999,3918.73,53,75.88,1169.1235,0
1748739600000000,15.4,15.48,15.39,15.48,279.83,1748740499999999,4317.2773,71,139.14,2147.7033,0
1748740500000000,15.48,15.48,15.4,15.46,234.09,1748741399999999,3610.7842,65,122.78,1892.9221,0
1748741400000000,15.46,15.47,15.39,15.39,617.42,1748742299999999,9525.0714,103,444.17,6851.6926,0
1748742300000000,15.4,15.42,15.32,15.35,246.01,1748743199999999,3777.0495,67,72.13,1107.4258,0
1748743200000000,15.35,15.35,15.21,15.21,3670.36,1748744099999999,55891.376,249,1643.9,25036.1874,0
1748744100000000,15.22,15.33,15.22,15.33,743.37,1748744999999999,11355.2536,113,382.03,5835.8714,0
1748745000000000,15.33,15.36,15.28,15.35,4115.61,1748745899999999,63086.3068,241,696.22,10671.381,0
1748745900000000,15.34,15.38,15.31,15.37,427.13,1748746799999999,6562.0092,85,309.53,4755.5626,0
1748746800000000,15.36,15.38,15.27,15.29,864.81,1748747699999999,13259.591,113,253.7,3887.8187,0
1748747700000000,15.29,15.32,15.24,15.3,112.27,1748748599999999,1714.5537,52,72.62,1108.9889,0
1748748600000000,15.29,15.35,15.29,15.33,191.24,1748749499999999,2928.8804,46,133.51,2043.6863,0
1748749500000000,15.34,15.37,15.32,15.32,329.22,1748750399999999,5047.2002,66,224.75,3445.3704,0
1748750400000000,15.32,15.34,15.28,15.31,423.78,1748751299999999,6489.8327,73,281.25,4307.1937,0
1748751300000000,15.31,15.37,15.3,15.35,194.14,1748752199999999,2979.561,46,144.04,2211.1118,0
1748752200000000,15.36,15.43,15.36,15.41,427.99,1748753099999999,6582.8238,102,145.12,2232.6072,0
1748753100000000,15.43,15.47,15.41,15.43,942.35,1748753999999999,14548.7087,129,491.52,7589.4705,0
1748754000000000,15.43,15.48,15.43,15.47,241.97,1748754899999999,3741.5595,58,159.97,2473.1951,0
1748754900000000,15.46,15.47,15.42,15.43,421.62,1748755799999999,6508.844,68,379.99,5866.2717,0
1748755800000000,15.42,15.48,15.42,15.45,428.52,1748756699999999,6622.3194,63,123.27,1904.9529,0
1748756700000000,15.43,15.44,15.39,15.43,109.54,1748757599999999,1688.5932,43,32.47,500.6432,0
1748757600000000,15.43,15.44,15.38,15.4,722.92,1748758499999999,11134.2567,77,207.29,3196.0479,0
1748758500000000,15.39,15.4,15.35,15.4,393.53,1748759399999999,6049.1378,57,297.41,4572.838,0
1748759400000000,15.39,15.44,15.39,15.43,340.54,1748760299999999,5252.6279,73,263.76,4068.2142,0
1748760300000000,15.43,15.43,15.35,15.35,101.99,1748761199999999,1568.4248,42,71.23,1094.719,0
1748761200000000,15.34,15.34,15.26,15.32,448.26,1748762099999999,6862.329,71,375.03,5742.6673,0
1748762100000000,15.33,15.36,15.31,15.34,409.1,1748762999999999,6270.4941,73,153.7,2357.3507,0
1748763000000000,15.34,15.35,15.31,15.33,97.79,1748763899999999,1498.8472,46,71.43,1094.9133,0
1748763900000000,15.33,15.34,15.32,15.33,88.75,1748764799999999,1361.1541,31,70.53,1081.7848,0
1748764800000000,15.33,15.34,15.28,15.29,408.46,1748765699999999,6247.2012,73,286.19,4375.6815,0
1748765700000000,15.29,15.32,15.24,15.26,890.5,1748766599999999,13619.9113,90,832.91,12740.6088,0
1748766600000000,15.25,15.31,15.24,15.31,654.73,1748767499999999,10004.5922,133,382.58,5846.3895,0
1748767500000000,15.3,15.31,15.26,15.3,922.56,1748768399999999,14098.6932,180,810.46,12385.0493,0
1748768400000000,15.3,15.34,15.2,15.23,2282.1,1748769299999999,34817.3872,281,1352.25,20652.2402,0
