open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1682899200000,0.3855,0.3868,0.3852,0.3867,23709.3,1682900099999,9155.16379,177,12652.5,4887.36089,0
1682900100000,0.3868,0.3876,0.3865,0.3874,31268.9,1682900999999,12103.51916,163,14687.3,5686.3051,0
1682901000000,0.3874,0.388,0.3873,0.3877,15027.1,1682901899999,5825.32114,112,6287.2,2437.36923,0
1682901900000,0.3879,0.388,0.3865,0.3869,28710.8,1682902799999,11125.05485,162,11785.5,4567.07462,0
1682902800000,0.387,0.3875,0.3865,0.3867,15405.3,1682903699999,5963.44639,107,8906.1,3448.10275,0
1682903700000,0.3867,0.387,0.3862,0.3865,19025.4,1682904599999,7354.95603,66,12510.1,4835.90369,0
1682904600000,0.3866,0.3867,0.3768,0.3776,413472.4,1682905499999,157162.38417,1305,191191.1,72574.53833,0
1682905500000,0.3776,0.3787,0.375,0.3785,192730.4,1682906399999,72711.10426,587,89541.4,33786.63855,0
1682906400000,0.3784,0.3803,0.3775,0.3801,74296.4,1682907299999,28163.66328,356,42154.5,15979.55494,0
1682907300000,0.38,0.3808,0.3793,0.3797,33368.4,1682908199999,12686.08735,183,16098.8,6123.48146,0
1682908200000,0.3797,0.3803,0.3796,0.3798,10079.2,1682909099999,3829.05181,66,6248.8,2373.73053,0
1682909100000,0.38,0.3803,0.3799,0.38,25854.3,1682909999999,9825.25094,72,3734.3,1419.29849,0
1682910000000,0.3799,0.3807,0.3799,0.3802,55619.0,1682910899999,21153.9604,187,14795.3,5627.59392,0
1682910900000,0.3801,0.3809,0.3792,0.3807,29628.5,1682911799999,11263.89554,152,13839.2,5260.91121,0
1682911800000,0.3808,0.3808,0.3801,0.3806,11360.8,1682912699999,4322.4731,68,3323.5,1264.57125,0
1682912700000,0.3805,0.3805,0.3801,0.3804,20674.0,1682913599999,7863.17063,87,14344.3,5455.98721,0
1682913600000,0.3805,0.3809,0.3803,0.3806,26348.7,1682914499999,10031.12438,128,11831.0,4504.91904,0
1682914500000,0.3805,0.3808,0.3799,0.3808,55817.2,1682915399999,21233.79909,179,19318.1,7347.60193,0
1682915400000,0.3808,0.3814,0.3808,0.3812,26099.4,1682916299999,9947.38377,78,4132.4,1574.97452,0
