open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1682899200000,19.41,19.47,19.39,19.47,2219.18,1682900099999,43119.9884,336,1111.61,21606.9664,0
1682900100000,19.47,19.49,19.45,19.48,1280.41,1682900999999,24926.4256,175,813.29,15833.624,0
1682901000000,19.49,19.55,19.47,19.54,1279.68,1682901899999,24967.4797,158,744.87,14535.5552,0
1682901900000,19.54,19.54,19.47,19.51,3237.32,1682902799999,63169.7616,200,640.31,12494.8024,0
1682902800000,19.5,19.51,19.48,19.49,873.12,1682903699999,17021.1068,117,415.13,8093.8888,0
1682903700000,19.49,19.54,19.49,19.52,1993.98,1682904599999,38905.1114,160,518.25,10111.8901,0
1682904600000,19.53,19.54,19.12,19.19,37130.0,1682905499999,713435.1328,2856,14066.1,270296.0027,0
1682905500000,19.18,19.26,19.05,19.23,22146.82,1682906399999,423631.0069,1770,8169.44,156384.5713,0
1682906400000,19.22,19.35,19.11,19.34,15475.0,1682907299999,297822.67,1182,7405.82,142651.9224,0
1682907300000,19.33,19.33,19.28,19.28,2341.64,1682908199999,45205.5827,243,903.75,17446.876,0
1682908200000,19.28,19.32,19.28,19.31,2828.21,1682909099999,54597.9004,207,1526.15,29469.6729,0
1682909100000,19.31,19.33,19.3,19.32,1512.84,1682909999999,29226.4853,108,216.35,4179.7681,0
1682910000000,19.32,19.32,19.29,19.3,2075.96,1682910899999,40071.1588,134,1105.21,21331.1656,0
1682910900000,19.3,19.37,19.29,19.36,3784.15,1682911799999,73202.0697,291,1088.61,21043.6502,0
1682911800000,19.36,19.37,19.34,19.36,750.63,1682912699999,14528.7853,82,403.02,7802.1143,0
1682912700000,19.35,19.36,19.32,19.34,2651.61,1682913599999,51287.4378,140,1524.07,29482.7349,0
1682913600000,19.33,19.33,19.29,19.29,1656.4,1682914499999,31973.2334,211,731.41,14120.7469,0
1682914500000,19.29,19.33,19.28,19.32,1688.73,1682915399999,32594.4018,156,964.69,18624.1194,0
1682915400000,19.32,19.33,19.31,19.31,3229.48,1682916299999,62391.2607,184,630.05,12172.3325,0
1682916300000,19.31,19.36,19.31,19.35,551.77,1682917199999,10669.7672,88,152.0,2938.1971,0
1682917200000,19.36,19.36,19.32,19.35,515.93,1682918099999,9976.2908,76,255.55,4942.8123,0
1682918100000,19.36,19.37,19.31,19.31,2369.54,1682918999999,45843.8884,186,874.57,16929.9462,0
1682919000000,19.31,19.31,19.18,19.29,4272.58,1682919899999,82272.4313,457,1172.42,22562.9758,0
1682919900000,19.29,19.33,19.26,19.33,1257.06,1682920799999,24266.2549,206,907.78,17526.5123,0
1682920800000,19.33,19.37,19.32,19.36,2371.83,1682921699999,45895.2288,211,965.04,18676.5971,0
1682921700000,19.35,19.39,19.34,19.38,979.91,1682922599999,18972.1089,112,647.4,12537.4779,0
1682922600000,19.38,19.39,19.36,19.38,1642.69,1682923499999,31831.6837,159,685.97,13296.0303,0
1682923500000,19.38,19.4,19.37,19.4,1587.06,1682924399999,30760.4376,106,556.14,10783.197,0
1682924400000,19.41,19.46,19.39,19.4,1785.01,1682925299999,34666.1299,273,957.15,18585.2038,0
1682925300000,19.4,19.43,19.38,19.43,1742.41,1682926199999,33823.0647,137,1101.06,21382.8376,0
1682926200000,19.44,19.44,19.4,19.41,288.93,1682927099999,5608.5069,90,153.43,2978.8185,0
1682927100000,19.42,19.43,19.42,19.43,444.49,1682927999999,8634.5117,64,272.24,5288.9568,0
1682928000000,19.44,19.44,19.38,19.42,870.98,1682928899999,16910.4624,139,413.81,8037.2766,0
1682928900000,19.41,19.43,19.4,19.43,796.87,1682929799999,15468.7432,126,173.84,3375.653,0
1682929800000,19.43,19.43,19.4,19.41,941.05,1682930699999,18272.8842,91,311.79,6054.5124,0
1682930700000,19.42,19.43,19.39,19.42,497.07,1682931599999,9649.6358,91,292.96,5688.3254,0
1682931600000,19.42,19.43,19.4,19.42,2139.72,1682932499999,41555.1107,162,1378.01,26767.1524,0
1682932500000,19.42,19.48,19.42,19.44,935.5,1682933399999,18199.1118,130,422.68,8225.4209,0
1682933400000,19.44,19.44,19.39,19.4,453.98,1682934299999,8816.2128,94,79.18,1537.1757,0
1682934300000,19.4,19.42,19.38,19.41,848.9,1682935199999,16463.1273,85,268.44,5207.93,0
1682935200000,19.42,19.43,19.41,19.42,867.45,1682936099999,16846.0113,100,292.1,5673.8388,0
1682936100000,19.42,19.43,19.39,19.39,1302.48,1682936999999,25278.1174,112,85.3,1654.9079,0
1682937000000,19.39,19.4,19.37,19.38,849.19,1682937899999,16455.7407,65,119.88,2323.4041,0
1682937900000,19.38,19.39,19.37,19.38,666.41,1682938799999,12914.3561,58,138.31,2680.8432,0
