open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1748736000000000,2.597,2.598,2.579,2.582,55394.49,1748736899999999,143392.76379,467,20553.28,53215.67707,0
1748736900000000,2.582,2.586,2.576,2.578,30604.03,1748737799999999,78992.62946,339,11505.25,29699.66459,0
1748737800000000,2.578,2.586,2.573,2.585,21272.31,1748738699999999,54882.00923,309,14205.83,36656.89688,0
1748738700000000,2.586,2.587,2.578,2.584,15313.88,1748739599999999,39567.29336,167,6305.88,16299.55496,0
1748739600000000,2.583,2.596,2.582,2.595,17311.73,1748740499999999,44796.24144,218,13663.78,35359.9361,0
1748740500000000,2.595,2.596,2.58,2.586,9096.7,1748741399999999,23518.32916,187,4357.72,11266.73268,0
1748741400000000,2.587,2.588,2.571,2.571,25569.05,1748742299999999,65923.64646,285,13658.53,35232.86314,0
1748742300000000,2.571,2.579,2.558,2.567,36301.4,1748743199999999,93175.39541,415,17868.07,45836.48452,0
1748743200000000,2.567,2.568,2.549,2.552,22121.21,1748744099999999,56605.19611,401,9633.33,24658.88561,0
1748744100000000,2.553,2.565,2.553,2.562,30403.79,1748744999999999,77820.22766,284,14141.29,36191.80333,0
1748745000000000,2.563,2.571,2.563,2.568,7858.06,1748745899999999,20173.79043,148,4152.53,10661.62875,0
1748745900000000,2.567,2.57,2.562,2.566,16574.03,1748746799999999,42544.25042,202,9833.49,25242.71861,0
1748746800000000,2.566,2.567,2.557,2.559,6562.43,1748747699999999,16814.88191,186,2111.11,5410.87436,0
1748747700000000,2.559,2.566,2.549,2.557,29245.3,1748748599999999,74781.69048,296,16526.06,42272.88119,0
1748748600000000,2.557,2.568,2.557,2.565,10214.74,1748749499999999,26204.28324,151,2712.24,6956.81043,0
1748749500000000,2.566,2.57,2.561,2.561,12283.85,1748750399999999,31528.68323,172,5782.86,14845.87661,0
1748750400000000,2.561,2.561,2.554,2.559,11036.2,1748751299999999,28222.99934,148,4302.78,11003.36248,0
1748751300000000,2.56,2.569,2.56,2.566,16538.14,1748752199999999,42422.82333,156,10526.54,27001.23365,0
1748752200000000,2.566,2.575,2.565,2.572,33477.32,1748753099999999,86003.84452,307,19484.89,50049.89469,0
1748753100000000,2.572,2.576,2.57,2.574,34207.39,1748753999999999,87996.81424,296,22365.32,57537.76154,0
1748754000000000,2.574,2.582,2.573,2.581,37142.01,1748754899999999,95778.09861,252,25453.88,65637.05199,0
1748754900000000,2.581,2.581,2.57,2.571,31339.05,1748755799999999,80656.32024,261,10693.95,27523.45832,0
1748755800000000,2.57,2.58,2.57,2.573,25154.77,1748756699999999,64807.81537,151,15400.55,39681.14153,0
1748756700000000,2.572,2.575,2.566,2.571,11290.22,1748757599999999,29049.27314,179,3529.9,9081.26296,0
1748757600000000,2.571,2.571,2.562,2.562,11508.74,1748758499999999,29510.31642,103,2038.2,5226.45941,0
1748758500000000,2.562,2.566,2.557,2.562,21164.98,1748759399999999,54206.654,226,9893.16,25341.17728,0
1748759400000000,2.562,2.57,2.562,2.563,9715.23,1748760299999999,24915.66109,122,5753.41,14757.0784,0
1748760300000000,2.564,2.565,2.557,2.559,12042.82,1748761199999999,30841.40582,197,8791.43,22515.30962,0
1748761200000000,2.558,2.559,2.552,2.557,21599.44,1748762099999999,55216.87657,213,9989.67,25541.35676,0
1748762100000000,2.558,2.562,2.554,2.561,28115.77,1748762999999999,71900.70336,224,12573.13,32167.91271,0
1748763000000000,2.561,2.561,2.551,2.554,9985.69,1748763899999999,25504.53721,142,3990.78,10194.0362,0
1748763900000000,2.555,2.558,2.552,2.556,3668.89,1748764799999999,9375.40898,125,1570.34,4013.00644,0
1748764800000000,2.557,2.559,2.546,2.549,11630.95,1748765699999999,29660.38677,224,5356.25,13671.32441,0
1748765700000000,2.55,2.554,2.54,2.546,21564.14,1748766599999999,54883.56322,261,7085.32,18033.83023,0
1748766600000000,2.545,2.552,2.543,2.55,18067.7,1748767499999999,46046.39343,201,9512.09,24253.58445,0
1748767500000000,2.55,2.551,2.54,2.546,58000.76,1748768399999999,147540.44349,460,37534.5,95477.34086,0
1748768400000000,2.546,2.552,2.537,2.546,43596.02,1748769299999999,110974.0824,325,29654.18,75455.32613,0
1748769300000000,2.544,2.546,2.525,2.527,61398.51,1748770199999999,155385.17879,612,19359.39,48989.78883,0
1748770200000000,2.527,2.529,2.516,2.517,49283.26,1748771099999999,124268.61861,510,23491.94,59235.93819,0
1748771100000000,2.516,2.525,2.507,2.525,90437.75,1748771999999999,227474.87746,731,44473.51,111900.62156,0
1748772000000000,2.526,2.532,2.517,2.53,38143.82,1748772899999999,96341.1498,366,17578.86,44442.67141,0
1748772900000000,2.53,2.534,2.526,2.531,22870.78,1748773799999999,57874.11081,253,13758.27,34817.26917,0
1748773800000000,2.531,2.532,2.519,2.526,15580.67,1748774699999999,39315.1925,190,5408.04,13646.14407,0
1748774700000000,2.525,2.534,2.522,2.533,26834.37,1748775599999999,67797.61666,239,10116.65,25572.32018,0
1748775600000000,2.533,2.536,2.529,2.531,20963.75,1748776499999999,53093.56766,187,8214.38,20804.5541,0
1748776500000000,2.532,2.541,2.532,2.538,18212.48,1748777399999999,46221.96646,181,9723.68,24671.25636,0
1748777400000000,2.537,2.544,2.533,2.544,45087.57,1748778299999999,114422.97942,272,14099.49,35783.1492,0
1748778300000000,2.543,2.548,2.537,2.538,14556.17,1748779199999999,37025.75931,178,5890.68,14992.03335,0
1748779200000000,2.538,2.539,2.528,2.536,13181.31,1748780099999999,33414.8261,163,4245.55,10758.99694,0
1748780100000000,2.536,2.536,2.523,2.526,14203.86,1748780999999999,35909.75079,201,6806.96,17200.49639,0
1748781000000000,2.527,2.529,2.512,2.519,51693.51,1748781899999999,130143.41401,526,24700.73,62179.4401,0
1748781900000000,2.518,2.52,2.513,2.519,13454.88,1748782799999999,33860.25807,219,6929.45,17442.28372,0
1748782800000000,2.518,2.529,2.516,2.528,16796.11,1748783699999999,42384.0561,201,10331.24,26076.8435,0
1748783700000000,2.527,2.537,2.524,2.529,19704.5,1748784599999999,49900.73156,261,14404.62,36484.63814,0
1748784600000000,2.528,2.539,2.528,2.538,24946.14,1748785499999999,63266.08726,221,9595.4,24332.87663,0
1748785500000000,2.538,2.541,2.532,2.533,23860.39,1748786399999999,60515.25641,240,10823.85,27458.31452,0
1748786400000000,2.534,2.555,2.534,2.545,58343.0,1748787299999999,148541.00181,652,20492.16,52148.63662,0
1748787300000000,2.545,2.561,2.545,2.558,86731.36,1748788199999999,221391.9164,1693,21144.25,53992.88402,0
1748788200000000,2.558,2.561,2.551,2.555,89395.39,1748789099999999,228500.34517,1447,27575.29,70482.86206,0
1748789100000000,2.555,2.559,2.549,2.551,46788.32,1748789999999999,119379.8996,831,9734.69,24840.48656,0
1748790000000000,2.551,2.554,2.541,2.543,82190.81,1748790899999999,209333.75474,1001,21604.83,55071.97059,0
1748790900000000,2.543,2.557,2.543,2.557,62946.22,1748791799999999,160639.67808,1051,24001.86,61277.884,0
1748791800000000,2.557,2.56,2.554,2.557,12655.44,1748792699999999,32356.59136,260,6245.05,15968.76862,0
1748792700000000,2.556,2.559,2.551,2.559,36008.21,1748793599999999,92008.44567,405,21138.44,54017.97999,0
1748793600000000,2.558,2.58,2.558,2.575,52210.88,1748794499999999,134073.43847,783,27882.91,71613.78839,0
1748794500000000,2.576,2.584,2.569,2.576,29361.07,1748795399999999,75624.51729,487,12530.75,32291.20427,0
1748795400000000,2.576,2.588,2.573,2.587,51082.59,1748796299999999,131794.09131,431,31261.34,80700.68472,0
1748796300000000,2.587,2.588,2.574,2.578,31115.87,1748797199999999,80291.06939,449,4912.94,12675.01511,0
1748797200000000,2.578,2.58,2.572,2.573,21782.8,1748798099999999,56102.525,295,5093.67,13125.23018,0
1748798100000000,2.573,2.575,2.567,2.575,56579.04,1748798999999999,145377.30859,377,15708.44,40392.06462,0
1748799000000000,2.575,2.576,2.567,2.569,30821.41,1748799899999999,79250.22872,349,11004.73,28303.88638,0
1748799900000000,2.569,2.572,2.566,2.568,25104.17,1748800799999999,64477.75361,304,12442.92,31962.97377,0
1748800800000000,2.569,2.569,2.558,2.561,12858.29,1748801699999999,32940.90235,248,4651.06,11916.78926,0
1748801700000000,2.56,2.56,2.543,2.545,34647.28,1748802599999999,88429.95526,377,17436.05,44503.94393,0
1748802600000000,2.543,2.545,2.522,2.525,64031.9,1748803499999999,162312.28025,567,20587.21,52192.60894,0
1748803500000000,2.524,2.544,2.524,2.541,44139.43,1748804399999999,111945.2532,491,34813.2,88289.4561,0
1748804400000000,2.541,2.549,2.54,2.541,33519.01,1748805299999999,85289.3744,332,15339.63,39044.42801,0
1748805300000000,2.541,2.551,2.541,2.547,12947.77,1748806199999999,32965.09331,145,8382.02,21338.85749,0
1748806200000000,2.547,2.553,2.547,2.551,17139.15,1748807099999999,43692.39207,174,9805.87,24992.8413,0
1748807100000000,2.552,2.556,2.551,2.556,6657.93,1748807999999999,17005.49121,121,3376.35,8623.9417,0
1748808000000000,2.556,2.556,2.546,2.55,4193.57,1748808899999999,10699.9132,143,2007.38,5121.50718,0
1748808900000000,2.551,2.56,2.551,2.558,12402.47,1748809799999999,31714.64242,163,8942.41,22877.48577,0
1748809800000000,2.558,2.567,2.558,2.567,35816.92,1748810699999999,91839.15961,264,17166.41,44018.10291,0
1748810700000000,2.567,2.568,2.555,2.556,12190.05,1748811599999999,31216.04928,168,5176.73,13257.20647,0
1748811600000000,2.556,2.563,2.554,2.562,15541.02,1748812499999999,39790.17941,179,3548.44,9084.01468,0
1748812500000000,2.562,2.572,2.562,2.566,9842.94,1748813399999999,25278.94811,159,5164.23,13264.29779,0
1748813400000000,2.567,2.577,2.566,2.568,26156.42,1748814299999999,67231.76319,263,13420.58,34498.81949,0
1748814300000000,2.567,2.574,2.567,2.574,10335.3,1748815199999999,26569.97138,104,6450.49,16580.02981,0
1748815200000000,2.575,2.588,2.575,2.586,23955.72,1748816099999999,61900.35453,294,13541.12,34988.13891,0
1748816100000000,2.586,2.586,2.573,2.574,19359.6,1748816999999999,49912.27364,270,9483.93,24469.46648,0
1748817000000000,2.575,2.576,2.57,2.57,18281.03,1748817899999999,47025.54134,140,5630.35,14489.55409,0
1748817900000000,2.57,2.572,2.567,2.57,16700.04,1748818799999999,42915.97626,147,4078.62,10479.62899,0
1748818800000000,2.571,2.581,2.571,2.581,14279.04,1748819699999999,36801.81864,160,8377.54,21590.76282,0
1748819700000000,2.58,2.581,2.573,2.573,6638.4,1748820599999999,17113.17799,125,2494.83,6433.62573,0
1748820600000000,2.572,2.578,2.569,2.57,16613.74,1748821499999999,42755.42452,177,5145.6,13253.3323,0
1748821500000000,2.571,2.573,2.567,2.57,20196.76,1748822399999999,51899.62964,169,9811.45,25208.04172,0
1748822400000000,2.57,2.571,2.564,2.567,28055.78,1748823299999999,72053.48295,328,10639.92,27331.55075,0
1748823300000000,2.568,2.574,2.563,2.566,25911.11,1748824199999999,66534.58222,379,17313.62,44460.32415,0
1748824200000000,2.566,2.574,2.564,2.571,26433.14,1748825099999999,67871.46421,265,12022.37,30887.82265,0
1748825100000000,2.572,2.572,2.563,2.567,16206.57,1748825999999999,41599.95667,176,9590.89,24617.52454,0
1748826000000000,2.568,2.576,2.566,2.576,28293.71,1748826899999999,72756.42931,233,17584.03,45228.00256,0
1748826900000000,2.576,2.578,2.565,2.566,25919.86,1748827799999999,66661.65383,310,15595.14,40106.93052,0
1748827800000000,2.567,2.567,2.558,2.559,31338.38,1748828699999999,80319.82516,244,16771.91,42988.60192,0
1748828700000000,2.559,2.562,2.554,2.555,21521.27,1748829599999999,55074.43488,312,10723.71,27444.22853,0
1748829600000000,2.555,2.556,2.546,2.547,34759.96,1748830499999999,88603.68913,347,20952.35,53404.85699,0
1748830500000000,2.547,2.553,2.54,2.551,25933.27,1748831399999999,66021.17568,325,16523.94,42083.24754,0
1748831400000000,2.55,2.553,2.545,2.55,15929.05,1748832299999999,40605.17782,209,8919.35,22745.89127,0
1748832300000000,2.55,2.551,2.537,2.54,27579.04,1748833199999999,70036.97633,238,7255.55,18432.52633,0
1748833200000000,2.541,2.541,2.527,2.527,59388.18,1748834099999999,150459.92409,517,22041.07,55829.83211,0
1748834100000000,2.527,2.531,2.521,2.531,24157.27,1748834999999999,61020.52755,291,15507.33,39174.38926,0
1748835000000000,2.531,2.539,2.529,2.537,19035.11,1748835899999999,48218.08811,218,9971.44,25256.80011,0
1748835900000000,2.538,2.541,2.532,2.533,6221.45,1748836799999999,15766.92276,221,3850.71,9758.1881,0
1748836800000000,2.533,2.537,2.528,2.537,13973.46,1748837699999999,35386.41992,287,7654.43,19384.17653,0
1748837700000000,2.538,2.54,2.535,2.537,17517.41,1748838599999999,44446.99793,262,8505.32,21583.80101,0
1748838600000000,2.536,2.541,2.536,2.539,16959.43,1748839499999999,43048.63457,243,7371.82,18713.82211,0
1748839500000000,2.54,2.541,2.529,2.532,17672.13,1748840399999999,44788.25187,286,7789.42,19745.67189,0
1748840400000000,2.533,2.543,2.527,2.541,10370.64,1748841299999999,26291.50393,173,4498.29,11406.8269,0
1748841300000000,2.54,2.541,2.532,2.538,23213.27,1748842199999999,58868.79937,261,8646.48,21943.75566,0
1748842200000000,2.537,2.538,2.523,2.523,15832.09,1748843099999999,39983.35514,197,3069.79,7757.44101,0
1748843100000000,2.522,2.533,2.519,2.533,20823.16,1748843999999999,52601.46748,208,8012.34,20264.09446,0
1748844000000000,2.533,2.536,2.523,2.523,27565.12,1748844899999999,69802.46643,306,17392.9,44068.0901,0
1748844900000000,2.525,2.537,2.52,2.537,30828.14,1748845799999999,77849.41435,264,19414.23,49050.09236,0
1748845800000000,2.536,2.548,2.531,2.547,34767.85,1748846699999999,88186.131,272,10153.81,25790.60858,0
1748846700000000,2.547,2.548,2.54,2.54,26629.43,1748847599999999,67763.94396,283,13812.09,35151.37421,0
1748847600000000,2.541,2.554,2.54,2.552,33334.09,1748848499999999,84978.94838,402,10013.99,25536.05152,0
1748848500000000,2.553,2.562,2.55,2.552,25249.67,1748849399999999,64583.35133,437,8334.87,21317.08389,0
1748849400000000,2.552,2.556,2.548,2.556,16041.7,1748850299999999,40934.87158,274,8782.18,22418.44723,0
1748850300000000,2.555,2.558,2.551,2.552,18609.02,1748851199999999,47542.81455,245,6953.61,17763.13465,0
1748851200000000,2.553,2.559,2.551,2.553,17551.26,1748852099999999,44820.47496,445,5088.1,12996.45217,0
1748852100000000,2.552,2.565,2.549,2.564,27590.79,1748852999999999,70543.52214,432,14487.71,37057.60595,0
1748853000000000,2.563,2.568,2.547,2.548,180095.18,1748853899999999,461738.96361,697,37571.53,96330.36287,0
1748853900000000,2.548,2.55,2.538,2.542,50641.46,1748854799999999,128732.23594,440,26473.09,67313.90496,0
1748854800000000,2.542,2.542,2.524,2.524,66640.84,1748855699999999,168807.42047,728,29054.77,73646.91474,0
1748855700000000,2.523,2.533,2.521,2.528,24721.17,1748856599999999,62501.91149,333,11786.36,29790.79504,0
1748856600000000,2.527,2.535,2.523,2.524,20090.74,1748857499999999,50786.51656,249,3606.44,9114.98066,0
1748857500000000,2.523,2.525,2.511,2.52,25427.76,1748858399999999,64015.12746,303,10380.16,26138.40476,0
1748858400000000,2.519,2.528,2.509,2.527,69332.7,1748859299999999,174604.53406,619,44493.49,112077.01174,0
1748859300000000,2.526,2.526,2.514,2.517,90526.73,1748860199999999,227986.82302,531,31471.15,79281.15006,0
1748860200000000,2.518,2.522,2.51,2.516,20167.16,1748861099999999,50729.83535,250,10395.31,26144.95576,0
1748861100000000,2.516,2.524,2.516,2.523,12594.52,1748861999999999,31749.09026,141,7062.83,17798.21759,0
1748862000000000,2.523,2.529,2.516,2.527,30828.95,1748862899999999,77746.96745,358,14956.74,37744.1136,0
1748862900000000,2.526,2.531,2.523,2.524,15443.46,1748863799999999,39018.21315,213,10768.76,27212.15342,0
1748863800000000,2.523,2.53,2.517,2.518,17833.34,1748864699999999,44993.38108,180,8586.47,21651.38214,0
1748864700000000,2.518,2.53,2.517,2.527,8069.81,1748865599999999,20360.3398,188,3408.9,8605.01169,0
1748865600000000,2.527,2.532,2.523,2.528,29081.17,1748866499999999,73460.60466,439,3638.55,9192.40086,0
1748866500000000,2.527,2.527,2.516,2.527,16754.34,1748867399999999,42234.51315,226,5029.87,12682.53009,0
1748867400000000,2.526,2.545,2.526,2.542,20803.11,1748868299999999,52727.92958,242,12474.47,31621.58387,0
1748868300000000,2.542,2.544,2.534,2.543,5664.73,1748869199999999,14398.56942,142,3898.1,9908.00632,0
1748869200000000,2.544,2.547,2.533,2.542,24943.5,1748870099999999,63427.54818,242,16466.22,41862.06984,0
1748870100000000,2.543,2.545,2.532,2.544,15935.09,1748870999999999,40473.8201,198,6101.72,15502.49875,0
1748871000000000,2.543,2.56,2.543,2.552,44761.16,1748871899999999,114252.28057,507,21431.58,54717.72309,0
1748871900000000,2.552,2.552,2.532,2.535,36934.93,1748872799999999,93870.07521,503,16885.6,42926.49402,0
1748872800000000,2.534,2.548,2.53,2.546,56487.35,1748873699999999,143362.53737,770,31003.13,78705.79114,0
1748873700000000,2.545,2.566,2.539,2.558,60933.67,1748874599999999,155835.02221,656,27177.72,69475.41728,0
1748874600000000,2.559,2.566,2.548,2.549,36818.96,1748875499999999,94138.4014,405,17802.47,45540.64649,0
1748875500000000,2.55,2.552,2.541,2.552,13875.15,1748876399999999,35318.56902,215,7333.74,18672.13534,0
1748876400000000,2.551,2.555,2.539,2.551,33263.51,1748877299999999,84716.27879,386,15412.06,39270.35263,0
1748877300000000,2.551,2.564,2.546,2.553,66864.67,1748878199999999,170964.80247,871,36688.75,93801.84506,0
1748878200000000,2.554,2.559,2.551,2.557,40834.72,1748879099999999,104352.58206,642,9705.9,24810.85254,0
1748879100000000,2.556,2.562,2.553,2.556,31405.86,1748879999999999,80340.87246,493,11499.61,29419.02943,0
1748880000000000,2.555,2.557,2.551,2.552,36162.33,1748880899999999,92370.04224,458,18287.84,46729.00995,0
1748880900000000,2.552,2.563,2.551,2.555,19596.3,1748881799999999,50121.47158,275,8442.79,21602.74476,0
1748881800000000,2.555,2.56,2.553,2.555,19628.98,1748882699999999,50173.86736,306,5189.02,13268.12313,0
1748882700000000,2.555,2.568,2.553,2.565,36023.33,1748883599999999,92239.63111,437,13332.42,34157.94574,0
1748883600000000,2.565,2.569,2.554,2.556,41557.63,1748884499999999,106464.54069,450,23606.55,60479.99412,0
1748884500000000,2.555,2.569,2.553,2.564,11133.21,1748885399999999,28505.00185,139,2952.5,7556.52106,0
1748885400000000,2.563,2.564,2.553,2.555,10275.5,1748886299999999,26267.43844,139,2072.44,5297.3277,0
1748886300000000,2.555,2.564,2.554,2.563,14739.29,1748887199999999,37705.28516,185,6560.27,16775.41095,0
1748887200000000,2.563,2.564,2.556,2.561,7450.52,1748888099999999,19071.49179,181,1984.62,5083.3484,0
1748888100000000,2.56,2.575,2.559,2.572,31607.53,1748888999999999,81273.52404,295,23916.87,61506.02475,0
1748889000000000,2.571,2.573,2.56,2.56,15234.58,1748889899999999,39087.08554,171,8839.08,22667.85219,0
1748889900000000,2.56,2.56,2.553,2.554,9380.86,1748890799999999,23984.44387,139,3904.56,9983.65441,0
1748890800000000,2.555,2.564,2.547,2.547,27512.35,1748891699999999,70222.02452,268,11197.46,28585.31826,0
1748891700000000,2.547,2.552,2.545,2.55,18757.34,1748892599999999,47814.33788,172,15055.87,38381.69005,0
1748892600000000,2.548,2.55,2.53,2.532,61662.1,1748893499999999,156504.76165,519,25227.53,64013.53269,0
1748893500000000,2.532,2.544,2.529,2.544,14576.78,1748894399999999,36999.76249,152,9692.63,24602.5587,0
1748894400000000,2.544,2.571,2.544,2.569,19762.01,1748895299999999,50433.68024,316,15102.66,38548.66106,0
1748895300000000,2.571,2.578,2.569,2.576,14656.32,1748896199999999,37690.69283,231,8745.09,22488.18115,0
1748896200000000,2.577,2.58,2.57,2.577,20363.59,1748897099999999,52452.03871,213,10182.13,26226.5653,0
1748897100000000,2.576,2.583,2.575,2.582,64376.87,1748897999999999,166127.79244,338,29604.25,76390.4197,0
1748898000000000,2.583,2.611,2.583,2.609,61616.98,1748898899999999,160237.81591,608,38132.85,99132.24,0
1748898900000000,2.608,2.608,2.594,2.603,31420.92,1748899799999999,81752.76049,265,19021.92,49498.12753,0
1748899800000000,2.604,2.611,2.597,2.599,34066.09,1748900699999999,88726.24075,366,16047.26,41812.67428,0
1748900700000000,2.599,2.612,2.599,2.612,13478.68,1748901599999999,35140.75236,164,8045.07,20978.98129,0
1748901600000000,2.612,2.638,2.612,2.636,36673.51,1748902499999999,96406.96608,708,18519.22,48674.7108,0
1748902500000000,2.635,2.649,2.63,2.641,138454.11,1748903399999999,365134.31104,784,113430.53,299137.80263,0
1748903400000000,2.641,2.642,2.631,2.631,33141.42,1748904299999999,87379.9357,348,11395.32,30056.70362,0
1748904300000000,2.631,2.636,2.625,2.627,56361.44,1748905199999999,148373.54222,310,46677.0,122900.1003,0
1748905200000000,2.627,2.641,2.626,2.632,59248.24,1748906099999999,156077.39801,499,42130.03,110970.12011,0
1748906100000000,2.633,2.645,2.633,2.645,179405.92,1748906999999999,473795.24766,749,94121.73,248443.26765,0
1748907000000000,2.644,2.645,2.636,2.644,51836.07,1748907899999999,136880.81401,366,29369.18,77564.48384,0
1748907900000000,2.645,2.649,2.64,2.643,138620.79,1748908799999999,366575.25872,414,55520.57,146838.16022,0
1748908800000000,2.643,2.661,2.639,2.659,232036.94,1748909699999999,615350.39592,1057,116820.01,309606.57506,0
1748909700000000,2.66,2.68,2.659,2.671,127725.04,1748910599999999,341167.72514,1746,88911.84,237454.22555,0
1748910600000000,2.672,2.676,2.66,2.665,47571.36,1748911499999999,126911.10366,507,20959.17,55885.6166,0
1748911500000000,2.666,2.668,2.661,2.668,15857.8,1748912399999999,42263.01914,231,6301.38,16792.66073,0
1748912400000000,2.668,2.682,2.666,2.672,61072.44,1748913299999999,163485.0018,445,19195.31,51394.81281,0
1748913300000000,2.672,2.686,2.668,2.686,62883.44,1748914199999999,168403.67945,506,28682.54,76846.91841,0
1748914200000000,2.686,2.687,2.679,2.684,75573.8,1748915099999999,202726.57502,579,21194.49,56860.93553,0
1748915100000000,2.684,2.686,2.677,2.682,27755.75,1748915999999999,74454.75843,355,15390.19,41289.73725,0
1748916000000000,2.683,2.687,2.67,2.672,38058.77,1748916899999999,101928.89464,413,14352.4,38410.20203,0
1748916900000000,2.672,2.673,2.66,2.661,41842.45,1748917799999999,111464.54973,380,10489.96,27958.11978,0
1748917800000000,2.66,2.666,2.658,2.66,13577.37,1748918699999999,36133.42814,242,6714.01,17871.26443,0
1748918700000000,2.659,2.659,2.647,2.65,36254.97,1748919599999999,96104.5194,435,8286.65,21973.90079,0
1748919600000000,2.649,2.654,2.629,2.635,65853.68,1748920499999999,173705.42378,628,30283.48,79926.59877,0
1748920500000000,2.634,2.644,2.63,2.632,37656.92,1748921399999999,99295.54289,313,17147.26,45232.37039,0
