open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1740787200000000,0.48,0.484,0.48,0.484,38359.34,1740788099999999,18504.88445,77,34978.38,16878.95424,0
1740788100000000,0.483,0.483,0.481,0.481,6842.0,1740788999999999,3300.49104,21,495.9,239.5197,0
1740789000000000,0.481,0.481,0.476,0.478,72568.89,1740789899999999,34681.45591,92,35820.4,17103.93515,0
1740789900000000,0.478,0.479,0.476,0.476,23636.83,1740790799999999,11275.85944,52,7005.02,3344.72886,0
1740790800000000,0.476,0.478,0.476,0.476,39577.7,1740791699999999,18865.16567,52,17261.31,8234.46522,0
1740791700000000,0.476,0.478,0.476,0.477,20687.2,1740792599999999,9884.64305,30,19173.88,9162.80231,0
1740792600000000,0.476,0.479,0.476,0.479,33550.38,1740793499999999,16010.51295,36,16242.42,7758.60245,0
1740793500000000,0.48,0.483,0.48,0.483,76405.6,1740794399999999,36811.59163,76,64646.55,31143.01808,0
1740794400000000,0.482,0.482,0.479,0.482,87920.04,1740795299999999,42316.77094,161,35628.81,17142.61452,0
1740795300000000,0.482,0.482,0.48,0.482,81154.59,1740796199999999,39066.75659,134,48045.23,23127.24711,0
1740796200000000,0.481,0.484,0.481,0.483,96212.87,1740797099999999,46446.4826,180,67606.43,32650.24074,0
1740797100000000,0.483,0.484,0.481,0.481,34329.94,1740797999999999,16551.91046,60,18904.39,9121.91255,0
1740798000000000,0.482,0.483,0.481,0.482,55695.01,1740798899999999,26840.12286,97,31332.96,15103.16659,0
1740798900000000,0.482,0.483,0.482,0.482,10152.25,1740799799999999,4896.01938,24,5518.39,2660.8748,0
1740799800000000,0.483,0.485,0.482,0.483,52857.96,1740800699999999,25572.08079,77,38289.96,18529.23343,0
1740800700000000,0.482,0.484,0.482,0.482,9199.26,1740801599999999,4443.04305,21,6023.63,2909.43678,0
1740801600000000,0.482,0.485,0.482,0.485,42408.05,1740802499999999,20500.70516,69,28455.68,13763.38754,0
1740802500000000,0.485,0.485,0.483,0.484,42417.84,1740803399999999,20530.75469,58,10704.15,5180.90421,0
1740803400000000,0.484,0.486,0.484,0.486,76507.11,1740804299999999,37099.99471,138,16310.99,7912.00855,0
1740804300000000,0.485,0.486,0.484,0.485,29745.46,1740805199999999,14419.76288,51,13417.71,6507.72189,0
1740805200000000,0.484,0.484,0.482,0.483,19887.26,1740806099999999,9601.58691,39,6358.36,3068.89695,0
1740806100000000,0.482,0.483,0.482,0.483,14825.1,1740806999999999,7146.9494,19,10479.32,5052.28344,0
1740807000000000,0.483,0.483,0.481,0.481,43385.6,1740807899999999,20937.56507,89,32112.12,15505.51226,0
1740807900000000,0.481,0.482,0.481,0.482,30027.47,1740808799999999,14471.25935,34,18675.84,9001.00852,0
1740808800000000,0.481,0.482,0.48,0.48,23131.7,1740809699999999,11136.23165,42,16692.33,8038.24267,0
1740809700000000,0.48,0.48,0.477,0.478,84054.78,1740810599999999,40218.36156,142,20675.65,9899.89932,0
1740810600000000,0.478,0.478,0.477,0.478,18986.05,1740811499999999,9075.30019,32,18954.34,9060.17452,0
1740811500000000,0.479,0.479,0.479,0.479,7914.03,1740812399999999,3790.82037,15,7434.78,3561.25962,0
1740812400000000,0.478,0.478,0.476,0.477,20429.32,1740813299999999,9759.37253,34,5103.86,2439.62072,0
1740813300000000,0.477,0.477,0.476,0.476,19246.15,1740814199999999,9161.19885,22,31.45,15.00165,0
1740814200000000,0.476,0.476,0.475,0.476,50646.42,1740815099999999,24079.83368,54,31347.56,14911.12534,0
1740815100000000,0.476,0.478,0.475,0.476,25412.45,1740815999999999,12095.42964,34,6685.79,3183.05308,0
1740816000000000,0.476,0.478,0.476,0.478,33436.22,1740816899999999,15964.69087,45,19882.1,9497.3005,0
1740816900000000,0.478,0.48,0.477,0.479,52734.85,1740817799999999,25248.43672,59,30843.54,14770.22664,0
1740817800000000,0.48,0.48,0.478,0.478,24596.32,1740818699999999,11766.82287,28,4434.11,2121.16086,0
1740818700000000,0.478,0.478,0.476,0.478,27974.62,1740819599999999,13351.77967,50,10993.03,5247.65485,0
1740819600000000,0.478,0.478,0.476,0.477,36583.17,1740820499999999,17449.91244,49,13658.73,6515.27171,0
1740820500000000,0.477,0.479,0.477,0.477,26436.49,1740821399999999,12633.2353,37,14166.3,6776.0393,0
