open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1701388800000,0.3037,0.3041,0.3015,0.3017,312751.0,1701389699999,94624.8208,333,64549.0,19566.2998,0
1701389700000,0.3016,0.3017,0.3002,0.3003,154390.0,1701390599999,46475.6916,230,62814.0,18913.4387,0
1701390600000,0.3003,0.3013,0.2994,0.3008,427752.0,1701391499999,128393.255,423,112110.0,33647.2293,0
1701391500000,0.3008,0.3012,0.2996,0.3003,388558.0,1701392399999,116579.4054,284,209807.0,62929.0909,0
1701392400000,0.3002,0.3007,0.2993,0.3,200586.0,1701393299999,60187.0982,224,64106.0,19231.7734,0
1701393300000,0.3001,0.306,0.3,0.3055,1146283.0,1701394199999,348120.4991,1204,663231.0,201295.1315,0
1701394200000,0.3053,0.3075,0.3045,0.3069,707376.0,1701395099999,216924.1443,890,373127.0,114464.7041,0
1701395100000,0.3069,0.3081,0.3063,0.3074,381634.0,1701395999999,117172.8462,413,233165.0,71593.9995,0
1701396000000,0.3074,0.3075,0.3054,0.3059,442971.0,1701396899999,135686.1595,424,120788.0,37029.1668,0
1701396900000,0.3058,0.3071,0.3051,0.3059,857217.0,1701397799999,262209.892,607,382007.0,116880.8724,0
1701397800000,0.3058,0.307,0.3058,0.3067,255601.0,1701398699999,78377.6759,288,95742.0,29359.3,0
1701398700000,0.3067,0.3083,0.3067,0.3077,194531.0,1701399599999,59876.4515,303,122854.0,37811.9846,0
1701399600000,0.3077,0.3079,0.3065,0.307,213603.0,1701400499999,65574.7899,249,104053.0,31924.5767,0
1701400500000,0.307,0.3088,0.3066,0.308,462145.0,1701401399999,142459.7412,464,250894.0,77348.7289,0
1701401400000,0.308,0.3083,0.3073,0.3073,368397.0,1701402299999,113364.8655,312,71865.0,22126.3335,0
1701402300000,0.3074,0.3083,0.3074,0.3083,218205.0,1701403199999,67169.3275,212,132739.0,40855.8946,0
1701403200000,0.3083,0.3089,0.3078,0.3087,284585.0,1701404099999,87821.3304,353,171693.0,52994.0551,0
