open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1698796800000,1.363,1.363,1.354,1.358,6978.937,1698797699999,9481.553067,132,2184.708,2968.226887,0
1698797700000,1.359,1.372,1.359,1.367,23966.76,1698798599999,32778.781642,211,14954.746,20440.457721,0
1698798600000,1.368,1.377,1.366,1.368,25997.907,1698799499999,35733.53248,258,18212.226,25031.2321,0
1698799500000,1.369,1.373,1.363,1.363,11953.447,1698800399999,16353.558715,169,1845.215,2527.441137,0
1698800400000,1.363,1.366,1.358,1.366,12250.666,1698801299999,16685.151776,150,7696.346,10485.849176,0
1698801300000,1.366,1.374,1.363,1.373,12623.144,1698802199999,17290.007151,129,9635.594,13200.358329,0
1698802200000,1.374,1.378,1.367,1.367,16033.923,1698803099999,22041.473331,158,8387.186,11534.803264,0
1698803100000,1.368,1.375,1.366,1.371,8239.289,1698803999999,11299.85883,145,4800.579,6583.142268,0
1698804000000,1.37,1.374,1.366,1.374,22341.296,1698804899999,30590.793565,173,14374.481,19687.487413,0
1698804900000,1.373,1.375,1.37,1.373,3491.1,1698805799999,4793.752526,71,2427.263,3333.328522,0
1698805800000,1.372,1.374,1.369,1.369,23346.07,1698806699999,31979.680119,64,4783.8,6566.26722,0
1698806700000,1.369,1.37,1.363,1.366,26806.057,1698807599999,36636.438748,216,11992.142,16396.265885,0
1698807600000,1.366,1.369,1.356,1.361,20405.728,1698808499999,27794.865867,244,6623.178,9034.888569,0
1698808500000,1.361,1.362,1.349,1.35,38911.654,1698809399999,52682.669017,388,10990.413,14884.382002,0
1698809400000,1.349,1.357,1.347,1.356,18544.902,1698810299999,25108.910672,160,7540.475,10210.12154,0
1698810300000,1.356,1.362,1.355,1.362,16768.63,1698811199999,22784.944774,176,11407.16,15503.859196,0
1698811200000,1.361,1.362,1.349,1.357,51992.015,1698812099999,70412.601036,257,7480.081,10147.268004,0
1698812100000,1.357,1.375,1.357,1.37,23084.502,1698812999999,31516.760081,247,15267.288,20837.772339,0
1698813000000,1.369,1.371,1.364,1.371,14556.249,1698813899999,19899.380234,123,8908.64,12180.051269,0
1698813900000,1.37,1.372,1.363,1.365,13330.735,1698814799999,18237.805779,157,7588.849,10387.207394,0
1698814800000,1.365,1.365,1.345,1.346,59947.2,1698815699999,80984.991825,372,17277.371,23400.049025,0
1698815700000,1.346,1.347,1.339,1.345,44102.087,1698816599999,59178.483441,366,19163.245,25736.012154,0
1698816600000,1.346,1.346,1.334,1.336,19612.768,1698817499999,26256.586411,221,10879.253,14564.573144,0
1698817500000,1.338,1.341,1.327,1.335,84621.968,1698818399999,112765.847224,487,44277.621,59073.774165,0
1698818400000,1.336,1.339,1.33,1.336,12081.607,1698819299999,16109.200537,162,3408.065,4549.57576,0
1698819300000,1.337,1.347,1.337,1.344,29926.352,1698820199999,40221.63322,196,22860.009,30727.28845,0
1698820200000,1.344,1.354,1.343,1.353,11734.107,1698821099999,15845.578294,142,5206.029,7030.142929,0
1698821100000,1.353,1.354,1.349,1.349,7335.996,1698821999999,9917.487885,100,3773.501,5103.056805,0
1698822000000,1.349,1.356,1.345,1.356,16168.395,1698822899999,21823.245663,145,13701.233,18493.880751,0
1698822900000,1.356,1.357,1.352,1.352,14116.8,1698823799999,19127.792776,116,4415.526,5987.887657,0
1698823800000,1.353,1.354,1.345,1.354,17305.847,1698824699999,23358.417896,194,8047.789,10877.468586,0
1698824700000,1.354,1.356,1.348,1.351,16006.675,1698825599999,21652.353241,131,9788.26,13243.680632,0
1698825600000,1.35,1.352,1.348,1.351,4351.411,1698826499999,5872.932152,87,1283.602,1733.446031,0
1698826500000,1.351,1.351,1.344,1.345,30143.929,1698827399999,40551.375845,158,2077.059,2797.145163,0
1698827400000,1.345,1.349,1.343,1.348,5843.094,1698828299999,7870.940356,94,2862.373,3858.103378,0
1698828300000,1.347,1.347,1.339,1.34,24396.186,1698829199999,32743.622814,152,4251.001,5706.455203,0
