open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1727740800000,0.0575,0.0578,0.0573,0.0576,3420117.0,1727741699999,196945.4144,996,1627787.0,93757.9013,0
1727741700000,0.0576,0.0577,0.057,0.0576,3466746.0,1727742599999,198834.3134,1526,1743817.0,100042.7022,0
1727742600000,0.0576,0.0579,0.0575,0.0578,2768601.0,1727743499999,159752.4002,1266,1366101.0,78831.757,0
1727743500000,0.0577,0.0582,0.0577,0.0581,2726936.0,1727744399999,158093.5053,1079,1455953.0,84437.0064,0
1727744400000,0.058,0.0584,0.058,0.058,2115106.0,1727745299999,123116.4798,1088,876651.0,51041.6942,0
1727745300000,0.058,0.0582,0.058,0.0581,1585383.0,1727746199999,92123.9822,949,917909.0,53340.9161,0
1727746200000,0.0581,0.0583,0.0581,0.0582,1433145.0,1727747099999,83362.145,551,844532.0,49140.0999,0
1727747100000,0.0581,0.0582,0.0579,0.058,1378142.0,1727747999999,80013.7528,411,795993.0,46225.4818,0
1727748000000,0.0579,0.0581,0.0575,0.0576,1535733.0,1727748899999,88775.0794,939,812602.0,46985.5897,0
1727748900000,0.0575,0.058,0.0575,0.0578,1426230.0,1727749799999,82275.1263,670,672835.0,38795.8855,0
1727749800000,0.0578,0.0582,0.0578,0.0582,746010.0,1727750699999,43304.6414,476,497465.0,28881.4117,0
1727750700000,0.0581,0.0585,0.058,0.0584,1170742.0,1727751599999,68237.6492,489,444342.0,25891.4633,0
1727751600000,0.0585,0.0588,0.0583,0.0587,862151.0,1727752499999,50455.6793,589,345496.0,20225.0409,0
1727752500000,0.0587,0.0589,0.0585,0.0585,868886.0,1727753399999,51011.4282,446,205330.0,12061.5414,0
1727753400000,0.0585,0.0587,0.0585,0.0587,1472008.0,1727754299999,86254.5124,610,627542.0,36782.807,0
1727754300000,0.0587,0.0589,0.0586,0.0588,1020995.0,1727755199999,59962.2512,463,557765.0,32760.1805,0
1727755200000,0.0587,0.059,0.0586,0.0587,1333873.0,1727756099999,78449.3995,510,606655.0,35701.0187,0
1727756100000,0.0586,0.0589,0.0586,0.0587,508598.0,1727756999999,29881.4768,386,294643.0,17316.1738,0
1727757000000,0.0587,0.0591,0.0587,0.0589,737171.0,1727757899999,43425.1279,458,374408.0,22058.9699,0
1727757900000,0.0588,0.059,0.0587,0.0587,1219098.0,1727758799999,71720.8795,529,671617.0,39518.7666,0
1727758800000,0.0587,0.0588,0.0584,0.0584,1365830.0,1727759699999,80080.9061,628,668731.0,39234.9599,0
1727759700000,0.0584,0.0586,0.0584,0.0584,514146.0,1727760599999,30071.7416,305,221000.0,12929.228,0
1727760600000,0.0584,0.0585,0.0583,0.0584,805673.0,1727761499999,47036.1599,276,103891.0,6073.9857,0
1727761500000,0.0583,0.0586,0.0583,0.0586,611072.0,1727762399999,35689.0643,456,372746.0,21777.2027,0
1727762400000,0.0585,0.059,0.0585,0.059,1179677.0,1727763299999,69309.3871,511,834160.0,49053.9818,0
1727763300000,0.0591,0.0592,0.0588,0.059,1842843.0,1727764199999,108728.5789,892,638274.0,37651.2775,0
1727764200000,0.059,0.0592,0.0589,0.0589,1378921.0,1727765099999,81501.1346,819,625869.0,37001.6542,0
1727765100000,0.0589,0.0593,0.0589,0.0592,1588417.0,1727765999999,94009.2181,923,935814.0,55397.7723,0
1727766000000,0.0591,0.0593,0.059,0.0591,911044.0,1727766899999,53886.8755,503,457348.0,27053.7921,0
1727766900000,0.0591,0.0592,0.059,0.0592,295937.0,1727767799999,17493.4616,280,195572.0,11562.1269,0
1727767800000,0.0591,0.0594,0.0591,0.0593,680069.0,1727768699999,40311.0498,391,315790.0,18722.2448,0
1727768700000,0.0593,0.0594,0.0591,0.0591,891381.0,1727769599999,52811.3563,427,309696.0,18349.8527,0
1727769600000,0.0591,0.0593,0.059,0.059,1502039.0,1727770499999,88800.8421,606,540244.0,31945.6656,0
1727770500000,0.059,0.0591,0.0589,0.059,680723.0,1727771399999,40179.2801,204,429746.0,25376.251,0
1727771400000,0.059,0.0593,0.0588,0.0589,1191370.0,1727772299999,70356.5487,521,560895.0,33117.2602,0
1727772300000,0.0589,0.0591,0.0588,0.059,782231.0,1727773199999,46096.4311,353,354270.0,20876.8499,0
1727773200000,0.0589,0.0592,0.0589,0.0591,699798.0,1727774099999,41378.8061,316,332453.0,19662.6423,0
1727774100000,0.0591,0.0592,0.059,0.059,394154.0,1727774999999,23292.0483,135,153008.0,9045.8577,0
1727775000000,0.059,0.0591,0.0589,0.0589,877184.0,1727775899999,51747.7028,321,473989.0,27967.541,0
1727775900000,0.0589,0.0592,0.0589,0.0589,1156624.0,1727776799999,68262.3125,569,553668.0,32675.122,0
1727776800000,0.0589,0.059,0.0586,0.0588,1539298.0,1727777699999,90554.5861,614,751859.0,44231.7041,0
1727777700000,0.0587,0.0589,0.0587,0.0589,1139823.0,1727778599999,67023.7759,492,574046.0,33760.7648,0
1727778600000,0.0588,0.0591,0.0587,0.059,1276291.0,1727779499999,75188.965,457,633180.0,37312.8252,0
1727779500000,0.0589,0.0591,0.0589,0.059,446479.0,1727780399999,26341.4192,134,348464.0,20560.7945,0
1727780400000,0.059,0.0591,0.0589,0.059,599009.0,1727781299999,35338.5807,206,238776.0,14090.2064,0
1727781300000,0.059,0.0591,0.0587,0.0587,1330578.0,1727782199999,78314.9942,724,427817.0,25189.3882,0
1727782200000,0.0587,0.0588,0.0585,0.0586,690901.0,1727783099999,40546.6932,271,368864.0,21659.7481,0
1727783100000,0.0586,0.0588,0.0585,0.0587,1711295.0,1727783999999,100352.7798,795,1019713.0,59817.5967,0
1727784000000,0.0586,0.0588,0.0586,0.0586,984891.0,1727784899999,57783.8913,460,426259.0,25011.2404,0
1727784900000,0.0586,0.0589,0.0586,0.0589,1719181.0,1727785799999,100948.0609,707,910977.0,53510.5382,0
1727785800000,0.0588,0.0588,0.0584,0.0584,2222688.0,1727786699999,130369.87,989,979426.0,57443.8485,0
1727786700000,0.0584,0.0586,0.0583,0.0585,1703506.0,1727787599999,99583.5367,818,842733.0,49273.2525,0
1727787600000,0.0584,0.0585,0.0579,0.058,2616660.0,1727788499999,152211.6185,912,1420899.0,82667.2267,0
1727788500000,0.0581,0.0581,0.0576,0.0581,7060991.0,1727789399999,409144.1831,1914,5153083.0,298694.2466,0
1727789400000,0.0581,0.0582,0.057,0.0578,11246691.0,1727790299999,648093.8538,4383,6606076.0,380851.4919,0
1727790300000,0.0577,0.0579,0.0573,0.0577,8492060.0,1727791199999,488561.2937,3972,4675606.0,269102.5894,0
1727791200000,0.0577,0.0581,0.0574,0.0576,6899332.0,1727792099999,398153.9571,3417,3847704.0,222069.5572,0
1727792100000,0.0575,0.0578,0.0572,0.0574,5275012.0,1727792999999,303189.163,2112,2831235.0,162797.9957,0
1727793000000,0.0574,0.0574,0.0566,0.0569,7928872.0,1727793899999,451301.279,2720,2766488.0,157583.8983,0
1727793900000,0.0568,0.057,0.0559,0.056,7921200.0,1727794799999,445544.4983,2841,3044556.0,171243.3716,0
1727794800000,0.056,0.0562,0.0541,0.0553,17042472.0,1727795699999,935788.5965,7355,8600600.0,472340.4527,0
1727795700000,0.0553,0.0557,0.0551,0.0555,9340099.0,1727796599999,516901.4701,3384,4526656.0,250526.1953,0
1727796600000,0.0555,0.0561,0.0554,0.0559,6696154.0,1727797499999,373717.6355,2550,3593035.0,200536.9805,0
1727797500000,0.0558,0.0559,0.0553,0.0554,3394419.0,1727798399999,188664.9608,1500,1539776.0,85585.5489,0
1727798400000,0.0553,0.0556,0.0551,0.0552,4913291.0,1727799299999,271977.5504,1885,2410782.0,133438.6167,0
1727799300000,0.0551,0.0552,0.0547,0.0549,5467914.0,1727800199999,300548.581,1921,2709239.0,148919.2493,0
1727800200000,0.0549,0.055,0.0543,0.0544,7413516.0,1727801099999,405680.5675,3761,3309922.0,181181.581,0
1727801100000,0.0544,0.0548,0.0541,0.0546,8072362.0,1727801999999,439149.5185,3010,4356534.0,237008.2168,0
1727802000000,0.0546,0.0546,0.0535,0.0537,7409744.0,1727802899999,399691.9193,2686,3307445.0,178413.8343,0
1727802900000,0.0537,0.0538,0.0519,0.0534,20262926.0,1727803799999,1069003.4568,9578,9507821.0,501467.2523,0
1727803800000,0.0533,0.0539,0.0528,0.0533,10396257.0,1727804699999,553926.2823,5678,5001448.0,266426.5636,0
1727804700000,0.0533,0.0542,0.0532,0.0539,6623804.0,1727805599999,355500.5711,2989,3098193.0,166315.4229,0
1727805600000,0.0539,0.0542,0.0537,0.0541,5413237.0,1727806499999,292351.7125,2105,2870804.0,155030.0277,0
1727806500000,0.0541,0.0542,0.0537,0.0542,5640422.0,1727807399999,304109.5774,1637,2556106.0,137956.1141,0
1727807400000,0.0541,0.0543,0.0536,0.0537,4140742.0,1727808299999,223268.6348,1664,1618548.0,87288.5687,0
1727808300000,0.0537,0.0537,0.0533,0.0536,3118769.0,1727809199999,167056.0429,1225,1504748.0,80600.223,0
1727809200000,0.0535,0.0536,0.0532,0.0533,3908240.0,1727810099999,209009.1402,1555,1842847.0,98556.3751,0
1727810100000,0.0532,0.0538,0.0531,0.0538,3358501.0,1727810999999,179364.3737,1425,2029258.0,108410.9044,0
1727811000000,0.0537,0.0538,0.0534,0.0534,2670762.0,1727811899999,143116.4356,1285,1128441.0,60463.7896,0
1727811900000,0.0534,0.0536,0.0532,0.0532,2118200.0,1727812799999,113129.3683,1167,1242672.0,66379.3244,0
1727812800000,0.0532,0.0534,0.053,0.0533,4970900.0,1727813699999,264323.6443,2437,2500544.0,132942.6794,0
1727813700000,0.0532,0.0533,0.0525,0.0526,5113748.0,1727814599999,270693.4552,2463,2334807.0,123529.8268,0
1727814600000,0.0526,0.0528,0.0519,0.0526,10909143.0,1727815499999,571776.7527,4685,4030005.0,211033.5003,0
1727815500000,0.0526,0.0532,0.0523,0.053,5327836.0,1727816399999,281728.8807,2418,2287797.0,120968.2365,0
1727816400000,0.0529,0.0531,0.0526,0.0531,3182219.0,1727817299999,168382.9252,1560,1680169.0,88934.886,0
1727817300000,0.053,0.053,0.0526,0.0528,3200490.0,1727818199999,168953.0055,1052,1680820.0,88737.9497,0
1727818200000,0.0528,0.0529,0.0526,0.0528,2135659.0,1727819099999,112661.9267,736,1154244.0,60908.093,0
1727819100000,0.0527,0.0534,0.0527,0.0534,2214982.0,1727819999999,117711.4159,720,1648959.0,87587.4497,0
1727820000000,0.0533,0.0533,0.0528,0.053,2203080.0,1727820899999,116778.5782,1027,555928.0,29430.6126,0
1727820900000,0.0529,0.0532,0.0528,0.0528,1528586.0,1727821799999,81039.6108,478,885782.0,47042.1774,0
1727821800000,0.0528,0.0531,0.0526,0.0526,1517619.0,1727822699999,80236.643,576,777659.0,41139.0938,0
1727822700000,0.0526,0.0529,0.0525,0.0528,1396295.0,1727823599999,73513.6655,803,715414.0,37667.2397,0
1727823600000,0.0527,0.0529,0.0526,0.0528,1273983.0,1727824499999,67272.5345,598,636861.0,33642.1427,0
1727824500000,0.0528,0.0529,0.0525,0.0526,1702780.0,1727825399999,89912.2659,756,587310.0,31020.1831,0
1727825400000,0.0526,0.053,0.0525,0.0529,1439873.0,1727826299999,75941.1828,592,992813.0,52363.4471,0
1727826300000,0.0529,0.053,0.0528,0.0528,1026232.0,1727827199999,54279.6232,427,389049.0,20582.3966,0
1727827200000,0.0528,0.0529,0.0525,0.0525,3729869.0,1727828099999,196680.1699,1876,1718988.0,90662.0935,0
1727828100000,0.0526,0.0529,0.0524,0.0528,3399679.0,1727828999999,178978.189,1794,2052927.0,108160.7877,0
1727829000000,0.0529,0.0533,0.0528,0.0532,1447934.0,1727829899999,76782.4432,453,870012.0,46134.0077,0
1727829900000,0.0531,0.0532,0.0526,0.0528,3242593.0,1727830799999,171346.0915,1122,1308751.0,69168.4472,0
1727830800000,0.0529,0.0532,0.0528,0.0531,1469677.0,1727831699999,78008.1624,644,841029.0,44637.7036,0
1727831700000,0.0531,0.0534,0.053,0.0533,2504966.0,1727832599999,133123.2001,842,1257331.0,66838.9702,0
1727832600000,0.0533,0.0534,0.0532,0.0533,1030965.0,1727833499999,54950.0057,396,488486.0,26037.9491,0
1727833500000,0.0533,0.0535,0.0533,0.0534,2895718.0,1727834399999,154522.8973,925,1303254.0,69551.6282,0
1727834400000,0.0533,0.0535,0.0533,0.0535,1001191.0,1727835299999,53468.0253,434,602856.0,32197.1391,0
