open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1706745600000,1.434,1.438,1.434,1.437,27095.765,1706746499999,38925.322953,176,13490.068,19385.043799,0
1706746500000,1.438,1.441,1.436,1.437,22494.691,1706747399999,32363.357411,147,4339.644,6243.703099,0
1706747400000,1.437,1.44,1.424,1.427,24638.238,1706748299999,35291.72074,186,14044.661,20127.936075,0
1706748300000,1.428,1.436,1.428,1.435,7056.4,1706749199999,10112.071056,107,5771.609,8271.31437,0
1706749200000,1.435,1.435,1.417,1.419,26075.626,1706750099999,37278.271081,181,10724.032,15325.863825,0
1706750100000,1.417,1.418,1.402,1.41,60066.248,1706750999999,84549.105203,593,25878.421,36431.809321,0
1706751000000,1.412,1.415,1.398,1.411,63339.492,1706751899999,88923.791011,468,21660.245,30460.226494,0
1706751900000,1.41,1.414,1.392,1.396,32444.379,1706752799999,45415.589497,344,11504.609,16117.934367,0
1706752800000,1.397,1.425,1.396,1.417,63234.058,1706753699999,89418.40704,499,57757.702,81707.707838,0
1706753700000,1.417,1.417,1.403,1.411,38766.074,1706754599999,54626.601714,327,8172.798,11549.189978,0
1706754600000,1.41,1.416,1.404,1.416,13604.678,1706755499999,19199.271128,166,7835.248,11075.394569,0
1706755500000,1.416,1.419,1.414,1.418,11778.716,1706756399999,16691.782997,100,8768.476,12427.526232,0
1706756400000,1.418,1.423,1.417,1.42,9869.454,1706757299999,14017.719514,182,6745.453,9581.68637,0
1706757300000,1.419,1.42,1.412,1.413,46274.734,1706758199999,65509.44968,257,13098.824,18579.373215,0
1706758200000,1.413,1.418,1.406,1.415,23180.33,1706759099999,32696.615741,257,7563.927,10675.945277,0
1706759100000,1.415,1.418,1.402,1.405,42395.755,1706759999999,59666.063451,319,4269.972,6016.397749,0
1706760000000,1.405,1.409,1.402,1.406,8418.403,1706760899999,11825.610899,156,2426.786,3411.195042,0
1706760900000,1.407,1.413,1.406,1.408,37089.874,1706761799999,52256.078531,196,10511.149,14807.573034,0
1706761800000,1.409,1.417,1.394,1.416,44857.555,1706762699999,63033.571382,448,27292.095,38429.218563,0
1706762700000,1.417,1.418,1.413,1.414,6506.982,1706763599999,9214.212172,98,4216.958,5974.856304,0
1706763600000,1.415,1.418,1.409,1.417,27407.063,1706764499999,38724.267318,228,7085.683,10031.00027,0
1706764500000,1.417,1.418,1.403,1.403,14428.668,1706765399999,20352.356418,138,4497.297,6342.748704,0
1706765400000,1.403,1.408,1.401,1.405,3604.838,1706766299999,5062.49038,60,1264.762,1777.451318,0
1706766300000,1.404,1.41,1.404,1.41,3745.221,1706767199999,5268.705681,49,2618.925,3682.709931,0
1706767200000,1.409,1.412,1.408,1.412,12160.958,1706768099999,17155.16195,108,5646.854,7965.106224,0
1706768100000,1.41,1.41,1.4,1.404,8394.755,1706768999999,11794.530491,86,5168.202,7266.739415,0
1706769000000,1.403,1.412,1.403,1.412,6511.983,1706769899999,9175.888807,106,4408.098,6209.289047,0
1706769900000,1.412,1.413,1.41,1.412,2218.947,1706770799999,3131.002436,60,1224.17,1727.965699,0
1706770800000,1.413,1.415,1.408,1.413,6222.935,1706771699999,8779.342854,117,3150.199,4448.393108,0
1706771700000,1.413,1.421,1.412,1.421,8188.385,1706772599999,11605.572595,164,7308.44,10358.609117,0
1706772600000,1.42,1.425,1.417,1.421,20465.52,1706773499999,29100.704376,232,12306.574,17500.764788,0
1706773500000,1.422,1.435,1.422,1.424,67339.825,1706774399999,96156.17012,444,45115.879,64415.449416,0
1706774400000,1.424,1.429,1.419,1.421,12185.671,1706775299999,17340.276034,128,6531.589,9299.546915,0
1706775300000,1.421,1.423,1.419,1.421,11653.23,1706776199999,16545.447414,92,1869.934,2656.088139,0
