open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1733011200000,12.444,12.508,12.39,12.492,15909.52,1733012099999,198071.387,1156,8767.78,109146.33212,0
1733012100000,12.493,12.495,12.372,12.462,49696.91,1733012999999,617601.40646,2308,13750.9,171028.40195,0
1733013000000,12.464,12.487,12.288,12.324,53709.65,1733013899999,664955.63887,2792,19385.67,239839.0336,0
1733013900000,12.334,12.371,12.202,12.221,70649.7,1733014799999,867682.26392,3996,35101.67,431239.43888,0
1733014800000,12.224,12.279,12.135,12.183,53842.89,1733015699999,656761.89294,3518,23577.95,287623.51222,0
1733015700000,12.178,12.237,12.081,12.205,52545.18,1733016599999,637626.35759,2955,20656.19,250758.68902,0
1733016600000,12.206,12.274,12.198,12.265,30956.89,1733017499999,378931.61373,1420,19755.16,241815.36955,0
1733017500000,12.264,12.282,12.108,12.144,29251.43,1733018399999,356121.09914,1633,7641.68,93185.35744,0
1733018400000,12.145,12.202,12.067,12.082,43329.99,1733019299999,526116.68325,3038,20501.98,248988.02492,0
1733019300000,12.083,12.13,12.03,12.087,39375.92,1733020199999,475490.10068,1920,11079.52,133819.45646,0
1733020200000,12.087,12.087,11.927,11.981,106752.1,1733021099999,1280428.72985,3785,39153.74,469379.28884,0
1733021100000,11.985,12.03,11.921,11.954,34606.11,1733021999999,414114.84139,1928,21222.11,253898.07778,0
1733022000000,11.956,12.054,11.948,12.033,33868.5,1733022899999,406395.24411,1768,15085.83,181160.56275,0
1733022900000,12.029,12.047,11.951,11.985,15745.09,1733023799999,189224.9267,1163,6747.67,81109.80814,0
1733023800000,11.983,12.051,11.978,12.044,27479.25,1733024699999,330626.99615,978,15067.09,181283.26839,0
1733024700000,12.044,12.082,12.033,12.066,24055.71,1733025599999,290136.81958,963,11060.5,133413.24434,0
1733025600000,12.066,12.066,11.972,12.005,22629.99,1733026499999,271776.36351,1260,11079.2,133054.21279,0
1733026500000,12.004,12.04,11.949,12.033,19986.57,1733027399999,239920.74962,1016,9468.08,113606.64803,0
1733027400000,12.027,12.069,12.027,12.051,11232.72,1733028299999,135329.41896,680,6117.16,73694.17092,0
1733028300000,12.052,12.151,12.047,12.128,21446.14,1733029199999,259868.38446,1221,16430.37,199107.92352,0
1733029200000,12.124,12.124,12.048,12.055,39459.12,1733030099999,476385.97032,1496,12468.74,150566.39699,0
1733030100000,12.056,12.125,12.044,12.092,15946.27,1733030999999,192652.51471,919,9031.62,109170.57576,0
1733031000000,12.094,12.121,12.045,12.121,18007.68,1733031899999,217487.05867,1198,8801.35,106293.76522,0
1733031900000,12.125,12.136,12.037,12.053,16807.42,1733032799999,203033.91289,1145,8738.8,105624.61436,0
1733032800000,12.051,12.157,12.046,12.154,21623.97,1733033699999,262080.83397,1175,15690.57,190271.77765,0
1733033700000,12.149,12.16,12.078,12.105,12178.42,1733034599999,147580.1113,857,5792.37,70220.86308,0
1733034600000,12.104,12.159,12.104,12.122,15802.37,1733035499999,191730.66199,890,4667.33,56635.68847,0
1733035500000,12.122,12.152,12.086,12.087,18532.94,1733036399999,224426.75573,1045,7284.25,88262.42584,0
