open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1767225600000000,0.0707,0.0707,0.0702,0.0703,470030.0,1767226499999999,33013.9253,194,102229.0,7186.8229,0
1767226500000000,0.0702,0.0706,0.0702,0.0704,76350.0,1767227399999999,5371.717,54,49183.0,3461.0502,0
1767227400000000,0.0704,0.0704,0.0696,0.0696,438568.0,1767228299999999,30713.0049,184,77832.0,5439.9674,0
1767228300000000,0.0696,0.07,0.0693,0.0694,207904.0,1767229199999999,14441.6862,145,56952.0,3954.9049,0
1767229200000000,0.0694,0.0695,0.0693,0.0695,37999.0,1767230099999999,2637.0502,21,30496.0,2116.7923,0
1767230100000000,0.0695,0.0696,0.0689,0.069,206425.0,1767230999999999,14283.0219,120,66881.0,4630.3798,0
1767231000000000,0.0689,0.0689,0.0685,0.0685,176120.0,1767231899999999,12082.7715,89,84197.0,5773.6177,0
1767231900000000,0.0684,0.0684,0.068,0.068,380116.0,1767232799999999,25925.4032,176,173856.0,11858.9207,0
1767232800000000,0.068,0.0683,0.0679,0.0679,187570.0,1767233699999999,12765.354,100,85602.0,5827.6367,0
1767233700000000,0.068,0.0681,0.0678,0.0678,148836.0,1767234599999999,10109.2117,65,78767.0,5351.0348,0
1767234600000000,0.0678,0.068,0.0678,0.0679,92348.0,1767235499999999,6267.1432,51,40991.0,2782.714,0
1767235500000000,0.068,0.0682,0.068,0.0682,13752.0,1767236399999999,936.4131,14,5768.0,392.9055,0
1767236400000000,0.0681,0.0683,0.068,0.0682,123895.0,1767237299999999,8445.0295,108,71872.0,4899.3713,0
1767237300000000,0.0682,0.0682,0.0674,0.0676,916568.0,1767238199999999,62039.7203,555,212979.0,14423.1043,0
1767238200000000,0.0675,0.0675,0.0673,0.0675,62605.0,1767239099999999,4218.18,43,21865.0,1473.7716,0
1767239100000000,0.0675,0.0675,0.0673,0.0673,45901.0,1767239999999999,3091.6984,22,19426.0,1309.7007,0
1767240000000000,0.0673,0.0676,0.0673,0.0676,117268.0,1767240899999999,7897.5539,64,86898.0,5853.1755,0
1767240900000000,0.0676,0.0676,0.0673,0.0674,40421.0,1767241799999999,2726.4469,31,19822.0,1336.0144,0
1767241800000000,0.0673,0.0675,0.0673,0.0674,126436.0,1767242699999999,8527.8461,58,103644.0,6992.0958,0
1767242700000000,0.0673,0.0676,0.0673,0.0676,42198.0,1767243599999999,2843.1027,34,29446.0,1984.0891,0
1767243600000000,0.0676,0.0678,0.0676,0.0678,10699.0,1767244499999999,725.1796,14,5383.0,364.8779,0
1767244500000000,0.0679,0.068,0.0678,0.0678,17193.0,1767245399999999,1166.4924,15,7984.0,541.5497,0
1767245400000000,0.0679,0.0679,0.0677,0.0678,30449.0,1767246299999999,2065.6148,37,19827.0,1345.116,0
1767246300000000,0.0678,0.068,0.0677,0.0677,31915.0,1767247199999999,2164.5856,31,13418.0,910.2563,0
1767247200000000,0.0677,0.068,0.0677,0.0678,114416.0,1767248099999999,7763.6303,75,62656.0,4252.6709,0
1767248100000000,0.0678,0.0678,0.0676,0.0676,12279.0,1767248999999999,832.1532,16,5493.0,372.1358,0
1767249000000000,0.0677,0.0677,0.0676,0.0676,10655.0,1767249899999999,720.7211,8,5514.0,373.1895,0
1767249900000000,0.0676,0.0676,0.0675,0.0676,4773.0,1767250799999999,322.3316,7,1292.0,87.3392,0
1767250800000000,0.0675,0.0676,0.0674,0.0675,7601.0,1767251699999999,513.1197,8,3945.0,266.3563,0
1767251700000000,0.0674,0.0675,0.0673,0.0675,19707.0,1767252599999999,1328.3499,12,12352.0,832.66,0
1767252600000000,0.0674,0.0676,0.0674,0.0675,76150.0,1767253499999999,5137.3251,49,22193.0,1498.0459,0
1767253500000000,0.0675,0.0675,0.0673,0.0675,21794.0,1767254399999999,1468.7594,19,5436.0,366.6957,0
1767254400000000,0.0674,0.0677,0.0674,0.0675,95112.0,1767255299999999,6424.3191,53,82078.0,5544.6691,0
1767255300000000,0.0675,0.0676,0.067,0.0671,244117.0,1767256199999999,16407.0838,139,10360.0,696.9425,0
1767256200000000,0.0671,0.0672,0.067,0.067,92582.0,1767257099999999,6204.5264,44,71254.0,4775.2685,0
1767257100000000,0.0669,0.067,0.0669,0.067,27673.0,1767257999999999,1851.9024,16,18349.0,1228.1268,0
1767258000000000,0.0671,0.0673,0.0671,0.0673,26544.0,1767258899999999,1784.0361,42,24006.0,1613.5025,0
1767258900000000,0.0673,0.0675,0.0673,0.0675,118447.0,1767259799999999,7984.0871,170,101099.0,6815.1075,0
1767259800000000,0.0675,0.0677,0.0675,0.0675,20733.0,1767260699999999,1400.3949,35,16226.0,1096.0707,0
