open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1701388800000,1.2813,1.2822,1.2699,1.2707,54805.29,1701389699999,69820.640762,709,17833.63,22718.603126,0
1701389700000,1.2709,1.2735,1.2661,1.2672,66149.89,1701390599999,83940.961974,427,23445.22,29783.655876,0
1701390600000,1.2669,1.2755,1.2649,1.2745,24478.91,1701391499999,31103.880847,386,10432.58,13249.951932,0
1701391500000,1.2741,1.275,1.2693,1.2724,15751.32,1701392399999,20036.248331,203,8464.63,10768.591962,0
1701392400000,1.2719,1.2746,1.2681,1.2723,23188.98,1701393299999,29480.952947,242,7542.35,9587.846654,0
1701393300000,1.2729,1.2923,1.2726,1.2917,152192.76,1701394199999,195939.027123,995,104756.95,134933.575746,0
1701394200000,1.2924,1.3053,1.2889,1.3001,151341.11,1701395099999,196213.809874,1535,85510.27,110746.109781,0
1701395100000,1.3003,1.3007,1.2903,1.2929,78664.21,1701395999999,101714.973421,614,47582.85,61507.619237,0
1701396000000,1.293,1.3007,1.293,1.297,75555.6,1701396899999,97941.584198,565,24655.85,31961.560146,0
1701396900000,1.2971,1.3008,1.2947,1.2973,64827.11,1701397799999,84085.831089,610,40029.73,51926.23975,0
1701397800000,1.2975,1.3104,1.2972,1.309,104852.87,1701398699999,136847.156001,1229,79450.95,103687.984809,0
1701398700000,1.3088,1.3132,1.3088,1.3121,83914.65,1701399599999,110032.872594,1136,59371.11,77858.621309,0
1701399600000,1.3119,1.32,1.3093,1.3148,102429.48,1701400499999,134675.839323,1289,61865.31,81393.209771,0
1701400500000,1.3145,1.3234,1.3138,1.3231,115904.02,1701401399999,152795.937126,1073,81800.21,107831.376862,0
1701401400000,1.3228,1.3311,1.3222,1.3298,177437.27,1701402299999,235581.866052,1789,88407.88,117374.98982,0
1701402300000,1.3299,1.3495,1.3299,1.3491,243938.15,1701403199999,327085.616289,2487,165301.77,221602.919609,0
