open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,8.024,8.131,8.016,8.116,66525.2,1688170499999,537906.5399,1379,34219.5,276415.2636,0
1688170500000,8.116,8.126,8.081,8.118,13358.9,1688171399999,108247.7158,535,7322.4,59328.8209,0
1688171400000,8.114,8.159,8.109,8.156,14288.5,1688172299999,116376.1485,625,8330.9,67856.8296,0
1688172300000,8.153,8.156,8.13,8.147,5955.4,1688173199999,48493.5915,362,3164.0,25767.3779,0
1688173200000,8.147,8.173,8.139,8.166,20479.2,1688174099999,167064.9813,712,13224.6,107920.0311,0
1688174100000,8.166,8.2,8.083,8.119,36613.1,1688174999999,298594.3078,1217,21435.9,175000.4216,0
1688175000000,8.121,8.196,8.101,8.186,9185.4,1688175899999,74975.7929,438,4633.7,37835.2858,0
1688175900000,8.182,8.315,8.17,8.236,78545.8,1688176799999,649179.4921,2139,53999.9,446479.0922,0
1688176800000,8.236,8.308,8.215,8.304,22241.5,1688177699999,183649.947,878,15074.6,124435.3714,0
1688177700000,8.303,8.386,8.297,8.32,32900.5,1688178599999,274554.9129,1438,16818.7,140269.5423,0
1688178600000,8.314,8.339,8.273,8.291,13747.2,1688179499999,114160.943,580,7286.0,60515.5051,0
1688179500000,8.294,8.36,8.242,8.36,24044.2,1688180399999,199675.788,718,11331.3,94005.3529,0
1688180400000,8.355,8.405,8.333,8.388,31199.4,1688181299999,261306.1391,1274,16783.7,140593.8493,0
1688181300000,8.385,8.514,8.367,8.493,55429.0,1688182199999,468608.5041,2143,34757.6,293976.0566,0
1688182200000,8.494,8.567,8.471,8.566,58252.3,1688183099999,496386.5171,2070,31873.3,271863.5738,0
1688183100000,8.567,8.575,8.475,8.484,28776.5,1688183999999,244555.2618,1152,11182.4,95064.7004,0
1688184000000,8.486,8.565,8.48,8.48,39513.9,1688184899999,336094.8612,989,23625.9,200984.6502,0
1688184900000,8.48,8.489,8.335,8.392,60703.9,1688185799999,510323.1787,2195,19108.3,160704.0551,0
1688185800000,8.39,8.43,8.368,8.395,27354.8,1688186699999,229482.9136,823,13782.8,115677.7426,0
1688186700000,8.39,8.459,8.384,8.426,14780.8,1688187599999,124625.0592,510,8962.2,75576.4983,0
1688187600000,8.426,8.428,8.378,8.391,17770.0,1688188499999,149223.5375,568,8382.8,70383.7143,0
1688188500000,8.397,8.397,8.34,8.346,19375.9,1688189399999,162024.0589,621,3925.6,32869.1412,0
1688189400000,8.347,8.406,8.339,8.403,12933.1,1688190299999,108407.2158,417,7594.2,63672.8235,0
1688190300000,8.402,8.422,8.39,8.409,9904.2,1688191199999,83258.8285,329,7138.9,60019.1374,0
1688191200000,8.405,8.43,8.395,8.424,6652.4,1688192099999,55973.5159,309,4481.3,37707.5953,0
1688192100000,8.422,8.474,8.407,8.47,12457.5,1688192999999,105159.4708,583,8409.5,71012.5866,0
1688193000000,8.47,8.483,8.436,8.437,9717.9,1688193899999,82258.3629,500,3979.8,33691.48,0
