open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1706745600000,0.00824,0.00829,0.00824,0.00829,330987.0,1706746499999,2736.57284,34,289190.0,2391.34613,0
1706746500000,0.0083,0.00836,0.0083,0.00833,947258.0,1706747399999,7885.15164,85,457909.0,3808.65894,0
1706747400000,0.00832,0.00832,0.00827,0.00828,402589.0,1706748299999,3338.03052,50,215188.0,1783.80223,0
1706748300000,0.0083,0.00832,0.00829,0.0083,850078.0,1706749199999,7056.6523,55,642101.0,5331.00281,0
1706749200000,0.00829,0.00829,0.00824,0.00824,901225.0,1706750099999,7445.4269,54,427492.0,3530.2026,0
1706750100000,0.00823,0.00823,0.00814,0.0082,1665140.0,1706750999999,13619.40846,160,679488.0,5554.74768,0
1706751000000,0.0082,0.00822,0.00817,0.00821,272447.0,1706751899999,2228.83649,28,116102.0,949.62124,0
1706751900000,0.00821,0.00821,0.00814,0.00815,1188341.0,1706752799999,9687.81866,100,382579.0,3117.29842,0
1706752800000,0.00816,0.00821,0.00816,0.00821,1734337.0,1706753699999,14210.50274,78,1154166.0,9455.84382,0
1706753700000,0.00821,0.00822,0.0082,0.00822,310928.0,1706754599999,2553.59746,33,160783.0,1320.90701,0
1706754600000,0.0082,0.00823,0.00819,0.00823,408117.0,1706755499999,3349.08283,26,131804.0,1083.41593,0
1706755500000,0.00822,0.00823,0.00822,0.00823,154092.0,1706756399999,1267.48618,10,115952.0,953.97538,0
1706756400000,0.00823,0.00824,0.00821,0.00824,164941.0,1706757299999,1356.56844,15,76442.0,629.03373,0
1706757300000,0.00824,0.00824,0.00823,0.00823,200437.0,1706758199999,1650.71662,9,68002.0,560.33648,0
1706758200000,0.00824,0.00827,0.00822,0.00826,317432.0,1706759099999,2618.66795,26,159689.0,1319.70399,0
1706759100000,0.00827,0.00827,0.00824,0.00824,392527.0,1706759999999,3241.13676,25,148780.0,1227.4106,0
1706760000000,0.00823,0.00826,0.00822,0.00825,333049.0,1706760899999,2743.57961,23,177259.0,1461.66237,0
1706760900000,0.00825,0.00826,0.00825,0.00826,135264.0,1706761799999,1116.78892,19,3188.0,26.33288,0
1706761800000,0.00827,0.00827,0.00821,0.00826,712691.0,1706762699999,5876.80587,43,548472.0,4522.79288,0
1706762700000,0.00827,0.00828,0.00827,0.00828,349164.0,1706763599999,2890.97375,28,252513.0,2090.76332,0
1706763600000,0.00828,0.0083,0.00828,0.0083,156628.0,1706764499999,1297.60081,26,135249.0,1120.52468,0
1706764500000,0.0083,0.0083,0.00825,0.00825,690071.0,1706765399999,5704.72599,48,137287.0,1138.4117,0
1706765400000,0.00825,0.00827,0.00823,0.00825,559156.0,1706766299999,4606.90316,47,304397.0,2508.96098,0
1706766300000,0.00825,0.00827,0.00825,0.00827,134814.0,1706767199999,1114.49482,14,98485.0,814.44435,0
1706767200000,0.00827,0.00827,0.00825,0.00826,312603.0,1706768099999,2582.97069,25,183951.0,1520.31632,0
1706768100000,0.00826,0.00826,0.00818,0.00818,1120404.0,1706768999999,9190.57387,92,131550.0,1077.11784,0
1706769000000,0.00817,0.00823,0.00817,0.00822,1360643.0,1706769899999,11131.56759,42,220448.0,1811.16792,0
1706769900000,0.00823,0.00825,0.00823,0.00825,149541.0,1706770799999,1231.54434,18,110559.0,910.70815,0
1706770800000,0.00824,0.00825,0.00823,0.00824,508664.0,1706771699999,4188.29701,33,185601.0,1529.09551,0
1706771700000,0.00824,0.00827,0.00824,0.00827,431602.0,1706772599999,3564.16189,41,196086.0,1619.03681,0
