open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1690848000000,0.1741,0.1742,0.1732,0.1741,10484.0,1690848899999,1820.1652,23,4626.0,804.6691,0
1690848900000,0.1744,0.175,0.1744,0.1748,17153.0,1690849799999,2994.2164,35,14695.0,2564.8038,0
1690849800000,0.1748,0.1752,0.1748,0.1749,43696.0,1690850699999,7644.9293,51,14998.0,2624.3198,0
1690850700000,0.175,0.1753,0.1749,0.1752,36591.0,1690851599999,6400.8706,58,5483.0,959.9192,0
1690851600000,0.1751,0.1755,0.175,0.1754,2904.0,1690852499999,508.8926,11,284.0,49.8136,0
1690852500000,0.1754,0.1754,0.1746,0.1746,14848.0,1690853399999,2596.7905,22,3773.0,660.7977,0
1690853400000,0.1745,0.1746,0.174,0.1745,20598.0,1690854299999,3592.1054,28,15442.0,2692.9268,0
1690854300000,0.1744,0.1746,0.1736,0.1741,62466.0,1690855199999,10885.874,81,20011.0,3490.4943,0
1690855200000,0.1741,0.1743,0.1687,0.1711,1248622.0,1690856099999,212005.9742,710,1043840.0,177008.9296,0
1690856100000,0.1707,0.1716,0.1705,0.1713,54997.0,1690856999999,9418.1516,100,27086.0,4637.4672,0
1690857000000,0.1713,0.1718,0.1711,0.1715,56589.0,1690857899999,9694.8968,74,29645.0,5080.6377,0
1690857900000,0.1714,0.1718,0.1713,0.1717,18507.0,1690858799999,3172.7769,25,7750.0,1329.1014,0
1690858800000,0.1717,0.1717,0.1711,0.1713,54027.0,1690859699999,9261.1637,64,18737.0,3212.1862,0
1690859700000,0.1714,0.1714,0.1708,0.1708,16083.0,1690860599999,2754.7296,15,1521.0,260.5548,0
1690860600000,0.171,0.1711,0.1704,0.1704,6949.0,1690861499999,1188.2096,13,889.0,151.8124,0
1690861500000,0.1707,0.1708,0.1704,0.1707,5459.0,1690862399999,931.5849,8,357.0,60.9174,0
1690862400000,0.1708,0.1709,0.1704,0.1704,20856.0,1690863299999,3561.0232,26,11394.0,1945.7555,0
1690863300000,0.1705,0.1709,0.1701,0.1703,138009.0,1690864199999,23547.8645,81,57555.0,9829.7858,0
1690864200000,0.1703,0.1709,0.17,0.1705,18285.0,1690865099999,3116.0142,24,3304.0,563.721,0
1690865100000,0.1705,0.1779,0.1698,0.17,940996.0,1690865999999,160814.0435,640,464935.0,79737.79,0
1690866000000,0.1701,0.1709,0.17,0.1706,73367.0,1690866899999,12519.8402,88,50206.0,8567.3043,0
1690866900000,0.1706,0.1712,0.1705,0.1712,78771.0,1690867799999,13465.5498,95,48141.0,8230.644,0
1690867800000,0.1712,0.1716,0.1712,0.1714,41851.0,1690868699999,7168.5059,24,29357.0,5028.5276,0
1690868700000,0.1714,0.1716,0.1713,0.1715,11786.0,1690869599999,2021.5641,25,7187.0,1233.1917,0
1690869600000,0.1715,0.1722,0.1715,0.1722,54809.0,1690870499999,9406.7139,44,26045.0,4470.2368,0
1690870500000,0.1722,0.1724,0.1715,0.1722,78434.0,1690871399999,13472.6677,73,19418.0,3343.2065,0
1690871400000,0.1724,0.1731,0.1723,0.1723,26125.0,1690872299999,4508.3438,69,5941.0,1025.8204,0
1690872300000,0.1727,0.1731,0.1726,0.1729,58321.0,1690873199999,10088.257,54,42139.0,7292.4336,0
1690873200000,0.1729,0.1732,0.1727,0.1728,46747.0,1690874099999,8082.9768,65,26744.0,4624.9113,0
1690874100000,0.1726,0.1728,0.1726,0.1728,5459.0,1690874999999,943.237,5,5068.0,875.7504,0
1690875000000,0.1727,0.1729,0.1727,0.1728,8133.0,1690875899999,1405.5574,18,2622.0,453.2712,0
1690875900000,0.1727,0.1727,0.1723,0.1723,5692.0,1690876799999,981.8846,12,2051.0,353.6235,0
1690876800000,0.1722,0.1725,0.1721,0.1725,10056.0,1690877699999,1733.7545,16,7287.0,1257.0006,0
1690877700000,0.1725,0.1729,0.1725,0.1728,10491.0,1690878599999,1812.7306,12,3968.0,684.987,0
1690878600000,0.173,0.173,0.1727,0.1729,22976.0,1690879499999,3970.29,15,5851.0,1011.1,0
1690879500000,0.1727,0.173,0.1725,0.173,15958.0,1690880399999,2754.6195,23,11282.0,1947.354,0
1690880400000,0.1729,0.1731,0.1727,0.1728,15358.0,1690881299999,2654.8958,24,10786.0,1864.8542,0
1690881300000,0.1727,0.1729,0.1727,0.1727,11865.0,1690882199999,2050.1523,15,11583.0,2001.4509,0
1690882200000,0.1729,0.1735,0.1729,0.1734,53873.0,1690883099999,9337.1696,54,48439.0,8396.3577,0
1690883100000,0.1733,0.1736,0.1732,0.1735,58923.0,1690883999999,10214.1247,44,24536.0,4257.0701,0
1690884000000,0.1734,0.1738,0.1734,0.1736,15545.0,1690884899999,2699.1804,22,10470.0,1818.6226,0
1690884900000,0.1735,0.1737,0.1735,0.1736,25302.0,1690885799999,4390.0023,21,16704.0,2898.2493,0
1690885800000,0.1736,0.1737,0.1733,0.1733,12471.0,1690886699999,2163.3569,16,1163.0,201.9695,0
1690886700000,0.1733,0.1737,0.1733,0.1734,5519.0,1690887599999,958.0355,11,5088.0,883.2901,0
