open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1698796800000,0.2646,0.2654,0.2636,0.2654,102204.65,1698797699999,27074.78728,247,62280.44,16503.388046,0
1698797700000,0.2654,0.2672,0.2654,0.266,123474.64,1698798599999,32854.268722,300,78642.24,20920.384117,0
1698798600000,0.2666,0.2685,0.2662,0.2664,111630.99,1698799499999,29841.806628,365,67825.38,18136.771324,0
1698799500000,0.2664,0.2674,0.266,0.2666,195387.45,1698800399999,52086.821188,357,62528.28,16679.943723,0
1698800400000,0.2668,0.2673,0.2656,0.2673,74810.49,1698801299999,19936.726612,176,32126.04,8566.446272,0
1698801300000,0.2674,0.2675,0.2661,0.2673,110302.18,1698802199999,29463.127425,212,66350.42,17729.814206,0
1698802200000,0.2674,0.2679,0.266,0.2662,56880.45,1698803099999,15215.03979,101,34185.63,9148.682438,0
1698803100000,0.266,0.2666,0.2654,0.2657,35192.67,1698803999999,9355.158939,103,17216.32,4575.845496,0
1698804000000,0.2657,0.2658,0.2647,0.2656,76659.72,1698804899999,20337.675584,180,15092.38,4002.688248,0
1698804900000,0.2658,0.2666,0.2657,0.2666,21823.41,1698805799999,5806.173921,75,9765.03,2598.272228,0
1698805800000,0.2663,0.2665,0.2656,0.2656,4997.38,1698806699999,1328.971615,30,1813.0,482.187837,0
1698806700000,0.2656,0.2663,0.2645,0.2656,44338.59,1698807599999,11761.963404,83,18804.66,4990.599083,0
1698807600000,0.2658,0.266,0.2644,0.2649,12178.04,1698808499999,3229.463938,62,5351.33,1418.331458,0
1698808500000,0.2651,0.2651,0.2643,0.2643,16427.37,1698809399999,4346.356733,49,12091.34,3199.19532,0
1698809400000,0.2642,0.2654,0.264,0.2653,63924.2,1698810299999,16922.223442,138,33805.12,8951.349974,0
1698810300000,0.265,0.2656,0.2648,0.2652,20474.77,1698811199999,5431.72738,52,15260.41,4048.454599,0
1698811200000,0.2649,0.2651,0.2633,0.2637,87573.73,1698812099999,23112.621277,158,30019.44,7919.083709,0
1698812100000,0.2637,0.2647,0.2637,0.2642,39724.76,1698812999999,10497.673027,80,20890.83,5519.603217,0
1698813000000,0.2641,0.2645,0.264,0.2645,7538.82,1698813899999,1992.543454,33,4487.19,1186.186809,0
1698813900000,0.2644,0.2644,0.2629,0.2635,60555.58,1698814799999,15949.245451,75,14972.24,3943.425144,0
1698814800000,0.2635,0.2635,0.2616,0.2617,122778.97,1698815699999,32191.698729,171,27418.93,7186.618308,0
1698815700000,0.2618,0.2619,0.261,0.2615,91190.63,1698816599999,23832.801914,170,27118.77,7087.566192,0
1698816600000,0.2615,0.2615,0.2593,0.2596,130648.77,1698817499999,33993.404935,322,48980.17,12733.887324,0
1698817500000,0.2598,0.2604,0.2582,0.2584,142839.09,1698818399999,36979.975477,324,38921.04,10085.21704,0
1698818400000,0.2584,0.2589,0.2569,0.2581,207252.07,1698819299999,53465.937631,475,64626.02,16666.573116,0
1698819300000,0.2581,0.2588,0.2575,0.2575,35137.39,1698820199999,9063.811172,92,7461.52,1925.774774,0
1698820200000,0.2577,0.2589,0.2571,0.2586,57013.29,1698821099999,14714.471197,159,35048.82,9044.873495,0
1698821100000,0.2586,0.2588,0.2582,0.2583,11391.59,1698821999999,2944.819906,36,5731.57,1481.83967,0
1698822000000,0.2587,0.2591,0.258,0.2589,31331.09,1698822899999,8103.117717,138,16093.45,4164.348668,0
1698822900000,0.259,0.2597,0.2584,0.259,23755.34,1698823799999,6157.485853,112,10335.27,2679.4094,0
1698823800000,0.259,0.2594,0.2582,0.2594,47344.11,1698824699999,12253.977186,75,14268.79,3693.011036,0
1698824700000,0.2595,0.2598,0.2582,0.2583,20852.55,1698825599999,5399.033926,65,8755.08,2268.839553,0
1698825600000,0.2586,0.2587,0.2582,0.2587,22087.87,1698826499999,5711.702181,49,15336.71,3965.95737,0
1698826500000,0.2587,0.2598,0.2582,0.2596,20619.27,1698827399999,5333.264552,58,12254.23,3168.480394,0
1698827400000,0.2597,0.2602,0.2597,0.2597,22227.92,1698828299999,5778.525337,54,5126.48,1332.636643,0
1698828300000,0.2596,0.2598,0.259,0.2593,73605.19,1698829199999,19076.981936,95,54906.43,14228.771559,0
1698829200000,0.2593,0.2598,0.2588,0.2598,54413.15,1698830099999,14104.730005,87,31021.34,8043.5268,0
1698830100000,0.2598,0.26,0.2594,0.26,28239.72,1698830999999,7332.087486,78,10357.54,2690.272505,0
1698831000000,0.2599,0.2605,0.2594,0.2603,14148.11,1698831899999,3679.04275,56,7157.79,1861.411795,0
1698831900000,0.2602,0.2605,0.2598,0.2602,39860.53,1698832799999,10367.785014,61,23371.49,6081.106084,0
1698832800000,0.2603,0.2604,0.2591,0.2591,61023.85,1698833699999,15831.761804,76,8347.93,2169.407289,0
1698833700000,0.2594,0.2596,0.2588,0.2589,13419.13,1698834599999,3479.40105,55,5475.21,1419.831488,0
1698834600000,0.2589,0.2589,0.2572,0.2573,95514.27,1698835499999,24638.224788,149,20693.65,5329.480828,0
1698835500000,0.2572,0.2572,0.2555,0.2559,164176.27,1698836399999,42051.224814,329,89220.64,22854.589567,0
