open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1740787200000000,2.528,2.528,2.501,2.508,19613.5,1740788099999999,49236.5447,362,9058.3,22732.7492,0
1740788100000000,2.507,2.509,2.501,2.507,11191.4,1740788999999999,28038.148,281,5737.3,14377.0376,0
1740789000000000,2.508,2.508,2.487,2.493,30957.7,1740789899999999,77339.4663,469,10068.7,25152.8638,0
1740789900000000,2.494,2.501,2.483,2.485,21287.1,1740790799999999,52972.0668,317,9613.4,23914.4547,0
1740790800000000,2.486,2.495,2.481,2.49,13025.4,1740791699999999,32401.1351,249,6531.7,16253.5263,0
1740791700000000,2.492,2.504,2.492,2.501,8184.7,1740792599999999,20456.7582,228,5372.0,13424.8615,0
1740792600000000,2.501,2.507,2.488,2.506,14126.7,1740793499999999,35278.9636,307,5692.5,14221.5481,0
1740793500000000,2.506,2.538,2.505,2.529,58076.4,1740794399999999,146430.0046,789,37820.9,95358.7792,0
1740794400000000,2.528,2.541,2.517,2.54,33228.7,1740795299999999,84113.4674,562,17499.5,44302.309,0
1740795300000000,2.54,2.542,2.521,2.523,26585.4,1740796199999999,67336.7561,481,13704.6,34701.2829,0
1740796200000000,2.522,2.535,2.518,2.528,35724.8,1740797099999999,90305.2439,607,22671.3,57306.636,0
1740797100000000,2.529,2.53,2.508,2.512,33005.7,1740797999999999,83035.8987,449,9925.8,24950.2821,0
1740798000000000,2.513,2.524,2.51,2.52,20965.2,1740798899999999,52798.666,287,11599.5,29211.5376,0
1740798900000000,2.518,2.527,2.515,2.518,29449.2,1740799799999999,74176.3618,299,6442.6,16236.5411,0
1740799800000000,2.518,2.528,2.515,2.516,23633.7,1740800699999999,59648.212,477,10814.7,27303.4833,0
1740800700000000,2.515,2.515,2.498,2.499,28631.9,1740801599999999,71769.2961,516,11802.7,29580.9748,0
1740801600000000,2.498,2.512,2.493,2.512,28255.5,1740802499999999,70619.9566,533,13586.3,33951.559,0
1740802500000000,2.512,2.529,2.508,2.524,91666.2,1740803399999999,230907.1372,961,66100.3,166485.3791,0
1740803400000000,2.524,2.532,2.516,2.53,43087.9,1740804299999999,108750.5674,787,18081.1,45635.5941,0
1740804300000000,2.53,2.535,2.523,2.523,27101.6,1740805199999999,68557.1421,428,13830.8,34994.0517,0
1740805200000000,2.522,2.522,2.508,2.511,14890.3,1740806099999999,37431.2862,271,7095.5,17835.2444,0
