open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1756684800000000,0.4896,0.4896,0.4849,0.4858,479204.6,1756685699999999,233287.15501,1300,241488.0,117604.67932,0
1756685700000000,0.4858,0.4871,0.4812,0.4835,190188.6,1756686599999999,91965.34288,1112,85132.2,41180.76524,0
1756686600000000,0.4832,0.4862,0.4803,0.485,206911.2,1756687499999999,99826.06752,1058,104793.3,50559.00477,0
1756687500000000,0.4851,0.4883,0.4837,0.4849,110884.4,1756688399999999,53900.26764,751,69179.8,33626.07329,0
1756688400000000,0.4851,0.4865,0.483,0.4847,161509.8,1756689299999999,78344.66087,826,121563.0,58983.35229,0
1756689300000000,0.4848,0.4862,0.4832,0.4858,93647.1,1756690199999999,45401.74252,559,50825.1,24655.0881,0
1756690200000000,0.4858,0.488,0.4853,0.4879,108958.8,1756691099999999,52997.9456,711,47151.5,22952.39058,0
1756691100000000,0.4879,0.4884,0.4832,0.4843,69314.5,1756691999999999,33671.29217,564,40096.2,19478.06843,0
1756692000000000,0.4844,0.485,0.4799,0.4806,322389.0,1756692899999999,155098.5831,705,50745.5,24447.19438,0
1756692900000000,0.4805,0.4813,0.4763,0.4789,418133.7,1756693799999999,200267.10519,1262,144492.9,69224.048,0
1756693800000000,0.479,0.479,0.477,0.4776,103827.0,1756694699999999,49596.97255,575,51361.0,24534.77753,0
1756694700000000,0.4777,0.4781,0.4737,0.4761,293289.2,1756695599999999,139422.55689,1174,123562.7,58723.17893,0
1756695600000000,0.4762,0.4792,0.4751,0.4761,120954.0,1756696499999999,57739.86045,731,70431.4,33617.17484,0
1756696500000000,0.4762,0.4784,0.4755,0.4778,101458.6,1756697399999999,48431.84289,426,56504.6,26980.04636,0
1756697400000000,0.4777,0.4794,0.4771,0.4784,84118.9,1756698299999999,40217.49008,400,31396.4,15006.54846,0
1756698300000000,0.4785,0.4799,0.4775,0.4789,130176.7,1756699199999999,62288.69951,413,97473.5,46655.97373,0
1756699200000000,0.4788,0.4788,0.4761,0.4779,61465.3,1756700099999999,29349.68397,334,36861.2,17605.5493,0
1756700100000000,0.4779,0.4783,0.4757,0.4773,199636.8,1756700999999999,95275.74598,690,121027.7,57811.26824,0
1756701000000000,0.4774,0.4774,0.4755,0.4758,70441.5,1756701899999999,33545.01195,446,27992.4,13327.68063,0
1756701900000000,0.4759,0.4773,0.4751,0.4769,88458.2,1756702799999999,42160.29041,465,55274.1,26346.84623,0
1756702800000000,0.4767,0.4777,0.4747,0.4756,198732.5,1756703699999999,94573.21765,757,45898.3,21857.03545,0
1756703700000000,0.4755,0.4779,0.4742,0.4775,110824.2,1756704599999999,52781.50783,493,81523.9,38822.84746,0
1756704600000000,0.4774,0.4812,0.4769,0.4808,167840.6,1756705499999999,80525.19507,565,120983.6,58082.78888,0
1756705500000000,0.4807,0.4808,0.4782,0.4783,53065.2,1756706399999999,25440.1569,282,18859.4,9038.62542,0
1756706400000000,0.4784,0.4786,0.4755,0.4768,100639.6,1756707299999999,47963.75443,431,56891.8,27105.55828,0
1756707300000000,0.4767,0.4809,0.4756,0.4797,68746.4,1756708199999999,32867.94782,414,45028.7,21523.41534,0
1756708200000000,0.4797,0.4821,0.4796,0.4811,80036.2,1756709099999999,38451.21611,445,40833.0,19619.81597,0
1756709100000000,0.481,0.4811,0.479,0.4797,33187.7,1756709999999999,15940.24848,267,22892.6,10993.88993,0
1756710000000000,0.4798,0.4808,0.4774,0.4774,104387.7,1756710899999999,50048.15717,490,24529.9,11747.09033,0
1756710900000000,0.4775,0.4856,0.4772,0.4854,216742.0,1756711799999999,104540.65756,749,115228.9,55554.04359,0
1756711800000000,0.4854,0.4892,0.4844,0.4869,130488.7,1756712699999999,63551.30875,803,61971.9,30192.37867,0
1756712700000000,0.487,0.4939,0.487,0.4938,293064.6,1756713599999999,143830.89679,1190,137702.6,67597.02913,0
1756713600000000,0.4939,0.498,0.4939,0.4954,356039.1,1756714499999999,176549.76244,1523,176658.3,87578.43895,0
1756714500000000,0.4954,0.4969,0.4942,0.4944,154954.0,1756715399999999,76765.05613,744,89710.9,44447.3361,0
1756715400000000,0.4945,0.4964,0.4944,0.4958,154394.6,1756716299999999,76438.79848,593,87828.6,43484.03164,0
1756716300000000,0.4959,0.4985,0.4951,0.4981,128077.2,1756717199999999,63610.99553,680,56825.1,28232.9694,0
1756717200000000,0.4982,0.501,0.4975,0.5009,197334.7,1756718099999999,98630.86643,1067,119895.6,59939.48117,0
1756718100000000,0.5008,0.5013,0.4996,0.5003,131063.7,1756718999999999,65582.21887,568,82767.5,41414.85164,0
1756719000000000,0.5003,0.5015,0.4978,0.4987,120818.4,1756719899999999,60360.97942,667,51763.5,25878.19621,0
1756719900000000,0.4986,0.4986,0.4963,0.4966,72033.0,1756720799999999,35825.37665,398,24965.3,12420.53842,0
1756720800000000,0.4965,0.4967,0.4941,0.4956,106524.1,1756721699999999,52794.45316,581,40939.1,20288.30936,0
1756721700000000,0.4955,0.496,0.4919,0.4921,101825.1,1756722599999999,50341.32285,394,62962.4,31120.21454,0
1756722600000000,0.4922,0.4922,0.4876,0.4895,135081.7,1756723499999999,66162.67533,750,52837.3,25875.40929,0
1756723500000000,0.4894,0.4909,0.488,0.4908,68090.1,1756724399999999,33327.29864,375,24979.8,12221.74738,0
1756724400000000,0.4909,0.4917,0.4895,0.4909,91897.2,1756725299999999,45134.4676,433,56741.3,27865.9818,0
1756725300000000,0.491,0.4921,0.4897,0.4897,35088.8,1756726199999999,17216.10425,281,6030.6,2960.61932,0
1756726200000000,0.4896,0.4896,0.4866,0.4867,135782.2,1756727099999999,66295.32702,592,53542.1,26146.91029,0
1756727100000000,0.4866,0.4884,0.4866,0.4872,49029.8,1756727999999999,23897.32141,265,24540.7,11961.59141,0
1756728000000000,0.4872,0.4889,0.4854,0.4887,138612.3,1756728899999999,67442.09183,459,97237.9,47295.75216,0
1756728900000000,0.4886,0.4904,0.4877,0.4891,43648.2,1756729799999999,21342.43826,300,16309.2,7976.04851,0
