open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1685577600000,0.1856,0.186,0.1853,0.1858,218811.3,1685578499999,40631.12423,150,150701.2,27988.31457,0
1685578500000,0.186,0.1862,0.1857,0.1861,139747.0,1685579399999,25983.81386,161,72834.9,13544.30484,0
1685579400000,0.1861,0.1861,0.1848,0.1851,253826.7,1685580299999,47066.24202,214,116132.3,21537.58056,0
1685580300000,0.1851,0.1851,0.1844,0.1847,262282.2,1685581199999,48461.88959,181,192316.9,35543.01441,0
1685581200000,0.1848,0.1855,0.1847,0.1853,42552.8,1685582099999,7869.18129,75,17496.5,3235.42455,0
1685582100000,0.1854,0.1855,0.185,0.1855,32145.2,1685582999999,5956.87081,47,9186.6,1702.49569,0
1685583000000,0.1855,0.1855,0.1852,0.1852,37485.0,1685583899999,6948.20933,47,9591.4,1777.99071,0
1685583900000,0.1852,0.1854,0.1849,0.1851,54335.1,1685584799999,10063.6541,63,21781.1,4034.56604,0
1685584800000,0.1851,0.1851,0.1847,0.1847,44476.2,1685585699999,8223.33324,81,17634.7,3260.73252,0
1685585700000,0.1847,0.1849,0.1846,0.1846,36787.5,1685586599999,6799.53549,55,21566.3,3985.90601,0
1685586600000,0.1847,0.185,0.1846,0.1847,80899.6,1685587499999,14955.16089,75,49033.9,9064.22104,0
1685587500000,0.1846,0.1847,0.183,0.1833,511182.9,1685588399999,93855.62528,607,257173.3,47228.69744,0
1685588400000,0.1833,0.1842,0.1828,0.1839,208042.3,1685589299999,38178.24419,377,84596.6,15505.94676,0
1685589300000,0.1839,0.1843,0.1838,0.1841,36147.0,1685590199999,6654.5418,105,16892.6,3111.12602,0
1685590200000,0.1841,0.1843,0.1841,0.1842,77406.1,1685591099999,14263.78883,74,6240.2,1149.65902,0
1685591100000,0.1841,0.1845,0.184,0.1844,124177.0,1685591999999,22888.96478,125,62228.1,11469.02334,0
1685592000000,0.1844,0.1845,0.1842,0.1844,93963.2,1685592899999,17320.98178,89,19204.6,3540.11871,0
1685592900000,0.1843,0.1844,0.1842,0.1842,60950.8,1685593799999,11233.47717,47,25342.4,4672.36737,0
1685593800000,0.1843,0.1846,0.1842,0.1844,73013.3,1685594699999,13468.53848,85,13984.5,2578.85563,0
1685594700000,0.1844,0.1844,0.1837,0.1837,18362.4,1685595599999,3381.77627,26,1216.9,223.77898,0
1685595600000,0.1838,0.1841,0.1837,0.184,90630.4,1685596499999,16662.83913,86,59424.9,10927.54225,0
1685596500000,0.184,0.1841,0.1839,0.184,26644.5,1685597399999,4902.18831,34,15425.7,2838.89168,0
1685597400000,0.1838,0.1839,0.1837,0.1838,22888.1,1685598299999,4206.7154,32,9634.4,1771.27444,0
1685598300000,0.1838,0.184,0.1838,0.1839,34786.9,1685599199999,6397.55666,42,8480.9,1559.94803,0
1685599200000,0.1839,0.184,0.1839,0.1839,33455.8,1685600099999,6152.58282,28,612.0,112.608,0
1685600100000,0.184,0.184,0.1835,0.1835,82006.9,1685600999999,15068.72931,59,2606.6,479.20853,0
1685601000000,0.1836,0.184,0.1834,0.1838,233130.4,1685601899999,42806.36351,168,201849.0,37063.58862,0
1685601900000,0.1839,0.184,0.1837,0.1837,163315.4,1685602799999,30037.81276,111,18222.1,3350.43227,0
1685602800000,0.1837,0.1837,0.1831,0.1835,129696.3,1685603699999,23792.16244,118,86012.9,15775.91034,0
1685603700000,0.1835,0.184,0.1835,0.1839,58866.4,1685604599999,10811.10283,89,19522.9,3586.70747,0
1685604600000,0.1839,0.1839,0.1822,0.1827,405007.3,1685605499999,74085.06583,365,71309.8,13041.79944,0
1685605500000,0.1828,0.1829,0.1825,0.1828,76115.1,1685606399999,13907.73864,73,38959.2,7116.66452,0
1685606400000,0.1827,0.1832,0.1827,0.1831,70061.0,1685607299999,12818.29961,100,16712.6,3056.47379,0
1685607300000,0.1831,0.1833,0.1827,0.1828,199625.9,1685608199999,36545.31677,175,35388.7,6475.87357,0
1685608200000,0.1829,0.1829,0.1828,0.1828,43688.2,1685609099999,7990.2212,54,40182.4,7349.36096,0
1685609100000,0.1829,0.1831,0.1826,0.183,230237.0,1685609999999,42097.14198,168,127328.4,23286.12237,0
1685610000000,0.1831,0.1833,0.1831,0.1831,69436.6,1685610899999,12721.03862,102,19935.5,3652.74941,0
1685610900000,0.1832,0.1837,0.1832,0.1836,108933.8,1685611799999,19976.58758,178,46949.9,8616.11473,0
1685611800000,0.1837,0.1838,0.1836,0.1838,71669.2,1685612699999,13170.13717,87,23308.8,4282.82214,0
1685612700000,0.1837,0.1839,0.1837,0.1838,50217.0,1685613599999,9231.07568,46,36078.3,6633.20121,0
1685613600000,0.1838,0.1839,0.1833,0.1834,98966.5,1685614499999,18170.94874,122,40028.8,7346.88702,0
1685614500000,0.1834,0.1836,0.1831,0.1833,82312.5,1685615399999,15093.68104,97,32704.8,5997.73999,0
1685615400000,0.1834,0.1834,0.1832,0.1834,34548.8,1685616299999,6332.4785,59,24991.3,4581.31101,0
1685616300000,0.1834,0.1834,0.1829,0.183,45206.7,1685617199999,8279.45596,67,25414.0,4654.54523,0
1685617200000,0.183,0.1831,0.1828,0.1828,60754.1,1685618099999,11114.11763,76,27502.1,5032.23172,0
1685618100000,0.1829,0.1831,0.1826,0.1828,83162.0,1685618999999,15205.36299,109,53916.4,9859.95147,0
1685619000000,0.1827,0.183,0.1826,0.1828,68918.4,1685619899999,12595.76756,110,33329.1,6091.35811,0
