open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1740787200000000,1.271,1.271,1.262,1.269,60946.96,1740788099999999,77084.12399,765,29141.55,36857.57126,0
1740788100000000,1.269,1.271,1.259,1.261,80068.25,1740788999999999,101251.08873,670,32035.05,40526.43272,0
1740789000000000,1.261,1.261,1.251,1.253,139279.73,1740789899999999,174911.74937,830,55203.91,69276.62487,0
1740789900000000,1.253,1.256,1.244,1.247,105452.1,1740790799999999,131765.3582,1062,67097.71,83852.40786,0
1740790800000000,1.246,1.252,1.244,1.25,82596.83,1740791699999999,103106.85485,639,60283.26,75258.35378,0
1740791700000000,1.25,1.255,1.249,1.253,27932.53,1740792599999999,34959.58793,566,21488.19,26893.87991,0
1740792600000000,1.254,1.266,1.252,1.266,68598.22,1740793499999999,86498.82655,897,45503.94,57447.13206,0
1740793500000000,1.267,1.281,1.265,1.273,301936.69,1740794399999999,384506.29972,2398,222666.59,283491.4824,0
1740794400000000,1.274,1.275,1.264,1.273,72381.33,1740795299999999,91861.47862,1017,43435.1,55110.22417,0
1740795300000000,1.273,1.276,1.266,1.273,87196.72,1740796199999999,110859.93559,1080,41646.66,52980.55061,0
1740796200000000,1.273,1.282,1.271,1.278,161439.28,1740797099999999,206410.44682,1803,86839.75,111035.86961,0
1740797100000000,1.278,1.278,1.268,1.273,173889.08,1740797999999999,221205.51413,1076,62692.04,79789.4361,0
1740798000000000,1.274,1.277,1.266,1.269,171169.85,1740798899999999,217653.74909,1213,78377.96,99826.30568,0
1740798900000000,1.269,1.271,1.267,1.27,76347.55,1740799799999999,96884.6197,860,29678.3,37656.64363,0
1740799800000000,1.269,1.275,1.267,1.267,110541.45,1740800699999999,140382.63703,1142,56843.95,72244.95074,0
1740800700000000,1.267,1.272,1.262,1.266,89821.0,1740801599999999,113740.98867,837,32160.83,40748.69091,0
1740801600000000,1.265,1.277,1.263,1.277,187781.94,1740802499999999,238570.0185,1262,104143.45,132323.41326,0
1740802500000000,1.276,1.276,1.267,1.271,183043.18,1740803399999999,232908.90781,993,63697.75,81034.13189,0
1740803400000000,1.27,1.272,1.264,1.271,194610.73,1740804299999999,246694.10023,1378,90878.42,115143.18153,0
1740804300000000,1.27,1.272,1.263,1.266,83875.27,1740805199999999,106436.11494,828,44900.51,57009.2682,0
1740805200000000,1.265,1.266,1.255,1.256,178807.76,1740806099999999,225080.84944,1046,87086.56,109568.99348,0
