open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1725148800000,0.646,0.65,0.645,0.649,7845.2,1725149699999,5072.4093,68,4289.7,2772.6701,0
1725149700000,0.649,0.649,0.645,0.648,7331.9,1725150599999,4748.8121,47,105.7,68.3593,0
1725150600000,0.646,0.652,0.646,0.65,14395.3,1725151499999,9353.9587,88,9940.9,6461.839,0
1725151500000,0.65,0.652,0.65,0.651,558.2,1725152399999,363.0571,40,141.9,92.4325,0
1725152400000,0.651,0.651,0.646,0.646,7351.1,1725153299999,4766.9094,52,703.1,457.6989,0
1725153300000,0.646,0.649,0.646,0.647,6215.3,1725154199999,4018.3989,46,2639.6,1708.487,0
1725154200000,0.647,0.647,0.643,0.645,5026.9,1725155099999,3242.6886,79,1522.3,981.7361,0
1725155100000,0.645,0.645,0.641,0.641,5265.6,1725155999999,3379.3862,73,249.7,160.8832,0
1725156000000,0.641,0.642,0.638,0.639,19870.4,1725156899999,12713.0444,86,3388.6,2174.1902,0
1725156900000,0.639,0.64,0.636,0.637,2580.0,1725157799999,1646.1698,54,1109.0,707.8137,0
1725157800000,0.639,0.643,0.637,0.641,1664.8,1725158699999,1066.3531,65,656.6,420.7026,0
1725158700000,0.641,0.643,0.639,0.643,716.3,1725159599999,459.4383,61,341.0,219.0386,0
1725159600000,0.642,0.645,0.641,0.645,774.6,1725160499999,498.0742,51,532.7,342.7536,0
1725160500000,0.645,0.646,0.642,0.645,17227.2,1725161399999,11083.8734,135,7304.6,4703.3026,0
1725161400000,0.645,0.646,0.643,0.643,1792.9,1725162299999,1156.1694,59,1528.8,986.1813,0
1725162300000,0.645,0.646,0.643,0.645,4539.2,1725163199999,2925.6211,63,1726.9,1112.8541,0
1725163200000,0.645,0.648,0.642,0.643,10049.9,1725164099999,6479.0127,95,3102.8,2004.2372,0
1725164100000,0.644,0.646,0.642,0.646,2986.8,1725164999999,1919.4053,60,151.5,97.5563,0
1725165000000,0.646,0.648,0.645,0.646,4104.0,1725165899999,2649.3848,129,905.5,585.4416,0
1725165900000,0.646,0.647,0.644,0.647,4311.9,1725166799999,2782.4719,82,3718.8,2400.0438,0
1725166800000,0.645,0.648,0.644,0.647,4852.5,1725167699999,3134.5716,113,2719.0,1757.2644,0
1725167700000,0.646,0.648,0.641,0.644,9366.7,1725168599999,6035.0244,117,2464.7,1589.282,0
1725168600000,0.644,0.646,0.64,0.64,14073.4,1725169499999,9043.2676,105,1853.6,1192.972,0
1725169500000,0.64,0.642,0.637,0.639,13121.0,1725170399999,8381.3282,131,4605.6,2938.8157,0
1725170400000,0.637,0.643,0.637,0.642,2569.0,1725171299999,1641.8016,89,1329.4,851.1788,0
1725171300000,0.643,0.644,0.64,0.644,16208.1,1725172199999,10399.7198,103,4557.4,2930.6615,0
1725172200000,0.644,0.645,0.642,0.645,7188.5,1725173099999,4617.2805,116,668.2,430.4265,0
1725173100000,0.643,0.646,0.643,0.643,15623.3,1725173999999,10052.1136,115,3703.7,2387.5048,0
1725174000000,0.645,0.645,0.642,0.643,11863.9,1725174899999,7631.7708,108,6000.0,3862.4755,0
1725174900000,0.643,0.643,0.64,0.641,25172.8,1725175799999,16142.2281,134,4633.8,2974.2014,0
1725175800000,0.641,0.644,0.64,0.644,4041.3,1725176699999,2594.9828,87,1376.0,883.4376,0
1725176700000,0.644,0.648,0.642,0.647,6389.8,1725177599999,4132.0792,93,2836.0,1836.7672,0
1725177600000,0.648,0.648,0.645,0.646,3230.2,1725178499999,2085.7602,95,591.5,382.7723,0
1725178500000,0.648,0.648,0.643,0.643,9410.5,1725179399999,6067.2139,98,772.1,498.1863,0
1725179400000,0.643,0.644,0.641,0.643,25906.7,1725180299999,16635.5572,190,3218.5,2069.9099,0
1725180300000,0.641,0.642,0.639,0.639,9314.0,1725181199999,5963.2654,136,817.5,523.9267,0
1725181200000,0.641,0.641,0.636,0.638,10491.6,1725182099999,6699.1315,163,6530.2,4171.4329,0
1725182100000,0.637,0.641,0.637,0.638,6340.9,1725182999999,4053.0011,109,4822.4,3083.289,0
1725183000000,0.638,0.642,0.638,0.639,3485.3,1725183899999,2232.4423,98,2646.8,1696.0669,0
1725183900000,0.641,0.641,0.639,0.639,3704.2,1725184799999,2368.606,91,1398.1,895.0081,0
1725184800000,0.64,0.641,0.637,0.637,6362.9,1725185699999,4068.8773,83,2385.2,1526.9865,0
1725185700000,0.638,0.64,0.636,0.637,5902.5,1725186599999,3764.8696,99,3300.7,2105.9009,0
1725186600000,0.638,0.639,0.631,0.631,21848.3,1725187499999,13830.0557,167,4094.4,2591.7614,0
1725187500000,0.631,0.633,0.629,0.629,20340.6,1725188399999,12827.0025,125,3271.6,2068.4076,0
1725188400000,0.63,0.632,0.629,0.631,6833.2,1725189299999,4309.8605,101,5062.0,3192.4928,0
1725189300000,0.632,0.637,0.63,0.635,25568.3,1725190199999,16208.2798,134,15617.7,9899.9714,0
1725190200000,0.635,0.636,0.631,0.633,12890.1,1725191099999,8152.0871,105,9293.5,5877.7838,0
1725191100000,0.633,0.635,0.631,0.634,5330.0,1725191999999,3371.1539,89,2512.9,1591.2931,0
1725192000000,0.634,0.637,0.633,0.633,13700.5,1725192899999,8694.0097,108,5908.5,3753.1217,0
1725192900000,0.634,0.634,0.63,0.632,9398.3,1725193799999,5940.5426,65,1622.7,1026.5491,0
1725193800000,0.632,0.633,0.63,0.63,2334.5,1725194699999,1474.7657,64,946.0,598.0236,0
1725194700000,0.63,0.631,0.628,0.628,9438.9,1725195599999,5940.0375,84,1358.3,856.5008,0
1725195600000,0.628,0.632,0.628,0.63,9444.9,1725196499999,5945.5532,97,7522.7,4735.3448,0
1725196500000,0.631,0.631,0.626,0.627,12192.6,1725197399999,7653.5943,111,1609.4,1012.1193,0
1725197400000,0.626,0.629,0.623,0.623,14623.6,1725198299999,9146.1138,108,5777.7,3614.7827,0
1725198300000,0.623,0.629,0.621,0.627,170849.2,1725199199999,107037.2992,379,90284.8,56603.5591,0
1725199200000,0.627,0.628,0.618,0.621,30658.7,1725200099999,19088.1295,339,9825.3,6102.9239,0
1725200100000,0.621,0.624,0.62,0.623,24920.2,1725200999999,15503.7378,230,15407.8,9588.8975,0
1725201000000,0.622,0.629,0.622,0.627,8680.3,1725201899999,5434.3277,102,4414.7,2763.6241,0
1725201900000,0.626,0.631,0.626,0.628,14745.1,1725202799999,9253.2265,127,3030.2,1903.1416,0
1725202800000,0.627,0.629,0.625,0.626,6317.0,1725203699999,3957.1581,86,3318.0,2078.2039,0
1725203700000,0.626,0.629,0.625,0.626,5518.5,1725204599999,3456.07,80,2409.4,1508.9775,0
1725204600000,0.626,0.628,0.624,0.626,6236.5,1725205499999,3906.2904,91,2358.6,1477.3909,0
1725205500000,0.626,0.634,0.626,0.632,15204.8,1725206399999,9574.0292,148,8431.5,5303.6154,0
1725206400000,0.633,0.636,0.632,0.634,19859.2,1725207299999,12592.0431,108,2257.3,1432.3562,0
1725207300000,0.636,0.636,0.626,0.627,12572.2,1725208199999,7927.7743,115,2382.1,1505.6779,0
1725208200000,0.626,0.629,0.624,0.624,6198.1,1725209099999,3879.3384,84,2090.1,1308.484,0
1725209100000,0.624,0.628,0.622,0.626,18606.2,1725209999999,11652.8077,150,14794.1,9267.4686,0
1725210000000,0.625,0.628,0.624,0.625,9779.5,1725210899999,6112.6901,72,3602.5,2252.3814,0
1725210900000,0.624,0.625,0.615,0.615,29703.5,1725211799999,18389.3316,155,4272.5,2652.6661,0
1725211800000,0.615,0.619,0.614,0.618,30682.6,1725212699999,18889.6209,227,25474.4,15684.1578,0
1725212700000,0.617,0.619,0.615,0.616,10826.1,1725213599999,6673.2033,106,7770.7,4789.4784,0
1725213600000,0.616,0.621,0.615,0.62,136878.3,1725214499999,84826.6076,288,58092.7,36012.1416,0
1725214500000,0.621,0.634,0.621,0.629,178748.5,1725215399999,112294.0072,208,133632.2,83976.7752,0
1725215400000,0.63,0.633,0.628,0.629,20407.7,1725216299999,12856.2021,137,7105.0,4476.5444,0
1725216300000,0.629,0.63,0.627,0.628,38877.9,1725217199999,24458.5916,153,26475.9,16661.7428,0
1725217200000,0.629,0.633,0.629,0.629,114227.5,1725218099999,71971.3745,228,93451.7,58883.6636,0
1725218100000,0.629,0.629,0.625,0.625,26028.8,1725218999999,16321.7475,182,9079.2,5691.8561,0
1725219000000,0.626,0.627,0.623,0.624,9678.1,1725219899999,6051.439,102,3215.4,2012.735,0
1725219900000,0.624,0.63,0.624,0.63,11004.3,1725220799999,6897.6703,83,8130.0,5096.0477,0
1725220800000,0.63,0.633,0.629,0.632,22616.9,1725221699999,14276.4849,157,5985.8,3781.3504,0
1725221700000,0.632,0.636,0.63,0.635,19363.1,1725222599999,12253.7912,153,4954.8,3143.0156,0
1725222600000,0.635,0.636,0.632,0.634,9502.0,1725223499999,6026.8984,120,1781.5,1130.5962,0
1725223500000,0.634,0.635,0.631,0.634,6339.7,1725224399999,4013.1374,89,2841.4,1800.6814,0
1725224400000,0.634,0.634,0.631,0.631,5886.1,1725225299999,3721.7413,68,227.5,144.037,0
1725225300000,0.632,0.632,0.626,0.628,6627.9,1725226199999,4168.402,100,1409.4,884.539,0
1725226200000,0.627,0.629,0.626,0.628,4948.9,1725227099999,3106.6667,65,3283.1,2061.3794,0
1725227100000,0.628,0.629,0.627,0.629,10120.6,1725227999999,6356.531,49,9926.0,6234.5168,0
1725228000000,0.628,0.629,0.623,0.624,20175.9,1725228899999,12631.4789,83,2927.9,1829.828,0
1725228900000,0.624,0.624,0.614,0.614,26290.2,1725229799999,16230.8463,168,9507.9,5877.7803,0
1725229800000,0.614,0.614,0.607,0.611,39871.8,1725230699999,24316.7263,183,19472.5,11871.0805,0
1725230700000,0.61,0.616,0.601,0.604,34285.4,1725231599999,20803.0022,221,15124.2,9198.1172,0
1725231600000,0.604,0.61,0.603,0.606,44167.8,1725232499999,26777.0549,267,27494.3,16675.0755,0
1725232500000,0.606,0.609,0.605,0.608,26218.7,1725233399999,15895.9747,109,10082.0,6121.2012,0
1725233400000,0.607,0.613,0.607,0.611,7263.0,1725234299999,4429.4977,60,5813.6,3547.3433,0
1725234300000,0.611,0.613,0.609,0.61,9184.1,1725235199999,5611.0558,91,6561.8,4009.9634,0
1725235200000,0.61,0.614,0.608,0.614,25313.3,1725236099999,15454.237,93,20590.4,12574.7733,0
1725236100000,0.613,0.615,0.61,0.615,8000.5,1725236999999,4898.0486,73,4800.6,2940.5454,0
1725237000000,0.615,0.621,0.614,0.615,14097.7,1725237899999,8703.3278,118,7064.1,4364.3446,0
1725237900000,0.614,0.619,0.612,0.619,5457.6,1725238799999,3356.3761,62,4032.6,2480.9346,0
1725238800000,0.619,0.625,0.618,0.622,16135.2,1725239699999,10024.0916,108,10649.5,6618.1644,0
1725239700000,0.623,0.626,0.62,0.621,12241.9,1725240599999,7638.6352,88,8452.4,5277.3485,0
1725240600000,0.622,0.624,0.618,0.619,4979.9,1725241499999,3087.2956,48,1953.1,1211.9508,0
1725241500000,0.619,0.621,0.618,0.618,3320.3,1725242399999,2056.2485,39,822.8,510.0915,0
1725242400000,0.618,0.623,0.618,0.621,6694.7,1725243299999,4162.2826,50,4608.2,2863.6248,0
1725243300000,0.621,0.624,0.62,0.62,14339.2,1725244199999,8919.854,70,7495.3,4662.6874,0
1725244200000,0.62,0.62,0.615,0.618,17284.6,1725245099999,10674.8261,43,4105.9,2533.6733,0
1725245100000,0.618,0.621,0.618,0.619,7511.4,1725245999999,4651.4933,50,4118.2,2550.9378,0
1725246000000,0.618,0.622,0.618,0.621,4194.6,1725246899999,2601.3637,39,2701.6,1675.585,0
1725246900000,0.623,0.625,0.621,0.622,4389.1,1725247799999,2732.3705,33,2692.1,1676.2127,0
1725247800000,0.622,0.623,0.619,0.621,3089.6,1725248699999,1919.357,43,1637.5,1017.3109,0
1725248700000,0.62,0.623,0.62,0.622,2301.5,1725249599999,1430.9806,33,1122.7,698.0173,0
1725249600000,0.624,0.624,0.62,0.62,4202.4,1725250499999,2616.666,46,1303.3,811.6002,0
1725250500000,0.621,0.622,0.618,0.619,3212.7,1725251399999,1990.4087,38,2187.8,1355.5036,0
1725251400000,0.62,0.62,0.616,0.616,12662.8,1725252299999,7831.8407,65,5757.0,3560.1402,0
1725252300000,0.617,0.618,0.613,0.613,8766.4,1725253199999,5396.9348,74,3205.7,1971.817,0
1725253200000,0.613,0.616,0.613,0.615,9964.7,1725254099999,6128.3196,70,6076.2,3737.2871,0
1725254100000,0.616,0.625,0.611,0.616,175969.6,1725254999999,108673.7985,631,82904.8,51292.2181,0
1725255000000,0.615,0.621,0.613,0.619,16065.0,1725255899999,9908.3633,128,8991.3,5546.8675,0
1725255900000,0.621,0.622,0.617,0.619,15350.1,1725256799999,9502.0117,99,3983.8,2471.6304,0
1725256800000,0.619,0.621,0.617,0.618,6712.8,1725257699999,4154.0537,66,4478.0,2771.9784,0
1725257700000,0.618,0.62,0.616,0.616,805.8,1725258599999,497.711,39,425.3,262.9069,0
1725258600000,0.617,0.619,0.615,0.616,12496.5,1725259499999,7718.5054,102,10127.8,6257.3642,0
1725259500000,0.617,0.62,0.616,0.617,2369.6,1725260399999,1463.5723,36,1246.2,769.8487,0
1725260400000,0.617,0.619,0.616,0.616,3151.3,1725261299999,1947.0123,45,1975.4,1221.066,0
1725261300000,0.616,0.616,0.612,0.612,6667.6,1725262199999,4097.603,63,1664.3,1022.7033,0
1725262200000,0.614,0.616,0.611,0.613,12058.5,1725263099999,7389.5264,122,4044.4,2478.9503,0
1725263100000,0.613,0.613,0.61,0.612,24486.6,1725263999999,14950.5743,144,3407.7,2082.8446,0
1725264000000,0.612,0.617,0.61,0.617,12615.6,1725264899999,7749.3179,102,5916.1,3637.1106,0
1725264900000,0.617,0.628,0.614,0.624,127812.4,1725265799999,79862.47,265,91104.4,56932.9303,0
1725265800000,0.625,0.629,0.623,0.627,32400.1,1725266699999,20276.4728,221,21243.9,13298.2437,0
1725266700000,0.628,0.629,0.625,0.625,19653.6,1725267599999,12299.1643,134,5685.1,3563.3567,0
1725267600000,0.626,0.627,0.623,0.623,8750.6,1725268499999,5468.737,124,2699.0,1687.3059,0
1725268500000,0.624,0.626,0.622,0.625,11370.6,1725269399999,7089.3808,107,5210.0,3246.8063,0
1725269400000,0.625,0.627,0.623,0.625,16726.7,1725270299999,10451.7486,168,7346.2,4590.6798,0
1725270300000,0.626,0.635,0.626,0.634,45930.3,1725271199999,28963.6918,239,30121.5,19000.9567,0
1725271200000,0.635,0.637,0.633,0.635,30123.5,1725272099999,19158.8192,176,12160.8,7734.0746,0
1725272100000,0.635,0.642,0.635,0.64,28825.5,1725272999999,18430.7333,206,20163.3,12898.8882,0
1725273000000,0.64,0.643,0.638,0.64,18960.9,1725273899999,12141.7301,140,10758.9,6892.7075,0
1725273900000,0.639,0.642,0.637,0.64,43833.1,1725274799999,28035.6199,207,16441.6,10516.603,0
1725274800000,0.642,0.642,0.636,0.638,17327.8,1725275699999,11053.6433,102,7519.2,4797.0617,0
1725275700000,0.639,0.642,0.637,0.641,3682.5,1725276599999,2356.7571,49,1973.2,1263.7301,0
1725276600000,0.641,0.643,0.639,0.639,16036.8,1725277499999,10288.4183,137,11806.3,7576.8362,0
1725277500000,0.64,0.641,0.638,0.638,13627.1,1725278399999,8706.0553,76,1596.2,1021.6087,0
1725278400000,0.639,0.643,0.638,0.639,49275.7,1725279299999,31563.5505,161,36917.2,23644.9431,0
1725279300000,0.639,0.641,0.639,0.639,5304.2,1725280199999,3394.1834,52,2378.6,1522.3033,0
1725280200000,0.639,0.639,0.635,0.635,14260.3,1725281099999,9078.4372,97,3846.5,2449.0142,0
1725281100000,0.636,0.638,0.627,0.629,236534.1,1725281999999,149439.4643,529,57431.1,36289.4254,0
1725282000000,0.629,0.631,0.627,0.63,20468.0,1725282899999,12879.0397,115,2052.2,1292.7551,0
1725282900000,0.631,0.632,0.629,0.629,8027.5,1725283799999,5063.2142,65,4099.6,2586.4775,0
1725283800000,0.63,0.631,0.625,0.627,15579.2,1725284699999,9782.7235,119,6821.5,4289.3739,0
1725284700000,0.628,0.63,0.624,0.625,10470.3,1725285599999,6567.9034,71,3472.6,2182.0578,0
1725285600000,0.625,0.627,0.62,0.622,35341.3,1725286499999,21982.9442,168,17270.5,10754.2002,0
1725286500000,0.621,0.626,0.62,0.625,4064.0,1725287399999,2530.4134,46,2558.6,1592.8462,0
1725287400000,0.627,0.635,0.627,0.632,151313.9,1725288299999,95415.9067,426,108295.6,68274.4627,0
1725288300000,0.633,0.636,0.632,0.636,9379.2,1725289199999,5947.2243,102,5812.2,3686.3777,0
1725289200000,0.635,0.638,0.634,0.635,21788.6,1725290099999,13859.7279,161,18191.4,11572.5822,0
1725290100000,0.635,0.637,0.633,0.633,7058.8,1725290999999,4479.0626,75,1579.3,1001.7174,0
1725291000000,0.635,0.637,0.633,0.635,16422.1,1725291899999,10435.455,79,8392.8,5328.7599,0
1725291900000,0.635,0.637,0.633,0.635,6778.0,1725292799999,4310.0975,45,3510.9,2233.016,0
1725292800000,0.634,0.639,0.634,0.638,8242.8,1725293699999,5249.4828,83,6789.2,4324.7601,0
1725293700000,0.638,0.638,0.633,0.633,2559.5,1725294599999,1629.0656,51,644.8,409.9908,0
1725294600000,0.634,0.636,0.631,0.632,3616.1,1725295499999,2291.268,72,1831.8,1162.3663,0
1725295500000,0.634,0.634,0.63,0.631,7338.7,1725296399999,4633.4252,77,3798.5,2397.8144,0
1725296400000,0.632,0.636,0.632,0.635,15317.7,1725297299999,9718.6784,150,8586.6,5447.3474,0
1725297300000,0.636,0.639,0.634,0.638,9427.4,1725298199999,6004.277,108,7154.4,4558.9093,0
1725298200000,0.638,0.64,0.636,0.636,7983.8,1725299099999,5089.2429,80,1249.4,796.9613,0
1725299100000,0.637,0.644,0.637,0.643,21838.7,1725299999999,14016.246,175,14822.0,9514.2177,0
1725300000000,0.643,0.646,0.641,0.643,13438.9,1725300899999,8670.5378,86,10878.3,7021.4661,0
1725300900000,0.642,0.644,0.641,0.642,2480.3,1725301799999,1594.5187,48,1784.3,1147.3952,0
1725301800000,0.642,0.644,0.639,0.641,5806.9,1725302699999,3720.9769,75,3539.8,2268.6294,0
1725302700000,0.64,0.641,0.639,0.641,1507.7,1725303599999,964.6108,56,820.1,524.8931,0
1725303600000,0.639,0.642,0.637,0.642,8055.5,1725304499999,5148.2584,73,6406.7,4095.2685,0
1725304500000,0.642,0.644,0.64,0.641,13184.5,1725305399999,8467.106,95,8197.7,5264.5406,0
1725305400000,0.642,0.643,0.64,0.64,1660.3,1725306299999,1063.6001,39,195.0,125.0634,0
1725306300000,0.641,0.642,0.639,0.641,3701.7,1725307199999,2371.5327,35,2249.4,1441.8847,0
1725307200000,0.64,0.646,0.64,0.645,14987.2,1725308099999,9656.1564,105,11900.5,7665.7273,0
1725308100000,0.645,0.647,0.645,0.645,6875.2,1725308999999,4441.7908,63,5290.4,3418.3882,0
1725309000000,0.644,0.648,0.643,0.646,13191.9,1725309899999,8525.6982,58,7728.1,4993.1942,0
1725309900000,0.646,0.661,0.645,0.655,191797.0,1725310799999,125864.3659,474,147500.6,96748.8241,0
1725310800000,0.655,0.663,0.655,0.656,68598.9,1725311699999,45212.043,354,38226.5,25213.8591,0
