open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1690848000000,0.2313,0.2313,0.2306,0.2307,4194.5,1690848899999,967.97261,15,223.6,51.6516,0
1690848900000,0.2308,0.2309,0.2307,0.2309,1637.6,1690849799999,377.90712,11,1149.2,265.2224,0
1690849800000,0.231,0.2314,0.231,0.2314,2061.6,1690850699999,476.77688,28,2061.6,476.77688,0
1690850700000,0.2311,0.2315,0.231,0.231,14091.9,1690851599999,3256.37687,17,1899.7,439.72038,0
1690851600000,0.231,0.231,0.23,0.2306,16325.6,1690852499999,3760.99517,38,8090.4,1864.42213,0
1690852500000,0.2304,0.2304,0.2296,0.2298,3501.2,1690853399999,805.15654,13,518.0,119.0364,0
1690853400000,0.2294,0.2294,0.2283,0.2292,10072.5,1690854299999,2304.23083,43,1431.4,328.00248,0
1690854300000,0.229,0.229,0.228,0.228,2007.5,1690855199999,458.32063,15,98.5,22.51715,0
1690855200000,0.2284,0.229,0.225,0.2255,53445.3,1690856099999,12100.52752,145,8077.8,1840.27196,0
1690856100000,0.2251,0.2256,0.2242,0.2252,37752.9,1690856999999,8489.89156,79,13171.1,2963.13396,0
1690857000000,0.225,0.2255,0.225,0.2252,7799.3,1690857899999,1756.40269,30,3916.0,882.03102,0
1690857900000,0.2252,0.2258,0.2252,0.2255,4065.9,1690858799999,916.86149,29,3282.1,740.32687,0
1690858800000,0.2255,0.2261,0.2255,0.2261,4353.6,1690859699999,982.40802,18,2397.9,541.21059,0
1690859700000,0.2262,0.2315,0.2257,0.2278,123311.7,1690860599999,28360.66888,264,58132.4,13338.09724,0
1690860600000,0.2276,0.2276,0.227,0.2273,3827.2,1690861499999,869.65692,22,794.0,180.60264,0
1690861500000,0.227,0.2274,0.227,0.227,11802.3,1690862399999,2679.79092,14,337.0,76.6338,0
1690862400000,0.227,0.2275,0.227,0.227,9683.6,1690863299999,2199.89237,31,5883.9,1336.26726,0
1690863300000,0.2271,0.2312,0.227,0.2288,32222.7,1690864199999,7370.12655,125,19285.7,4420.64014,0
1690864200000,0.2286,0.2286,0.2277,0.2277,28743.7,1690865099999,6559.43916,49,21834.6,4984.22992,0
1690865100000,0.2275,0.2275,0.2266,0.2266,97589.4,1690865999999,22151.74081,36,2133.6,484.29718,0
1690866000000,0.2269,0.2269,0.2257,0.2266,22782.4,1690866899999,5151.02335,67,15687.6,3546.72162,0
1690866900000,0.2264,0.2266,0.2255,0.2255,17897.3,1690867799999,4040.54701,42,8723.5,1969.00372,0
