open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1764547200000000,4.006,4.011,3.868,3.894,24291.35,1764548099999999,95541.83423,808,13896.01,54644.59452,0
1764548100000000,3.89,3.903,3.841,3.854,20970.3,1764548999999999,81044.40472,451,9871.75,38137.07285,0
1764549000000000,3.854,3.864,3.803,3.817,14268.29,1764549899999999,54744.31708,527,6784.63,26040.01888,0
1764549900000000,3.818,3.825,3.766,3.766,8563.08,1764550799999999,32462.28783,326,4114.4,15601.26158,0
1764550800000000,3.77,3.783,3.708,3.739,23649.3,1764551699999999,88501.932,697,9865.64,36944.8957,0
1764551700000000,3.746,3.774,3.746,3.747,3197.75,1764552599999999,12019.22319,124,1208.31,4544.74675,0
1764552600000000,3.749,3.77,3.744,3.749,5530.48,1764553499999999,20763.53109,148,1838.46,6909.6533,0
1764553500000000,3.747,3.753,3.721,3.724,3685.88,1764554399999999,13788.14616,154,838.6,3135.56323,0
1764554400000000,3.724,3.754,3.724,3.735,6003.41,1764555299999999,22441.80566,300,3226.27,12061.85228,0
1764555300000000,3.737,3.762,3.734,3.755,3589.96,1764556199999999,13458.23526,152,2523.55,9459.81435,0
1764556200000000,3.752,3.769,3.739,3.758,13247.9,1764557099999999,49685.72129,372,5874.34,22042.40189,0
1764557100000000,3.754,3.762,3.725,3.732,10468.49,1764557999999999,39202.69621,243,4115.69,15418.02344,0
1764558000000000,3.731,3.743,3.674,3.696,91471.08,1764558899999999,337537.47356,891,57354.25,211250.91519,0
1764558900000000,3.696,3.697,3.677,3.679,6903.55,1764559799999999,25463.52555,235,914.4,3373.62291,0
1764559800000000,3.679,3.683,3.66,3.68,9627.7,1764560699999999,35345.26219,356,5388.43,19778.63312,0
1764560700000000,3.682,3.684,3.661,3.669,7123.92,1764561599999999,26154.68964,425,3332.3,12232.50949,0
1764561600000000,3.668,3.672,3.652,3.652,8246.94,1764562499999999,30205.7087,236,5218.74,19118.11398,0
1764562500000000,3.65,3.659,3.637,3.649,12309.55,1764563399999999,44918.43195,330,8657.55,31595.51517,0
1764563400000000,3.653,3.677,3.649,3.665,5089.45,1764564299999999,18663.25677,144,3305.98,12131.94838,0
1764564300000000,3.666,3.669,3.66,3.668,3441.65,1764565199999999,12608.95181,105,1481.41,5427.02217,0
1764565200000000,3.665,3.686,3.665,3.684,3620.85,1764566099999999,13319.89771,126,2065.74,7601.12072,0
1764566100000000,3.683,3.696,3.673,3.694,10635.32,1764566999999999,39149.22029,158,2179.13,8021.45758,0
1764567000000000,3.694,3.694,3.629,3.653,31786.29,1764567899999999,116034.29652,506,9134.6,33363.53742,0
1764567900000000,3.654,3.67,3.652,3.668,6057.19,1764568799999999,22159.74581,122,5374.22,19657.94407,0
1764568800000000,3.671,3.691,3.671,3.678,7989.72,1764569699999999,29418.08613,168,2675.16,9852.74061,0
1764569700000000,3.68,3.681,3.667,3.668,1064.16,1764570599999999,3909.01912,60,509.88,1872.95092,0
1764570600000000,3.669,3.68,3.66,3.68,14718.25,1764571499999999,54018.47643,458,10973.09,40286.46401,0
