open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,0.0838,0.0839,0.0835,0.0837,56189.0,1759277699999999,4703.0045,34,33903.0,2838.5269,0
1759277700000000,0.0835,0.0835,0.0832,0.0832,29313.0,1759278599999999,2444.0659,10,61.0,5.0752,0
1759278600000000,0.0832,0.0832,0.083,0.083,12869.0,1759279499999999,1069.7952,14,7174.0,596.5522,0
1759279500000000,0.0831,0.0834,0.0831,0.0834,20989.0,1759280399999999,1745.6763,13,14607.0,1214.7425,0
1759280400000000,0.0833,0.0839,0.0833,0.0838,236480.0,1759281299999999,19798.6008,224,83760.0,7006.714,0
1759281300000000,0.0838,0.084,0.0837,0.0839,72418.0,1759282199999999,6070.0451,79,43730.0,3667.2508,0
1759282200000000,0.0839,0.0842,0.0838,0.0841,44855.0,1759283099999999,3766.1867,23,23511.0,1975.1118,0
1759283100000000,0.0842,0.0845,0.0842,0.0844,75324.0,1759283999999999,6357.8492,47,65235.0,5506.8494,0
1759284000000000,0.0846,0.0848,0.0843,0.0845,116616.0,1759284899999999,9855.7197,148,35300.0,2984.288,0
1759284900000000,0.0845,0.0847,0.0845,0.0847,61348.0,1759285799999999,5191.476,59,46900.0,3970.5844,0
1759285800000000,0.0846,0.0846,0.0846,0.0846,39489.0,1759286699999999,3340.7694,10,4550.0,384.93,0
1759286700000000,0.0845,0.0846,0.0844,0.0844,7885.0,1759287599999999,666.6152,10,4796.0,405.4096,0
1759287600000000,0.0843,0.0844,0.0843,0.0844,21801.0,1759288499999999,1837.9765,8,12665.0,1067.8117,0
1759288500000000,0.0843,0.0844,0.0841,0.0842,119329.0,1759289399999999,10055.6235,35,57959.0,4882.1362,0
1759289400000000,0.0843,0.0843,0.084,0.084,116556.0,1759290299999999,9796.4866,29,95.0,8.0085,0
1759290300000000,0.084,0.084,0.0837,0.0839,71215.0,1759291199999999,5971.9724,17,65260.0,5472.3123,0
1759291200000000,0.084,0.0854,0.084,0.0847,456610.0,1759292099999999,38788.3178,391,173892.0,14779.8993,0
1759292100000000,0.0846,0.0849,0.0846,0.0847,79474.0,1759292999999999,6726.0839,20,16289.0,1380.3611,0
1759293000000000,0.0847,0.0848,0.0844,0.0844,138258.0,1759293899999999,11704.0872,55,92329.0,7818.0092,0
1759293900000000,0.0844,0.0845,0.0841,0.0841,75195.0,1759294799999999,6336.6895,64,41587.0,3502.6886,0
1759294800000000,0.0842,0.0847,0.0841,0.0846,64501.0,1759295699999999,5450.2089,20,46104.0,3898.4004,0
1759295700000000,0.0845,0.0846,0.0836,0.0841,2441034.0,1759296599999999,205229.992,558,433789.0,36551.506,0
1759296600000000,0.0842,0.0848,0.0841,0.0848,153769.0,1759297499999999,12990.5239,171,77274.0,6527.459,0
1759297500000000,0.0848,0.0849,0.0846,0.0846,45916.0,1759298399999999,3891.0442,107,15082.0,1278.7682,0
1759298400000000,0.0846,0.0847,0.0845,0.0845,36495.0,1759299299999999,3090.0853,22,18065.0,1529.3021,0
1759299300000000,0.0847,0.085,0.0847,0.0849,207771.0,1759300199999999,17642.0093,246,89925.0,7634.4185,0
