open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1767225600000000,0.1215,0.1226,0.1214,0.122,391493.0,1767226499999999,47806.5944,319,197654.0,24144.4217,0
1767226500000000,0.122,0.1224,0.122,0.1224,101678.0,1767227399999999,12419.0704,93,30533.0,3730.3652,0
1767227400000000,0.1225,0.1226,0.1217,0.1217,57349.0,1767228299999999,7002.0862,57,23053.0,2812.8033,0
1767228300000000,0.1217,0.1221,0.1217,0.122,67560.0,1767229199999999,8239.8832,55,40317.0,4917.2309,0
1767229200000000,0.122,0.1223,0.1219,0.1222,49646.0,1767230099999999,6060.8927,78,22079.0,2695.2878,0
1767230100000000,0.1222,0.1222,0.1214,0.1214,124777.0,1767230999999999,15197.3237,131,43731.0,5330.0936,0
1767231000000000,0.1214,0.1214,0.1209,0.1213,50968.0,1767231899999999,6173.2845,79,30334.0,3674.5947,0
1767231900000000,0.1211,0.1213,0.1211,0.1211,38758.0,1767232799999999,4695.5893,65,7938.0,962.4159,0
1767232800000000,0.1211,0.1212,0.121,0.1211,18946.0,1767233699999999,2294.8403,40,7724.0,935.7423,0
1767233700000000,0.121,0.1212,0.1208,0.1208,63124.0,1767234599999999,7637.1721,61,21538.0,2606.6213,0
1767234600000000,0.1209,0.121,0.1208,0.1208,46147.0,1767235499999999,5577.4289,53,25496.0,3081.5356,0
1767235500000000,0.1208,0.1209,0.1204,0.1206,72953.0,1767236399999999,8805.8504,78,49009.0,5917.5429,0
1767236400000000,0.1206,0.1207,0.1205,0.1206,42363.0,1767237299999999,5107.7626,60,22272.0,2685.8256,0
1767237300000000,0.1206,0.1207,0.1204,0.1205,55402.0,1767238199999999,6677.689,60,22142.0,2668.8355,0
1767238200000000,0.1204,0.1204,0.1203,0.1203,50871.0,1767239099999999,6119.9494,36,26141.0,3144.7623,0
1767239100000000,0.1203,0.1203,0.1196,0.1197,539370.0,1767239999999999,64686.0086,274,85783.0,10283.555,0
1767240000000000,0.1197,0.1197,0.1192,0.1195,82932.0,1767240899999999,9904.0361,83,57382.0,6853.88,0
1767240900000000,0.1194,0.1197,0.1193,0.1196,84691.0,1767241799999999,10114.8363,93,54046.0,6456.6232,0
1767241800000000,0.1197,0.1201,0.1197,0.1197,137570.0,1767242699999999,16491.5364,121,78460.0,9407.2324,0
1767242700000000,0.1198,0.1202,0.1198,0.1201,80819.0,1767243599999999,9697.1776,95,40343.0,4840.5063,0
1767243600000000,0.1201,0.1211,0.1201,0.1209,116716.0,1767244499999999,14072.412,135,70479.0,8495.5099,0
1767244500000000,0.1208,0.121,0.1207,0.121,110687.0,1767245399999999,13377.7332,96,78490.0,9487.2009,0
1767245400000000,0.121,0.121,0.1206,0.1208,70002.0,1767246299999999,8458.5875,72,34305.0,4144.7647,0
1767246300000000,0.1209,0.1214,0.1209,0.1214,57096.0,1767247199999999,6918.1543,58,35464.0,4295.1663,0
1767247200000000,0.1215,0.1216,0.1208,0.121,33138.0,1767248099999999,4016.0369,48,11383.0,1381.586,0
1767248100000000,0.121,0.121,0.1206,0.1207,98233.0,1767248999999999,11863.1206,100,40176.0,4851.7252,0
1767249000000000,0.1207,0.1208,0.1206,0.1207,25918.0,1767249899999999,3128.1684,34,14116.0,1703.8996,0
1767249900000000,0.1207,0.1208,0.1206,0.1206,66353.0,1767250799999999,8008.6641,68,32805.0,3961.3014,0
1767250800000000,0.1206,0.1212,0.1206,0.1212,335236.0,1767251699999999,40498.218,52,320530.0,38722.0012,0
1767251700000000,0.1212,0.1219,0.1211,0.1218,193013.0,1767252599999999,23442.4492,189,131966.0,16030.4518,0
1767252600000000,0.1217,0.122,0.1216,0.1216,128144.0,1767253499999999,15610.7007,99,38037.0,4634.9915,0
1767253500000000,0.1216,0.1218,0.1215,0.1215,113086.0,1767254399999999,13751.9772,86,59525.0,7239.8687,0
1767254400000000,0.1215,0.1216,0.121,0.121,101130.0,1767255299999999,12265.7446,110,41396.0,5022.2402,0
1767255300000000,0.121,0.1212,0.1209,0.1212,47033.0,1767256199999999,5694.1584,59,19111.0,2314.3021,0
1767256200000000,0.1212,0.1213,0.1211,0.1212,51536.0,1767257099999999,6244.1533,56,31286.0,3790.3114,0
1767257100000000,0.1212,0.1218,0.1209,0.1218,54605.0,1767257999999999,6631.1036,83,36993.0,4492.2442,0
1767258000000000,0.1218,0.1224,0.1218,0.122,160390.0,1767258899999999,19589.7361,145,90831.0,11093.9978,0
1767258900000000,0.1221,0.1227,0.1221,0.1226,76014.0,1767259799999999,9296.0808,72,48441.0,5926.4715,0
1767259800000000,0.1226,0.1229,0.1225,0.1227,50092.0,1767260699999999,6145.0471,75,19371.0,2376.4607,0
1767260700000000,0.1227,0.1227,0.1224,0.1226,72871.0,1767261599999999,8928.0466,60,55660.0,6820.421,0
1767261600000000,0.1226,0.1228,0.1224,0.1224,65029.0,1767262499999999,7974.4779,63,36178.0,4436.7616,0
1767262500000000,0.1224,0.1225,0.1223,0.1225,53655.0,1767263399999999,6569.0652,63,29047.0,3556.8399,0
1767263400000000,0.1225,0.1227,0.1225,0.1227,45113.0,1767264299999999,5532.8866,42,29182.0,3578.7851,0
1767264300000000,0.1228,0.123,0.1226,0.123,21644.0,1767265199999999,2658.4017,39,6695.0,822.4916,0
1767265200000000,0.123,0.1231,0.1228,0.123,35493.0,1767266099999999,4364.5626,45,14756.0,1814.382,0
1767266100000000,0.1231,0.1231,0.1228,0.123,18987.0,1767266999999999,2335.0039,42,9550.0,1174.9436,0
1767267000000000,0.1231,0.1233,0.123,0.1233,29714.0,1767267899999999,3659.7316,38,11896.0,1465.4421,0
1767267900000000,0.1234,0.1239,0.1234,0.1238,119621.0,1767268799999999,14800.0481,98,63747.0,7886.7693,0
1767268800000000,0.1239,0.124,0.1235,0.1236,232595.0,1767269699999999,28793.961,164,123322.0,15268.1235,0
1767269700000000,0.1235,0.1235,0.123,0.1231,78184.0,1767270599999999,9631.3873,112,27781.0,3422.5725,0
1767270600000000,0.123,0.1231,0.1228,0.1231,57809.0,1767271499999999,7109.168,63,29956.0,3683.6058,0
1767271500000000,0.1232,0.1235,0.1231,0.1231,45285.0,1767272399999999,5586.2063,52,16701.0,2060.054,0
1767272400000000,0.1231,0.1232,0.123,0.1232,33464.0,1767273299999999,4119.2151,41,12053.0,1483.3363,0
1767273300000000,0.123,0.1234,0.123,0.1232,24471.0,1767274199999999,3016.5372,23,7216.0,888.9433,0
1767274200000000,0.1232,0.1239,0.1231,0.1239,50781.0,1767275099999999,6272.0673,52,32121.0,3967.0826,0
1767275100000000,0.124,0.1242,0.1237,0.1239,89528.0,1767275999999999,11092.1671,60,39613.0,4910.4483,0
1767276000000000,0.1241,0.1245,0.124,0.1244,113201.0,1767276899999999,14061.344,118,50629.0,6291.6643,0
1767276900000000,0.1244,0.1245,0.1241,0.1244,142814.0,1767277799999999,17757.6125,179,55016.0,6841.634,0
1767277800000000,0.1242,0.1249,0.1242,0.1249,81151.0,1767278699999999,10113.8077,94,55276.0,6887.8031,0
1767278700000000,0.1249,0.126,0.1248,0.1258,194039.0,1767279599999999,24346.1717,235,94942.0,11909.348,0
1767279600000000,0.1258,0.126,0.1256,0.1258,241061.0,1767280499999999,30329.5677,208,102003.0,12836.6326,0
1767280500000000,0.1258,0.1262,0.1255,0.1257,109630.0,1767281399999999,13800.504,119,71258.0,8974.6216,0
1767281400000000,0.1256,0.1268,0.1254,0.1261,183754.0,1767282299999999,23141.5511,243,111587.0,14051.8667,0
1767282300000000,0.1262,0.1271,0.1261,0.1266,230693.0,1767283199999999,29196.3646,275,85614.0,10835.0769,0
1767283200000000,0.1266,0.1277,0.1266,0.1273,502738.0,1767284099999999,63992.065,368,204108.0,25992.9057,0
1767284100000000,0.1273,0.1274,0.1264,0.1267,201728.0,1767284999999999,25583.9113,225,110894.0,14063.5401,0
1767285000000000,0.1266,0.1271,0.1259,0.1259,168871.0,1767285899999999,21367.1715,209,54497.0,6903.7936,0
1767285900000000,0.1259,0.1259,0.125,0.1253,551432.0,1767286799999999,69086.3836,519,186920.0,23432.9553,0
1767286800000000,0.1253,0.1261,0.1252,0.126,338953.0,1767287699999999,42552.7237,366,152311.0,19128.7209,0
1767287700000000,0.1261,0.1262,0.1258,0.1262,131830.0,1767288599999999,16613.8664,104,51951.0,6548.9911,0
1767288600000000,0.1262,0.1267,0.126,0.126,154973.0,1767289499999999,19580.1686,179,99362.0,12554.7024,0
1767289500000000,0.1261,0.1262,0.1258,0.1262,91239.0,1767290399999999,11500.143,132,32379.0,4083.2278,0
1767290400000000,0.1262,0.1264,0.126,0.1261,56961.0,1767291299999999,7185.3969,72,28014.0,3535.1959,0
1767291300000000,0.1261,0.1264,0.126,0.1262,21133.0,1767292199999999,2667.3913,41,8240.0,1040.2242,0
1767292200000000,0.1261,0.1263,0.1261,0.1261,27883.0,1767293099999999,3517.7449,42,15260.0,1925.3934,0
1767293100000000,0.1262,0.1263,0.1259,0.1261,69069.0,1767293999999999,8709.157,141,30900.0,3897.9253,0
