open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1719792000000,2.608,2.61,2.598,2.603,3564.3,1719792899999,9280.1498,117,760.1,1978.0458,0
1719792900000,2.603,2.611,2.603,2.606,1791.6,1719793799999,4670.2871,63,1077.0,2806.6793,0
1719793800000,2.603,2.607,2.602,2.603,4883.2,1719794699999,12713.9525,73,1777.1,4628.8609,0
1719794700000,2.605,2.61,2.603,2.603,3568.5,1719795599999,9302.5464,58,1800.3,4696.0302,0
1719795600000,2.604,2.635,2.598,2.63,15035.7,1719796499999,39381.9837,278,10348.5,27094.6434,0
1719796500000,2.631,2.636,2.625,2.628,7479.9,1719797399999,19675.679,141,2883.6,7587.3043,0
1719797400000,2.629,2.636,2.623,2.625,18010.0,1719798299999,47370.5488,251,7570.4,19924.7423,0
1719798300000,2.625,2.629,2.62,2.627,2363.6,1719799199999,6209.596,68,1285.3,3377.5347,0
1719799200000,2.627,2.629,2.611,2.619,8199.8,1719800099999,21478.2837,226,3952.2,10348.8986,0
1719800100000,2.616,2.623,2.616,2.621,2785.8,1719800999999,7302.0915,49,2526.9,6623.7207,0
1719801000000,2.62,2.62,2.611,2.614,7790.4,1719801899999,20363.8381,129,4800.6,12550.4948,0
1719801900000,2.614,2.616,2.611,2.612,3057.9,1719802799999,7990.7861,57,2017.0,5271.5092,0
1719802800000,2.611,2.611,2.606,2.606,7720.4,1719803699999,20143.94,104,461.1,1203.1473,0
1719803700000,2.606,2.608,2.601,2.601,5131.8,1719804599999,13367.3767,76,2958.0,7706.6451,0
1719804600000,2.601,2.601,2.595,2.597,4996.4,1719805499999,12980.9823,67,1458.1,3787.8413,0
1719805500000,2.599,2.604,2.599,2.599,950.2,1719806399999,2470.2195,36,833.5,2166.6849,0
1719806400000,2.599,2.602,2.596,2.599,2190.5,1719807299999,5689.7692,72,1691.7,4393.9117,0
1719807300000,2.601,2.603,2.596,2.597,7361.4,1719808199999,19144.2887,67,5918.0,15391.8614,0
1719808200000,2.596,2.6,2.592,2.594,4251.3,1719809099999,11031.7444,63,2545.8,6605.782,0
1719809100000,2.596,2.6,2.596,2.599,1210.7,1719809999999,3146.3531,29,969.0,2518.6191,0
1719810000000,2.598,2.601,2.596,2.6,1645.4,1719810899999,4277.474,28,1585.6,4122.1603,0
1719810900000,2.599,2.602,2.595,2.597,12851.9,1719811799999,33419.4877,106,8436.1,21936.9238,0
1719811800000,2.596,2.597,2.593,2.594,1064.4,1719812699999,2762.7778,31,661.7,1718.03,0
1719812700000,2.595,2.597,2.594,2.594,823.5,1719813599999,2137.1637,26,799.8,2075.6689,0
1719813600000,2.594,2.594,2.587,2.591,5240.4,1719814499999,13573.1315,112,3448.6,8931.0835,0
1719814500000,2.59,2.594,2.589,2.59,10069.3,1719815399999,26091.634,98,3285.0,8513.6637,0
1719815400000,2.591,2.595,2.59,2.592,2972.0,1719816299999,7703.4133,67,1609.4,4171.9026,0
1719816300000,2.593,2.594,2.591,2.593,1971.2,1719817199999,5109.71,38,815.9,2114.9725,0
1719817200000,2.592,2.602,2.591,2.602,6974.2,1719818099999,18094.6591,79,4389.3,11394.2245,0
1719818100000,2.601,2.602,2.595,2.595,524.2,1719818999999,1360.9431,25,350.7,910.2314,0
1719819000000,2.595,2.597,2.593,2.597,1357.2,1719819899999,3522.9104,21,317.8,824.7177,0
1719819900000,2.593,2.595,2.589,2.59,3721.6,1719820799999,9642.5554,56,1349.8,3497.6185,0
1719820800000,2.594,2.594,2.59,2.59,1793.0,1719821699999,4645.3376,44,873.4,2262.6423,0
1719821700000,2.59,2.591,2.584,2.59,53293.3,1719822599999,137963.6854,367,3710.4,9603.8316,0
1719822600000,2.589,2.592,2.583,2.589,8100.1,1719823499999,20966.8691,294,2084.7,5395.5481,0
1719823500000,2.59,2.598,2.589,2.596,5626.3,1719824399999,14598.2833,172,2418.8,6276.1624,0
1719824400000,2.596,2.598,2.591,2.591,8431.5,1719825299999,21880.2989,211,4794.7,12446.4833,0
1719825300000,2.591,2.595,2.585,2.594,4608.2,1719826199999,11938.9941,165,1752.2,4540.9754,0
1719826200000,2.595,2.597,2.591,2.591,7173.7,1719827099999,18611.8168,155,2548.1,6614.368,0
1719827100000,2.593,2.594,2.591,2.594,1252.9,1719827999999,3248.3966,28,483.3,1253.1779,0
1719828000000,2.592,2.592,2.588,2.589,1933.9,1719828899999,5009.1383,53,672.3,1741.35,0
1719828900000,2.589,2.59,2.584,2.587,4354.8,1719829799999,11266.4775,91,467.1,1208.3319,0
1719829800000,2.588,2.589,2.585,2.589,3490.6,1719830699999,9033.4933,79,1920.9,4972.1897,0
1719830700000,2.588,2.59,2.587,2.589,1610.9,1719831599999,4170.094,32,536.1,1388.0474,0
1719831600000,2.586,2.593,2.583,2.593,6280.0,1719832499999,16257.1672,84,4210.3,10903.3511,0
1719832500000,2.592,2.593,2.583,2.586,1499.7,1719833399999,3878.9509,47,188.6,487.81,0
1719833400000,2.586,2.586,2.582,2.585,1018.0,1719834299999,2630.482,32,437.5,1130.2034,0
1719834300000,2.582,2.584,2.581,2.584,3905.6,1719835199999,10084.9228,43,1501.8,3879.0026,0
1719835200000,2.584,2.591,2.581,2.589,5506.8,1719836099999,14245.4149,128,4136.9,10705.4451,0
1719836100000,2.588,2.589,2.58,2.581,2613.0,1719836999999,6753.9492,52,1204.3,3112.5516,0
1719837000000,2.58,2.584,2.579,2.582,14092.1,1719837899999,36376.0085,149,7242.3,18696.065,0
1719837900000,2.581,2.585,2.581,2.583,2839.1,1719838799999,7334.3624,32,1412.7,3650.1823,0
1719838800000,2.582,2.586,2.572,2.572,5860.1,1719839699999,15121.4627,111,1514.8,3912.8987,0
1719839700000,2.572,2.577,2.571,2.577,5952.0,1719840599999,15313.0018,75,5437.0,13988.0253,0
1719840600000,2.576,2.582,2.569,2.57,7441.1,1719841499999,19169.0387,131,5856.9,15090.4484,0
1719841500000,2.57,2.57,2.548,2.552,11696.6,1719842399999,29866.3495,226,5142.1,13130.2383,0
1719842400000,2.551,2.557,2.531,2.534,19046.2,1719843299999,48488.5216,301,10285.6,26224.9584,0
1719843300000,2.533,2.54,2.531,2.538,6453.1,1719844199999,16353.1455,135,2633.9,6674.2535,0
1719844200000,2.536,2.541,2.533,2.537,8388.8,1719845099999,21268.7444,124,3748.8,9506.0525,0
1719845100000,2.536,2.539,2.532,2.533,1981.8,1719845999999,5021.7147,62,489.4,1240.5342,0
1719846000000,2.532,2.541,2.529,2.541,51465.5,1719846899999,130294.0544,279,21605.2,54692.2649,0
1719846900000,2.539,2.54,2.529,2.532,15259.9,1719847799999,38684.7565,204,2388.4,6046.8791,0
1719847800000,2.532,2.538,2.526,2.531,10548.6,1719848699999,26716.5662,170,4417.2,11191.9655,0
1719848700000,2.533,2.539,2.533,2.538,2069.6,1719849599999,5247.3548,52,695.5,1763.5569,0
1719849600000,2.537,2.547,2.535,2.544,4764.4,1719850499999,12099.5372,102,2123.0,5392.5271,0
1719850500000,2.542,2.546,2.539,2.54,4150.3,1719851399999,10547.9712,91,1139.2,2896.081,0
1719851400000,2.54,2.541,2.536,2.538,4070.3,1719852299999,10334.1209,106,538.9,1368.8695,0
1719852300000,2.54,2.542,2.536,2.539,1908.7,1719853199999,4846.4993,68,220.6,560.1835,0
1719853200000,2.538,2.542,2.533,2.534,3445.0,1719854099999,8743.6008,76,1338.8,3399.3224,0
1719854100000,2.534,2.539,2.532,2.537,4655.4,1719854999999,11804.7641,98,1776.5,4506.7955,0
1719855000000,2.537,2.539,2.534,2.536,4849.8,1719855899999,12303.7004,102,3195.2,8106.9837,0
1719855900000,2.536,2.54,2.535,2.539,3751.5,1719856799999,9518.3623,83,3015.3,7651.3789,0
1719856800000,2.539,2.545,2.536,2.537,8274.2,1719857699999,21027.5902,187,5062.8,12867.4283,0
1719857700000,2.536,2.546,2.534,2.535,9936.5,1719858599999,25250.683,479,4873.6,12385.5426,0
1719858600000,2.534,2.537,2.53,2.531,12361.9,1719859499999,31314.3632,139,3076.7,7797.9083,0
1719859500000,2.533,2.538,2.531,2.537,10375.0,1719860399999,26287.4523,72,8965.6,22716.2729,0
1719860400000,2.536,2.545,2.534,2.542,5597.5,1719861299999,14205.9358,102,2232.7,5668.6548,0
1719861300000,2.539,2.541,2.531,2.533,8581.2,1719862199999,21754.2685,119,5193.0,13164.3505,0
1719862200000,2.532,2.533,2.526,2.527,6640.9,1719863099999,16796.7732,94,1987.1,5027.7402,0
1719863100000,2.526,2.534,2.525,2.533,4154.3,1719863999999,10508.62,131,2104.7,5327.5019,0
1719864000000,2.532,2.532,2.523,2.525,4377.9,1719864899999,11059.1951,122,1826.2,4614.1537,0
1719864900000,2.525,2.526,2.52,2.521,3951.2,1719865799999,9968.1157,89,1918.9,4842.7038,0
1719865800000,2.52,2.521,2.517,2.52,16107.6,1719866699999,40584.2494,71,4483.6,11295.4577,0
1719866700000,2.519,2.521,2.516,2.516,4600.4,1719867599999,11586.0558,107,2348.1,5915.3116,0
1719867600000,2.516,2.518,2.513,2.515,8283.9,1719868499999,20837.1149,119,3182.5,8005.6616,0
1719868500000,2.515,2.517,2.514,2.515,9277.2,1719869399999,23342.043,109,5214.2,13120.2188,0
1719869400000,2.516,2.517,2.515,2.516,3398.2,1719870299999,8549.6226,75,1884.5,4741.6882,0
1719870300000,2.517,2.517,2.513,2.514,11765.1,1719871199999,29580.7662,139,3706.7,9320.5937,0
1719871200000,2.515,2.519,2.513,2.515,5489.2,1719872099999,13815.6116,115,3651.5,9192.7064,0
1719872100000,2.515,2.517,2.507,2.516,56377.9,1719872999999,141593.5142,446,15858.8,39835.1536,0
1719873000000,2.516,2.516,2.512,2.513,7561.5,1719873899999,19009.8644,213,2301.9,5787.6752,0
1719873900000,2.513,2.517,2.513,2.514,4985.4,1719874799999,12536.7363,106,2455.0,6175.4512,0
1719874800000,2.514,2.514,2.511,2.511,4640.2,1719875699999,11660.2748,100,1929.1,4848.0708,0
1719875700000,2.512,2.513,2.507,2.507,4930.2,1719876599999,12365.4911,141,2659.6,6671.5574,0
1719876600000,2.508,2.51,2.507,2.508,10796.4,1719877499999,27079.3362,139,6493.5,16289.013,0
1719877500000,2.508,2.517,2.507,2.516,18520.4,1719878399999,46482.9722,205,10274.7,25791.4699,0
1719878400000,2.516,2.521,2.511,2.513,9175.9,1719879299999,23090.2671,186,3365.1,8469.6465,0
1719879300000,2.512,2.514,2.507,2.511,14088.3,1719880199999,35356.9767,208,4680.4,11749.554,0
1719880200000,2.512,2.515,2.508,2.511,3688.5,1719881099999,9263.0387,90,1302.7,3272.204,0
1719881100000,2.509,2.518,2.508,2.515,6863.3,1719881999999,17237.4667,68,3711.0,9323.6524,0
1719882000000,2.516,2.516,2.509,2.513,11367.5,1719882899999,28562.9235,192,3397.8,8539.9399,0
1719882900000,2.514,2.515,2.507,2.51,19945.3,1719883799999,50065.5344,192,6636.6,16659.528,0
1719883800000,2.51,2.512,2.507,2.509,16929.0,1719884699999,42478.1092,181,12823.3,32178.8915,0
1719884700000,2.51,2.514,2.51,2.51,3744.8,1719885599999,9405.6448,60,909.8,2284.9057,0
1719885600000,2.508,2.51,2.5,2.502,20598.8,1719886499999,51614.7136,157,3167.6,7930.643,0
1719886500000,2.502,2.505,2.5,2.5,10384.5,1719887399999,25973.0747,128,1831.3,4581.8274,0
1719887400000,2.501,2.501,2.494,2.497,16599.4,1719888299999,41472.3546,117,5113.6,12763.4,0
1719888300000,2.5,2.505,2.5,2.505,2973.6,1719889199999,7442.6357,139,2277.7,5701.2435,0
1719889200000,2.505,2.512,2.504,2.511,9040.5,1719890099999,22666.0794,154,7837.3,19649.2818,0
1719890100000,2.51,2.515,2.51,2.512,2671.5,1719890999999,6713.757,53,1263.3,3173.5563,0
1719891000000,2.513,2.526,2.513,2.522,3603.9,1719891899999,9083.0088,106,2219.5,5596.3287,0
1719891900000,2.519,2.522,2.519,2.521,787.8,1719892799999,1985.2597,24,120.4,303.4945,0
1719892800000,2.521,2.53,2.521,2.53,2677.0,1719893699999,6765.1483,62,1239.6,3132.5728,0
1719893700000,2.531,2.537,2.529,2.534,2541.7,1719894599999,6441.1844,96,794.1,2012.8898,0
1719894600000,2.535,2.54,2.534,2.539,1774.2,1719895499999,4499.4996,32,1112.7,2820.9614,0
1719895500000,2.54,2.54,2.533,2.533,868.3,1719896399999,2201.7743,36,227.5,577.1988,0
1719896400000,2.532,2.541,2.532,2.541,4839.9,1719897299999,12274.386,49,3210.7,8138.4462,0
1719897300000,2.541,2.543,2.534,2.536,17613.7,1719898199999,44737.1387,161,1844.9,4680.0325,0
1719898200000,2.536,2.537,2.532,2.532,323.6,1719899099999,819.9454,17,254.2,644.2012,0
1719899100000,2.532,2.536,2.531,2.536,1460.9,1719899999999,3699.4615,25,1355.7,3433.1711,0
1719900000000,2.536,2.536,2.528,2.531,2556.7,1719900899999,6477.0145,60,1425.4,3612.1809,0
1719900900000,2.53,2.536,2.529,2.533,3429.4,1719901799999,8686.14,64,1733.7,4392.0639,0
1719901800000,2.533,2.533,2.523,2.527,4183.7,1719902699999,10567.1552,51,917.9,2318.6276,0
1719902700000,2.527,2.533,2.527,2.527,1715.4,1719903599999,4339.218,36,390.5,987.1297,0
1719903600000,2.528,2.53,2.515,2.515,14634.7,1719904499999,36875.6152,127,3580.9,9039.8623,0
1719904500000,2.515,2.515,2.51,2.512,2035.5,1719905399999,5115.8253,54,1391.1,3495.9085,0
1719905400000,2.513,2.519,2.505,2.517,9043.5,1719906299999,22705.451,121,5810.7,14597.527,0
1719906300000,2.519,2.524,2.519,2.519,2632.7,1719907199999,6639.6019,45,2202.8,5555.7238,0
1719907200000,2.517,2.52,2.51,2.511,4400.0,1719908099999,11050.3834,66,1697.1,4264.1528,0
1719908100000,2.512,2.522,2.512,2.52,3265.1,1719908999999,8220.4918,46,2555.4,6433.2773,0
1719909000000,2.518,2.522,2.515,2.52,875.7,1719909899999,2205.4372,26,166.2,418.8866,0
1719909900000,2.523,2.536,2.521,2.535,10412.0,1719910799999,26345.073,133,9125.3,23094.4102,0
1719910800000,2.535,2.544,2.533,2.539,8174.7,1719911699999,20750.388,117,3830.2,9725.4164,0
1719911700000,2.541,2.541,2.538,2.54,1002.8,1719912599999,2546.3799,26,767.3,1948.3192,0
1719912600000,2.54,2.543,2.532,2.535,9323.2,1719913499999,23647.3383,119,2266.1,5745.7009,0
1719913500000,2.535,2.538,2.528,2.529,3778.7,1719914399999,9563.8205,57,2563.7,6488.7025,0
1719914400000,2.529,2.539,2.525,2.533,10837.4,1719915299999,27439.469,140,5499.9,13932.9134,0
1719915300000,2.532,2.536,2.532,2.534,1716.1,1719916199999,4349.0811,40,848.5,2150.0341,0
1719916200000,2.533,2.534,2.532,2.533,3343.8,1719917099999,8469.5497,37,1288.1,3262.7851,0
1719917100000,2.532,2.535,2.53,2.534,4028.0,1719917999999,10202.6557,47,3101.6,7856.791,0
1719918000000,2.536,2.536,2.526,2.526,3322.4,1719918899999,8412.5826,41,1347.1,3410.6155,0
1719918900000,2.527,2.529,2.523,2.523,1520.9,1719919799999,3842.7831,31,928.6,2347.4361,0
1719919800000,2.525,2.535,2.523,2.53,5523.3,1719920699999,13977.0128,73,4863.0,12306.3014,0
1719920700000,2.53,2.532,2.528,2.529,2195.7,1719921599999,5552.8885,34,547.7,1386.4134,0
