open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1696118400000,0.5326,0.534,0.5326,0.5338,521790.5,1696119299999,278296.37792,566,392083.3,209097.51793,0
1696119300000,0.5338,0.5345,0.5338,0.5345,202739.7,1696120199999,108313.20316,367,132082.5,70567.91515,0
1696120200000,0.5344,0.5349,0.5334,0.5348,326035.1,1696121099999,174188.03157,449,189086.4,101042.67312,0
1696121100000,0.5349,0.5358,0.5346,0.5357,359030.1,1696121999999,192172.33918,510,275053.5,147228.47726,0
1696122000000,0.5358,0.536,0.5344,0.5344,363418.8,1696122899999,194546.23698,487,150575.0,80609.58868,0
1696122900000,0.5344,0.5365,0.5344,0.5361,449137.7,1696123799999,240549.86754,526,345041.2,184835.75183,0
1696123800000,0.5362,0.5364,0.5359,0.5362,223265.7,1696124699999,119716.36646,413,137856.0,73921.52264,0
1696124700000,0.5363,0.5364,0.5357,0.5357,91358.1,1696125599999,48977.71466,250,36179.7,19396.36781,0
1696125600000,0.5358,0.537,0.5357,0.5365,563488.5,1696126499999,302300.47309,652,379999.3,203860.29816,0
1696126500000,0.5365,0.5383,0.5365,0.5368,939118.9,1696127399999,504926.49569,1071,608412.1,327115.8327,0
1696127400000,0.5369,0.5369,0.5339,0.5342,542487.9,1696128299999,290279.5962,765,202436.0,108282.18143,0
1696128300000,0.5341,0.5356,0.5339,0.5343,693169.5,1696129199999,370561.60415,708,293600.7,157000.50254,0
1696129200000,0.5344,0.5344,0.5327,0.5327,410429.4,1696130099999,218888.17184,634,211524.7,112808.22502,0
1696130100000,0.5327,0.5332,0.5323,0.5329,420503.6,1696130999999,224050.88689,464,274967.7,146518.0184,0
1696131000000,0.533,0.5338,0.5329,0.5336,156752.0,1696131899999,83608.07366,285,94041.5,50160.70227,0
1696131900000,0.5336,0.5341,0.5334,0.534,218585.5,1696132799999,116686.39234,273,165019.6,88093.99056,0
1696132800000,0.534,0.5341,0.5329,0.533,242446.3,1696133699999,129342.19482,340,102492.1,54679.93596,0
1696133700000,0.533,0.5333,0.5328,0.5329,79092.6,1696134599999,42160.76224,194,22934.6,12226.23929,0
1696134600000,0.5329,0.5332,0.5325,0.5329,105717.4,1696135499999,56334.07168,224,51273.0,27323.60724,0
1696135500000,0.5329,0.5337,0.5329,0.5332,119753.0,1696136399999,63869.03793,279,75332.9,40180.85959,0
1696136400000,0.5333,0.534,0.5329,0.5339,133677.0,1696137299999,71310.24694,326,92721.3,49463.00726,0
1696137300000,0.534,0.5357,0.5338,0.5354,495652.8,1696138199999,264992.59182,677,394580.9,210966.13698,0
1696138200000,0.5355,0.5358,0.5348,0.5356,298804.3,1696139099999,159984.09288,455,171251.1,91693.77485,0
1696139100000,0.5356,0.5357,0.5349,0.5356,137340.4,1696139999999,73531.91551,392,79313.1,42468.14446,0
1696140000000,0.5355,0.5369,0.5354,0.5364,503972.1,1696140899999,270202.7755,860,333161.1,178644.58767,0
1696140900000,0.5365,0.5366,0.5345,0.5348,275980.6,1696141799999,147784.9604,408,102511.4,54889.10046,0
1696141800000,0.5348,0.5357,0.5345,0.5354,352806.6,1696142699999,188831.58507,466,277176.2,148364.04711,0
1696142700000,0.5355,0.5365,0.5354,0.5362,271681.8,1696143599999,145620.60867,352,152959.9,81987.69839,0
1696143600000,0.5363,0.5368,0.5359,0.5367,328791.3,1696144499999,176364.40875,454,171211.7,91843.49794,0
1696144500000,0.5366,0.5373,0.5356,0.5359,630036.8,1696145399999,337973.41248,694,363986.9,195238.92857,0
1696145400000,0.536,0.5368,0.5358,0.5365,245943.8,1696146299999,131921.83668,343,155281.8,83300.06217,0
1696146300000,0.5365,0.5371,0.5359,0.5359,196389.5,1696147199999,105396.32539,337,76511.2,41071.26048,0
1696147200000,0.5359,0.5362,0.5354,0.5354,179403.5,1696148099999,96145.37654,334,82547.5,44247.08795,0
1696148100000,0.5355,0.536,0.5349,0.5359,233422.0,1696148999999,124983.44488,365,140853.1,75417.07316,0
1696149000000,0.5359,0.5363,0.5356,0.5362,252125.7,1696149899999,135147.62217,367,174209.6,93386.52363,0
1696149900000,0.5362,0.5374,0.5362,0.5369,389852.2,1696150799999,209263.67319,460,287752.5,154460.36407,0
1696150800000,0.5369,0.5379,0.5368,0.5379,331828.0,1696151699999,178334.2293,489,259212.6,139317.56343,0
1696151700000,0.5379,0.5439,0.5378,0.5422,3418155.5,1696152599999,1849382.2124,4114,2139936.5,1157172.94927,0
1696152600000,0.5423,0.5444,0.5422,0.5439,1012071.6,1696153499999,549994.13322,1455,538226.5,292457.29235,0
1696153500000,0.544,0.5489,0.5437,0.5477,2479879.3,1696154399999,1355722.71771,3407,1475612.4,806484.33252,0
1696154400000,0.5478,0.558,0.5475,0.555,10248255.6,1696155299999,5670981.6247,12660,5581965.0,3088210.72094,0
1696155300000,0.555,0.5571,0.5523,0.5559,2894573.3,1696156199999,1605969.89388,3591,1614046.1,895604.95993,0
1696156200000,0.5558,0.5563,0.5528,0.5539,1509360.4,1696157099999,836284.52132,1930,843631.2,467355.36719,0
1696157100000,0.5538,0.5559,0.5526,0.5554,1658761.3,1696157999999,919768.80852,1816,956114.5,530277.51629,0
