open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1725148800000,0.879,0.882,0.878,0.881,4645.7,1725149699999,4093.504,74,2356.8,2076.8973,0
1725149700000,0.881,0.881,0.877,0.879,5657.0,1725150599999,4973.4031,97,4069.2,3577.185,0
1725150600000,0.88,0.882,0.879,0.882,861.2,1725151499999,758.9157,26,523.1,461.072,0
1725151500000,0.881,0.881,0.879,0.88,3015.0,1725152399999,2653.9022,36,639.4,562.8944,0
1725152400000,0.879,0.881,0.878,0.878,1358.8,1725153299999,1194.3156,22,98.4,86.5977,0
1725153300000,0.878,0.878,0.876,0.877,6061.9,1725154199999,5314.4891,87,4704.7,4125.5819,0
1725154200000,0.875,0.878,0.875,0.875,3247.5,1725155099999,2848.0802,60,2480.6,2176.2967,0
1725155100000,0.876,0.876,0.873,0.873,7814.0,1725155999999,6833.9282,179,7451.1,6516.7284,0
1725156000000,0.873,0.874,0.867,0.87,16443.1,1725156899999,14327.2138,296,15382.6,13403.676,0
1725156900000,0.868,0.869,0.868,0.869,1844.7,1725157799999,1602.2593,37,1844.7,1602.2593,0
1725157800000,0.869,0.872,0.869,0.869,1428.2,1725158699999,1243.1074,26,530.7,462.1502,0
1725158700000,0.869,0.872,0.869,0.872,942.6,1725159599999,819.797,24,875.0,761.0406,0
1725159600000,0.87,0.873,0.869,0.873,1494.3,1725160499999,1302.2032,29,1002.2,874.5014,0
1725160500000,0.872,0.872,0.872,0.872,122.3,1725161399999,106.6456,5,78.0,68.016,0
1725161400000,0.872,0.872,0.871,0.871,891.6,1725162299999,777.0994,17,515.8,449.7776,0
1725162300000,0.872,0.874,0.871,0.874,4999.5,1725163199999,4357.3638,37,329.1,287.0658,0
1725163200000,0.874,0.874,0.869,0.871,4429.0,1725164099999,3857.574,49,462.4,403.0029,0
1725164100000,0.869,0.872,0.868,0.872,992.0,1725164999999,862.141,11,974.5,846.9449,0
1725165000000,0.871,0.874,0.871,0.873,396.2,1725165899999,345.893,16,228.5,199.5163,0
1725165900000,0.873,0.873,0.871,0.871,2407.1,1725166799999,2099.3322,65,1517.3,1323.2203,0
1725166800000,0.872,0.874,0.869,0.87,2176.9,1725167699999,1898.1617,50,1725.1,1504.648,0
1725167700000,0.871,0.872,0.863,0.866,5575.8,1725168599999,4829.8652,71,2344.0,2031.929,0
1725168600000,0.867,0.868,0.861,0.864,2932.9,1725169499999,2534.9473,53,2478.7,2143.0893,0
