open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1680307200000,12.62,12.65,12.57,12.58,4508.07,1680308099999,56859.8197,351,1415.75,17862.5703,0
1680308100000,12.57,12.61,12.55,12.58,2236.58,1680308999999,28127.5466,240,1038.33,13059.6866,0
1680309000000,12.58,12.58,12.52,12.52,1720.4,1680309899999,21580.2642,202,389.78,4886.9922,0
1680309900000,12.53,12.53,12.47,12.49,5433.51,1680310799999,67825.3134,343,2471.36,30842.9565,0
1680310800000,12.49,12.52,12.45,12.49,2948.86,1680311699999,36813.6994,257,1666.56,20804.599,0
1680311700000,12.49,12.51,12.47,12.5,4162.39,1680312599999,51982.8076,227,1195.83,14937.0629,0
1680312600000,12.5,12.51,12.47,12.47,3709.49,1680313499999,46314.7994,258,1060.44,13241.9823,0
1680313500000,12.48,12.57,12.47,12.55,2755.32,1680314399999,34510.7637,259,1338.72,16766.5479,0
1680314400000,12.55,12.62,12.55,12.55,4390.76,1680315299999,55253.7417,338,1579.83,19887.6529,0
1680315300000,12.55,12.55,12.52,12.54,4862.35,1680316199999,60960.6861,239,3083.0,38655.5974,0
1680316200000,12.54,12.54,12.5,12.51,7362.49,1680317099999,92130.8323,262,947.69,11868.3573,0
1680317100000,12.5,12.52,12.49,12.51,1576.72,1680317999999,19717.5555,149,811.43,10147.1027,0
1680318000000,12.51,12.52,12.49,12.51,3951.72,1680318899999,49427.6072,223,2187.11,27359.1078,0
1680318900000,12.51,12.54,12.5,12.52,3753.54,1680319799999,47008.4145,195,2669.25,33435.9604,0
1680319800000,12.52,12.52,12.48,12.5,808.26,1680320699999,10109.0521,134,225.78,2823.7657,0
1680320700000,12.5,12.52,12.49,12.5,1657.86,1680321599999,20722.6324,120,979.83,12250.349,0
1680321600000,12.51,12.55,12.51,12.53,1973.97,1680322499999,24737.2004,150,884.59,11088.9924,0
1680322500000,12.53,12.54,12.49,12.51,1853.69,1680323399999,23179.3174,150,398.1,4978.8708,0
1680323400000,12.51,12.56,12.49,12.55,2483.63,1680324299999,31098.6848,203,1604.28,20088.516,0
1680324300000,12.56,12.59,12.56,12.58,3510.16,1680325199999,44149.6333,202,1375.77,17309.4291,0
1680325200000,12.58,12.59,12.56,12.56,1179.38,1680326099999,14832.5541,122,279.25,3512.845,0
1680326100000,12.56,12.57,12.53,12.55,3860.78,1680326999999,48443.1395,223,1862.35,23364.2993,0
1680327000000,12.54,12.56,12.53,12.53,3625.16,1680327899999,45473.3628,183,1028.38,12902.4087,0
1680327900000,12.54,12.57,12.54,12.55,2474.79,1680328799999,31063.805,248,1064.64,13363.2236,0
1680328800000,12.55,12.55,12.53,12.54,3137.7,1680329699999,39344.5346,135,1260.05,15806.0001,0
1680329700000,12.53,12.56,12.48,12.48,14572.9,1680330599999,182519.5299,581,3518.85,44086.7212,0
1680330600000,12.47,12.47,12.33,12.42,12646.56,1680331499999,156745.0656,885,4593.79,56899.5518,0
1680331500000,12.42,12.46,12.37,12.38,6143.3,1680332399999,76250.8957,419,1537.26,19087.5583,0
1680332400000,12.38,12.4,12.32,12.35,2047.81,1680333299999,25325.8909,222,659.57,8152.292,0
1680333300000,12.36,12.39,12.33,12.38,5957.52,1680334199999,73661.1555,313,2477.41,30617.3095,0
1680334200000,12.37,12.39,12.36,12.37,1480.56,1680335099999,18325.4439,148,1004.09,12429.4694,0
1680335100000,12.37,12.38,12.35,12.36,2262.3,1680335999999,27953.5075,128,748.9,9259.4056,0
1680336000000,12.36,12.36,12.34,12.35,4830.55,1680336899999,59661.2656,160,627.46,7753.1114,0
1680336900000,12.35,12.36,12.27,12.31,6495.31,1680337799999,79877.3216,429,2366.46,29093.0308,0
1680337800000,12.31,12.34,12.29,12.34,3720.71,1680338699999,45797.3994,246,1635.07,20135.9411,0
1680338700000,12.34,12.36,12.28,12.29,3389.04,1680339599999,41766.1689,281,1184.96,14621.8746,0
1680339600000,12.28,12.32,12.26,12.31,3390.05,1680340499999,41698.9306,249,2612.88,32142.5456,0
1680340500000,12.31,12.36,12.31,12.36,2994.22,1680341399999,36935.4112,179,1531.23,18892.8475,0
1680341400000,12.36,12.39,12.34,12.38,1133.48,1680342299999,14028.24,109,466.34,5770.38,0
1680342300000,12.39,12.39,12.33,12.34,4055.14,1680343199999,50122.4886,147,902.76,11164.599,0
1680343200000,12.34,12.34,12.28,12.3,2448.92,1680344099999,30135.2079,195,338.98,4180.8826,0
1680344100000,12.3,12.32,12.27,12.32,2445.57,1680344999999,30083.4523,185,1967.18,24201.1685,0
1680345000000,12.31,12.33,12.3,12.33,2814.7,1680345899999,34653.0106,170,1089.01,13410.6679,0
1680345900000,12.33,12.37,12.32,12.37,2669.96,1680346799999,32981.951,193,2242.54,27708.3364,0
1680346800000,12.37,12.43,12.36,12.4,2587.18,1680347699999,32076.1992,212,1502.13,18621.6107,0
1680347700000,12.4,12.4,12.36,12.4,3358.45,1680348599999,41576.0637,292,1668.77,20660.2248,0
1680348600000,12.39,12.41,12.34,12.34,4083.65,1680349499999,50502.2973,204,1415.09,17500.5686,0
1680349500000,12.34,12.35,12.3,12.33,2859.48,1680350399999,35227.2242,180,1788.05,22026.5989,0
1680350400000,12.32,12.34,12.3,12.33,2503.63,1680351299999,30830.8008,165,693.46,8544.7008,0
1680351300000,12.33,12.34,12.3,12.34,1770.98,1680352199999,21818.7204,159,698.24,8609.2477,0
1680352200000,12.34,12.35,12.31,12.33,984.26,1680353099999,12129.6621,104,641.0,7901.2949,0
1680353100000,12.32,12.35,12.31,12.34,2428.63,1680353999999,29930.4192,159,1175.73,14490.6695,0
