open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1764547200000000,11.08,11.11,10.83,10.92,11126.82,1764548099999999,121761.8995,820,5238.66,57364.2969,0
1764548100000000,10.92,10.99,10.72,10.73,14745.67,1764548999999999,159472.2428,567,3684.3,39794.5598,0
1764549000000000,10.74,10.74,10.56,10.63,8746.64,1764549899999999,92976.3316,488,3695.15,39291.8542,0
1764549900000000,10.63,10.64,10.5,10.52,8739.97,1764550799999999,92314.978,578,3919.02,41376.4743,0
1764550800000000,10.5,10.7,10.48,10.65,5148.6,1764551699999999,54598.4098,373,3450.01,36591.7986,0
1764551700000000,10.66,10.75,10.66,10.72,2811.61,1764552599999999,30144.7438,151,1160.51,12435.3824,0
1764552600000000,10.71,10.75,10.66,10.69,2121.73,1764553499999999,22686.7307,109,1440.64,15406.4313,0
1764553500000000,10.69,10.7,10.62,10.62,1037.98,1764554399999999,11064.4983,58,373.83,3984.9569,0
1764554400000000,10.63,10.71,10.62,10.67,822.91,1764555299999999,8779.3501,114,421.5,4498.8338,0
1764555300000000,10.66,10.67,10.61,10.61,1082.16,1764556199999999,11516.8991,82,83.6,890.5372,0
1764556200000000,10.6,10.66,10.58,10.64,979.58,1764557099999999,10401.6004,92,309.45,3290.6109,0
1764557100000000,10.63,10.67,10.62,10.63,1760.31,1764557999999999,18712.4347,88,1202.64,12781.9636,0
1764558000000000,10.63,10.63,10.53,10.55,1088.9,1764558899999999,11506.2761,94,617.81,6527.1602,0
1764558900000000,10.54,10.58,10.52,10.53,1014.55,1764559799999999,10706.1396,56,590.3,6233.0048,0
1764559800000000,10.51,10.52,10.45,10.5,2313.21,1764560699999999,24262.0207,128,646.64,6779.3185,0
1764560700000000,10.51,10.51,10.47,10.47,190.91,1764561599999999,2003.4076,25,13.25,138.9579,0
1764561600000000,10.46,10.48,10.42,10.45,1940.14,1764562499999999,20273.0257,126,1460.53,15263.7327,0
1764562500000000,10.46,10.5,10.4,10.42,7711.49,1764563399999999,80527.6094,294,3781.1,39485.6652,0
1764563400000000,10.43,10.54,10.43,10.52,2039.84,1764564299999999,21371.5214,216,1205.21,12645.4286,0
1764564300000000,10.52,10.55,10.5,10.51,1107.67,1764565199999999,11662.9172,153,778.67,8199.5478,0
1764565200000000,10.5,10.62,10.48,10.62,669.33,1764566099999999,7059.2484,141,457.5,4830.4309,0
1764566100000000,10.61,10.62,10.54,10.55,416.88,1764566999999999,4410.7649,116,190.49,2015.3732,0
1764567000000000,10.54,10.59,10.53,10.59,670.7,1764567899999999,7086.0297,70,419.64,4435.3258,0
1764567900000000,10.59,10.6,10.55,10.55,452.61,1764568799999999,4784.4037,90,131.11,1386.0231,0
1764568800000000,10.55,10.57,10.52,10.55,786.92,1764569699999999,8294.5716,87,359.47,3792.3383,0
1764569700000000,10.54,10.55,10.48,10.5,788.86,1764570599999999,8290.3711,71,219.19,2306.274,0
1764570600000000,10.51,10.52,10.48,10.5,1236.85,1764571499999999,12990.4353,68,705.99,7413.7382,0
1764571500000000,10.51,10.53,10.49,10.51,2775.07,1764572399999999,29159.4157,94,1354.96,14235.993,0
1764572400000000,10.51,10.53,10.49,10.5,1689.73,1764573299999999,17760.2135,68,1129.9,11878.581,0
1764573300000000,10.49,10.49,10.43,10.47,553.6,1764574199999999,5785.0877,82,204.83,2143.2653,0
1764574200000000,10.46,10.47,10.43,10.47,579.61,1764575099999999,6060.2416,60,257.63,2693.9344,0
1764575100000000,10.47,10.48,10.45,10.47,349.51,1764575999999999,3658.5833,61,226.61,2372.5711,0
1764576000000000,10.47,10.51,10.47,10.5,1891.28,1764576899999999,19825.7046,75,840.54,8813.0921,0
1764576900000000,10.51,10.51,10.47,10.47,2030.55,1764577799999999,21303.1749,74,136.3,1430.5239,0
1764577800000000,10.48,10.94,10.43,10.85,23703.61,1764578699999999,254183.556,1454,12109.52,129439.6575,0
1764578700000000,10.85,10.91,10.57,10.65,15957.52,1764579599999999,172002.0416,1593,7638.7,82504.5559,0
1764579600000000,10.65,10.71,10.62,10.67,1619.12,1764580499999999,17271.8449,177,662.53,7076.597,0
1764580500000000,10.67,10.71,10.65,10.68,1917.65,1764581399999999,20467.1212,71,436.0,4657.5806,0
1764581400000000,10.67,10.72,10.67,10.71,467.8,1764582299999999,5006.0634,50,236.18,2527.9027,0
1764582300000000,10.72,10.74,10.64,10.65,2691.64,1764583199999999,28755.1674,150,1013.94,10851.2798,0
1764583200000000,10.66,10.68,10.5,10.53,16694.92,1764584099999999,176524.7992,977,4286.81,45377.743,0
1764584100000000,10.53,10.55,10.52,10.53,569.7,1764584999999999,6002.2832,89,307.73,3243.7807,0
1764585000000000,10.52,10.54,10.52,10.53,411.52,1764585899999999,4333.464,47,155.96,1642.475,0
1764585900000000,10.53,10.53,10.51,10.52,162.14,1764586799999999,1706.2668,23,106.9,1125.1246,0
1764586800000000,10.52,10.53,10.47,10.49,375.6,1764587699999999,3946.0051,46,154.79,1625.7323,0
1764587700000000,10.48,10.5,10.45,10.49,1403.05,1764588599999999,14700.5199,87,952.82,9988.3881,0
1764588600000000,10.48,10.48,10.37,10.37,4529.76,1764589499999999,47121.933,266,2642.97,27483.1441,0
1764589500000000,10.37,10.39,10.3,10.32,2434.35,1764590399999999,25218.2888,162,1358.72,14087.8767,0
1764590400000000,10.3,10.34,10.27,10.29,4718.18,1764591299999999,48620.966,278,3261.83,33633.1306,0
1764591300000000,10.29,10.31,10.18,10.19,5334.59,1764592199999999,54550.394,324,2824.53,28904.8316,0
1764592200000000,10.2,10.32,10.2,10.3,4090.59,1764593099999999,41935.5489,302,1304.1,13397.1972,0
1764593100000000,10.31,10.44,10.28,10.35,14267.05,1764593999999999,147831.2768,663,7378.29,76491.6208,0
1764594000000000,10.34,10.39,10.28,10.36,4346.17,1764594899999999,44949.8534,262,2597.29,26865.1646,0
1764594900000000,10.37,10.39,10.3,10.33,4052.12,1764595799999999,41928.7333,243,2166.29,22412.6555,0
1764595800000000,10.33,10.38,10.32,10.34,6288.88,1764596699999999,65056.5514,180,1601.23,16561.0447,0
1764596700000000,10.35,10.36,10.29,10.31,2524.78,1764597599999999,26052.0057,139,1378.31,14221.0337,0
1764597600000000,10.32,10.35,10.31,10.33,2029.88,1764598499999999,20993.9581,100,1730.44,17898.8375,0
1764598500000000,10.33,10.38,10.32,10.33,11547.4,1764599399999999,119554.1353,315,6568.34,67984.1482,0
1764599400000000,10.32,10.44,10.32,10.38,22506.6,1764600299999999,233500.7898,803,11924.9,123664.2962,0
1764600300000000,10.38,10.39,10.33,10.35,3225.28,1764601199999999,33413.5539,138,1774.95,18397.4043,0
1764601200000000,10.36,10.38,10.33,10.35,645.53,1764602099999999,6685.4595,60,477.02,4940.8793,0
1764602100000000,10.34,10.36,10.31,10.31,3429.07,1764602999999999,35460.7749,168,1223.76,12657.0096,0
1764603000000000,10.3,10.31,10.15,10.22,5762.09,1764603899999999,58893.8223,300,1490.31,15265.2284,0
1764603900000000,10.2,10.41,10.19,10.33,3915.25,1764604799999999,40506.8313,216,3122.44,32311.9414,0
1764604800000000,10.34,10.36,10.28,10.31,1355.89,1764605699999999,13990.6783,93,865.55,8932.9793,0
1764605700000000,10.3,10.32,10.27,10.28,568.98,1764606599999999,5860.8217,60,428.39,4413.19,0
1764606600000000,10.27,10.34,10.26,10.3,140.94,1764607499999999,1452.0557,55,96.5,994.6956,0
1764607500000000,10.3,10.3,10.22,10.25,900.45,1764608399999999,9229.7149,49,261.93,2681.4017,0
1764608400000000,10.25,10.28,10.25,10.25,371.15,1764609299999999,3810.9466,39,317.14,3256.7971,0
1764609300000000,10.24,10.27,10.2,10.26,5251.88,1764610199999999,53834.6751,112,2957.2,30307.2431,0
1764610200000000,10.26,10.26,10.23,10.24,688.35,1764611099999999,7057.5804,42,278.47,2854.4512,0
1764611100000000,10.25,10.27,10.23,10.23,1303.21,1764611999999999,13340.9613,57,300.73,3078.2902,0
1764612000000000,10.22,10.35,10.22,10.35,3162.33,1764612899999999,32528.416,118,2811.17,28908.9527,0
1764612900000000,10.35,10.37,10.33,10.35,150.57,1764613799999999,1558.2499,36,91.42,946.3956,0
1764613800000000,10.34,10.35,10.3,10.31,1172.88,1764614699999999,12101.7477,48,255.42,2633.5043,0
1764614700000000,10.32,10.35,10.3,10.34,71.72,1764615599999999,741.2592,16,32.35,334.2324,0
1764615600000000,10.34,10.43,10.33,10.39,2582.22,1764616499999999,26848.5571,185,1748.81,18180.6881,0
1764616500000000,10.39,10.39,10.27,10.28,5687.38,1764617399999999,58799.958,171,1313.1,13583.4989,0
1764617400000000,10.3,10.4,10.26,10.36,7331.4,1764618299999999,75720.483,306,5322.59,55015.9459,0
1764618300000000,10.35,10.39,10.32,10.37,2723.16,1764619199999999,28201.4968,124,864.48,8958.667,0
1764619200000000,10.38,10.44,10.35,10.39,4687.11,1764620099999999,48665.7538,215,1880.91,19519.0112,0
1764620100000000,10.38,10.45,10.34,10.42,2488.76,1764620999999999,25895.7805,142,2295.86,23891.3965,0
1764621000000000,10.41,10.44,10.4,10.42,399.32,1764621899999999,4159.8702,41,216.09,2252.3772,0
1764621900000000,10.41,10.42,10.4,10.4,137.44,1764622799999999,1430.5934,35,56.96,592.9633,0
1764622800000000,10.4,10.46,10.4,10.42,543.16,1764623699999999,5667.9739,57,168.34,1758.3846,0
1764623700000000,10.42,10.47,10.42,10.44,282.78,1764624599999999,2955.7927,42,173.15,1809.3776,0
1764624600000000,10.45,10.48,10.45,10.46,244.91,1764625499999999,2562.3076,29,117.86,1233.9576,0
1764625500000000,10.46,10.46,10.41,10.43,139.92,1764626399999999,1459.3895,32,27.61,288.1028,0
1764626400000000,10.44,10.47,10.44,10.44,1545.92,1764627299999999,16171.1024,62,521.1,5450.7532,0
1764627300000000,10.44,10.47,10.43,10.47,137.71,1764628199999999,1438.4696,19,85.79,896.5822,0
1764628200000000,10.45,10.45,10.42,10.42,94.66,1764629099999999,987.6285,15,33.06,345.1367,0
1764629100000000,10.43,10.45,10.43,10.43,170.28,1764629999999999,1776.5297,16,25.3,264.2276,0
1764630000000000,10.44,10.46,10.43,10.43,208.04,1764630899999999,2173.0089,20,94.29,985.3867,0
1764630900000000,10.45,10.48,10.45,10.48,262.42,1764631799999999,2748.4785,27,201.45,2110.5518,0
1764631800000000,10.48,10.48,10.45,10.45,216.97,1764632699999999,2271.1139,33,2.76,28.8972,0
1764632700000000,10.45,10.45,10.43,10.44,77.35,1764633599999999,807.7928,21,43.82,457.6939,0
1764633600000000,10.43,10.46,10.38,10.38,3187.63,1764634499999999,33245.8269,227,705.77,7364.8773,0
1764634500000000,10.4,10.42,10.36,10.38,1659.93,1764635399999999,17235.5482,159,411.95,4281.5377,0
1764635400000000,10.4,10.44,10.4,10.42,625.8,1764636299999999,6526.8621,32,95.76,998.4868,0
1764636300000000,10.43,10.46,10.42,10.45,162.42,1764637199999999,1696.4418,38,73.5,768.1901,0
1764637200000000,10.44,10.54,10.44,10.49,640.75,1764638099999999,6725.0656,65,440.26,4619.6813,0
1764638100000000,10.48,10.48,10.45,10.47,429.15,1764638999999999,4488.8244,33,72.67,760.8549,0
1764639000000000,10.48,10.51,10.45,10.46,1482.99,1764639899999999,15550.4224,75,891.25,9345.921,0
1764639900000000,10.45,10.46,10.44,10.46,56.29,1764640799999999,587.7587,11,51.79,540.7482,0
1764640800000000,10.43,10.43,10.41,10.42,148.14,1764641699999999,1543.5079,12,61.22,637.8933,0
1764641700000000,10.43,10.52,10.43,10.49,3356.23,1764642599999999,35206.5697,80,1069.8,11219.0042,0
1764642600000000,10.48,10.5,10.48,10.5,229.81,1764643499999999,2411.665,21,225.5,2366.4962,0
1764643500000000,10.5,10.5,10.47,10.47,31.23,1764644399999999,327.1756,13,21.69,227.1271,0
1764644400000000,10.46,10.49,10.46,10.48,281.24,1764645299999999,2947.1144,32,275.94,2891.59,0
1764645300000000,10.46,10.46,10.42,10.42,30.76,1764646199999999,320.9769,15,14.81,154.5506,0
1764646200000000,10.43,10.47,10.39,10.47,422.0,1764647099999999,4393.1065,57,288.38,3003.1577,0
1764647100000000,10.47,10.51,10.47,10.5,706.37,1764647999999999,7421.4558,46,184.15,1934.2071,0
1764648000000000,10.51,10.54,10.49,10.53,569.41,1764648899999999,5978.4154,49,294.96,3097.7956,0
1764648900000000,10.52,10.56,10.5,10.51,2905.78,1764649799999999,30557.0631,86,1667.89,17539.4836,0
1764649800000000,10.51,10.51,10.46,10.47,716.63,1764650699999999,7510.164,47,526.35,5515.1652,0
1764650700000000,10.46,10.48,10.45,10.45,678.22,1764651599999999,7097.0795,33,150.39,1574.4864,0
1764651600000000,10.44,10.46,10.43,10.45,502.42,1764652499999999,5247.7225,44,445.1,4649.457,0
1764652500000000,10.46,10.47,10.45,10.45,25.06,1764653399999999,262.2304,10,9.6,100.4586,0
1764653400000000,10.45,10.45,10.41,10.42,194.69,1764654299999999,2028.6968,27,25.89,270.0631,0
1764654300000000,10.41,10.46,10.41,10.44,1065.18,1764655199999999,11121.9873,36,939.77,9815.6489,0
