open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1699358400000,5.905,11.8,5.905,10.0,1840312.07,1699359299999,19744023.46166,67082,921106.7,9933885.21125,0
1699359300000,9.992,10.5,9.985,10.358,531244.05,1699360199999,5475898.39141,20105,263364.32,2715222.85881,0
1699360200000,10.358,10.579,10.193,10.299,358515.14,1699361099999,3732700.17913,16508,203653.89,2121737.07428,0
1699361100000,10.299,10.579,10.291,10.565,182173.5,1699361999999,1898699.42958,6676,100337.92,1046222.25955,0
1699362000000,10.56,10.899,10.381,10.403,258017.98,1699362899999,2733891.23678,10578,135573.71,1438803.37982,0
1699362900000,10.404,10.5,10.275,10.31,126569.83,1699363799999,1311406.47653,7025,56970.59,591038.61103,0
1699363800000,10.32,10.409,9.901,10.13,245440.96,1699364699999,2487969.00482,11872,117812.71,1194863.74635,0
1699364700000,10.14,10.408,10.095,10.392,122367.13,1699365599999,1259624.74664,5978,70936.82,730158.42693,0
1699365600000,10.391,10.402,10.248,10.31,72203.58,1699366499999,745109.02268,3560,33444.76,345232.2825,0
1699366500000,10.306,10.335,10.1,10.115,97182.45,1699367399999,995743.22187,4282,44039.13,451855.97144,0
1699367400000,10.119,10.39,10.014,10.316,133087.03,1699368299999,1354629.88817,5693,67702.12,689774.37067,0
1699368300000,10.311,10.415,10.281,10.37,119432.85,1699369199999,1238101.9533,4517,55604.36,576481.32736,0
1699369200000,10.366,10.376,10.171,10.285,101226.31,1699370099999,1039684.07109,3540,48230.31,495252.54841,0
1699370100000,10.29,10.36,10.203,10.253,71979.97,1699370999999,739218.03548,3052,37683.99,387282.66979,0
1699371000000,10.254,10.268,10.027,10.177,96873.0,1699371899999,984499.60041,4292,45205.19,460009.82347,0
1699371900000,10.177,10.208,10.039,10.13,68786.39,1699372799999,697824.7423,3376,35968.88,365099.35081,0
1699372800000,10.13,10.503,10.1,10.406,126884.27,1699373699999,1307394.1081,6823,67782.97,698882.48765,0
1699373700000,10.401,11.3,10.4,11.2,651000.39,1699374599999,7144604.85216,33369,341295.62,3742008.57543,0
1699374600000,11.201,13.8,11.156,13.7,1054380.24,1699375499999,12896804.14912,66194,566015.89,6906605.37861,0
1699375500000,13.69,13.97,12.113,12.845,855452.55,1699376399999,10893368.34124,52345,387138.45,4932992.36262,0
1699376400000,12.85,13.65,12.369,13.0,609788.92,1699377299999,7962449.54123,40556,313787.68,4100387.71589,0
1699377300000,12.986,13.599,12.719,12.862,456287.5,1699378199999,6011236.82439,35706,218090.07,2878541.54727,0
1699378200000,12.864,13.307,12.716,13.1,367257.43,1699379099999,4763946.80523,33211,188984.19,2451853.27049,0
