open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,0.284,0.2845,0.2836,0.2836,14232.03,1759277699999999,4042.247035,54,7014.21,1993.40594,0
1759277700000000,0.2836,0.2836,0.2817,0.2817,46140.49,1759278599999999,13035.15228,132,8920.43,2523.192735,0
1759278600000000,0.2818,0.2826,0.2818,0.282,30883.38,1759279499999999,8715.674279,127,14862.82,4195.321534,0
1759279500000000,0.2821,0.2828,0.2815,0.2825,72338.34,1759280399999999,20395.34668,161,29925.97,8440.270153,0
1759280400000000,0.2827,0.2834,0.2826,0.2834,18868.73,1759281299999999,5341.906031,57,13581.21,3846.533711,0
1759281300000000,0.2832,0.2836,0.2824,0.2834,25227.24,1759282199999999,7138.759331,145,15085.73,4271.356061,0
1759282200000000,0.2834,0.284,0.2829,0.284,12432.61,1759283099999999,3525.581303,47,9571.16,2715.568634,0
1759283100000000,0.284,0.285,0.2839,0.285,13735.87,1759283999999999,3907.57523,76,11627.73,3307.887112,0
1759284000000000,0.2851,0.2851,0.2843,0.2843,11527.32,1759284899999999,3281.679651,96,3267.67,930.935815,0
1759284900000000,0.2843,0.2848,0.284,0.2842,8043.0,1759285799999999,2286.381039,33,4100.88,1166.531619,0
1759285800000000,0.2841,0.2841,0.2834,0.2834,7125.87,1759286699999999,2021.17183,36,1874.76,531.937864,0
1759286700000000,0.2833,0.2834,0.2827,0.2828,38023.68,1759287599999999,10760.801187,80,2579.95,730.274231,0
1759287600000000,0.2828,0.2836,0.2827,0.2835,9778.81,1759288499999999,2770.478043,69,7108.59,2014.324053,0
1759288500000000,0.2834,0.2836,0.2827,0.2831,20920.37,1759289399999999,5925.026673,63,6934.05,1964.727386,0
1759289400000000,0.2832,0.2835,0.2821,0.2821,18052.0,1759290299999999,5101.105388,61,1913.88,541.852787,0
1759290300000000,0.282,0.282,0.2795,0.2795,75168.81,1759291199999999,21094.735386,273,10784.72,3025.249393,0
1759291200000000,0.2796,0.2816,0.2795,0.281,100024.83,1759292099999999,28062.1418,429,43890.94,12315.530819,0
1759292100000000,0.2811,0.2819,0.2811,0.2818,17084.72,1759292999999999,4809.416825,162,10932.13,3078.279795,0
1759293000000000,0.2818,0.2824,0.2816,0.282,20890.51,1759293899999999,5894.760228,137,14039.71,3961.54517,0
1759293900000000,0.2819,0.2822,0.2812,0.2815,13367.26,1759294799999999,3764.78071,104,1914.28,539.499399,0
1759294800000000,0.2816,0.2836,0.2816,0.2833,28296.52,1759295699999999,7995.055551,134,24219.76,6842.735464,0
1759295700000000,0.2832,0.2838,0.2831,0.2835,10345.97,1759296599999999,2932.333871,76,2217.18,628.923751,0
