open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1759276800000000,0.497,0.498,0.496,0.496,11801.6,1759277699999999,5864.2963,55,2801.5,1392.3455,0
1759277700000000,0.495,0.495,0.493,0.494,2977.8,1759278599999999,1471.064,11,659.7,326.3527,0
1759278600000000,0.493,0.493,0.492,0.492,3514.2,1759279499999999,1730.7918,25,3401.3,1675.2085,0
1759279500000000,0.493,0.494,0.491,0.494,8512.7,1759280399999999,4196.8135,47,5106.5,2518.2475,0
1759280400000000,0.494,0.494,0.494,0.494,1477.5,1759281299999999,729.885,14,202.0,99.788,0
1759281300000000,0.494,0.495,0.493,0.494,6411.5,1759282199999999,3167.442,21,4152.8,2052.0206,0
1759282200000000,0.494,0.496,0.493,0.496,2048.5,1759283099999999,1012.9879,9,1922.2,950.6337,0
1759283100000000,0.496,0.498,0.496,0.498,29768.6,1759283999999999,14822.4696,96,9558.0,4759.6049,0
1759284000000000,0.499,0.499,0.496,0.497,11643.8,1759284899999999,5797.7068,46,5456.6,2717.384,0
1759284900000000,0.498,0.498,0.498,0.498,73.3,1759285799999999,36.5034,1,73.3,36.5034,0
1759285800000000,0.497,0.497,0.496,0.497,3267.5,1759286699999999,1623.813,27,3001.5,1491.7455,0
1759286700000000,0.496,0.496,0.496,0.496,50.6,1759287599999999,25.0976,2,14.1,6.9936,0
1759287600000000,0.496,0.497,0.495,0.496,4907.8,1759288499999999,2435.6271,29,2917.4,1447.7469,0
1759288500000000,0.495,0.496,0.494,0.496,4420.8,1759289399999999,2191.4694,18,1974.1,978.1016,0
1759289400000000,0.495,0.496,0.494,0.494,6181.1,1759290299999999,3060.1168,21,3135.8,1554.1969,0
1759290300000000,0.493,0.493,0.489,0.489,30461.7,1759291199999999,14948.8088,199,3519.9,1731.7944,0
1759291200000000,0.49,0.494,0.49,0.491,17265.5,1759292099999999,8507.3,101,10515.4,5183.0602,0
1759292100000000,0.492,0.494,0.492,0.493,16232.7,1759292999999999,8002.3405,61,10093.4,4977.2911,0
1759293000000000,0.493,0.496,0.493,0.494,8955.8,1759293899999999,4429.513,38,6376.3,3156.8246,0
1759293900000000,0.492,0.492,0.492,0.492,2808.9,1759294799999999,1381.9788,4,0.0,0.0,0
