open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1714521600000,0.3408,0.346,0.3398,0.3398,1108559.0,1714522499999,380979.35648,1925,570917.8,196253.4268,0
1714522500000,0.3398,0.3415,0.3367,0.3372,803392.6,1714523399999,271680.49353,1386,299321.4,101220.83236,0
1714523400000,0.3373,0.3373,0.3336,0.3352,375730.2,1714524299999,125980.21266,927,155415.8,52118.78052,0
1714524300000,0.3355,0.3367,0.3334,0.3345,289584.6,1714525199999,97102.51427,786,136505.2,45784.36425,0
1714525200000,0.3344,0.3352,0.3311,0.3322,603185.4,1714526099999,200771.70666,966,227797.0,75900.40561,0
1714526100000,0.332,0.3359,0.331,0.3337,774610.6,1714526999999,258251.66,1435,254273.7,84877.28941,0
1714527000000,0.3339,0.337,0.3335,0.3363,335586.6,1714527899999,112516.22397,735,205400.9,68885.45028,0
1714527900000,0.3357,0.3375,0.3347,0.3361,285459.1,1714528799999,95898.78189,440,119807.0,40269.84276,0
1714528800000,0.3361,0.3365,0.3308,0.331,315903.4,1714529699999,105542.07804,521,114124.9,38140.02921,0
1714529700000,0.3309,0.3353,0.3309,0.334,449583.6,1714530599999,149784.81447,938,176163.6,58687.16081,0
1714530600000,0.3342,0.3363,0.3332,0.334,302847.6,1714531499999,101378.68138,600,127799.7,42782.75296,0
1714531500000,0.3341,0.336,0.3341,0.3359,124719.7,1714532399999,41803.28335,308,64613.3,21657.25521,0
1714532400000,0.3359,0.3371,0.3354,0.3367,223318.8,1714533299999,75111.64628,425,96024.2,32296.20563,0
1714533300000,0.3367,0.3372,0.3353,0.3366,110778.2,1714534199999,37279.62133,251,59726.6,20101.55466,0
1714534200000,0.3366,0.3404,0.3364,0.3399,387149.8,1714535099999,131260.24414,530,308354.3,104589.33694,0
1714535100000,0.3398,0.3414,0.3388,0.3405,221019.3,1714535999999,75229.05696,447,93520.4,31836.7937,0
1714536000000,0.3405,0.3409,0.3381,0.3395,132635.3,1714536899999,45027.99193,304,50650.4,17203.12966,0
1714536900000,0.3396,0.34,0.3381,0.3386,65030.7,1714537799999,22052.81558,197,22038.1,7474.2188,0
1714537800000,0.3387,0.3398,0.338,0.3386,80939.0,1714538699999,27427.90074,182,36000.3,12207.75316,0
1714538700000,0.3385,0.3389,0.3363,0.3386,419558.0,1714539599999,141689.24055,586,112318.7,37965.88492,0
1714539600000,0.3387,0.34,0.3377,0.3382,113944.2,1714540499999,38591.93914,332,55083.2,18662.54813,0
1714540500000,0.3384,0.3388,0.3357,0.3363,90293.6,1714541399999,30423.46091,223,31716.1,10687.0808,0
1714541400000,0.3363,0.3387,0.335,0.3361,478620.3,1714542299999,160851.43336,727,226790.9,76142.00693,0
1714542300000,0.336,0.3365,0.335,0.3363,191177.3,1714543199999,64184.55288,541,74147.7,24897.67945,0
1714543200000,0.3363,0.3366,0.3346,0.3348,113927.0,1714544099999,38219.70435,321,38181.8,12808.80846,0
1714544100000,0.3348,0.3353,0.332,0.3332,402639.7,1714544999999,134126.42489,657,192618.4,64141.20745,0
1714545000000,0.3333,0.3343,0.3327,0.3332,269022.7,1714545899999,89770.91184,505,158523.8,52919.23696,0
1714545900000,0.3332,0.3335,0.3308,0.3311,169079.6,1714546799999,56159.21468,436,71817.1,23866.13853,0
1714546800000,0.3311,0.3316,0.3219,0.3258,1503989.9,1714547699999,489787.4988,3836,690573.4,224874.19035,0
1714547700000,0.3257,0.3271,0.3205,0.325,1341331.9,1714548599999,435100.24969,3435,658090.7,213558.08828,0
1714548600000,0.325,0.3264,0.3207,0.3236,1196238.1,1714549499999,387072.98141,3140,553585.5,179105.49068,0
1714549500000,0.3232,0.3253,0.3218,0.3239,521585.8,1714550399999,168701.061,1444,279510.6,90413.1239,0
1714550400000,0.3237,0.3252,0.3201,0.3222,556005.0,1714551299999,179148.77223,1605,236579.7,76242.14489,0
1714551300000,0.3218,0.3223,0.3144,0.3171,1803592.7,1714552199999,573396.87443,3926,783940.9,249519.88485,0
1714552200000,0.317,0.3203,0.3165,0.3194,641529.4,1714553099999,204177.70954,1483,279574.2,88987.4931,0
1714553100000,0.3194,0.3246,0.3191,0.3245,362591.8,1714553999999,116662.37012,925,222233.5,71554.59012,0
1714554000000,0.3246,0.3285,0.3236,0.3267,356125.5,1714554899999,116302.68059,782,188428.8,61562.71038,0
1714554900000,0.3266,0.3273,0.3246,0.3258,247574.8,1714555799999,80708.69862,628,104024.5,33912.04412,0
1714555800000,0.3257,0.3272,0.3245,0.3271,200579.7,1714556699999,65324.91418,409,120688.7,39303.01142,0
1714556700000,0.3271,0.3281,0.3255,0.3259,222361.8,1714557599999,72667.00462,520,87616.1,28636.18261,0
1714557600000,0.326,0.328,0.3255,0.3263,430923.6,1714558499999,140739.53697,915,227246.6,74254.86922,0
1714558500000,0.3264,0.3299,0.3255,0.3275,264902.7,1714559399999,86818.32139,583,130008.5,42598.91826,0
1714559400000,0.3275,0.3275,0.3245,0.3267,598577.8,1714560299999,194969.01385,871,205552.7,67007.10148,0
1714560300000,0.3269,0.3289,0.3265,0.3288,155977.2,1714561199999,51121.01991,355,103037.3,33772.99031,0
1714561200000,0.3288,0.3296,0.3274,0.3282,203580.7,1714562099999,66847.8649,618,102708.4,33738.44844,0
1714562100000,0.3282,0.3297,0.3278,0.3283,125469.4,1714562999999,41215.76662,429,60433.8,19860.76563,0
1714563000000,0.3282,0.3285,0.3271,0.3283,98387.0,1714563899999,32245.18098,302,48100.7,15762.90397,0
1714563900000,0.3283,0.3305,0.3283,0.3305,158602.7,1714564799999,52248.52444,448,82348.9,27127.51102,0
1714564800000,0.3304,0.3344,0.3292,0.3341,375872.3,1714565699999,124721.47726,933,194395.5,64489.63314,0
1714565700000,0.3341,0.3341,0.3322,0.333,377573.0,1714566599999,125683.93055,903,176512.2,58763.5773,0
1714566600000,0.3328,0.3344,0.3323,0.3334,286439.6,1714567499999,95513.19367,627,151947.4,50661.71187,0
1714567500000,0.3335,0.3335,0.3316,0.3328,366022.2,1714568399999,121699.12716,803,190455.5,63331.1511,0
1714568400000,0.3328,0.3333,0.3305,0.3315,263120.1,1714569299999,87246.97012,637,137645.8,45631.11024,0
1714569300000,0.3314,0.3315,0.3281,0.3284,338466.1,1714570199999,111449.95326,768,139104.8,45825.28065,0
1714570200000,0.3282,0.329,0.3261,0.3279,421175.2,1714571099999,137889.1367,946,198599.5,65052.85141,0
1714571100000,0.328,0.3301,0.3276,0.3285,373277.8,1714571999999,122683.82697,661,251387.9,82636.01734,0
1714572000000,0.3287,0.3303,0.3275,0.328,401074.7,1714572899999,131776.38855,823,140009.0,46027.33091,0
1714572900000,0.3279,0.3287,0.3257,0.3274,241551.4,1714573799999,78966.94205,529,95416.8,31194.87894,0
