open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1756684800000000,0.987,0.988,0.982,0.983,4699.06,1756685699999999,4628.45732,65,1220.96,1204.0024,0
1756685700000000,0.983,0.985,0.979,0.981,5187.64,1756686599999999,5090.38151,101,2468.1,2422.60549,0
1756686600000000,0.981,0.984,0.975,0.984,2638.3,1756687499999999,2580.83789,72,1756.31,1718.98168,0
1756687500000000,0.983,0.985,0.979,0.98,1682.5,1756688399999999,1650.48263,50,627.16,615.83769,0
1756688400000000,0.978,0.981,0.974,0.975,2619.42,1756689299999999,2558.2611,82,946.88,925.65299,0
1756689300000000,0.976,0.981,0.975,0.981,2256.43,1756690199999999,2207.80344,75,1763.39,1725.82728,0
1756690200000000,0.979,0.983,0.978,0.983,1516.48,1756691099999999,1487.09098,55,728.49,714.90676,0
1756691100000000,0.983,0.984,0.978,0.981,1378.76,1756691999999999,1352.02707,34,641.57,629.91498,0
1756692000000000,0.982,0.982,0.975,0.978,1551.76,1756692899999999,1518.44702,49,1254.59,1227.82777,0
1756692900000000,0.978,0.978,0.971,0.976,2368.11,1756693799999999,2306.42767,65,839.72,819.10346,0
1756693800000000,0.974,0.976,0.971,0.974,1534.27,1756694699999999,1494.19837,56,943.79,919.72116,0
1756694700000000,0.975,0.976,0.973,0.976,3450.84,1756695599999999,3361.44907,68,2009.8,1958.38221,0
1756695600000000,0.976,0.98,0.973,0.974,2647.32,1756696499999999,2583.80829,70,1357.3,1326.12392,0
1756696500000000,0.975,0.976,0.973,0.975,1152.87,1756697399999999,1123.7194,50,672.44,655.79107,0
1756697400000000,0.976,0.977,0.969,0.974,2447.32,1756698299999999,2380.50156,70,541.3,527.78727,0
1756698300000000,0.974,0.983,0.973,0.98,4104.91,1756699199999999,4018.52048,87,2999.28,2938.02004,0
1756699200000000,0.981,0.982,0.977,0.98,2511.37,1756700099999999,2460.00261,66,1020.39,1000.10549,0
1756700100000000,0.979,0.979,0.975,0.977,1808.89,1756700999999999,1767.61625,63,902.08,882.32382,0
1756701000000000,0.975,0.976,0.97,0.971,1886.84,1756701899999999,1834.87581,59,363.27,353.46394,0
1756701900000000,0.971,0.975,0.97,0.974,1670.63,1756702799999999,1624.02235,57,884.1,860.09425,0
1756702800000000,0.974,0.977,0.97,0.973,1772.04,1756703699999999,1725.12881,67,859.58,837.68698,0
1756703700000000,0.973,0.977,0.97,0.974,2281.13,1756704599999999,2219.64212,52,624.54,607.62043,0
1756704600000000,0.975,0.984,0.973,0.982,2151.03,1756705499999999,2105.28444,60,1284.94,1258.20285,0
1756705500000000,0.982,0.996,0.981,0.995,4988.01,1756706399999999,4930.08519,88,2534.52,2511.74837,0
1756706400000000,0.996,1.005,0.991,0.998,23621.94,1756707299999999,23600.12988,212,12572.17,12569.90179,0
1756707300000000,1.001,1.001,0.987,0.993,12432.6,1756708199999999,12317.47263,191,4795.27,4748.91917,0
1756708200000000,0.991,1.002,0.991,0.997,12574.62,1756709099999999,12542.31526,178,6531.91,6514.01122,0
1756709100000000,0.995,1.011,0.994,1.003,15926.9,1756709999999999,15991.45797,207,9987.5,10036.99085,0
1756710000000000,1.002,1.008,0.997,0.999,19414.94,1756710899999999,19461.06064,162,4722.84,4738.11896,0
