open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,0.144,0.1441,0.1435,0.1438,73445.0,1688170499999,10552.8273,71,14758.0,2122.2816,0
1688170500000,0.1439,0.1448,0.1437,0.1444,104384.0,1688171399999,15055.8452,118,80285.0,11577.8909,0
1688171400000,0.1444,0.1444,0.1439,0.144,61166.0,1688172299999,8812.0906,49,11978.0,1726.166,0
1688172300000,0.1439,0.144,0.1434,0.1434,77740.0,1688173199999,11163.6187,60,15652.0,2250.3272,0
1688173200000,0.1434,0.1438,0.1433,0.1434,181318.0,1688174099999,26019.9767,218,145216.0,20840.1795,0
1688174100000,0.1434,0.1434,0.1425,0.1426,82467.0,1688174999999,11800.1229,51,13315.0,1902.1201,0
1688175000000,0.1426,0.1432,0.1426,0.1432,49602.0,1688175899999,7085.4467,29,11207.0,1600.9738,0
1688175900000,0.1432,0.1435,0.143,0.1433,9945.0,1688176799999,1423.581,23,1486.0,213.053,0
1688176800000,0.1433,0.1433,0.1429,0.1431,10107.0,1688177699999,1446.5356,12,1958.0,280.4857,0
1688177700000,0.1432,0.1438,0.1432,0.1438,18776.0,1688178599999,2694.351,26,15592.0,2236.8102,0
1688178600000,0.1438,0.144,0.1437,0.1438,15881.0,1688179499999,2284.7101,22,10552.0,1518.2283,0
1688179500000,0.1435,0.1437,0.1432,0.1432,37706.0,1688180399999,5411.0724,54,23358.0,3353.8233,0
1688180400000,0.1432,0.1432,0.1432,0.1432,142.0,1688181299999,20.3344,1,142.0,20.3344,0
1688181300000,0.1432,0.1432,0.1432,0.1432,0.0,1688182199999,0.0,0,0.0,0.0,0
1688182200000,0.1432,0.1433,0.1431,0.1431,5563.0,1688183099999,796.9099,7,4552.0,652.2358,0
1688183100000,0.1432,0.1432,0.1429,0.1429,2279.0,1688183999999,325.9925,34,1078.0,154.3696,0
1688184000000,0.1432,0.1432,0.1432,0.1432,3848.0,1688184899999,551.0336,5,3705.0,530.556,0
1688184900000,0.1432,0.1432,0.1424,0.1425,27681.0,1688185799999,3951.3212,56,12596.0,1795.4585,0
1688185800000,0.1425,0.1427,0.1424,0.1425,27632.0,1688186699999,3937.5741,29,23713.0,3379.2473,0
1688186700000,0.1428,0.1429,0.1426,0.1429,1404.0,1688187599999,200.5328,14,1250.0,178.5724,0
1688187600000,0.1428,0.143,0.1427,0.1429,8766.0,1688188499999,1251.9306,10,5791.0,826.9415,0
1688188500000,0.1429,0.1432,0.1428,0.1431,94472.0,1688189399999,13510.9283,71,76036.0,10874.9184,0
1688189400000,0.1425,0.1426,0.1425,0.1426,689.0,1688190299999,98.2185,4,360.0,51.336,0
1688190300000,0.1427,0.1429,0.1425,0.1429,2268.0,1688191199999,324.0416,5,2174.0,310.6466,0
1688191200000,0.1431,0.1437,0.1431,0.1433,34875.0,1688192099999,4999.3206,43,11092.0,1590.7789,0
1688192100000,0.1433,0.1433,0.1433,0.1433,0.0,1688192999999,0.0,0,0.0,0.0,0
1688193000000,0.1433,0.1433,0.1433,0.1433,0.0,1688193899999,0.0,0,0.0,0.0,0
1688193900000,0.1432,0.1434,0.1432,0.1434,2841.0,1688194799999,406.9042,3,2476.0,354.5632,0
1688194800000,0.1436,0.1438,0.1435,0.1437,30135.0,1688195699999,4330.4895,27,5932.0,852.5798,0
1688195700000,0.1438,0.144,0.1438,0.144,8086.0,1688196599999,1163.3361,10,8086.0,1163.3361,0
1688196600000,0.144,0.1444,0.1438,0.1442,34464.0,1688197499999,4965.4108,49,13960.0,2012.4119,0
1688197500000,0.1444,0.1445,0.1444,0.1444,7625.0,1688198399999,1101.0604,7,1512.0,218.3432,0
1688198400000,0.1444,0.1445,0.1443,0.1444,9424.0,1688199299999,1360.9129,15,2860.0,413.0229,0
1688199300000,0.1444,0.1447,0.1444,0.1446,15968.0,1688200199999,2308.038,19,9128.0,1319.6242,0
1688200200000,0.1446,0.1446,0.1444,0.1444,212.0,1688201099999,30.6266,2,69.0,9.9774,0
1688201100000,0.1443,0.1443,0.1443,0.1443,1336.0,1688201999999,192.7848,1,0.0,0.0,0
1688202000000,0.1442,0.1442,0.144,0.144,5299.0,1688202899999,763.5601,5,2723.0,392.2507,0
1688202900000,0.1442,0.1442,0.1442,0.1442,76.0,1688203799999,10.9592,1,76.0,10.9592,0
1688203800000,0.1441,0.1442,0.1438,0.1442,5216.0,1688204699999,751.3128,12,1521.0,219.2362,0
1688204700000,0.1442,0.1442,0.1442,0.1442,0.0,1688205599999,0.0,0,0.0,0.0,0
1688205600000,0.1442,0.1442,0.1442,0.1442,0.0,1688206499999,0.0,0,0.0,0.0,0
1688206500000,0.1443,0.1443,0.144,0.1441,71516.0,1688207399999,10305.0151,45,30128.0,4339.8622,0
1688207400000,0.1442,0.1443,0.144,0.1443,16048.0,1688208299999,2314.1273,35,9331.0,1345.7441,0
1688208300000,0.1441,0.1442,0.144,0.1442,28543.0,1688209199999,4113.136,41,3268.0,470.9188,0
1688209200000,0.1443,0.1449,0.1443,0.1449,25000.0,1688210099999,3619.1824,23,22487.0,3255.5199,0
1688210100000,0.145,0.145,0.1447,0.1448,4099.0,1688210999999,593.7295,14,1722.0,249.3456,0
1688211000000,0.1446,0.1447,0.1446,0.1447,1977.0,1688211899999,286.0387,4,263.0,38.0561,0
1688211900000,0.1448,0.1449,0.1448,0.1449,790.0,1688212799999,114.399,3,790.0,114.399,0
1688212800000,0.1449,0.1452,0.1447,0.1448,73469.0,1688213699999,10647.7017,57,13352.0,1935.5832,0
1688213700000,0.145,0.1452,0.145,0.1452,12172.0,1688214599999,1766.7514,34,11481.0,1666.5073,0
1688214600000,0.1452,0.1456,0.1452,0.1453,17429.0,1688215499999,2534.4103,27,14525.0,2112.2771,0
1688215500000,0.1453,0.1458,0.1453,0.1454,10881.0,1688216399999,1584.1657,25,8694.0,1266.1799,0
1688216400000,0.1456,0.1462,0.1454,0.1458,9489.0,1688217299999,1383.7423,27,625.0,91.1681,0
1688217300000,0.1458,0.1472,0.1458,0.1465,58915.0,1688218199999,8632.7662,67,26168.0,3835.7416,0
1688218200000,0.1465,0.1465,0.1455,0.1458,21798.0,1688219099999,3183.2331,31,7821.0,1141.5931,0
1688219100000,0.1462,0.1465,0.1458,0.1458,3306.0,1688219999999,483.7839,17,2663.0,389.8877,0
1688220000000,0.1458,0.1458,0.1455,0.1458,9055.0,1688220899999,1319.2977,18,7047.0,1026.9849,0
1688220900000,0.1457,0.1457,0.1457,0.1457,877.0,1688221799999,127.7789,1,0.0,0.0,0
1688221800000,0.1456,0.1456,0.1454,0.1456,8116.0,1688222699999,1181.4176,12,2494.0,362.9618,0
1688222700000,0.1457,0.1458,0.1457,0.1457,3296.0,1688223599999,480.3671,7,2158.0,314.4931,0
1688223600000,0.1459,0.146,0.1456,0.1458,77917.0,1688224499999,11363.0688,86,48355.0,7053.3246,0
1688224500000,0.1458,0.146,0.1455,0.1457,25737.0,1688225399999,3750.0657,44,12231.0,1782.4895,0
1688225400000,0.1454,0.146,0.1453,0.1456,9043.0,1688226299999,1317.1699,20,3871.0,564.4059,0
1688226300000,0.1456,0.1456,0.1456,0.1456,0.0,1688227199999,0.0,0,0.0,0.0,0
1688227200000,0.1456,0.1457,0.1455,0.1455,64927.0,1688228099999,9454.1956,106,22636.0,3297.2284,0
1688228100000,0.1455,0.1457,0.1455,0.1457,1267.0,1688228999999,184.3693,4,1267.0,184.3693,0
1688229000000,0.1454,0.1455,0.1454,0.1455,2936.0,1688229899999,427.0585,7,1641.0,238.7655,0
1688229900000,0.1456,0.1456,0.1456,0.1456,1972.0,1688230799999,287.1232,3,1972.0,287.1232,0
1688230800000,0.1454,0.146,0.1453,0.1454,14743.0,1688231699999,2148.5593,23,11230.0,1637.5114,0
1688231700000,0.1459,0.1468,0.1458,0.1466,70419.0,1688232599999,10309.849,139,42855.0,6276.627,0
1688232600000,0.1465,0.1473,0.1465,0.1473,4402.0,1688233499999,646.2365,13,2712.0,398.2345,0
