open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1688169600000,0.3022,0.3028,0.3018,0.3018,13829.0,1688170499999,4176.1677,30,898.0,271.3866,0
1688170500000,0.3018,0.3028,0.3017,0.3028,8504.0,1688171399999,2567.6885,27,2130.0,644.1674,0
1688171400000,0.3031,0.3038,0.3025,0.3037,9133.0,1688172299999,2769.2278,29,5289.0,1605.2271,0
1688172300000,0.3042,0.3043,0.3022,0.3022,36579.0,1688173199999,11094.5336,141,9203.0,2797.0498,0
1688173200000,0.302,0.3025,0.3017,0.3024,9795.0,1688174099999,2958.3701,18,5277.0,1593.816,0
1688174100000,0.303,0.303,0.3004,0.3007,12212.0,1688174999999,3681.9003,63,5291.0,1598.6103,0
1688175000000,0.3014,0.3032,0.3014,0.3032,7333.0,1688175899999,2215.988,16,7084.0,2140.7573,0
1688175900000,0.3034,0.3034,0.3034,0.3034,130.0,1688176799999,39.442,2,130.0,39.442,0
1688176800000,0.3036,0.3036,0.3023,0.3032,1360.0,1688177699999,411.5238,8,297.0,89.9552,0
1688177700000,0.3032,0.3032,0.3032,0.3032,0.0,1688178599999,0.0,0,0.0,0.0,0
1688178600000,0.3031,0.3031,0.3031,0.3031,248.0,1688179499999,75.1688,3,0.0,0.0,0
1688179500000,0.3021,0.3021,0.3008,0.3015,2401.0,1688180399999,723.798,8,1192.0,359.3712,0
1688180400000,0.3015,0.3015,0.3015,0.3015,0.0,1688181299999,0.0,0,0.0,0.0,0
1688181300000,0.3016,0.3016,0.3014,0.3014,1848.0,1688182199999,557.033,10,229.0,69.0664,0
1688182200000,0.3014,0.3015,0.3012,0.3012,11489.0,1688183099999,3462.0664,18,0.0,0.0,0
1688183100000,0.3006,0.3011,0.3006,0.3011,3455.0,1688183999999,1038.9132,7,3455.0,1038.9132,0
1688184000000,0.3012,0.3012,0.3012,0.3012,1126.0,1688184899999,339.1512,2,1126.0,339.1512,0
1688184900000,0.3007,0.3007,0.2982,0.2982,5980.0,1688185799999,1791.3106,36,217.0,64.9212,0
1688185800000,0.298,0.2987,0.2978,0.2985,9478.0,1688186699999,2824.5037,17,2097.0,625.2999,0
1688186700000,0.2985,0.2989,0.2985,0.2989,1111.0,1688187599999,331.7254,5,251.0,75.0154,0
1688187600000,0.2992,0.2996,0.2988,0.2992,4088.0,1688188499999,1223.1294,18,1322.0,395.7196,0
1688188500000,0.2993,0.2993,0.2989,0.2989,1882.0,1688189399999,562.8681,10,77.0,23.0384,0
1688189400000,0.2989,0.2993,0.2989,0.2991,8974.0,1688190299999,2684.2327,21,6793.0,2032.0051,0
1688190300000,0.2993,0.2997,0.2989,0.2996,6462.0,1688191199999,1933.6679,13,3299.0,987.9461,0
1688191200000,0.2998,0.3001,0.2996,0.3001,2910.0,1688192099999,872.3739,11,736.0,220.8524,0
1688192100000,0.2997,0.2997,0.2996,0.2996,438.0,1688192999999,131.2488,7,0.0,0.0,0
1688193000000,0.2996,0.2996,0.2989,0.2989,3831.0,1688193899999,1147.0743,4,0.0,0.0,0
1688193900000,0.2996,0.3013,0.2996,0.3013,2893.0,1688194799999,868.8072,11,2747.0,824.9926,0
1688194800000,0.3013,0.3017,0.3012,0.3017,451.0,1688195699999,135.9397,8,162.0,48.872,0
1688195700000,0.3014,0.3024,0.3004,0.3014,3593.0,1688196599999,1082.7067,14,1640.0,495.4439,0
1688196600000,0.3013,0.3024,0.3013,0.3019,592.0,1688197499999,178.7394,11,411.0,124.1052,0
1688197500000,0.3022,0.3027,0.3021,0.3027,7896.0,1688198399999,2387.4913,29,4860.0,1469.6337,0
1688198400000,0.3024,0.3032,0.3023,0.303,6580.0,1688199299999,1993.1227,22,1104.0,334.3491,0
1688199300000,0.3031,0.3033,0.302,0.302,12628.0,1688200199999,3825.5764,23,3462.0,1048.3774,0
1688200200000,0.3025,0.3025,0.2999,0.3018,26076.0,1688201099999,7843.9975,37,1624.0,489.7593,0
1688201100000,0.3019,0.3023,0.3,0.3008,1075.0,1688201999999,323.7255,12,489.0,147.5259,0
1688202000000,0.3008,0.3014,0.3003,0.3012,2750.0,1688202899999,826.4379,14,378.0,113.8425,0
1688202900000,0.3012,0.3016,0.3005,0.3005,17682.0,1688203799999,5317.4894,28,9031.0,2715.8928,0
1688203800000,0.3005,0.3014,0.3001,0.3005,6669.0,1688204699999,2004.5003,19,1985.0,597.8484,0
1688204700000,0.3011,0.3011,0.3009,0.301,416.0,1688205599999,125.216,3,332.0,99.9236,0
1688205600000,0.3011,0.3011,0.3011,0.3011,996.0,1688206499999,299.8956,1,996.0,299.8956,0
1688206500000,0.3015,0.3022,0.3014,0.3022,7486.0,1688207399999,2258.1721,11,6596.0,1989.9261,0
1688207400000,0.3023,0.3023,0.3013,0.3016,4243.0,1688208299999,1279.52,13,972.0,293.6553,0
1688208300000,0.3006,0.302,0.3006,0.302,5044.0,1688209199999,1522.163,9,3217.0,970.4986,0
1688209200000,0.3019,0.304,0.3019,0.3027,19523.0,1688210099999,5908.9533,43,8775.0,2657.7262,0
1688210100000,0.3028,0.3042,0.3028,0.3028,9301.0,1688210999999,2822.6484,24,7206.0,2186.099,0
1688211000000,0.3031,0.3032,0.3022,0.3025,6600.0,1688211899999,1996.1158,15,226.0,68.456,0
1688211900000,0.3031,0.3037,0.3021,0.3031,4948.0,1688212799999,1498.7227,12,2690.0,815.7706,0
1688212800000,0.3026,0.3031,0.3012,0.3031,23528.0,1688213699999,7098.7979,36,3573.0,1078.268,0
1688213700000,0.3029,0.3049,0.3029,0.3044,19604.0,1688214599999,5964.7125,37,10773.0,3277.551,0
1688214600000,0.3044,0.3044,0.3044,0.3044,83.0,1688215499999,25.2652,2,83.0,25.2652,0
1688215500000,0.3049,0.305,0.3032,0.3043,5322.0,1688216399999,1617.6345,21,1588.0,483.8172,0
1688216400000,0.3043,0.306,0.3043,0.3048,11269.0,1688217299999,3444.8784,23,9691.0,2963.463,0
1688217300000,0.3048,0.3056,0.3045,0.3052,9633.0,1688218199999,2936.3224,16,6387.0,1946.5182,0
1688218200000,0.3049,0.3055,0.3044,0.3052,3737.0,1688219099999,1138.9163,18,2100.0,640.4631,0
1688219100000,0.3051,0.3051,0.3042,0.3042,7275.0,1688219999999,2214.3929,12,0.0,0.0,0
1688220000000,0.3039,0.3065,0.303,0.3057,56823.0,1688220899999,17313.7979,93,48808.0,14881.483,0
1688220900000,0.3057,0.306,0.3051,0.3059,16026.0,1688221799999,4901.9732,21,2651.0,810.6085,0
1688221800000,0.3051,0.3055,0.3037,0.3041,4270.0,1688222699999,1300.2867,16,620.0,189.2855,0
1688222700000,0.3047,0.3052,0.3042,0.3052,5565.0,1688223599999,1696.0654,14,785.0,238.999,0
1688223600000,0.3049,0.3049,0.3039,0.304,375.0,1688224499999,114.1017,4,292.0,88.8531,0
1688224500000,0.3039,0.3039,0.3018,0.3033,11245.0,1688225399999,3404.5484,31,2748.0,832.3472,0
1688225400000,0.3027,0.3035,0.3024,0.3034,3505.0,1688226299999,1062.1985,14,2243.0,680.327,0
1688226300000,0.3034,0.3034,0.3033,0.3033,182.0,1688227199999,55.2105,2,83.0,25.1739,0
1688227200000,0.303,0.3031,0.3028,0.303,7147.0,1688228099999,2165.5045,7,0.0,0.0,0
1688228100000,0.3031,0.3032,0.3027,0.3027,765.0,1688228999999,231.8463,4,681.0,206.4195,0
1688229000000,0.3021,0.3021,0.3015,0.3015,20007.0,1688229899999,6036.6244,25,13275.0,4003.9695,0
1688229900000,0.3015,0.3015,0.3015,0.3015,4494.0,1688230799999,1354.941,3,4494.0,1354.941,0
1688230800000,0.3014,0.3014,0.3004,0.3007,4445.0,1688231699999,1338.1493,9,0.0,0.0,0
1688231700000,0.3013,0.3021,0.3013,0.3021,4173.0,1688232599999,1258.4608,12,3934.0,1186.2654,0
1688232600000,0.3017,0.3022,0.3016,0.3022,2435.0,1688233499999,734.5088,4,174.0,52.5828,0
1688233500000,0.3016,0.3016,0.3009,0.3009,1505.0,1688234399999,453.6855,3,0.0,0.0,0
1688234400000,0.302,0.302,0.3011,0.3019,468.0,1688235299999,141.2018,7,324.0,97.835,0
1688235300000,0.3019,0.3023,0.3008,0.3022,10531.0,1688236199999,3180.2314,34,6850.0,2069.2563,0
1688236200000,0.3022,0.3022,0.3015,0.3015,440.0,1688237099999,132.7496,5,128.0,38.6816,0
1688237100000,0.3023,0.3032,0.3023,0.3029,3024.0,1688237999999,916.1692,8,3024.0,916.1692,0
1688238000000,0.3033,0.3035,0.3029,0.3029,1335.0,1688238899999,404.6192,6,1251.0,379.1756,0
1688238900000,0.3031,0.304,0.3028,0.3034,2922.0,1688239799999,886.7735,9,2162.0,656.3266,0
1688239800000,0.3034,0.3034,0.3034,0.3034,1022.0,1688240699999,310.0748,2,34.0,10.3156,0
1688240700000,0.3034,0.3038,0.303,0.303,1930.0,1688241599999,586.0571,7,1219.0,370.2395,0
1688241600000,0.3031,0.3031,0.3031,0.3031,56.0,1688242499999,16.9736,1,0.0,0.0,0
1688242500000,0.3033,0.3033,0.3031,0.3031,135.0,1688243399999,40.9353,2,84.0,25.4772,0
1688243400000,0.3038,0.3039,0.3028,0.3034,3002.0,1688244299999,911.7075,13,2412.0,732.8404,0
1688244300000,0.3032,0.3032,0.3031,0.3031,1370.0,1688245199999,415.3399,3,0.0,0.0,0
1688245200000,0.3033,0.3033,0.3033,0.3033,33.0,1688246099999,10.0089,1,33.0,10.0089,0
1688246100000,0.3034,0.3039,0.3034,0.3039,455.0,1688246999999,138.1805,4,455.0,138.1805,0
1688247000000,0.3039,0.3039,0.3039,0.3039,0.0,1688247899999,0.0,0,0.0,0.0,0
1688247900000,0.3035,0.3035,0.3025,0.3025,1863.0,1688248799999,564.0865,7,0.0,0.0,0
1688248800000,0.3025,0.3025,0.3025,0.3025,0.0,1688249699999,0.0,0,0.0,0.0,0
1688249700000,0.3025,0.3025,0.3025,0.3025,0.0,1688250599999,0.0,0,0.0,0.0,0
1688250600000,0.3038,0.3039,0.3036,0.3036,4427.0,1688251499999,1345.1314,4,4204.0,1277.4286,0
1688251500000,0.3033,0.3039,0.303,0.303,11396.0,1688252399999,3461.9562,14,10950.0,3326.8182,0
1688252400000,0.3039,0.3039,0.3033,0.3036,4108.0,1688253299999,1246.7534,10,231.0,70.176,0
1688253300000,0.3036,0.3039,0.3035,0.3035,1400.0,1688254199999,425.1747,4,1202.0,365.0702,0
1688254200000,0.3039,0.3045,0.3039,0.3045,2293.0,1688255099999,696.9597,7,2293.0,696.9597,0
1688255100000,0.3045,0.3071,0.304,0.3063,11266.0,1688255999999,3448.2226,22,10955.0,3353.5608,0
1688256000000,0.3056,0.3056,0.3049,0.3049,914.0,1688256899999,279.2099,3,0.0,0.0,0
1688256900000,0.3043,0.3043,0.3031,0.3037,2022.0,1688257799999,613.6208,12,329.0,99.8827,0
1688257800000,0.3046,0.305,0.3035,0.304,1127.0,1688258699999,342.8419,19,686.0,208.9026,0
1688258700000,0.3038,0.3038,0.3037,0.3037,432.0,1688259599999,131.2068,3,84.0,25.5192,0
