open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1733011200000,0.6126,0.613,0.6076,0.6117,25306.0,1733012099999,15431.56328,544,9204.8,5617.12707,0
1733012100000,0.6118,0.6118,0.6057,0.6072,47812.9,1733012999999,29046.56106,669,21702.9,13184.74653,0
1733013000000,0.607,0.6111,0.6025,0.6025,29765.9,1733013899999,18055.78274,321,6804.0,4130.57653,0
1733013900000,0.6026,0.6047,0.5986,0.6012,41710.3,1733014799999,25072.68456,604,16276.1,9796.11857,0
1733014800000,0.601,0.6021,0.597,0.5995,22228.9,1733015699999,13320.05956,454,14178.6,8495.26696,0
1733015700000,0.5995,0.6023,0.5974,0.6015,13413.5,1733016599999,8037.57113,265,4977.4,2983.55132,0
1733016600000,0.6015,0.603,0.6004,0.6016,4103.8,1733017499999,2470.19986,162,1883.7,1133.75312,0
1733017500000,0.6011,0.6043,0.5982,0.6002,19392.2,1733018399999,11642.77486,313,10429.7,6260.60172,0
1733018400000,0.6003,0.6019,0.598,0.5989,10613.4,1733019299999,6358.57608,265,3379.1,2024.53077,0
1733019300000,0.5981,0.601,0.5981,0.6006,5561.9,1733020199999,3333.58316,242,3642.0,2182.68381,0
1733020200000,0.6005,0.6005,0.5945,0.5945,34278.5,1733021099999,20460.90778,489,18138.2,10832.25922,0
1733021100000,0.5945,0.5965,0.5928,0.5934,20640.5,1733021999999,12277.89136,390,6584.6,3918.422,0
1733022000000,0.5936,0.5984,0.5922,0.5984,14629.3,1733022899999,8693.22667,310,4979.5,2963.69364,0
1733022900000,0.5984,0.5991,0.5957,0.5969,3947.4,1733023799999,2360.1818,164,1279.0,764.74734,0
1733023800000,0.5968,0.6034,0.5966,0.599,50686.6,1733024699999,30419.23676,429,39663.0,23808.22874,0
1733024700000,0.5994,0.6022,0.5992,0.5999,21309.8,1733025599999,12799.30113,315,10319.2,6201.64229,0
1733025600000,0.6002,0.6007,0.5981,0.5987,6017.1,1733026499999,3603.93681,127,1392.6,834.80903,0
1733026500000,0.599,0.5998,0.5977,0.5992,4281.1,1733027399999,2561.99794,142,2190.3,1311.1081,0
1733027400000,0.5989,0.5994,0.5974,0.5982,8321.3,1733028299999,4979.38428,274,2804.0,1678.40148,0
1733028300000,0.5982,0.6005,0.5982,0.6005,3375.3,1733029199999,2022.8297,135,1911.2,1145.73556,0
1733029200000,0.6,0.6001,0.5967,0.5974,7100.8,1733030099999,4245.92783,210,1596.9,955.62161,0
1733030100000,0.5973,0.5974,0.5957,0.5967,8828.8,1733030999999,5266.53864,261,2347.7,1401.00804,0
1733031000000,0.597,0.5986,0.5968,0.5983,4289.1,1733031899999,2564.327,116,2535.2,1515.67111,0
1733031900000,0.5983,0.5985,0.5953,0.5955,7001.9,1733032799999,4178.89958,195,1456.4,870.10661,0
1733032800000,0.5958,0.5986,0.5952,0.5986,12697.2,1733033699999,7569.21045,280,5294.1,3159.55677,0
1733033700000,0.5987,0.6003,0.5979,0.5992,4653.8,1733034599999,2787.93675,147,2316.3,1387.81534,0
1733034600000,0.599,0.6015,0.5987,0.6012,4886.9,1733035499999,2932.74253,153,2640.6,1584.97249,0
1733035500000,0.6009,0.6018,0.6005,0.6016,6731.8,1733036399999,4047.35911,135,3646.2,2193.00101,0
1733036400000,0.6016,0.6019,0.5992,0.5998,17524.3,1733037299999,10520.29806,180,2610.2,1568.90745,0
1733037300000,0.5994,0.6021,0.5994,0.601,8062.1,1733038199999,4845.65907,299,4076.2,2449.8259,0
1733038200000,0.6017,0.6088,0.6004,0.604,154470.8,1733039099999,93552.9911,971,80854.6,48928.26839,0
1733039100000,0.6041,0.6048,0.6026,0.6029,9457.9,1733039999999,5714.51739,132,7942.4,4799.65902,0
1733040000000,0.603,0.6035,0.6016,0.6025,11863.1,1733040899999,7146.86685,118,6258.1,3768.71732,0
1733040900000,0.6025,0.6042,0.6018,0.6025,10318.7,1733041799999,6217.78524,174,5216.3,3143.95091,0
1733041800000,0.6022,0.6056,0.6021,0.6051,4776.5,1733042699999,2886.50061,134,3299.8,1994.02129,0
1733042700000,0.6051,0.6075,0.6049,0.607,8839.7,1733043599999,5363.84928,133,1648.6,999.65957,0
1733043600000,0.6072,0.609,0.6018,0.6042,44014.2,1733044499999,26588.95757,285,4868.6,2958.57715,0
1733044500000,0.6038,0.605,0.603,0.6037,1979.3,1733045399999,1195.66512,94,1379.6,833.55231,0
1733045400000,0.6035,0.6047,0.6025,0.6042,5709.3,1733046299999,3444.79226,163,2098.7,1266.81519,0
