open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1746057600000000,0.0471,0.0473,0.0468,0.0472,378907.0,1746058499999999,17824.3728,263,154798.0,7288.5475,0
1746058500000000,0.0473,0.0473,0.0471,0.0472,14153.0,1746059399999999,667.943,28,11663.0,550.5488,0
1746059400000000,0.0472,0.0472,0.0467,0.0469,311055.0,1746060299999999,14588.8094,173,157448.0,7384.6035,0
1746060300000000,0.047,0.047,0.0469,0.047,72689.0,1746061199999999,3415.64,34,53366.0,2508.202,0
1746061200000000,0.047,0.0474,0.047,0.0474,189966.0,1746062099999999,8977.07,131,128347.0,6064.5354,0
1746062100000000,0.0475,0.0475,0.0473,0.0474,117522.0,1746062999999999,5567.8727,120,3129.0,148.4089,0
1746063000000000,0.0473,0.0475,0.0472,0.0472,136830.0,1746063899999999,6472.6868,82,114909.0,5436.3685,0
1746063900000000,0.0473,0.0473,0.047,0.047,40794.0,1746064799999999,1925.9245,35,19233.0,908.2899,0
1746064800000000,0.0471,0.0471,0.0469,0.0469,82480.0,1746065699999999,3879.2268,47,18279.0,860.8209,0
1746065700000000,0.047,0.047,0.0469,0.0469,22401.0,1746066599999999,1052.575,46,4502.0,211.594,0
1746066600000000,0.047,0.047,0.0467,0.0467,117405.0,1746067499999999,5505.4633,64,62999.0,2954.4824,0
1746067500000000,0.0468,0.0468,0.0465,0.0465,14996.0,1746068399999999,700.3477,39,12863.0,600.8818,0
1746068400000000,0.0466,0.0467,0.0465,0.0465,68352.0,1746069299999999,3185.1958,66,30113.0,1403.3257,0
1746069300000000,0.0465,0.0466,0.0464,0.0464,95668.0,1746070199999999,4447.6479,94,23313.0,1084.6883,0
1746070200000000,0.0465,0.0467,0.0464,0.0465,126362.0,1746071099999999,5879.7917,132,56664.0,2634.5968,0
1746071100000000,0.0465,0.0465,0.0464,0.0464,70277.0,1746071999999999,3265.2313,66,8127.0,377.9055,0
1746072000000000,0.0465,0.0465,0.0462,0.0465,39386.0,1746072899999999,1826.6936,32,31545.0,1463.0708,0
1746072900000000,0.0463,0.0465,0.0463,0.0465,21338.0,1746073799999999,990.0949,13,20660.0,958.6576,0
1746073800000000,0.0464,0.0465,0.0463,0.0464,74944.0,1746074699999999,3477.2751,136,26294.0,1220.5186,0
1746074700000000,0.0464,0.0465,0.0464,0.0465,1479.0,1746075599999999,68.7143,7,887.0,41.2455,0
1746075600000000,0.0465,0.0465,0.0464,0.0465,28832.0,1746076499999999,1340.624,32,18047.0,839.1855,0
1746076500000000,0.0466,0.0466,0.0465,0.0465,2965.0,1746077399999999,138.1127,7,2402.0,111.9332,0
1746077400000000,0.0465,0.0468,0.0465,0.0468,17917.0,1746078299999999,837.0147,30,17398.0,812.8698,0
1746078300000000,0.0468,0.0468,0.0467,0.0468,6882.0,1746079199999999,322.0264,21,6370.0,298.116,0
1746079200000000,0.0467,0.0468,0.0465,0.0465,122346.0,1746080099999999,5711.9297,116,34861.0,1629.9659,0
1746080100000000,0.0466,0.0468,0.0466,0.0467,56992.0,1746080999999999,2658.8799,34,47829.0,2231.8731,0
1746081000000000,0.0468,0.0468,0.0467,0.0467,19318.0,1746081899999999,903.7916,37,16410.0,767.988,0
1746081900000000,0.0467,0.0468,0.0466,0.0467,39801.0,1746082799999999,1858.6737,60,306.0,14.3208,0
1746082800000000,0.0467,0.0469,0.0466,0.0468,112796.0,1746083699999999,5282.6754,118,63319.0,2966.132,0
1746083700000000,0.0469,0.0469,0.0467,0.0468,36022.0,1746084599999999,1687.9531,52,24265.0,1137.8752,0
1746084600000000,0.0468,0.0469,0.0468,0.0468,3071.0,1746085499999999,143.7542,7,314.0,14.7266,0
1746085500000000,0.0469,0.047,0.0468,0.0468,56119.0,1746086399999999,2631.7247,97,43039.0,2018.9565,0
1746086400000000,0.0469,0.047,0.0468,0.0469,170744.0,1746087299999999,8021.9021,56,169291.0,7953.8384,0
1746087300000000,0.0469,0.0472,0.0469,0.0472,44303.0,1746088199999999,2086.1109,71,29664.0,1396.85,0
1746088200000000,0.0472,0.0473,0.0471,0.0473,151346.0,1746089099999999,7150.2945,116,112292.0,5307.1346,0
1746089100000000,0.0472,0.0476,0.0472,0.0476,149950.0,1746089999999999,7110.48,137,139500.0,6615.942,0
1746090000000000,0.0475,0.0475,0.0473,0.0474,105513.0,1746090899999999,5003.6478,116,55261.0,2622.1011,0
1746090900000000,0.0474,0.0476,0.0474,0.0475,38246.0,1746091799999999,1819.0582,36,30018.0,1428.2563,0
1746091800000000,0.0475,0.0476,0.0475,0.0476,48235.0,1746092699999999,2292.849,86,16865.0,802.774,0
1746092700000000,0.0476,0.0476,0.0474,0.0476,394464.0,1746093599999999,18757.9383,234,202181.0,9620.2255,0
1746093600000000,0.0475,0.0476,0.0475,0.0475,65204.0,1746094499999999,3100.2527,91,30627.0,1457.8452,0
1746094500000000,0.0476,0.0479,0.0475,0.0477,271109.0,1746095399999999,12936.8049,267,155398.0,7415.3313,0
